Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
20-Dec-2011,29.90,29.90,29.90, 29.90,29.90,100,0.03
08-Dec-2011,26.00,26.00,26.00, 26.00,26.00,95,0.02
05-Dec-2011,27.00,27.00,27.00, 27.00,27.00,28,0.01
29-Nov-2011,26.00,26.00,26.00, 26.00,26.00,15,0.00
28-Nov-2011,26.15,26.15,26.15, 26.15,26.15,100,0.03
24-Nov-2011,27.50,27.50,27.50, 27.50,27.50,100,0.03
23-Nov-2011,29.00,29.00,28.95, 28.95,28.95,1000,0.29
22-Nov-2011,30.50,30.50,30.45, 30.45,30.45,950,0.29
17-Nov-2011,32.20,33.20,32.05, 32.05,32.05,285,0.09
14-Nov-2011,32.20,32.20,32.20, 32.20,32.20,13,0.00
11-Nov-2011,30.65,30.65,30.65, 30.65,30.65,203,0.06
09-Nov-2011,29.15,29.15,29.15, 29.15,29.15,2,0.00
04-Nov-2011,27.75,27.75,27.75, 27.75,27.75,150,0.04
02-Nov-2011,28.00,28.00,26.40, 26.40,26.40,466,0.13
21-Oct-2011,29.45,29.45,29.45, 29.45,29.45,1,0.00
19-Oct-2011,29.45,29.45,29.45, 29.45,29.45,1,0.00
05-Oct-2011,31.00,31.00,31.00, 31.00,31.00,1,0.00
20-Sep-2011,31.00,31.00,31.00, 31.00,31.00,1200,0.37
16-Sep-2011,30.00,30.00,30.00, 30.00,30.00,150,0.04
14-Sep-2011,30.00,30.00,30.00, 30.00,30.00,200,0.06
07-Sep-2011,33.00,33.00,31.35, 31.35,31.35,450,0.15
06-Sep-2011,31.65,33.00,31.65, 33.00,33.00,660,0.22
02-Sep-2011,34.00,34.00,32.70, 33.05,33.05,70,0.02
22-Aug-2011,32.80,34.40,31.15, 34.40,34.40,175,0.06
12-Aug-2011,38.65,38.65,38.65, 38.65,38.65,5,0.00
05-Aug-2011,40.65,40.65,40.65, 40.65,40.65,10,0.00
29-Jul-2011,42.75,47.00,42.75, 42.75,42.75,203,0.09
28-Jul-2011,44.75,44.75,44.75, 44.75,44.75,200,0.09
22-Jul-2011,47.10,47.10,47.10, 47.10,47.10,350,0.16
