Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,43.60,46.10,43.10, 44.45,44.70,1108834,493.92
29-Dec-2011,46.50,48.50,41.95, 43.10,43.60,1701889,765.70
28-Dec-2011,48.95,48.95,46.00, 46.40,46.45,446414,211.15
27-Dec-2011,49.50,50.70,48.00, 48.50,48.75,394209,195.55
26-Dec-2011,48.10,51.90,48.00, 49.20,49.85,733752,368.60
23-Dec-2011,50.00,51.35,48.40, 48.60,48.75,244768,120.92
22-Dec-2011,48.30,49.45,46.30, 48.50,48.85,390478,187.48
21-Dec-2011,49.50,51.50,46.55, 48.05,48.10,389128,185.31
20-Dec-2011,50.00,50.25,45.60, 46.00,46.25,595028,281.41
19-Dec-2011,52.00,52.60,49.15, 49.25,49.50,459682,229.86
16-Dec-2011,55.00,55.65,52.00, 52.20,52.60,452357,243.10
15-Dec-2011,53.40,54.90,52.70, 53.60,53.65,324150,174.11
14-Dec-2011,54.90,57.70,53.65, 54.25,54.15,682711,379.37
13-Dec-2011,55.50,56.30,54.40, 55.00,54.90,405449,223.77
12-Dec-2011,60.10,60.45,55.50, 56.15,56.45,674273,391.46
09-Dec-2011,58.90,61.25,58.25, 59.50,59.10,3967908,2366.96
08-Dec-2011,54.50,63.20,53.80, 60.15,59.60,10358611,6217.50
07-Dec-2011,55.40,55.90,54.20, 54.30,54.55,379260,208.98
05-Dec-2011,55.00,55.70,54.25, 54.50,54.50,413441,226.77
02-Dec-2011,54.10,55.50,53.65, 54.85,55.00,596456,327.29
01-Dec-2011,54.80,55.50,53.85, 54.40,54.10,523022,285.98
30-Nov-2011,55.00,55.80,52.00, 53.00,53.00,674509,363.84
29-Nov-2011,56.55,56.55,55.30, 55.75,55.70,199973,111.91
28-Nov-2011,54.75,56.50,54.50, 56.45,56.15,406982,226.12
25-Nov-2011,56.00,57.40,53.45, 54.50,54.20,1245091,695.03
24-Nov-2011,55.15,59.00,54.05, 58.35,57.45,480113,268.18
23-Nov-2011,55.40,59.40,54.20, 54.70,55.15,830270,460.96
22-Nov-2011,54.55,56.60,54.20, 55.60,55.65,432633,238.48
21-Nov-2011,57.30,57.50,54.00, 54.50,54.70,385491,213.97
18-Nov-2011,58.00,58.00,56.00, 57.30,57.25,294274,167.24
17-Nov-2011,60.00,60.20,58.05, 58.35,58.55,226596,134.55
16-Nov-2011,61.50,61.60,59.10, 59.85,59.60,351599,211.64
15-Nov-2011,63.50,65.00,60.55, 61.60,61.45,285635,178.90
14-Nov-2011,68.40,68.40,63.25, 63.65,63.95,261559,171.72
11-Nov-2011,65.45,68.40,63.80, 66.50,66.70,602000,399.50
09-Nov-2011,67.60,68.10,65.30, 65.65,65.65,224175,149.30
08-Nov-2011,68.05,69.00,67.10, 67.70,67.60,353015,239.40
04-Nov-2011,71.00,72.50,67.85, 68.40,68.40,1729920,1210.32
03-Nov-2011,64.80,72.20,64.25, 71.10,69.85,2486543,1729.65
02-Nov-2011,64.50,64.95,63.85, 64.10,64.20,255128,164.46
01-Nov-2011,65.00,65.90,64.40, 64.95,64.75,284167,184.98
31-Oct-2011,65.05,66.70,64.50, 65.60,65.50,528422,346.91
28-Oct-2011,66.60,66.95,64.25, 65.10,65.05,486856,318.63
26-Oct-2011,66.50,66.50,65.00, 65.10,65.40,264526,172.97
25-Oct-2011,62.50,65.80,62.10, 64.80,65.05,967409,619.10
24-Oct-2011,62.55,63.75,62.10, 62.20,62.35,685333,431.13
21-Oct-2011,65.50,65.75,60.10, 61.90,62.05,3042543,1912.09
20-Oct-2011,62.50,64.50,62.40, 64.40,64.15,1549150,989.36
19-Oct-2011,63.50,64.55,62.30, 63.80,63.90,595857,379.19
18-Oct-2011,62.00,63.55,59.95, 62.60,62.80,1625868,1006.21
17-Oct-2011,63.50,65.00,62.05, 62.45,62.25,901677,569.96
14-Oct-2011,64.00,64.45,62.85, 63.50,63.40,1217794,775.22
13-Oct-2011,66.95,67.75,64.00, 64.25,64.60,3044664,2019.41
12-Oct-2011,64.45,67.50,62.30, 65.65,66.05,13904042,9127.86
11-Oct-2011,72.20,73.10,54.30, 64.50,64.60,36713162,22522.36
10-Oct-2011,70.85,72.65,70.85, 71.45,71.50,402313,288.33
07-Oct-2011,71.00,73.70,70.80, 71.50,71.35,342426,245.24
05-Oct-2011,71.00,72.50,69.25, 69.50,70.05,361326,255.90
04-Oct-2011,72.25,73.50,70.40, 71.00,70.95,163795,117.52
03-Oct-2011,72.40,74.70,69.70, 73.00,73.10,184607,133.38
30-Sep-2011,73.50,75.25,73.50, 73.90,73.80,177010,131.60
29-Sep-2011,77.10,77.50,73.70, 74.65,74.85,535804,401.51
28-Sep-2011,78.50,78.50,75.00, 75.70,75.50,230357,176.39
27-Sep-2011,77.00,78.40,76.80, 77.50,77.20,212153,164.65
26-Sep-2011,77.85,77.85,74.45, 75.75,76.15,138754,105.22
23-Sep-2011,73.05,77.50,73.05, 76.40,76.60,313818,238.29
22-Sep-2011,79.00,79.90,75.50, 76.20,76.50,342129,266.32
21-Sep-2011,80.00,80.55,79.25, 80.10,79.95,249600,199.43
20-Sep-2011,78.80,80.50,78.55, 80.00,80.20,276658,220.55
19-Sep-2011,79.90,79.90,78.55, 78.60,78.90,185636,146.52
16-Sep-2011,80.85,81.90,78.85, 79.50,79.65,701064,560.40
15-Sep-2011,78.80,81.50,77.60, 79.70,79.60,723936,576.71
14-Sep-2011,78.90,78.90,76.55, 77.75,77.35,218847,169.31
13-Sep-2011,82.40,86.80,75.75, 76.90,76.40,397549,305.40
12-Sep-2011,77.50,79.25,75.25, 75.35,75.95,401927,308.26
09-Sep-2011,82.50,85.00,79.00, 79.10,79.45,411078,334.87
08-Sep-2011,80.00,82.90,80.00, 82.90,82.30,653646,532.56
07-Sep-2011,79.00,81.80,79.00, 80.00,79.70,892060,717.01
06-Sep-2011,76.50,79.70,75.10, 79.40,78.60,309120,238.14
05-Sep-2011,77.00,78.45,76.05, 76.90,76.90,402177,309.78
02-Sep-2011,78.50,81.00,77.75, 78.50,78.55,702112,555.82
30-Aug-2011,76.00,79.00,74.30, 78.40,78.40,1225324,939.52
29-Aug-2011,69.50,74.90,69.20, 74.90,74.50,1194510,866.83
26-Aug-2011,71.00,72.75,67.00, 68.90,68.95,721429,503.18
25-Aug-2011,73.50,74.15,71.25, 73.00,72.95,676212,491.16
24-Aug-2011,72.00,75.35,71.50, 72.70,73.20,770440,569.45
23-Aug-2011,74.00,74.20,71.65, 72.10,72.55,831635,606.61
22-Aug-2011,76.10,76.10,72.50, 73.45,73.40,984045,725.95
19-Aug-2011,76.10,76.85,73.45, 74.60,75.35,1026339,771.54
18-Aug-2011,83.00,85.50,77.00, 79.60,78.80,676043,537.57
17-Aug-2011,84.25,84.70,78.05, 82.25,82.80,895164,726.03
16-Aug-2011,88.00,88.65,82.00, 84.50,83.95,695226,589.81
12-Aug-2011,88.80,89.45,86.50, 86.90,86.90,389810,341.89
11-Aug-2011,90.00,91.30,85.65, 87.55,87.10,758637,672.65
10-Aug-2011,93.55,95.00,90.00, 90.30,90.45,835966,768.74
09-Aug-2011,87.00,93.90,83.00, 90.50,92.15,1072438,980.61
08-Aug-2011,96.10,97.00,86.00, 88.50,89.40,1914914,1746.94
05-Aug-2011,97.00,101.30,97.00, 98.00,98.20,724065,717.53
04-Aug-2011,105.15,107.45,102.00, 103.50,103.20,574544,603.47
03-Aug-2011,102.00,102.50,100.45, 101.45,101.45,120502,122.13
02-Aug-2011,104.00,105.00,102.15, 102.70,102.85,97712,100.87
01-Aug-2011,103.00,106.40,103.00, 104.00,104.60,81569,85.86
29-Jul-2011,105.00,106.95,104.10, 105.00,105.50,162033,170.33
28-Jul-2011,104.50,105.95,103.00, 105.50,104.45,186781,194.27
27-Jul-2011,105.10,106.45,104.20, 104.75,105.00,120326,126.64
26-Jul-2011,108.90,108.90,104.30, 104.75,104.80,508777,536.48
25-Jul-2011,110.00,115.80,108.80, 109.70,109.80,519866,573.02
22-Jul-2011,105.70,110.30,105.35, 108.35,107.75,428768,463.93
21-Jul-2011,105.25,107.30,105.05, 105.90,105.50,138357,146.91
20-Jul-2011,107.10,108.00,105.00, 105.30,105.25,258009,274.95
