Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,19.80,21.95,19.80, 20.30,20.45,2029,0.42
29-Dec-2011,23.80,23.80,18.40, 20.40,20.40,2457,0.51
28-Dec-2011,20.00,22.10,18.50, 20.50,20.45,1520,0.31
27-Dec-2011,20.50,22.40,20.05, 20.50,20.60,7446,1.53
26-Dec-2011,19.50,21.60,19.25, 21.20,21.30,5152,1.09
23-Dec-2011,19.80,20.50,19.70, 20.25,20.35,2568,0.52
22-Dec-2011,19.00,22.35,19.00, 20.65,20.35,6133,1.25
21-Dec-2011,18.80,20.35,18.45, 19.65,19.55,3171,0.60
20-Dec-2011,17.50,19.70,17.50, 18.50,18.70,2354,0.44
19-Dec-2011,19.80,20.00,18.05, 19.10,18.40,25190,4.67
16-Dec-2011,19.50,21.00,19.50, 20.40,20.55,3952,0.81
15-Dec-2011,21.00,21.20,19.50, 20.05,20.10,13746,2.79
14-Dec-2011,20.30,22.00,20.30, 21.90,21.90,2498,0.54
13-Dec-2011,22.00,23.30,20.70, 21.25,21.35,17639,3.77
12-Dec-2011,23.55,23.55,22.10, 22.70,22.25,12754,2.87
09-Dec-2011,25.00,25.00,22.80, 23.00,23.20,17801,4.16
08-Dec-2011,24.00,25.05,24.00, 24.75,24.70,19243,4.78
07-Dec-2011,25.40,26.15,24.85, 24.85,24.90,6572,1.67
05-Dec-2011,25.00,27.40,25.00, 25.00,25.25,3888,0.99
02-Dec-2011,26.00,27.00,25.05, 25.45,25.60,12613,3.22
01-Dec-2011,27.30,27.30,26.20, 26.20,26.35,5422,1.45
30-Nov-2011,25.00,26.70,25.00, 26.00,26.10,4113,1.08
29-Nov-2011,29.40,29.40,25.15, 26.35,25.90,18540,5.10
28-Nov-2011,26.00,29.70,26.00, 27.65,27.65,1805,0.50
25-Nov-2011,27.00,28.55,26.70, 27.10,27.10,852,0.24
24-Nov-2011,28.25,28.25,27.20, 27.60,27.70,2297,0.63
23-Nov-2011,28.00,29.00,27.10, 27.30,27.35,3868,1.07
22-Nov-2011,27.00,29.00,26.50, 28.70,28.40,548,0.15
21-Nov-2011,27.20,28.75,26.35, 28.05,28.05,1932,0.53
18-Nov-2011,27.00,29.45,26.15, 27.45,27.15,6514,1.78
17-Nov-2011,27.50,27.85,27.05, 27.85,27.70,7025,1.91
16-Nov-2011,28.50,28.50,27.00, 27.20,27.25,3574,0.98
15-Nov-2011,31.00,31.00,27.20, 28.00,28.70,3819,1.12
14-Nov-2011,32.00,33.05,30.05, 31.30,30.35,3166,1.00
11-Nov-2011,33.00,34.95,32.00, 32.40,32.85,5535,1.81
09-Nov-2011,33.70,34.80,33.25, 33.25,33.50,2358,0.80
08-Nov-2011,34.50,35.50,34.00, 34.25,34.25,323,0.11
04-Nov-2011,34.25,35.65,34.25, 35.00,35.00,1668,0.58
03-Nov-2011,34.65,35.30,34.10, 35.10,35.10,3453,1.20
02-Nov-2011,35.50,36.00,34.60, 34.65,34.70,5664,1.99
01-Nov-2011,35.15,36.50,34.10, 36.35,36.35,13965,4.96
31-Oct-2011,35.00,36.70,35.00, 36.00,35.80,4852,1.75
28-Oct-2011,36.10,37.00,35.75, 36.25,35.95,4574,1.66
26-Oct-2011,36.00,37.50,35.65, 37.50,36.65,3901,1.43
25-Oct-2011,35.75,36.15,34.90, 35.35,35.70,18375,6.55
24-Oct-2011,35.95,36.40,34.95, 36.30,35.75,23637,8.42
21-Oct-2011,32.20,37.65,32.00, 35.20,35.00,110656,40.07
