Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,81.00,82.70,79.00, 81.00,81.20,12015,9.73
29-Dec-2011,81.00,82.00,78.65, 78.80,79.15,20771,16.73
28-Dec-2011,82.00,83.45,79.50, 79.50,80.25,7727,6.29
27-Dec-2011,83.10,85.00,81.40, 81.95,81.70,6597,5.48
26-Dec-2011,85.65,85.80,83.30, 84.00,83.95,5379,4.53
23-Dec-2011,81.75,84.20,81.05, 82.85,83.30,6360,5.26
22-Dec-2011,78.00,83.90,75.00, 82.00,81.70,11199,8.90
21-Dec-2011,80.00,80.00,74.30, 76.00,75.95,42476,32.84
20-Dec-2011,79.05,83.85,77.55, 77.90,78.00,27591,22.24
19-Dec-2011,83.00,83.00,77.35, 80.00,79.95,35235,28.06
16-Dec-2011,88.50,88.50,81.10, 82.50,82.30,18381,15.64
15-Dec-2011,90.00,90.50,81.25, 86.05,87.10,29838,25.73
14-Dec-2011,97.00,97.00,88.20, 90.00,89.30,45308,41.87
13-Dec-2011,97.00,99.95,95.85, 96.90,96.15,5680,5.48
12-Dec-2011,102.00,102.00,97.75, 97.75,97.90,5501,5.42
09-Dec-2011,102.70,102.70,99.00, 99.15,99.30,7294,7.27
08-Dec-2011,101.00,101.00,99.00, 99.85,99.50,8321,8.32
07-Dec-2011,107.70,107.70,100.00, 100.00,100.10,11311,11.39
05-Dec-2011,100.55,103.00,100.50, 100.70,100.85,10931,11.05
02-Dec-2011,102.00,102.00,100.60, 101.50,101.50,33412,33.99
01-Dec-2011,102.90,105.00,98.55, 100.00,101.55,36118,36.75
30-Nov-2011,100.00,102.00,98.85, 99.90,99.30,15773,15.77
29-Nov-2011,103.00,103.00,99.80, 100.20,100.40,14820,14.95
28-Nov-2011,103.90,107.50,102.25, 102.25,102.65,5947,6.16
25-Nov-2011,99.60,103.85,99.10, 101.00,101.20,14652,14.87
24-Nov-2011,99.05,103.00,99.05, 101.00,101.00,23559,23.82
23-Nov-2011,103.25,103.90,98.25, 98.25,100.85,33026,33.52
22-Nov-2011,103.10,105.50,102.20, 103.10,103.10,16171,16.78
21-Nov-2011,101.65,106.70,91.00, 104.35,103.85,48004,49.37
18-Nov-2011,107.00,107.00,100.20, 104.60,103.55,21327,21.92
17-Nov-2011,108.00,108.00,103.00, 103.05,104.15,29295,30.68
16-Nov-2011,107.00,109.00,102.55, 105.50,104.70,28308,29.94
15-Nov-2011,113.00,114.70,103.70, 106.85,105.80,36053,38.91
14-Nov-2011,122.00,122.00,112.50, 112.90,113.80,22053,25.95
11-Nov-2011,109.80,125.40,107.65, 118.00,117.60,87142,103.05
09-Nov-2011,109.00,110.00,106.05, 107.95,107.90,18020,19.57
