Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,187.50,189.40,181.55, 183.25,183.10,6179192,11457.57
29-Dec-2011,193.00,194.10,185.55, 186.10,186.65,5678798,10766.11
28-Dec-2011,190.50,194.90,186.60, 192.20,192.60,5126088,9732.61
27-Dec-2011,195.50,198.75,190.10, 191.10,191.25,4555620,8813.25
26-Dec-2011,194.05,198.20,194.00, 196.30,196.55,3645633,7168.16
23-Dec-2011,199.00,201.80,192.50, 193.65,193.95,6236335,12308.98
22-Dec-2011,187.50,199.35,185.80, 198.90,197.65,6423633,12369.95
21-Dec-2011,191.90,192.75,184.30, 189.00,188.50,6589784,12396.61
20-Dec-2011,190.40,193.30,183.85, 185.50,185.25,7288079,13705.67
19-Dec-2011,193.70,193.70,184.25, 188.40,189.45,6407143,12046.65
16-Dec-2011,204.25,207.45,192.70, 193.90,194.95,5449492,11012.97
15-Dec-2011,199.10,204.00,196.10, 203.90,202.90,5463934,10938.11
14-Dec-2011,208.90,209.70,199.25, 201.05,200.80,6678050,13716.03
13-Dec-2011,201.45,211.00,200.50, 210.40,208.10,5522946,11389.61
12-Dec-2011,217.00,218.00,203.05, 203.70,204.40,5540816,11699.51
09-Dec-2011,210.40,216.60,208.60, 214.55,213.85,5184017,11046.15
08-Dec-2011,224.00,224.75,214.05, 215.55,215.70,5261453,11460.23
07-Dec-2011,224.00,227.25,222.40, 224.55,225.20,4247108,9564.88
05-Dec-2011,224.00,227.30,220.35, 222.80,222.40,4883017,10940.93
02-Dec-2011,215.35,224.90,215.35, 224.80,223.45,6201448,13667.70
01-Dec-2011,215.00,219.90,214.00, 216.95,218.50,6459088,14034.54
30-Nov-2011,200.90,209.85,198.75, 209.25,208.05,7812600,15935.95
29-Nov-2011,210.00,211.00,201.10, 202.00,202.65,4924153,10108.80
28-Nov-2011,207.90,211.60,207.30, 209.60,209.60,4494770,9415.31
25-Nov-2011,196.10,211.20,195.00, 202.10,203.70,8704587,17857.99
24-Nov-2011,197.45,199.65,190.65, 197.25,197.90,5596273,10909.22
23-Nov-2011,198.90,200.75,194.50, 196.40,195.65,5571649,10986.26
22-Nov-2011,197.40,203.00,195.15, 200.75,201.50,7970745,15890.55
21-Nov-2011,202.40,206.70,193.20, 194.10,195.75,6708459,13511.36
18-Nov-2011,202.95,206.30,197.10, 205.05,204.15,8588401,17330.20
17-Nov-2011,213.00,215.80,202.20, 203.30,203.50,6529987,13724.17
16-Nov-2011,206.95,214.85,204.30, 212.80,210.75,7922727,16563.70
15-Nov-2011,223.40,223.40,205.70, 206.80,207.35,9133896,19513.86
14-Nov-2011,232.70,234.45,221.90, 223.00,223.40,3676761,8408.61
11-Nov-2011,229.00,231.40,224.30, 228.05,227.50,5723076,13028.74
09-Nov-2011,243.00,244.05,231.55, 232.10,233.30,5713792,13683.85
08-Nov-2011,247.00,249.55,238.40, 241.65,242.75,5019274,12179.99
04-Nov-2011,248.55,251.35,244.25, 245.55,247.60,4682219,11597.11
03-Nov-2011,234.00,248.00,233.05, 247.60,245.65,6343103,15241.44
02-Nov-2011,232.10,239.65,232.00, 234.65,235.45,3828266,9055.08
01-Nov-2011,238.65,242.00,234.70, 236.50,236.90,3722491,8873.12
31-Oct-2011,246.90,248.35,240.10, 241.10,242.15,4715055,11504.95
28-Oct-2011,235.65,251.00,235.65, 248.65,248.80,6577630,15985.85
26-Oct-2011,231.70,232.25,228.10, 228.80,229.75,641101,1478.20
25-Oct-2011,229.70,232.70,224.50, 230.30,230.10,7000421,16023.90
24-Oct-2011,228.90,233.05,226.65, 227.60,228.20,3692446,8490.96
21-Oct-2011,224.55,229.40,222.30, 225.40,224.90,5963105,13505.34
20-Oct-2011,235.00,237.00,228.50, 230.15,230.60,5207510,12067.36
19-Oct-2011,233.50,240.25,233.10, 238.80,239.25,4359021,10357.77
18-Oct-2011,230.10,232.00,226.10, 230.00,229.70,4014401,9181.13
17-Oct-2011,232.00,238.50,231.80, 236.50,235.85,5011687,11812.19
14-Oct-2011,235.20,235.60,228.50, 231.30,231.60,8366074,19384.48
13-Oct-2011,237.30,242.70,233.05, 238.50,238.50,10099298,24078.69
12-Oct-2011,229.25,237.70,225.20, 237.45,236.40,8936351,20600.69
11-Oct-2011,230.00,235.30,226.25, 229.65,229.45,7010443,16222.95
10-Oct-2011,214.60,229.30,214.30, 228.65,228.65,7800952,17531.94
07-Oct-2011,215.00,220.75,213.30, 217.70,218.10,5385630,11751.74
05-Oct-2011,202.90,209.40,202.05, 207.00,206.45,5829929,12004.17
04-Oct-2011,197.00,204.75,196.50, 200.65,200.50,6941464,13979.66
03-Oct-2011,214.00,214.00,199.00, 199.70,200.75,5418336,11163.70
30-Sep-2011,220.20,224.65,217.30, 221.00,218.90,5438709,12000.01
29-Sep-2011,220.05,225.80,217.35, 223.75,223.70,8755422,19392.36
28-Sep-2011,217.80,225.45,213.10, 222.75,224.45,13609864,30043.94
27-Sep-2011,205.95,218.90,205.55, 217.20,217.95,7901295,16798.33
26-Sep-2011,197.50,205.40,192.00, 204.45,201.45,5247845,10364.87
23-Sep-2011,193.80,200.70,191.05, 198.25,197.50,6492548,12686.04
22-Sep-2011,207.25,208.20,196.10, 196.45,197.90,5215158,10570.28
21-Sep-2011,212.00,215.50,210.10, 212.00,213.15,4945553,10524.59
20-Sep-2011,205.05,213.25,204.00, 212.25,212.15,5635593,11802.96
19-Sep-2011,207.05,207.95,201.10, 204.90,205.20,4012114,8228.81
16-Sep-2011,211.05,213.55,207.10, 209.50,209.25,7107714,14954.04
15-Sep-2011,200.00,209.35,200.00, 209.10,208.20,5984371,12300.59
14-Sep-2011,200.90,201.85,195.10, 201.00,199.90,4518646,8973.55
13-Sep-2011,197.00,202.40,196.65, 199.25,199.65,5685611,11341.57
12-Sep-2011,196.80,199.40,194.65, 195.05,195.15,5234021,10293.90
09-Sep-2011,205.25,205.70,199.50, 200.30,200.45,5573015,11245.89
08-Sep-2011,205.30,207.40,203.10, 204.75,205.00,4757140,9770.50
07-Sep-2011,200.40,207.50,198.20, 203.80,203.95,10399647,21102.26
06-Sep-2011,205.90,206.00,194.60, 198.80,198.70,9704840,19286.64
05-Sep-2011,202.20,209.00,200.80, 207.90,207.80,8441141,17365.63
02-Sep-2011,194.25,209.90,191.05, 209.90,207.85,10297314,20745.38
30-Aug-2011,188.40,198.45,188.00, 196.90,196.75,6621187,12817.89
29-Aug-2011,179.60,185.75,178.50, 185.60,184.40,3734883,6795.85
26-Aug-2011,186.00,187.40,175.00, 175.40,176.10,4938390,8884.69
25-Aug-2011,183.15,189.00,180.80, 187.00,187.10,5905167,10907.78
24-Aug-2011,182.90,185.80,180.25, 180.30,181.90,3188218,5847.59
23-Aug-2011,184.65,186.50,180.45, 183.80,182.20,5714584,10511.47
22-Aug-2011,188.50,190.00,181.15, 183.00,182.70,8813301,16200.44
19-Aug-2011,179.40,187.95,175.55, 187.60,186.90,9199288,16788.30
18-Aug-2011,177.00,188.65,175.15, 182.35,182.40,13265939,24309.32
17-Aug-2011,185.00,185.45,173.25, 177.00,177.00,14500195,25913.17
16-Aug-2011,203.50,204.40,187.00, 187.10,188.85,11638825,22548.89
12-Aug-2011,209.00,209.80,198.65, 199.80,200.20,5766599,11723.07
11-Aug-2011,207.70,209.00,204.00, 205.90,206.15,5280314,10902.89
10-Aug-2011,205.40,211.80,205.40, 211.40,210.15,6409529,13370.20
09-Aug-2011,186.95,203.90,185.00, 202.20,200.55,13315572,26186.91
08-Aug-2011,204.40,205.60,193.30, 195.30,195.80,13728388,27260.40
05-Aug-2011,211.10,213.85,203.40, 211.40,210.25,7227562,15126.76
04-Aug-2011,224.00,226.25,217.15, 218.25,218.10,7175221,15952.81
03-Aug-2011,219.40,223.95,215.20, 223.50,222.05,8629249,18975.33
02-Aug-2011,228.85,229.80,224.00, 227.00,227.80,5186582,11755.57
01-Aug-2011,233.30,237.80,229.25, 229.60,230.60,3649008,8475.55
29-Jul-2011,231.40,236.00,227.35, 232.60,231.00,8311617,19143.83
28-Jul-2011,234.75,237.50,229.65, 230.80,233.30,3858198,9057.35
27-Jul-2011,233.20,237.85,231.55, 236.80,237.20,8159048,19209.57
26-Jul-2011,244.85,247.90,232.35, 233.30,234.00,9915375,23525.10
25-Jul-2011,239.60,245.90,237.65, 245.80,243.90,3843188,9328.21
22-Jul-2011,243.05,244.50,237.65, 241.55,241.05,5421618,13086.51
21-Jul-2011,244.35,245.95,238.65, 241.35,241.45,5976066,14464.46
20-Jul-2011,241.05,245.90,241.05, 243.00,244.15,8185187,19964.19
19-Jul-2011,234.80,240.50,230.40, 240.30,239.85,8105681,19143.91
18-Jul-2011,233.00,238.45,231.60, 234.50,234.90,4432317,10449.69
15-Jul-2011,236.00,239.90,230.20, 232.50,233.05,6303429,14748.07
14-Jul-2011,225.65,238.00,224.40, 233.00,233.90,7785144,18055.98
13-Jul-2011,221.90,229.35,221.50, 229.00,227.20,4243909,9576.13
12-Jul-2011,227.00,227.35,217.75, 220.50,220.65,5722729,12734.47
11-Jul-2011,235.95,236.00,228.65, 228.80,229.60,3451366,8021.43
08-Jul-2011,236.00,242.50,234.75, 235.00,237.15,10235190,24473.89
07-Jul-2011,231.70,234.50,186.00, 234.00,234.00,5385371,12473.24
06-Jul-2011,230.00,234.75,227.35, 230.30,230.60,5124294,11872.81
05-Jul-2011,232.30,232.30,228.50, 230.65,230.90,4216053,9699.13
04-Jul-2011,224.20,235.30,223.00, 233.00,233.60,15308187,35374.27
01-Jul-2011,212.70,221.00,212.70, 220.95,220.30,18917185,41136.12
30-Jun-2011,211.50,212.40,210.00, 210.40,210.45,11032815,23269.37
29-Jun-2011,211.50,213.50,207.65, 208.70,209.10,10227929,21518.44
28-Jun-2011,216.20,216.35,209.00, 209.55,210.15,7723909,16278.64
27-Jun-2011,215.00,221.10,213.60, 214.25,214.45,6268541,13628.04
24-Jun-2011,212.00,217.25,210.75, 215.60,216.40,8484621,18205.21
23-Jun-2011,209.00,213.60,206.10, 210.00,210.05,7756138,16313.17
22-Jun-2011,214.00,214.80,209.05, 210.35,210.50,4258797,8982.18
21-Jun-2011,220.95,222.00,211.30, 211.35,212.15,5170525,11140.66
20-Jun-2011,225.95,226.40,217.25, 219.20,219.05,3897568,8608.62
17-Jun-2011,225.00,226.85,222.20, 224.65,224.55,2795288,6272.27
16-Jun-2011,222.00,228.10,221.00, 224.70,224.15,4637342,10396.86
15-Jun-2011,232.50,232.50,223.60, 224.10,225.10,3247956,7390.12
14-Jun-2011,231.00,234.50,228.70, 232.35,232.05,3061011,7102.02
13-Jun-2011,230.60,231.90,226.25, 229.60,229.15,3161001,7234.06
10-Jun-2011,236.20,237.50,230.20, 230.45,231.05,3892070,9071.23
09-Jun-2011,235.00,236.80,231.75, 235.20,235.60,3014645,7075.15
08-Jun-2011,233.60,237.70,231.50, 235.20,234.95,3733820,8773.02
07-Jun-2011,232.00,236.25,230.30, 234.30,234.55,3522077,8262.23
06-Jun-2011,231.10,234.00,229.00, 231.95,232.50,3590741,8307.86
03-Jun-2011,235.70,241.15,232.25, 234.40,233.70,4528877,10749.20
02-Jun-2011,232.75,237.85,230.15, 237.50,236.35,3813464,8911.44
01-Jun-2011,240.05,240.55,233.25, 236.05,236.95,3592824,8476.13
