Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.90,9.10,8.70, 8.75,8.80,6024,0.53
29-Dec-2011,8.95,8.95,8.70, 8.70,8.75,10373,0.91
28-Dec-2011,9.05,9.15,8.80, 9.15,9.15,3069,0.28
27-Dec-2011,9.40,9.40,8.85, 8.85,8.85,4782,0.43
26-Dec-2011,9.00,9.35,8.95, 9.20,9.15,3098,0.29
23-Dec-2011,9.10,9.40,8.90, 9.00,8.95,5613,0.51
22-Dec-2011,9.30,9.35,8.85, 9.25,9.00,20618,1.88
21-Dec-2011,8.80,9.30,8.80, 9.00,9.10,14833,1.35
20-Dec-2011,8.90,9.05,8.50, 9.05,9.00,16498,1.46
19-Dec-2011,8.90,9.05,8.60, 8.85,8.70,16706,1.45
16-Dec-2011,9.30,9.35,9.00, 9.05,9.05,6215,0.57
15-Dec-2011,9.35,9.35,9.00, 9.30,9.20,9146,0.84
14-Dec-2011,9.15,9.40,9.10, 9.40,9.25,66365,6.06
13-Dec-2011,9.80,10.00,9.55, 9.55,9.55,10609,1.02
12-Dec-2011,10.45,10.45,9.95, 10.00,10.05,69321,7.01
09-Dec-2011,10.00,10.30,9.85, 10.25,10.25,10486,1.06
08-Dec-2011,10.10,10.50,9.90, 10.20,10.20,11379,1.15
07-Dec-2011,10.60,10.60,10.20, 10.35,10.35,4701,0.49
05-Dec-2011,11.05,11.05,10.15, 10.20,10.20,19860,2.05
02-Dec-2011,10.80,10.85,10.40, 10.60,10.65,15451,1.64
01-Dec-2011,10.70,11.00,10.30, 10.50,10.50,7083,0.76
30-Nov-2011,10.30,10.75,10.20, 10.75,10.50,5301,0.55
29-Nov-2011,10.75,10.75,10.50, 10.65,10.50,2932,0.31
28-Nov-2011,11.00,11.00,10.45, 10.50,10.50,7002,0.74
25-Nov-2011,10.95,10.95,10.50, 10.55,10.55,2874,0.31
24-Nov-2011,10.10,10.85,10.00, 10.50,10.75,17368,1.83
23-Nov-2011,10.70,10.75,10.10, 10.40,10.30,15443,1.62
22-Nov-2011,10.50,10.50,10.20, 10.20,10.20,2967,0.31
21-Nov-2011,10.50,10.80,10.50, 10.50,10.50,6565,0.69
18-Nov-2011,11.45,11.45,10.35, 10.40,10.35,39046,4.25
17-Nov-2011,10.60,10.95,10.40, 10.90,10.90,16002,1.74
16-Nov-2011,10.35,10.50,10.30, 10.30,10.40,11020,1.14
15-Nov-2011,11.25,11.25,10.75, 10.75,10.80,4586,0.50
14-Nov-2011,11.70,12.15,11.15, 11.15,11.25,11541,1.33
11-Nov-2011,11.75,12.00,11.55, 11.65,11.65,5254,0.62
09-Nov-2011,12.10,12.10,11.80, 11.80,11.80,23442,2.81
08-Nov-2011,11.95,11.95,11.50, 11.80,11.80,3374,0.40
04-Nov-2011,12.15,12.25,11.90, 11.90,11.90,2595,0.31
03-Nov-2011,12.05,12.25,11.80, 12.25,12.15,10868,1.30
02-Nov-2011,11.80,12.30,11.80, 11.95,12.05,13306,1.61
01-Nov-2011,11.65,12.25,11.45, 12.05,12.15,10563,1.28
31-Oct-2011,11.40,11.65,11.30, 11.65,11.65,3169,0.36
28-Oct-2011,11.45,12.10,11.45, 11.60,11.60,5260,0.62
26-Oct-2011,11.40,12.40,11.40, 11.90,11.95,430,0.05
25-Oct-2011,12.20,12.20,11.80, 11.80,11.80,8221,0.98
24-Oct-2011,11.95,12.25,11.95, 12.20,12.05,4729,0.57
21-Oct-2011,12.05,12.05,11.55, 11.90,11.90,5658,0.67
20-Oct-2011,11.95,12.30,11.85, 12.00,12.15,10288,1.23
19-Oct-2011,12.80,12.80,12.00, 12.00,12.15,20790,2.56
18-Oct-2011,12.20,12.45,12.00, 12.40,12.40,7323,0.89
17-Oct-2011,12.55,12.55,12.00, 12.25,12.25,6548,0.81
14-Oct-2011,12.35,12.80,11.80, 12.80,12.50,12909,1.58
13-Oct-2011,12.90,12.90,12.25, 12.40,12.35,35201,4.33
12-Oct-2011,13.40,13.40,12.80, 12.95,12.90,37122,4.80
11-Oct-2011,14.05,14.15,13.25, 13.30,13.45,88537,12.25
10-Oct-2011,13.60,13.60,13.05, 13.60,13.60,400952,54.26
07-Oct-2011,12.95,12.95,12.95, 12.95,12.95,19518,2.53
05-Oct-2011,12.30,12.30,12.30, 12.30,12.30,38606,4.75
04-Oct-2011,11.70,11.70,11.70, 11.70,11.70,101916,11.92
03-Oct-2011,10.30,11.10,10.30, 11.10,11.10,50470,5.59
30-Sep-2011,10.55,10.55,10.35, 10.55,10.55,172293,18.17
29-Sep-2011,9.70,10.05,9.30, 10.05,10.05,86322,8.62
28-Sep-2011,9.75,9.80,9.55, 9.70,9.55,11786,1.14
27-Sep-2011,9.45,9.95,9.45, 9.55,9.60,21824,2.13
26-Sep-2011,9.75,9.80,9.40, 9.50,9.65,28706,2.74
23-Sep-2011,9.90,9.90,9.50, 9.75,9.75,30018,2.91
22-Sep-2011,10.00,10.35,9.85, 10.00,9.95,23131,2.32
21-Sep-2011,10.65,10.70,9.95, 10.10,10.10,86778,8.76
20-Sep-2011,11.00,11.15,10.45, 10.45,10.45,101889,10.73
19-Sep-2011,11.20,11.25,10.95, 11.00,11.00,56440,6.21
16-Sep-2011,11.15,11.25,10.80, 11.25,11.15,21024,2.32
15-Sep-2011,10.95,11.00,10.45, 10.90,10.90,20672,2.23
14-Sep-2011,10.90,11.05,10.70, 10.95,10.85,36063,3.95
13-Sep-2011,11.10,11.40,10.70, 11.40,11.25,22852,2.55
12-Sep-2011,10.80,11.15,10.80, 11.00,10.85,17783,1.94
09-Sep-2011,11.40,11.70,10.90, 11.15,11.20,20823,2.34
08-Sep-2011,11.20,11.30,10.70, 11.25,11.15,22182,2.45
07-Sep-2011,10.55,11.15,10.55, 11.15,11.10,30344,3.31
06-Sep-2011,10.40,10.75,10.15, 10.40,10.60,32654,3.40
05-Sep-2011,10.75,11.00,10.65, 10.65,10.65,25690,2.76
02-Sep-2011,12.05,12.25,11.20, 11.20,11.20,45878,5.26
30-Aug-2011,11.70,11.75,11.65, 11.75,11.75,63791,7.49
29-Aug-2011,10.60,11.15,10.60, 11.15,11.15,80720,8.98
26-Aug-2011,10.50,10.70,10.20, 10.70,10.60,262374,28.00
25-Aug-2011,9.50,9.70,9.30, 9.70,9.70,63456,6.10
24-Aug-2011,8.40,8.80,8.00, 8.80,8.80,51994,4.49
23-Aug-2011,7.55,8.10,6.90, 8.10,8.00,176036,12.92
22-Aug-2011,8.40,8.40,7.45, 7.45,7.45,171565,13.20
19-Aug-2011,9.20,9.30,8.05, 8.30,8.25,114845,9.73
18-Aug-2011,10.00,10.00,9.10, 9.40,9.35,78902,7.41
17-Aug-2011,11.00,11.00,9.80, 10.00,9.95,40805,4.18
