Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,31.10,31.70,30.60, 31.00,31.25,3227,1.01
29-Dec-2011,31.80,32.90,29.95, 31.00,30.40,14418,4.49
28-Dec-2011,31.00,32.00,31.00, 31.30,31.45,5073,1.60
27-Dec-2011,34.00,34.15,31.15, 31.50,31.60,9389,3.10
26-Dec-2011,32.80,34.70,32.80, 33.60,33.90,10170,3.44
23-Dec-2011,32.90,34.50,31.00, 32.80,32.40,27631,9.24
22-Dec-2011,34.60,34.60,29.00, 31.50,31.90,20565,6.48
21-Dec-2011,29.30,29.90,28.50, 29.05,28.85,3037,0.89
20-Dec-2011,29.00,30.50,28.00, 29.00,29.15,17398,5.00
19-Dec-2011,30.00,31.00,29.60, 29.85,30.05,5448,1.66
16-Dec-2011,32.00,33.20,30.00, 31.45,30.80,4424,1.42
15-Dec-2011,32.15,32.95,31.20, 32.95,32.25,3255,1.05
14-Dec-2011,32.65,34.60,32.00, 33.00,33.30,1953,0.65
13-Dec-2011,33.60,34.00,32.30, 34.00,33.40,6104,2.03
12-Dec-2011,35.05,35.05,33.50, 33.50,34.20,2806,0.98
09-Dec-2011,35.20,35.80,34.50, 35.00,35.10,2772,0.97
08-Dec-2011,36.85,36.85,35.50, 35.65,36.00,2079,0.75
07-Dec-2011,36.25,36.95,36.20, 36.75,36.85,3366,1.24
05-Dec-2011,36.30,36.95,35.90, 36.70,36.60,7999,2.92
02-Dec-2011,35.70,36.40,35.50, 36.00,36.05,3743,1.35
01-Dec-2011,35.80,36.45,35.20, 35.60,35.60,6589,2.36
30-Nov-2011,35.10,36.00,34.60, 35.90,35.50,3922,1.39
29-Nov-2011,37.20,38.00,35.35, 36.45,35.60,7434,2.71
28-Nov-2011,38.00,38.15,36.00, 36.45,36.55,3651,1.34
25-Nov-2011,35.15,36.60,35.00, 35.50,35.60,11675,4.21
24-Nov-2011,38.00,38.00,35.00, 35.80,35.90,13113,4.71
23-Nov-2011,38.70,39.00,37.00, 37.00,37.05,12464,4.72
22-Nov-2011,39.75,39.75,36.65, 37.45,37.30,7605,2.88
21-Nov-2011,38.90,38.90,37.65, 38.35,38.05,7721,2.95
18-Nov-2011,38.50,39.90,36.50, 38.65,38.30,15503,5.80
17-Nov-2011,36.65,37.90,35.00, 37.50,36.30,7449,2.74
16-Nov-2011,36.05,37.85,35.10, 37.85,36.90,10301,3.74
15-Nov-2011,37.00,37.15,36.20, 36.35,36.80,7446,2.74
14-Nov-2011,39.10,39.80,36.15, 38.30,37.40,15467,5.83
11-Nov-2011,41.90,41.90,38.50, 38.50,38.85,10600,4.17
09-Nov-2011,41.00,41.20,39.50, 40.00,39.60,3958,1.59
08-Nov-2011,41.95,41.95,40.25, 40.65,40.50,3901,1.59
04-Nov-2011,40.85,41.50,40.65, 41.05,41.15,3655,1.50
03-Nov-2011,40.70,41.30,40.50, 40.70,40.55,6641,2.71
02-Nov-2011,41.00,41.50,40.60, 40.95,40.90,6044,2.48
01-Nov-2011,41.50,42.65,40.55, 41.70,41.60,12202,5.07
31-Oct-2011,41.00,42.25,40.65, 41.55,41.25,10739,4.46
28-Oct-2011,41.10,42.25,40.20, 40.75,40.95,18371,7.58
26-Oct-2011,40.50,41.60,39.10, 41.50,40.95,7807,3.20
25-Oct-2011,39.65,40.40,39.10, 39.20,39.30,3039,1.20
24-Oct-2011,42.00,42.50,39.55, 39.55,39.85,6414,2.61
21-Oct-2011,40.10,41.85,40.10, 40.10,40.25,9787,3.98
20-Oct-2011,42.25,42.25,40.70, 40.80,41.05,9730,4.02
