Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,1009.90,1009.90,990.05, 999.85,992.35,212,2.12
29-Dec-2011,983.60,1010.00,983.50, 1010.00,1010.00,102,1.02
28-Dec-2011,953.00,1015.00,953.00, 1007.00,1007.00,60,0.60
27-Dec-2011,993.00,993.00,993.00, 993.00,993.00,22,0.22
26-Dec-2011,995.00,995.00,995.00, 995.00,995.00,1,0.01
23-Dec-2011,1007.95,1010.00,994.00, 1000.00,1003.80,287,2.88
22-Dec-2011,1009.95,1019.00,991.00, 992.00,1011.00,198,1.99
21-Dec-2011,1024.90,1024.90,981.65, 1015.00,1006.35,18,0.18
20-Dec-2011,987.15,1000.00,982.00, 982.00,996.60,49,0.49
19-Dec-2011,1034.90,1034.90,983.10, 991.00,1023.75,547,5.59
16-Dec-2011,1003.15,1025.05,965.00, 1025.00,1021.50,1078,10.86
15-Dec-2011,1012.05,1034.95,1000.00, 1020.00,1018.65,211,2.14
14-Dec-2011,1025.00,1045.00,1016.00, 1035.00,1041.50,1914,19.96
13-Dec-2011,1003.45,1050.00,1003.40, 1050.00,1042.50,964,10.02
12-Dec-2011,1050.00,1050.00,1036.00, 1036.05,1039.50,164,1.71
09-Dec-2011,1050.00,1070.00,1040.00, 1040.05,1040.10,395,4.16
08-Dec-2011,1090.00,1110.00,1050.00, 1050.00,1050.90,591,6.24
07-Dec-2011,1055.00,1110.00,1044.00, 1108.85,1108.60,485,5.23
05-Dec-2011,1041.00,1100.00,1040.00, 1069.95,1064.55,400,4.26
02-Dec-2011,1059.95,1129.00,1059.95, 1129.00,1116.35,500,5.52
01-Dec-2011,1031.20,1075.00,1031.20, 1040.00,1042.40,46,0.48
30-Nov-2011,1088.95,1088.95,1020.20, 1030.00,1030.00,69,0.72
29-Nov-2011,1050.00,1050.00,1030.00, 1037.00,1037.00,21,0.22
28-Nov-2011,1089.00,1089.00,1050.00, 1051.00,1057.85,60,0.64
25-Nov-2011,1089.00,1089.00,1032.00, 1069.00,1050.50,12,0.13
24-Nov-2011,1040.00,1088.00,1030.00, 1088.00,1070.00,281,2.90
23-Nov-2011,1036.65,1075.00,1013.65, 1044.95,1034.70,772,8.05
22-Nov-2011,1090.00,1090.00,1070.10, 1076.00,1075.70,26,0.28
21-Nov-2011,1133.00,1144.00,1060.00, 1060.00,1071.60,174,1.92
18-Nov-2011,1136.00,1145.00,1064.00, 1125.00,1127.70,411,4.56
17-Nov-2011,1168.95,1170.00,1134.00, 1165.00,1165.00,230,2.68
16-Nov-2011,1141.00,1150.00,1126.50, 1150.00,1136.80,61,0.69
15-Nov-2011,1206.00,1239.00,1105.15, 1158.90,1149.35,2201,25.96
14-Nov-2011,1247.00,1250.00,1230.00, 1250.00,1247.05,104,1.30
11-Nov-2011,1239.80,1252.00,1205.60, 1230.10,1249.25,266,3.27
09-Nov-2011,1179.00,1259.00,1171.00, 1258.00,1250.95,1808,22.56
08-Nov-2011,1226.20,1235.00,1193.00, 1193.00,1199.25,348,4.23
04-Nov-2011,1224.15,1288.80,1224.15, 1226.00,1226.80,463,5.79
03-Nov-2011,1216.65,1289.00,1216.60, 1289.00,1281.85,98,1.23
02-Nov-2011,1279.75,1279.90,1232.15, 1252.00,1250.45,170,2.13
01-Nov-2011,1230.00,1270.00,1230.00, 1265.00,1265.45,168,2.12
31-Oct-2011,1200.00,1265.80,1200.00, 1252.00,1251.70,1268,15.80
28-Oct-2011,1135.00,1230.00,1135.00, 1200.50,1200.00,23443,280.01
26-Oct-2011,1175.00,1175.00,1135.00, 1135.00,1167.90,84,0.98
25-Oct-2011,1185.10,1185.10,1162.00, 1162.00,1162.00,131,1.54
24-Oct-2011,1188.00,1217.70,1185.00, 1200.00,1200.00,2828,33.93
21-Oct-2011,1161.10,1190.10,1137.30, 1190.10,1175.45,1601,18.81
20-Oct-2011,1151.10,1185.00,1150.00, 1175.00,1175.40,611,7.18
19-Oct-2011,1169.00,1175.05,1155.10, 1175.00,1175.00,271,3.17
18-Oct-2011,1105.10,1168.00,1095.00, 1150.00,1150.85,3633,40.43
17-Oct-2011,1101.15,1140.00,1100.00, 1110.00,1110.00,259,2.86
14-Oct-2011,1090.10,1134.00,1085.10, 1125.00,1125.00,994,11.09
13-Oct-2011,1061.00,1110.00,1061.00, 1100.00,1104.25,453,4.98
12-Oct-2011,1019.00,1117.00,991.10, 1115.00,1099.20,5417,58.62
11-Oct-2011,990.00,1019.00,990.00, 992.15,1003.30,245,2.44
10-Oct-2011,1005.00,1020.00,981.60, 981.60,990.10,378,3.77
07-Oct-2011,987.00,1005.00,987.00, 1005.00,1003.15,98,0.98
05-Oct-2011,1000.00,1000.00,970.00, 988.70,977.15,433,4.31
04-Oct-2011,1050.00,1050.00,991.00, 1000.00,1001.50,364,3.65
03-Oct-2011,1065.00,1080.00,1036.00, 1036.00,1057.45,1325,14.01
30-Sep-2011,1015.00,1124.95,1015.00, 1100.00,1092.95,9179,99.82
29-Sep-2011,1015.05,1016.10,1015.00, 1015.00,1016.00,2517,25.57
28-Sep-2011,1002.10,1024.00,995.00, 1024.00,1018.00,128,1.29
27-Sep-2011,1001.10,1020.00,1001.00, 1002.10,1005.70,153,1.54
26-Sep-2011,1038.95,1038.95,952.50, 1027.00,1027.30,895,9.08
23-Sep-2011,944.15,1034.00,944.00, 1034.00,1011.25,3745,36.66
22-Sep-2011,999.00,1018.50,950.00, 950.00,961.95,895,8.77
21-Sep-2011,999.95,1009.90,995.00, 997.50,1002.45,85,0.85
20-Sep-2011,997.40,1008.90,982.20, 1000.00,1003.25,116,1.15
19-Sep-2011,1018.70,1018.70,975.00, 984.90,980.05,1485,14.63
16-Sep-2011,1020.00,1020.00,985.00, 994.00,987.60,1053,10.53
15-Sep-2011,1010.00,1050.00,996.35, 1039.00,1022.60,315,3.22
14-Sep-2011,981.30,1033.00,981.30, 1033.00,1008.70,769,7.69
13-Sep-2011,1020.00,1038.00,986.05, 991.00,992.35,432,4.35
12-Sep-2011,1090.00,1090.00,1010.00, 1025.10,1027.00,1483,15.45
09-Sep-2011,1101.00,1129.95,1064.00, 1064.00,1077.85,969,10.61
08-Sep-2011,1007.00,1138.00,1000.00, 1105.00,1105.30,12737,129.22
07-Sep-2011,1018.00,1070.00,1000.00, 1015.00,1022.00,16580,166.88
06-Sep-2011,1018.90,1039.00,980.00, 1005.05,1006.35,34576,344.46
05-Sep-2011,990.00,1007.00,975.20, 986.00,1002.35,643,6.38
02-Sep-2011,1058.40,1058.40,955.15, 979.30,986.00,684,6.83
30-Aug-2011,1059.00,1070.00,1000.00, 1001.05,1012.80,1504,15.27
29-Aug-2011,1037.00,1037.00,976.00, 985.10,1003.50,4020,40.13
26-Aug-2011,1038.05,1050.00,982.00, 1000.00,999.95,5947,59.55
25-Aug-2011,1047.00,1047.00,1014.00, 1039.00,1039.15,101,1.04
24-Aug-2011,1132.00,1132.00,1011.00, 1050.05,1067.55,6641,70.27
23-Aug-2011,1089.00,1170.00,1083.00, 1139.00,1125.35,419,4.73
22-Aug-2011,1150.00,1150.00,971.10, 1100.00,1062.95,10461,110.54
19-Aug-2011,1181.00,1189.00,1140.00, 1150.00,1150.00,4225,49.48
18-Aug-2011,1275.00,1275.00,1149.00, 1185.05,1198.95,1784,21.42
17-Aug-2011,1320.00,1320.00,1202.00, 1269.85,1236.60,70,0.89
16-Aug-2011,1424.00,1429.70,1280.00, 1280.00,1305.90,486,6.51
12-Aug-2011,1395.00,1395.00,1350.05, 1365.10,1365.10,103,1.41
11-Aug-2011,1360.00,1360.00,1351.05, 1352.05,1352.05,5,0.07
10-Aug-2011,1400.00,1420.00,1350.00, 1361.05,1363.00,528,7.36
09-Aug-2011,1400.00,1420.00,1355.00, 1380.00,1380.80,81,1.13
08-Aug-2011,1450.00,1450.00,1350.00, 1409.95,1392.90,575,7.99
05-Aug-2011,1451.00,1451.00,1420.00, 1450.00,1450.00,869,12.58
04-Aug-2011,1450.00,1500.50,1402.00, 1491.00,1482.45,900,13.36
03-Aug-2011,1468.00,1468.00,1432.20, 1437.00,1449.85,3699,53.64
02-Aug-2011,1450.00,1450.00,1450.00, 1450.00,1450.00,10,0.14
01-Aug-2011,1450.00,1468.00,1450.00, 1450.00,1450.00,88,1.28
29-Jul-2011,1450.00,1474.90,1436.00, 1436.00,1446.75,25,0.36
28-Jul-2011,1450.05,1475.00,1449.00, 1475.00,1474.45,758,11.02
27-Jul-2011,1495.00,1495.00,1435.00, 1451.00,1451.00,853,12.51
26-Jul-2011,1508.00,1510.00,1475.00, 1475.00,1475.00,555,8.19
25-Jul-2011,1455.40,1524.00,1455.40, 1501.00,1505.05,466,6.99
22-Jul-2011,1499.00,1509.00,1435.05, 1440.00,1467.30,529,7.89
21-Jul-2011,1452.00,1460.00,1452.00, 1460.00,1460.00,7,0.10
20-Jul-2011,1476.05,1476.05,1475.00, 1475.00,1475.00,12,0.18
19-Jul-2011,1491.00,1510.00,1481.00, 1510.00,1502.30,281,4.21
18-Jul-2011,1513.35,1513.35,1510.00, 1510.00,1510.00,11,0.17
15-Jul-2011,1513.70,1513.70,1475.15, 1475.15,1486.45,16,0.24
14-Jul-2011,1515.05,1515.05,1502.00, 1502.00,1503.10,37,0.56
13-Jul-2011,1500.00,1550.00,1500.00, 1534.95,1530.00,692,10.53
12-Jul-2011,1509.95,1550.00,1497.85, 1500.00,1500.00,770,11.59
11-Jul-2011,1497.55,1500.00,1482.00, 1488.00,1483.75,52,0.77
08-Jul-2011,1500.00,1503.00,1491.00, 1491.00,1497.55,4296,64.44
07-Jul-2011,1519.90,1519.90,1491.00, 1491.00,1491.05,59,0.88
06-Jul-2011,1499.00,1514.00,1480.00, 1510.00,1504.90,330,4.95
05-Jul-2011,1510.00,1523.90,1461.00, 1499.80,1465.25,207,3.07
04-Jul-2011,1530.00,1593.90,1490.25, 1500.00,1504.90,1582,24.32
01-Jul-2011,1500.00,1518.00,1477.05, 1518.00,1486.20,254,3.79
30-Jun-2011,1512.00,1525.00,1500.00, 1500.05,1500.00,2047,30.78
29-Jun-2011,1501.10,1545.00,1501.10, 1512.00,1516.40,1084,16.47
28-Jun-2011,1499.00,1525.00,1477.05, 1525.00,1518.70,853,12.81
27-Jun-2011,1478.00,1510.00,1470.00, 1489.00,1491.65,204,3.07
24-Jun-2011,1499.90,1519.90,1499.90, 1502.00,1502.05,975,14.64
23-Jun-2011,1419.00,1499.70,1419.00, 1499.70,1473.65,260,3.78
22-Jun-2011,1471.00,1474.00,1419.10, 1419.10,1448.05,718,10.43
21-Jun-2011,1490.00,1496.45,1450.00, 1456.00,1459.00,156,2.29
20-Jun-2011,1566.00,1566.00,1480.00, 1500.00,1509.85,27974,427.78
17-Jun-2011,1500.00,1573.95,1500.00, 1550.00,1547.45,31844,493.54
16-Jun-2011,1485.00,1523.00,1471.05, 1510.00,1504.15,2154,32.35
