Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,4.00,4.10,3.85, 3.90,3.95,22172,0.88
29-Dec-2011,4.10,4.10,4.00, 4.00,4.00,3493,0.14
28-Dec-2011,4.05,4.10,4.00, 4.10,4.10,2355,0.10
27-Dec-2011,4.10,4.15,4.05, 4.15,4.15,2363,0.10
26-Dec-2011,4.25,4.25,3.95, 4.00,4.00,17036,0.69
23-Dec-2011,4.25,4.25,4.05, 4.10,4.10,11094,0.46
22-Dec-2011,3.95,4.20,3.95, 4.15,4.00,14490,0.60
21-Dec-2011,4.00,4.15,3.75, 3.90,3.90,4271,0.17
20-Dec-2011,4.00,4.15,3.75, 3.75,3.85,10823,0.42
19-Dec-2011,4.00,4.10,3.90, 3.90,3.90,9281,0.37
16-Dec-2011,4.10,4.30,4.00, 4.00,4.00,16715,0.68
15-Dec-2011,4.10,4.50,4.00, 4.05,4.05,6164,0.25
14-Dec-2011,4.25,4.35,4.10, 4.10,4.15,8675,0.37
13-Dec-2011,4.45,4.60,4.15, 4.20,4.35,7600,0.33
12-Dec-2011,4.50,4.65,4.50, 4.60,4.60,18904,0.87
09-Dec-2011,4.60,4.75,4.55, 4.65,4.65,16092,0.74
08-Dec-2011,4.60,4.75,4.45, 4.75,4.65,7864,0.36
07-Dec-2011,4.65,4.85,4.60, 4.80,4.70,10938,0.52
05-Dec-2011,4.65,4.80,4.65, 4.65,4.65,2477,0.12
02-Dec-2011,4.45,4.90,4.45, 4.70,4.65,17295,0.82
01-Dec-2011,4.25,4.70,4.20, 4.60,4.60,55318,2.50
30-Nov-2011,4.50,4.50,4.15, 4.15,4.20,14182,0.61
29-Nov-2011,4.50,4.55,4.30, 4.40,4.35,11940,0.52
28-Nov-2011,4.10,4.50,4.10, 4.35,4.35,16459,0.71
25-Nov-2011,4.20,4.45,4.15, 4.25,4.25,9103,0.39
24-Nov-2011,4.15,4.30,4.00, 4.20,4.10,51888,2.11
23-Nov-2011,4.45,4.45,4.25, 4.30,4.30,10819,0.47
22-Nov-2011,4.60,4.60,4.00, 4.35,4.40,27194,1.21
21-Nov-2011,4.95,5.00,4.50, 4.50,4.55,27160,1.29
18-Nov-2011,5.00,5.35,4.90, 4.90,4.90,22553,1.13
17-Nov-2011,5.15,5.45,5.10, 5.10,5.20,14354,0.75
16-Nov-2011,5.30,5.35,5.20, 5.30,5.30,11014,0.58
15-Nov-2011,5.25,5.45,5.20, 5.20,5.20,10088,0.53
14-Nov-2011,5.60,5.65,5.40, 5.45,5.40,17109,0.93
11-Nov-2011,5.55,5.70,5.40, 5.55,5.55,34475,1.90
09-Nov-2011,5.95,5.95,5.80, 5.80,5.80,3235,0.19
08-Nov-2011,6.10,6.10,5.80, 5.95,5.95,8498,0.51
04-Nov-2011,5.85,6.00,5.80, 5.80,5.85,4220,0.25
03-Nov-2011,5.95,5.95,5.75, 5.80,5.80,3972,0.23
02-Nov-2011,5.90,5.90,5.60, 5.85,5.85,30943,1.80
01-Nov-2011,5.85,5.95,5.70, 5.90,5.75,9189,0.53
31-Oct-2011,5.85,6.00,5.75, 5.90,5.95,7366,0.44
28-Oct-2011,5.70,5.95,5.70, 5.85,5.80,21074,1.23
26-Oct-2011,5.70,5.90,5.65, 5.80,5.85,2340,0.14
25-Oct-2011,5.65,5.65,5.55, 5.60,5.60,908,0.05
24-Oct-2011,5.55,5.70,5.55, 5.60,5.60,7483,0.42
21-Oct-2011,5.70,5.70,5.60, 5.65,5.60,4241,0.24
20-Oct-2011,5.70,5.70,5.55, 5.60,5.60,11880,0.67
19-Oct-2011,5.60,5.75,5.55, 5.60,5.60,13263,0.75
18-Oct-2011,5.75,5.90,5.50, 5.55,5.55,30302,1.72
17-Oct-2011,5.80,5.90,5.50, 5.65,5.65,34026,1.91
14-Oct-2011,5.80,5.95,5.80, 5.90,5.90,7450,0.44
13-Oct-2011,5.95,6.00,5.80, 5.85,5.90,15285,0.90
12-Oct-2011,6.10,6.15,5.85, 6.00,5.95,21475,1.30
11-Oct-2011,6.05,6.05,5.85, 6.00,6.00,7303,0.44
10-Oct-2011,6.00,6.25,5.70, 5.85,5.80,41241,2.45
07-Oct-2011,6.30,6.30,5.85, 5.95,5.95,12640,0.75
05-Oct-2011,5.70,5.90,5.70, 5.70,5.75,4894,0.28
04-Oct-2011,5.50,6.00,5.50, 5.70,5.85,13099,0.76
03-Oct-2011,5.75,5.90,5.50, 5.70,5.70,14492,0.83
30-Sep-2011,5.90,6.05,5.80, 5.80,5.80,8505,0.50
29-Sep-2011,5.95,6.00,5.90, 5.90,5.95,10480,0.63
28-Sep-2011,6.05,6.25,5.95, 5.95,6.00,17601,1.06
27-Sep-2011,6.10,6.20,6.05, 6.10,6.10,11513,0.70
26-Sep-2011,6.15,6.25,6.00, 6.05,6.05,7526,0.46
23-Sep-2011,6.40,6.40,6.00, 6.20,6.15,15578,0.95
22-Sep-2011,6.20,6.40,6.15, 6.25,6.20,15325,0.96
21-Sep-2011,6.20,6.50,6.20, 6.50,6.45,13304,0.85
20-Sep-2011,6.15,6.45,6.10, 6.20,6.15,19516,1.22
19-Sep-2011,6.25,6.55,6.15, 6.20,6.20,10319,0.64
16-Sep-2011,6.40,6.60,6.15, 6.50,6.35,6404,0.41
15-Sep-2011,6.50,6.55,6.15, 6.45,6.40,10867,0.69
14-Sep-2011,6.20,6.40,6.15, 6.20,6.25,15829,0.98
13-Sep-2011,6.90,6.90,6.15, 6.45,6.35,34122,2.19
12-Sep-2011,6.40,6.60,6.40, 6.55,6.55,9031,0.58
09-Sep-2011,6.60,6.90,6.55, 6.65,6.80,18086,1.22
08-Sep-2011,6.50,6.75,6.35, 6.70,6.70,21712,1.42
07-Sep-2011,6.30,6.45,6.00, 6.40,6.40,17372,1.11
06-Sep-2011,6.15,6.30,6.15, 6.15,6.20,11710,0.73
05-Sep-2011,6.30,6.30,6.00, 6.20,6.20,9307,0.57
02-Sep-2011,6.00,6.30,6.00, 6.30,6.30,13894,0.86
30-Aug-2011,6.15,6.30,6.05, 6.15,6.15,7923,0.49
29-Aug-2011,6.00,6.25,5.95, 5.95,6.00,14313,0.86
26-Aug-2011,6.00,6.10,5.80, 5.80,5.85,19081,1.13
25-Aug-2011,6.35,6.35,6.00, 6.00,6.00,22203,1.35
24-Aug-2011,6.10,6.40,6.10, 6.15,6.15,3086,0.19
23-Aug-2011,6.25,6.40,6.10, 6.25,6.30,9084,0.57
22-Aug-2011,6.10,6.45,6.00, 6.15,6.15,22281,1.37
19-Aug-2011,6.00,6.30,6.00, 6.10,6.05,21165,1.29
18-Aug-2011,6.45,6.45,6.00, 6.05,6.05,48140,2.97
17-Aug-2011,6.50,6.80,6.50, 6.55,6.55,20427,1.35
16-Aug-2011,6.55,6.85,6.50, 6.80,6.65,35524,2.36
12-Aug-2011,6.65,6.95,6.55, 6.65,6.75,14729,0.98
