Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,697.05,705.90,681.00, 690.00,690.05,4819,33.36
29-Dec-2011,700.40,702.00,695.05, 696.50,697.55,1296,9.07
28-Dec-2011,692.10,714.00,692.10, 695.45,700.35,2036,14.24
27-Dec-2011,700.00,711.00,692.05, 699.00,699.30,3910,27.40
26-Dec-2011,699.00,709.80,680.05, 700.00,704.40,4936,34.46
23-Dec-2011,688.00,688.95,678.10, 680.00,681.85,1258,8.63
22-Dec-2011,675.00,677.00,665.05, 670.00,669.75,16399,110.14
21-Dec-2011,693.95,694.00,676.00, 681.25,686.40,11657,79.40
20-Dec-2011,695.00,700.00,681.00, 687.00,684.45,54203,373.02
19-Dec-2011,700.00,710.00,658.00, 689.00,691.20,8244,56.14
16-Dec-2011,720.00,729.45,697.45, 700.00,700.85,6593,46.91
15-Dec-2011,735.05,740.00,715.10, 718.00,719.55,6942,50.69
14-Dec-2011,745.00,754.65,733.55, 735.00,736.60,3017,22.45
13-Dec-2011,737.00,751.00,732.50, 735.25,739.00,8605,63.88
12-Dec-2011,762.00,769.00,731.00, 736.00,735.20,5164,38.73
09-Dec-2011,759.00,769.00,749.05, 753.25,756.40,3272,24.76
08-Dec-2011,780.00,780.00,755.05, 757.00,760.65,2645,20.17
07-Dec-2011,775.00,775.00,760.00, 770.00,771.90,8986,69.21
05-Dec-2011,730.05,754.90,730.05, 748.85,745.40,1489,11.13
02-Dec-2011,738.95,750.00,726.95, 748.00,745.10,1830,13.59
01-Dec-2011,730.00,747.75,730.00, 731.95,732.10,2085,15.34
30-Nov-2011,739.00,739.00,724.00, 726.50,726.65,1934,14.11
29-Nov-2011,745.00,749.85,735.00, 741.95,740.85,877,6.49
28-Nov-2011,732.05,754.00,616.60, 744.00,744.25,14212,101.29
25-Nov-2011,726.00,737.50,724.70, 725.40,725.45,2456,17.85
24-Nov-2011,731.05,731.05,717.00, 725.00,724.70,6298,45.45
23-Nov-2011,716.50,734.70,716.50, 730.00,730.15,6121,44.54
22-Nov-2011,711.00,738.90,711.00, 733.00,732.80,1764,12.75
21-Nov-2011,739.75,739.75,712.00, 716.00,717.95,3654,26.36
18-Nov-2011,730.00,739.75,723.05, 732.00,733.80,1638,11.94
17-Nov-2011,742.05,752.95,731.55, 731.55,738.55,1860,13.77
16-Nov-2011,722.30,752.00,722.30, 747.00,744.45,2845,20.96
15-Nov-2011,774.00,774.00,738.60, 755.00,756.95,6244,46.93
14-Nov-2011,780.00,780.00,761.05, 761.05,768.70,1885,14.58
11-Nov-2011,765.00,779.95,761.00, 769.00,770.95,2294,17.65
09-Nov-2011,793.00,795.00,766.00, 785.00,769.90,5290,41.84
08-Nov-2011,780.00,795.00,773.00, 795.00,792.70,6108,48.25
04-Nov-2011,844.40,844.40,745.95, 777.00,774.70,4305,33.04
03-Nov-2011,750.00,750.00,740.75, 747.00,746.40,1549,11.59
02-Nov-2011,749.90,759.90,741.00, 741.50,747.10,4442,33.39
01-Nov-2011,748.70,749.80,740.15, 740.55,743.95,2016,15.07
31-Oct-2011,735.00,749.50,730.10, 742.30,747.00,4446,33.07
28-Oct-2011,731.00,741.95,715.40, 737.00,735.55,3268,23.97
26-Oct-2011,739.85,739.85,731.10, 737.00,737.30,960,7.07
25-Oct-2011,730.00,739.05,725.45, 730.00,726.65,1335,9.72
24-Oct-2011,727.25,739.90,727.25, 730.50,733.30,2643,19.42
21-Oct-2011,733.00,740.00,715.40, 728.00,727.15,4673,34.17
20-Oct-2011,730.00,749.80,726.40, 732.85,735.95,61308,453.70
19-Oct-2011,740.15,769.00,725.50, 732.00,736.00,79145,588.01
18-Oct-2011,750.20,750.20,720.25, 743.00,737.20,894,6.59
17-Oct-2011,790.00,790.00,740.00, 750.15,751.65,1487,11.14
14-Oct-2011,735.15,743.00,733.00, 737.00,737.30,1532,11.28
13-Oct-2011,732.55,745.00,732.55, 739.00,737.00,2805,20.72
12-Oct-2011,734.05,745.00,715.05, 735.00,735.70,4288,31.39
11-Oct-2011,726.15,743.95,726.15, 732.00,732.40,853,6.25
10-Oct-2011,734.80,734.80,721.55, 733.50,730.00,2367,17.25
07-Oct-2011,729.95,730.00,715.00, 728.85,723.90,1735,12.59
05-Oct-2011,720.00,730.00,712.40, 723.05,721.75,1845,13.29
04-Oct-2011,713.00,734.75,713.00, 727.00,727.65,18502,134.99
03-Oct-2011,716.00,725.00,710.00, 724.45,720.40,4367,31.35
30-Sep-2011,721.10,742.85,715.10, 724.00,729.55,2470,17.95
29-Sep-2011,720.05,744.80,720.05, 735.00,727.35,9248,67.78
28-Sep-2011,708.00,749.00,708.00, 737.00,737.50,6974,51.13
27-Sep-2011,701.00,727.00,701.00, 711.00,714.90,2662,18.98
26-Sep-2011,685.00,720.00,685.00, 705.00,708.10,7197,50.84
23-Sep-2011,702.60,731.00,692.60, 720.00,719.40,36261,260.82
22-Sep-2011,738.00,739.95,722.40, 731.00,729.80,4932,36.15
21-Sep-2011,721.00,767.00,721.00, 738.00,736.65,166453,1218.34
20-Sep-2011,706.40,728.00,706.40, 724.00,725.55,4013,29.04
19-Sep-2011,715.00,718.55,706.30, 715.00,716.75,1444,10.33
16-Sep-2011,721.00,725.00,715.00, 715.00,718.80,2582,18.59
15-Sep-2011,719.95,724.95,714.00, 724.90,720.40,3754,27.05
14-Sep-2011,705.05,725.00,705.00, 717.50,715.05,11917,85.18
13-Sep-2011,715.95,716.00,706.60, 712.40,710.55,13944,99.02
12-Sep-2011,717.00,719.70,705.00, 716.95,712.65,22615,160.83
09-Sep-2011,724.20,724.20,711.25, 715.00,715.25,5586,40.00
08-Sep-2011,712.30,730.00,712.30, 720.05,722.05,25420,183.52
07-Sep-2011,719.75,732.85,715.00, 720.00,723.65,7813,56.64
06-Sep-2011,724.00,729.95,713.00, 718.00,718.70,2549,18.40
05-Sep-2011,740.00,742.60,719.00, 725.00,722.20,9374,68.10
02-Sep-2011,725.00,739.50,711.05, 730.00,730.05,16512,120.60
30-Aug-2011,717.75,734.80,710.00, 721.00,724.00,8883,63.72
29-Aug-2011,707.00,728.50,700.60, 704.55,706.55,7929,56.67
26-Aug-2011,730.00,743.80,696.10, 699.85,704.00,20222,147.32
25-Aug-2011,711.00,730.80,709.00, 725.00,723.35,9057,65.41
24-Aug-2011,716.60,729.90,710.05, 711.05,719.55,18376,132.83
23-Aug-2011,779.00,779.00,706.10, 713.00,719.60,35630,257.23
