Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.30,9.30,9.30, 9.30,9.30,100,0.01
29-Dec-2011,9.30,9.30,7.75, 9.20,9.20,36,0.00
28-Dec-2011,7.80,8.70,7.75, 7.75,7.75,1060,0.09
27-Dec-2011,8.15,8.70,8.15, 8.15,8.15,120,0.01
26-Dec-2011,8.15,8.25,7.55, 8.25,8.25,489,0.04
23-Dec-2011,7.25,7.90,7.25, 7.90,7.90,147,0.01
22-Dec-2011,8.05,8.20,8.05, 8.20,8.10,8,0.00
21-Dec-2011,7.80,7.80,7.80, 7.80,7.80,2,0.00
20-Dec-2011,7.90,7.90,7.90, 7.90,7.90,2,0.00
19-Dec-2011,8.00,8.20,8.00, 8.15,8.15,702,0.06
16-Dec-2011,8.75,8.75,8.65, 8.65,8.65,174,0.02
15-Dec-2011,9.25,9.25,9.00, 9.00,9.05,1331,0.12
14-Dec-2011,9.10,9.15,9.10, 9.10,9.10,185,0.02
13-Dec-2011,9.05,9.90,9.00, 9.00,9.00,12752,1.15
12-Dec-2011,9.10,9.10,9.00, 9.00,9.00,1100,0.10
08-Dec-2011,7.85,9.25,7.85, 9.00,9.00,3296,0.29
07-Dec-2011,9.15,9.50,9.15, 9.15,9.20,577,0.05
05-Dec-2011,9.20,9.20,9.15, 9.15,9.15,145,0.01
30-Nov-2011,9.00,9.00,8.50, 9.00,9.00,212,0.02
29-Nov-2011,10.95,10.95,8.95, 9.40,9.40,2402,0.22
28-Nov-2011,8.95,9.40,8.95, 9.35,9.35,501,0.05
24-Nov-2011,9.00,9.00,9.00, 9.00,9.00,125,0.01
23-Nov-2011,9.45,9.45,8.50, 8.50,8.50,606,0.06
22-Nov-2011,9.40,9.40,8.95, 8.95,9.00,720,0.07
21-Nov-2011,8.50,9.50,8.50, 8.55,8.55,145,0.01
18-Nov-2011,8.55,8.70,8.45, 8.70,8.70,5560,0.47
17-Nov-2011,8.50,8.50,8.50, 8.50,8.50,50,0.00
16-Nov-2011,10.60,10.60,8.80, 8.95,8.95,1371,0.12
15-Nov-2011,9.50,9.50,9.30, 9.30,9.30,3132,0.30
14-Nov-2011,9.50,10.05,9.50, 10.05,10.05,1301,0.12
11-Nov-2011,9.50,9.50,9.50, 9.50,9.50,1590,0.15
09-Nov-2011,9.60,9.65,9.50, 9.50,9.50,6978,0.66
08-Nov-2011,9.60,9.60,9.60, 9.60,9.60,602,0.06
04-Nov-2011,9.55,9.75,9.55, 9.75,9.75,926,0.09
03-Nov-2011,10.50,10.50,9.55, 9.65,9.60,5663,0.57
02-Nov-2011,9.50,10.10,9.50, 9.60,9.60,750,0.07
01-Nov-2011,9.85,9.85,9.50, 9.50,9.50,200,0.02
28-Oct-2011,9.45,9.80,9.45, 9.80,9.80,649,0.06
26-Oct-2011,9.75,9.85,9.75, 9.85,9.85,1458,0.14
25-Oct-2011,9.55,9.55,9.55, 9.55,9.55,3400,0.32
24-Oct-2011,9.95,9.95,9.60, 9.60,9.80,74,0.01
21-Oct-2011,9.60,9.90,9.55, 9.60,9.60,128,0.01
20-Oct-2011,10.00,10.00,9.50, 9.70,9.55,3573,0.34
19-Oct-2011,9.95,9.95,9.55, 9.60,9.55,671,0.06
18-Oct-2011,9.75,9.90,9.60, 9.90,9.90,1201,0.12
17-Oct-2011,10.00,10.05,10.00, 10.00,10.00,1600,0.16
14-Oct-2011,9.65,10.40,9.65, 10.05,10.05,1936,0.20
12-Oct-2011,10.40,10.40,10.15, 10.20,10.20,4960,0.51
11-Oct-2011,10.10,10.45,10.00, 10.45,10.40,3253,0.33
10-Oct-2011,12.00,12.00,10.00, 10.35,10.05,209,0.02
07-Oct-2011,9.95,10.45,9.95, 10.35,10.35,4067,0.41
05-Oct-2011,10.05,10.40,9.85, 10.00,10.00,3170,0.32
04-Oct-2011,10.00,10.45,9.95, 9.95,9.95,2462,0.25
03-Oct-2011,10.10,10.45,10.00, 10.10,10.10,504,0.05
30-Sep-2011,10.10,10.35,10.00, 10.35,10.35,410,0.04
29-Sep-2011,10.10,10.35,10.05, 10.35,10.35,60,0.01
27-Sep-2011,11.45,11.45,10.30, 10.30,10.30,832,0.09
26-Sep-2011,9.05,10.80,9.05, 10.80,10.80,210,0.02
23-Sep-2011,10.00,10.25,10.00, 10.25,10.25,350,0.04
22-Sep-2011,10.35,11.00,10.35, 10.55,10.55,1065,0.12
21-Sep-2011,10.00,11.15,10.00, 10.90,11.00,4928,0.54
20-Sep-2011,10.85,10.85,10.60, 10.60,10.60,155,0.02
19-Sep-2011,10.30,10.90,10.30, 10.90,10.90,530,0.06
16-Sep-2011,10.75,10.75,10.60, 10.60,10.60,1254,0.13
15-Sep-2011,10.00,10.90,10.00, 10.65,10.65,6415,0.68
14-Sep-2011,10.15,10.20,10.10, 10.10,10.10,682,0.07
13-Sep-2011,10.05,10.05,10.00, 10.00,10.00,1025,0.10
12-Sep-2011,10.05,10.05,10.00, 10.00,10.00,601,0.06
09-Sep-2011,10.30,10.35,9.75, 10.05,10.05,5594,0.57
08-Sep-2011,11.15,11.15,10.05, 10.40,10.40,3039,0.31
07-Sep-2011,11.45,11.45,10.00, 10.40,10.40,3118,0.32
06-Sep-2011,9.60,10.65,9.60, 10.65,10.50,4291,0.44
05-Sep-2011,9.35,9.95,9.35, 9.95,9.95,901,0.08
30-Aug-2011,9.90,9.90,9.75, 9.90,9.90,9246,0.91
29-Aug-2011,9.10,10.35,9.10, 9.70,9.70,1047,0.10
26-Aug-2011,10.00,10.00,9.65, 9.65,9.65,2300,0.23
25-Aug-2011,10.00,10.60,10.00, 10.10,10.10,260,0.03
24-Aug-2011,10.00,10.10,10.00, 10.00,10.00,305,0.03
23-Aug-2011,10.05,10.50,10.00, 10.25,10.25,785,0.08
22-Aug-2011,10.05,10.05,10.05, 10.05,10.05,375,0.04
19-Aug-2011,10.00,10.45,10.00, 10.45,10.45,1154,0.12
18-Aug-2011,10.25,10.50,10.05, 10.50,10.10,2975,0.30
17-Aug-2011,10.00,10.70,10.00, 10.60,10.45,824,0.09
16-Aug-2011,10.75,10.75,10.20, 10.50,10.40,3116,0.33
12-Aug-2011,10.25,10.25,10.25, 10.25,10.25,1303,0.13
11-Aug-2011,10.25,10.50,10.25, 10.25,10.25,651,0.07
10-Aug-2011,10.00,11.00,10.00, 10.25,10.25,612,0.06
09-Aug-2011,10.40,10.50,10.00, 10.50,10.50,4480,0.45
08-Aug-2011,9.80,10.60,9.80, 10.25,10.25,928,0.09
05-Aug-2011,10.05,10.55,10.05, 10.10,10.35,5030,0.52
04-Aug-2011,10.65,10.80,10.65, 10.70,10.70,6288,0.67
03-Aug-2011,10.10,10.80,10.10, 10.60,10.60,4895,0.52
02-Aug-2011,10.75,10.90,10.65, 10.65,10.65,2786,0.30
01-Aug-2011,10.90,11.05,10.70, 10.70,10.70,4645,0.51
29-Jul-2011,10.05,10.90,10.05, 10.75,10.75,454,0.05
28-Jul-2011,10.15,10.95,10.15, 10.95,10.70,3918,0.42
27-Jul-2011,10.30,10.95,10.30, 10.95,10.95,4402,0.48
26-Jul-2011,11.00,11.60,10.75, 10.75,10.75,17422,1.98
25-Jul-2011,10.40,11.05,10.40, 11.00,11.00,5039,0.55
22-Jul-2011,10.70,10.95,10.70, 10.75,10.85,3432,0.37
21-Jul-2011,10.40,11.15,10.40, 10.75,10.75,3705,0.41
20-Jul-2011,10.30,11.40,10.30, 11.10,11.10,17034,1.83
19-Jul-2011,10.95,10.95,10.30, 10.50,10.35,3277,0.34
18-Jul-2011,10.60,10.65,10.20, 10.45,10.35,8744,0.92
15-Jul-2011,10.60,10.85,10.60, 10.60,10.60,468,0.05
14-Jul-2011,10.95,10.95,10.50, 10.90,10.70,3210,0.34
13-Jul-2011,10.55,10.70,10.50, 10.65,10.65,2858,0.30
12-Jul-2011,10.80,10.95,10.40, 10.55,10.55,1190,0.13
11-Jul-2011,11.40,11.40,10.50, 10.80,10.80,799,0.09
08-Jul-2011,11.00,11.45,10.80, 10.80,10.90,5039,0.56
07-Jul-2011,11.55,11.55,11.45, 11.45,11.45,3701,0.43
06-Jul-2011,11.30,11.70,10.95, 11.50,11.35,7532,0.85
05-Jul-2011,11.45,11.55,10.90, 11.10,11.05,4441,0.49
04-Jul-2011,11.70,11.90,10.95, 11.30,11.55,14518,1.69
01-Jul-2011,12.75,13.30,11.90, 11.90,11.90,10890,1.34
30-Jun-2011,13.75,13.80,13.05, 13.05,13.20,13277,1.79
29-Jun-2011,13.90,13.90,12.55, 13.15,13.30,19221,2.52
28-Jun-2011,12.50,15.00,11.55, 15.00,14.55,31566,4.42
27-Jun-2011,13.20,13.20,12.00, 12.40,12.50,6254,0.79
24-Jun-2011,10.70,12.15,10.70, 12.15,12.15,4211,0.49
23-Jun-2011,10.35,11.00,10.00, 10.50,10.40,9418,0.97
22-Jun-2011,11.30,11.30,11.10, 11.10,11.30,401,0.05
21-Jun-2011,11.00,12.05,11.00, 11.20,11.30,7847,0.88
20-Jun-2011,12.50,12.50,11.85, 11.85,11.85,1632,0.20
17-Jun-2011,12.00,12.80,11.25, 12.15,12.55,612,0.07
16-Jun-2011,12.40,12.80,12.25, 12.25,12.25,665,0.08
15-Jun-2011,12.85,13.10,12.40, 12.40,12.50,6183,0.78
14-Jun-2011,13.05,13.30,13.00, 13.30,13.30,708,0.09
