Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,37.80,41.25,37.60, 37.60,40.35,708,0.28
29-Dec-2011,40.55,45.40,36.40, 38.00,37.95,120033,53.79
28-Dec-2011,40.00,41.00,39.50, 41.00,40.50,800,0.32
27-Dec-2011,37.05,40.95,37.05, 40.90,38.60,1962,0.75
26-Dec-2011,36.05,41.45,36.05, 41.45,37.60,1264,0.47
23-Dec-2011,36.00,36.20,36.00, 36.05,36.05,1199,0.43
22-Dec-2011,36.00,37.00,36.00, 37.00,37.00,3300,1.19
21-Dec-2011,35.50,37.95,35.50, 36.90,36.60,1121,0.41
20-Dec-2011,34.00,34.00,34.00, 34.00,34.00,1052,0.36
19-Dec-2011,34.00,36.95,30.55, 34.00,34.00,3743,1.27
16-Dec-2011,33.50,36.00,33.50, 35.00,35.00,7301,2.51
15-Dec-2011,32.00,35.00,32.00, 34.50,34.35,5482,1.86
14-Dec-2011,31.50,33.50,30.00, 33.50,32.00,2401,0.75
13-Dec-2011,30.50,31.40,30.00, 30.00,30.00,1541,0.47
12-Dec-2011,33.00,33.00,29.60, 29.60,30.25,2369,0.73
09-Dec-2011,37.20,37.20,32.15, 32.70,32.70,1195,0.40
08-Dec-2011,37.95,37.95,33.00, 33.25,33.80,2033,0.69
07-Dec-2011,33.55,35.90,32.65, 35.65,34.20,4686,1.60
05-Dec-2011,35.30,37.00,33.35, 34.00,34.10,3201,1.11
02-Dec-2011,32.00,35.95,31.05, 35.45,35.20,2033,0.68
01-Dec-2011,38.35,39.00,33.00, 33.00,33.10,2343,0.81
30-Nov-2011,36.00,36.00,34.50, 34.50,34.80,1651,0.59
29-Nov-2011,37.10,38.40,37.10, 37.20,37.20,217,0.08
28-Nov-2011,37.55,37.55,37.00, 37.10,37.10,215,0.08
25-Nov-2011,38.95,38.95,38.00, 38.00,38.00,643,0.25
24-Nov-2011,38.50,39.70,37.10, 38.95,38.45,1996,0.77
23-Nov-2011,38.10,39.95,38.00, 39.55,39.55,1718,0.66
22-Nov-2011,36.00,42.00,36.00, 42.00,38.35,4266,1.63
21-Nov-2011,44.50,44.50,37.30, 37.30,38.70,2566,1.01
18-Nov-2011,45.00,46.50,40.00, 42.00,46.50,102296,47.43
17-Nov-2011,47.00,47.00,45.00, 45.90,45.90,56703,26.63
16-Nov-2011,47.00,47.00,47.00, 47.00,47.00,730,0.34
15-Nov-2011,47.00,47.00,47.00, 47.00,47.00,2942,1.38
14-Nov-2011,48.00,48.00,47.00, 47.00,47.00,5179,2.43
11-Nov-2011,47.00,48.00,47.00, 48.00,47.50,5252,2.47
09-Nov-2011,47.00,47.50,47.00, 47.50,47.50,1975,0.94
08-Nov-2011,46.70,47.85,46.45, 47.00,47.00,14748,6.87
04-Nov-2011,46.55,48.00,46.55, 48.00,47.55,1278,0.60
03-Nov-2011,46.60,47.00,46.55, 47.00,47.00,1092,0.51
02-Nov-2011,47.00,47.00,46.55, 47.00,46.75,1701,0.80
01-Nov-2011,46.65,47.00,46.55, 47.00,47.00,4168,1.95
31-Oct-2011,47.00,47.75,46.80, 46.80,46.80,931,0.44
28-Oct-2011,48.00,49.00,48.00, 48.00,48.00,2337,1.12
26-Oct-2011,47.75,51.85,47.75, 49.70,48.55,319,0.16
25-Oct-2011,47.50,47.50,46.50, 46.55,46.65,4495,2.10
24-Oct-2011,47.00,47.00,47.00, 47.00,47.00,127,0.06
21-Oct-2011,47.00,47.00,47.00, 47.00,47.00,197,0.09
20-Oct-2011,46.60,47.00,46.55, 47.00,47.00,1637,0.77
19-Oct-2011,46.70,47.00,46.65, 46.75,46.85,6041,2.83
18-Oct-2011,46.75,47.00,46.55, 47.00,47.00,1684,0.79
17-Oct-2011,46.65,47.00,46.60, 47.00,47.00,1190,0.56
14-Oct-2011,47.00,47.00,46.50, 46.60,46.60,3195,1.49
13-Oct-2011,47.00,47.15,47.00, 47.00,47.00,96,0.05
12-Oct-2011,47.05,47.10,47.00, 47.10,47.10,288,0.14
11-Oct-2011,46.85,47.00,46.60, 46.65,46.65,1992,0.93
10-Oct-2011,47.00,47.00,47.00, 47.00,47.00,50,0.02
07-Oct-2011,48.60,48.60,46.55, 48.30,48.25,6657,3.17
05-Oct-2011,47.00,47.80,47.00, 47.80,47.50,71,0.03
04-Oct-2011,46.55,47.00,46.55, 47.00,47.00,974,0.46
03-Oct-2011,47.00,47.00,46.50, 47.00,47.00,4250,1.98
30-Sep-2011,47.00,47.00,44.60, 47.00,46.65,10988,5.12
29-Sep-2011,47.20,47.20,47.00, 47.00,47.00,151,0.07
28-Sep-2011,46.65,48.00,46.50, 48.00,48.00,5388,2.53
27-Sep-2011,47.00,49.40,46.55, 46.55,46.55,85,0.04
26-Sep-2011,46.15,47.00,46.15, 47.00,47.00,553,0.26
23-Sep-2011,46.35,47.50,46.00, 47.00,47.00,7864,3.66
22-Sep-2011,47.50,47.50,46.15, 47.00,46.70,5128,2.40
21-Sep-2011,47.00,47.00,46.50, 47.00,47.00,213,0.10
20-Sep-2011,48.00,48.00,46.60, 48.00,48.00,429,0.21
19-Sep-2011,47.50,48.00,46.00, 48.00,47.95,12873,6.02
16-Sep-2011,46.65,48.65,46.65, 46.85,46.70,7449,3.48
15-Sep-2011,47.00,48.50,46.50, 48.45,48.30,5658,2.65
14-Sep-2011,46.15,50.00,46.00, 47.00,47.00,4496,2.09
12-Sep-2011,47.00,47.00,47.00, 47.00,47.00,1,0.00
09-Sep-2011,46.45,47.00,46.10, 47.00,46.60,1626,0.76
08-Sep-2011,48.00,49.50,46.00, 46.50,46.90,2128,0.99
07-Sep-2011,47.10,47.50,47.00, 47.50,47.50,1213,0.57
06-Sep-2011,46.60,47.05,46.60, 47.05,47.05,268,0.13
05-Sep-2011,48.00,48.00,46.85, 48.00,47.85,2129,1.02
02-Sep-2011,47.50,47.50,47.05, 47.10,47.10,591,0.28
30-Aug-2011,47.50,49.95,46.90, 49.90,48.80,3104,1.49
29-Aug-2011,47.50,47.50,45.25, 47.00,47.00,1424,0.67
26-Aug-2011,47.00,47.00,45.50, 47.00,46.40,9527,4.44
25-Aug-2011,45.45,47.95,45.45, 47.10,47.10,1618,0.76
24-Aug-2011,45.40,52.90,45.40, 47.10,47.10,616,0.29
23-Aug-2011,45.50,47.35,45.00, 47.35,47.25,661,0.31
22-Aug-2011,44.00,47.70,44.00, 46.25,46.75,2248,1.05
19-Aug-2011,44.00,47.85,44.00, 47.40,46.55,12802,5.93
18-Aug-2011,45.00,47.40,44.00, 47.40,46.45,17251,8.04
17-Aug-2011,46.50,49.25,45.55, 46.10,46.10,1611,0.75
16-Aug-2011,46.00,47.30,46.00, 47.00,47.05,4594,2.13
12-Aug-2011,45.00,50.80,45.00, 46.80,46.30,650,0.30
11-Aug-2011,47.00,49.00,46.50, 46.50,46.50,3410,1.61
10-Aug-2011,50.00,53.00,49.00, 49.05,49.10,3380,1.69
09-Aug-2011,47.00,51.90,47.00, 51.90,50.70,17050,8.51
08-Aug-2011,44.00,50.00,42.75, 50.00,49.55,16738,7.95
05-Aug-2011,42.80,47.25,42.00, 46.00,46.60,9443,4.25
04-Aug-2011,43.90,46.95,43.15, 45.50,45.25,5953,2.63
03-Aug-2011,42.00,43.50,41.00, 43.15,43.05,20509,8.73
02-Aug-2011,45.00,45.00,42.05, 43.00,43.00,3276,1.40
01-Aug-2011,40.00,43.30,40.00, 43.30,42.95,11698,4.94
29-Jul-2011,39.00,42.00,38.00, 42.00,41.45,4374,1.80
28-Jul-2011,40.00,40.90,40.00, 40.00,40.00,2056,0.83
27-Jul-2011,40.00,41.00,40.00, 41.00,40.90,4986,2.01
26-Jul-2011,40.10,40.90,40.00, 40.00,40.00,4149,1.66
25-Jul-2011,41.50,41.85,40.00, 40.05,40.05,3893,1.56
22-Jul-2011,39.00,42.00,39.00, 40.00,40.00,7945,3.17
21-Jul-2011,38.30,40.90,38.30, 40.80,40.35,7744,3.09
20-Jul-2011,37.50,39.85,37.50, 39.60,39.45,24706,9.59
19-Jul-2011,39.00,39.90,37.90, 38.70,38.40,16688,6.43
18-Jul-2011,40.00,41.00,38.30, 38.30,38.65,29907,11.94
15-Jul-2011,40.10,40.50,39.00, 39.70,40.00,17024,6.78
14-Jul-2011,38.15,40.50,38.10, 39.95,39.95,31526,12.53
13-Jul-2011,44.00,44.00,39.30, 40.20,39.90,23105,9.31
12-Jul-2011,38.00,44.00,37.00, 42.75,42.75,54324,21.30
11-Jul-2011,40.45,40.45,37.15, 37.75,37.95,10760,4.16
08-Jul-2011,40.50,42.50,39.00, 40.45,39.70,4990,2.02
07-Jul-2011,41.20,42.30,39.00, 40.90,40.80,19949,8.06
06-Jul-2011,41.50,43.90,40.75, 40.85,41.20,9316,3.90
05-Jul-2011,44.65,44.85,43.00, 43.00,43.35,6473,2.84
04-Jul-2011,46.45,46.60,43.20, 44.65,44.05,6059,2.72
01-Jul-2011,41.20,48.00,41.20, 46.60,45.75,6245,2.85
30-Jun-2011,46.00,46.00,42.20, 42.95,42.85,3470,1.49
29-Jun-2011,43.00,45.00,42.25, 45.00,45.00,223,0.10
28-Jun-2011,41.00,44.00,41.00, 43.50,44.00,2641,1.15
27-Jun-2011,43.50,44.95,42.05, 44.20,43.35,1392,0.60
24-Jun-2011,44.00,44.00,41.00, 41.60,41.55,11191,4.65
23-Jun-2011,41.50,44.50,41.00, 43.65,43.25,691,0.30
22-Jun-2011,43.00,45.00,41.60, 43.00,43.00,2699,1.15
21-Jun-2011,42.00,44.50,42.00, 43.00,43.00,2790,1.21
20-Jun-2011,45.00,46.00,43.30, 43.75,43.75,1129,0.51
17-Jun-2011,46.80,47.90,45.00, 46.80,46.75,4365,2.04
16-Jun-2011,48.85,49.05,46.50, 46.50,46.50,8355,3.97
15-Jun-2011,50.00,52.80,48.80, 50.10,50.20,3298,1.65
14-Jun-2011,50.55,51.45,49.50, 49.75,49.75,1805,0.90
13-Jun-2011,53.25,53.25,50.75, 50.75,50.75,601,0.31
10-Jun-2011,52.50,53.50,51.15, 51.50,51.50,1436,0.74
09-Jun-2011,51.65,52.65,51.35, 51.35,51.35,350,0.18
08-Jun-2011,52.00,53.50,51.70, 51.90,51.90,426,0.22
