Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.25,11.95,11.25, 11.55,11.60,8320,0.96
29-Dec-2011,11.45,12.25,11.45, 11.55,11.55,3597,0.41
28-Dec-2011,11.40,12.00,11.40, 11.65,11.70,3354,0.39
27-Dec-2011,11.60,12.30,11.60, 11.85,11.85,12780,1.55
26-Dec-2011,12.00,12.00,11.90, 11.90,11.90,142,0.02
23-Dec-2011,11.40,12.35,11.40, 12.35,11.85,8852,1.05
22-Dec-2011,11.55,11.95,11.50, 11.80,11.80,7466,0.87
21-Dec-2011,12.00,12.35,11.45, 12.15,11.95,8223,0.98
20-Dec-2011,12.00,12.55,11.40, 11.70,11.95,26980,3.32
19-Dec-2011,12.00,12.55,12.00, 12.00,12.00,2479,0.30
16-Dec-2011,12.50,12.75,12.30, 12.75,12.55,4516,0.56
15-Dec-2011,12.65,12.65,12.25, 12.30,12.30,3766,0.46
14-Dec-2011,13.25,13.25,12.60, 12.75,12.75,1371,0.18
13-Dec-2011,13.00,13.00,12.65, 12.65,12.70,3739,0.47
12-Dec-2011,13.60,13.60,12.90, 13.30,13.00,32452,4.20
09-Dec-2011,13.25,13.70,12.75, 13.70,13.25,2253,0.30
08-Dec-2011,13.25,13.40,13.00, 13.35,13.15,14058,1.85
07-Dec-2011,14.70,14.70,13.60, 13.60,13.65,10744,1.49
05-Dec-2011,14.50,14.50,14.00, 14.00,14.00,321,0.05
02-Dec-2011,14.00,14.75,14.00, 14.40,14.30,6998,1.00
01-Dec-2011,14.25,15.05,14.25, 14.35,14.35,999,0.14
30-Nov-2011,14.55,14.55,14.10, 14.50,14.50,4020,0.58
29-Nov-2011,14.55,14.90,14.50, 14.50,14.60,4015,0.59
28-Nov-2011,14.50,15.30,14.50, 14.65,14.50,3785,0.57
25-Nov-2011,15.00,15.30,14.70, 15.20,15.00,999,0.15
24-Nov-2011,14.50,15.40,14.30, 15.40,15.40,2397,0.35
23-Nov-2011,16.45,16.45,14.95, 14.95,14.95,11999,1.80
22-Nov-2011,14.45,15.80,14.45, 15.70,15.70,40138,6.25
21-Nov-2011,15.10,15.10,14.10, 15.10,15.05,7913,1.15
18-Nov-2011,13.70,14.95,13.65, 14.95,14.35,4947,0.69
17-Nov-2011,14.00,14.45,13.80, 14.45,14.25,19689,2.74
16-Nov-2011,14.50,15.20,14.10, 14.50,14.50,4772,0.69
15-Nov-2011,15.10,15.20,14.75, 14.80,14.80,27190,4.05
14-Nov-2011,15.00,16.10,15.00, 15.20,15.05,7686,1.17
11-Nov-2011,15.50,15.70,15.00, 15.70,15.70,7660,1.17
09-Nov-2011,16.00,16.25,15.50, 15.70,15.75,7125,1.13
08-Nov-2011,17.40,17.40,16.00, 16.00,16.15,5335,0.87
04-Nov-2011,16.20,16.90,15.70, 16.40,16.55,3102,0.51
03-Nov-2011,16.50,16.95,16.30, 16.95,16.45,3992,0.66
02-Nov-2011,16.95,17.00,16.40, 17.00,16.90,3111,0.52
01-Nov-2011,17.30,17.30,16.70, 16.70,16.70,4099,0.69
31-Oct-2011,17.20,17.40,16.65, 17.35,16.85,21371,3.58
28-Oct-2011,16.70,17.50,16.55, 16.70,16.70,4835,0.81
26-Oct-2011,17.40,17.40,16.85, 17.30,17.25,4037,0.69
25-Oct-2011,17.40,17.50,16.80, 17.05,16.80,7367,1.26
24-Oct-2011,17.00,17.60,16.40, 16.90,17.00,4128,0.71
21-Oct-2011,16.30,17.25,16.30, 16.65,16.85,1749,0.29
20-Oct-2011,16.85,17.00,16.65, 16.75,16.75,6154,1.03
19-Oct-2011,17.00,17.45,17.00, 17.30,17.15,6544,1.12
18-Oct-2011,17.00,18.60,17.00, 17.65,17.35,7261,1.28
17-Oct-2011,17.45,18.40,17.45, 17.80,17.75,5787,1.05
14-Oct-2011,16.95,17.70,16.95, 17.60,17.50,10442,1.81
13-Oct-2011,18.25,18.25,17.75, 17.75,17.75,2682,0.48
12-Oct-2011,17.30,18.00,17.15, 17.75,17.75,6652,1.17
11-Oct-2011,18.00,18.35,17.25, 17.85,17.85,7100,1.25
10-Oct-2011,16.50,17.85,16.50, 17.40,17.45,4370,0.76
07-Oct-2011,17.80,17.85,16.80, 17.50,17.15,27887,4.78
05-Oct-2011,18.00,19.10,17.50, 17.50,17.65,20551,3.80
04-Oct-2011,18.90,19.90,18.05, 18.05,18.20,12298,2.32
03-Oct-2011,18.95,19.35,18.95, 18.95,18.95,11266,2.14
30-Sep-2011,21.00,21.00,19.80, 19.80,19.95,5070,1.02
29-Sep-2011,19.15,21.60,19.10, 20.75,20.80,48420,9.91
28-Sep-2011,20.05,20.50,19.40, 19.55,19.70,29584,5.88
27-Sep-2011,21.90,21.90,20.05, 20.35,20.50,32907,6.90
26-Sep-2011,15.05,21.80,15.05, 21.00,21.10,134329,28.29
23-Sep-2011,23.65,24.95,22.45, 24.05,24.25,129963,30.47
22-Sep-2011,26.25,27.50,23.55, 24.10,24.05,130644,32.57
21-Sep-2011,25.00,30.10,25.00, 27.00,27.20,632192,179.34
20-Sep-2011,23.95,25.40,23.55, 25.35,25.05,37847,9.29
19-Sep-2011,21.00,23.95,20.10, 23.05,23.25,29756,6.90
16-Sep-2011,23.45,23.50,21.75, 22.60,22.00,34525,7.61
15-Sep-2011,21.65,22.50,21.65, 22.25,22.05,8636,1.89
14-Sep-2011,21.70,22.50,21.55, 21.80,22.20,7298,1.61
13-Sep-2011,20.80,22.85,20.80, 22.00,21.80,17750,3.89
12-Sep-2011,20.60,21.50,19.85, 21.00,21.10,29083,6.12
09-Sep-2011,20.50,20.50,19.90, 20.40,20.20,3814,0.77
08-Sep-2011,19.25,20.55,19.25, 20.00,20.05,6669,1.33
07-Sep-2011,20.00,20.50,19.90, 20.40,20.30,3752,0.75
06-Sep-2011,19.15,20.05,19.15, 19.90,20.00,2556,0.51
05-Sep-2011,20.50,21.95,19.30, 20.15,19.75,20049,4.03
02-Sep-2011,20.20,21.00,20.00, 20.45,20.70,35198,7.18
30-Aug-2011,19.55,20.75,19.55, 20.00,20.00,7247,1.46
29-Aug-2011,19.15,21.00,19.15, 20.65,20.20,59172,11.83
26-Aug-2011,20.00,20.00,19.00, 19.15,19.30,17285,3.33
25-Aug-2011,19.55,20.50,19.00, 19.20,19.45,10695,2.10
24-Aug-2011,21.20,21.50,19.50, 20.05,19.75,38834,7.81
23-Aug-2011,21.00,21.95,20.70, 21.70,21.10,30350,6.42
22-Aug-2011,22.55,25.00,20.00, 22.00,21.95,30803,6.81
19-Aug-2011,18.15,23.25,18.15, 22.85,22.45,110950,24.42
18-Aug-2011,19.50,20.85,19.40, 19.40,19.45,11288,2.22
17-Aug-2011,20.05,21.60,20.05, 20.15,20.20,11174,2.33
16-Aug-2011,21.90,22.00,20.00, 22.00,21.40,10979,2.31
12-Aug-2011,23.00,23.65,21.35, 21.90,21.65,57885,12.71
11-Aug-2011,20.10,21.30,19.95, 21.00,20.60,51766,10.68
10-Aug-2011,19.05,23.40,19.05, 20.60,20.50,20866,4.29
09-Aug-2011,19.40,20.20,19.20, 19.95,19.75,14554,2.85
08-Aug-2011,19.90,20.20,19.00, 20.10,19.95,32895,6.57
05-Aug-2011,20.00,21.00,20.00, 20.20,20.10,14638,2.94
04-Aug-2011,21.15,21.40,20.70, 20.90,21.00,4900,1.03
03-Aug-2011,21.00,21.10,20.40, 20.75,20.70,12089,2.49
02-Aug-2011,21.45,21.65,21.15, 21.15,21.20,20979,4.46
01-Aug-2011,21.40,22.15,21.40, 21.60,21.70,19476,4.23
29-Jul-2011,21.85,22.55,21.35, 21.55,21.50,3418,0.74
28-Jul-2011,22.55,22.55,21.85, 22.15,22.15,32393,7.14
27-Jul-2011,22.30,22.30,21.80, 22.05,22.05,3845,0.85
26-Jul-2011,22.50,22.85,22.05, 22.15,22.10,7190,1.60
25-Jul-2011,23.00,23.50,22.35, 22.35,22.40,4457,1.02
22-Jul-2011,22.50,23.00,22.30, 22.75,22.75,11919,2.70
21-Jul-2011,22.50,22.80,22.45, 22.70,22.70,6948,1.56
20-Jul-2011,23.50,24.90,22.55, 22.90,22.90,25609,5.87
19-Jul-2011,24.45,24.50,23.45, 23.50,23.65,43788,10.48
18-Jul-2011,23.00,24.50,23.00, 24.35,23.90,56063,13.19
15-Jul-2011,23.00,23.00,22.60, 23.00,23.00,14196,3.25
14-Jul-2011,22.80,23.00,22.50, 22.80,22.80,37428,8.56
13-Jul-2011,22.25,23.90,22.00, 22.55,22.55,21371,4.84
12-Jul-2011,22.80,23.25,22.30, 22.75,22.95,4532,1.04
11-Jul-2011,22.80,23.70,22.80, 23.40,23.05,916,0.21
08-Jul-2011,24.00,25.70,23.05, 23.35,23.25,14819,3.48
07-Jul-2011,23.70,24.20,23.70, 23.75,23.80,16249,3.86
06-Jul-2011,23.65,25.00,22.90, 24.10,24.40,39305,9.32
05-Jul-2011,22.70,23.90,22.70, 23.20,23.15,18004,4.20
04-Jul-2011,22.85,23.70,22.80, 23.25,23.15,19098,4.40
01-Jul-2011,22.65,23.75,22.60, 22.95,22.90,13190,3.02
30-Jun-2011,22.60,23.45,22.55, 23.35,23.30,62744,14.53
29-Jun-2011,22.40,23.15,22.40, 22.90,22.95,38537,8.85
28-Jun-2011,23.00,23.00,22.30, 22.35,22.30,16950,3.83
27-Jun-2011,22.70,23.30,22.60, 23.00,22.90,32908,7.53
24-Jun-2011,22.70,23.10,22.65, 23.00,22.70,4223,0.96
23-Jun-2011,23.35,23.70,22.70, 22.70,22.80,22345,5.16
22-Jun-2011,22.30,23.85,22.25, 23.75,23.70,30597,7.21
21-Jun-2011,22.05,24.40,22.05, 23.15,23.30,26406,6.19
20-Jun-2011,23.20,23.95,23.20, 23.90,23.65,20845,4.92
17-Jun-2011,23.50,24.15,23.30, 23.90,23.80,39812,9.51
16-Jun-2011,23.00,23.95,23.00, 23.95,23.80,14785,3.52
15-Jun-2011,24.20,24.30,23.45, 23.75,23.50,33895,8.09
14-Jun-2011,23.55,24.25,23.55, 24.25,23.95,15140,3.62
13-Jun-2011,23.55,24.25,23.55, 24.25,23.80,3537,0.84
10-Jun-2011,23.30,24.00,23.30, 23.75,23.75,2785,0.66
09-Jun-2011,23.60,23.90,23.25, 23.55,23.70,4296,1.01
08-Jun-2011,23.50,24.35,23.50, 23.50,23.70,7772,1.84
07-Jun-2011,24.00,24.50,23.20, 23.55,23.50,3628,0.85
06-Jun-2011,23.45,23.95,23.15, 23.95,23.55,3309,0.77
03-Jun-2011,23.60,24.00,23.20, 23.65,23.40,6541,1.54
02-Jun-2011,23.70,24.15,23.60, 24.15,23.70,4999,1.19
01-Jun-2011,25.50,25.50,23.85, 24.15,24.05,2479,0.60
31-May-2011,23.70,24.20,23.50, 24.10,24.05,2944,0.71
30-May-2011,23.90,24.35,23.55, 23.85,23.80,5121,1.22
27-May-2011,23.75,24.30,23.75, 23.80,23.80,1815,0.44
26-May-2011,23.50,24.05,23.50, 23.75,23.75,853,0.20
25-May-2011,24.75,24.80,23.45, 23.55,23.55,8671,2.07
