Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,68.00,68.75,65.25, 66.15,66.10,620990,416.73
29-Dec-2011,68.15,69.20,66.60, 67.40,67.30,1083511,733.44
28-Dec-2011,68.90,70.10,67.15, 68.10,68.10,862368,588.56
27-Dec-2011,70.25,70.90,67.90, 68.95,68.65,722542,500.11
26-Dec-2011,69.00,70.80,68.90, 69.80,69.75,495359,345.36
23-Dec-2011,71.55,71.95,68.30, 68.55,68.60,927466,648.12
22-Dec-2011,68.45,71.60,66.30, 71.00,71.05,1418366,976.49
21-Dec-2011,68.00,69.00,66.30, 68.65,68.40,701165,475.46
20-Dec-2011,67.40,68.60,66.00, 66.40,66.65,681207,456.86
19-Dec-2011,65.90,68.40,64.00, 67.55,67.40,778121,510.92
16-Dec-2011,69.35,70.40,65.05, 65.30,66.20,938780,639.64
15-Dec-2011,70.00,70.90,67.10, 68.90,68.35,1311623,897.49
14-Dec-2011,75.20,75.60,70.60, 70.75,70.90,820667,596.28
13-Dec-2011,74.25,75.75,73.00, 74.90,74.80,606330,450.02
12-Dec-2011,78.00,79.90,73.90, 73.90,74.60,830101,630.30
09-Dec-2011,78.95,78.95,76.20, 77.15,77.45,888895,689.96
08-Dec-2011,83.75,84.15,79.05, 79.40,79.50,944767,763.71
07-Dec-2011,82.95,84.85,82.95, 83.60,83.60,782765,657.98
05-Dec-2011,83.00,84.50,82.55, 84.05,83.50,815893,681.21
02-Dec-2011,81.00,83.70,80.10, 83.70,83.00,1049753,861.94
01-Dec-2011,79.85,83.60,79.85, 80.75,80.75,1246743,1020.03
30-Nov-2011,78.45,80.90,77.05, 80.70,80.15,991260,782.63
29-Nov-2011,78.00,80.70,76.70, 78.35,78.45,1521345,1204.87
28-Nov-2011,79.35,79.80,76.60, 78.35,77.90,1329661,1040.25
25-Nov-2011,79.15,82.60,77.00, 77.80,77.75,1210079,968.47
24-Nov-2011,77.20,80.75,76.40, 80.45,80.00,1138647,895.25
23-Nov-2011,76.90,80.15,75.80, 77.00,77.15,1954461,1519.17
22-Nov-2011,77.50,78.90,76.25, 77.65,77.35,1008865,783.24
21-Nov-2011,75.80,79.70,75.15, 76.75,76.55,1214686,942.43
18-Nov-2011,76.65,76.85,74.75, 76.10,76.25,812762,617.35
17-Nov-2011,77.00,79.65,76.10, 76.40,76.65,958775,746.24
16-Nov-2011,77.45,78.80,74.55, 78.65,77.40,938375,714.53
15-Nov-2011,79.85,80.80,76.55, 77.75,77.65,1126425,885.97
14-Nov-2011,87.40,87.40,78.65, 80.15,79.90,1196087,991.24
11-Nov-2011,87.20,87.60,82.70, 84.85,84.80,1154878,980.22
09-Nov-2011,91.05,92.45,86.15, 86.75,87.40,2359642,2139.15
08-Nov-2011,91.10,91.65,89.65, 90.60,90.20,1147812,1040.18
04-Nov-2011,90.45,92.20,89.50, 89.95,90.25,1984366,1806.82
03-Nov-2011,89.90,91.00,87.70, 89.10,89.05,1573845,1408.55
02-Nov-2011,84.90,90.20,84.30, 89.40,89.10,3635019,3211.79
01-Nov-2011,85.90,86.35,84.25, 85.25,85.15,1181244,1008.40
31-Oct-2011,85.45,86.50,84.50, 85.55,85.25,815544,697.27
28-Oct-2011,85.80,86.95,84.90, 85.60,85.70,2331205,2006.43
26-Oct-2011,84.00,84.40,83.50, 83.70,83.95,591505,496.93
25-Oct-2011,81.35,83.70,81.25, 83.40,83.35,2322503,1919.59
24-Oct-2011,80.20,82.80,80.20, 81.20,81.35,1782872,1455.02
21-Oct-2011,78.60,81.20,78.40, 79.30,79.50,1338848,1071.98
20-Oct-2011,79.50,79.50,77.10, 78.45,78.50,1231637,964.47
19-Oct-2011,78.30,80.70,78.30, 79.80,79.90,925355,739.25
18-Oct-2011,79.40,79.40,77.10, 78.00,78.15,901590,703.47
17-Oct-2011,80.15,81.70,79.15, 79.80,79.95,1803410,1450.50
14-Oct-2011,78.70,80.70,78.55, 80.10,79.85,3400512,2715.59
13-Oct-2011,75.00,78.70,74.25, 78.35,77.90,3542797,2725.47
12-Oct-2011,73.05,74.70,72.25, 74.40,74.40,1187648,873.52
11-Oct-2011,73.80,74.70,72.15, 72.85,72.85,1208266,887.77
10-Oct-2011,71.60,73.30,70.40, 72.90,72.65,933225,673.75
07-Oct-2011,70.50,72.80,70.35, 71.15,71.00,1320509,943.94
05-Oct-2011,72.15,72.70,69.75, 70.00,69.95,1114862,790.57
04-Oct-2011,71.20,73.40,69.50, 71.85,71.20,1554074,1110.28
03-Oct-2011,69.85,72.90,69.05, 71.65,71.30,1426669,1011.63
30-Sep-2011,74.20,75.20,70.30, 70.60,70.75,2041888,1487.68
29-Sep-2011,74.95,75.95,73.00, 74.65,74.55,2011468,1494.51
28-Sep-2011,75.00,77.50,74.20, 75.15,75.50,1688673,1281.83
27-Sep-2011,74.10,75.70,72.50, 74.90,74.85,1154039,860.67
26-Sep-2011,72.15,73.65,70.05, 72.45,73.05,1146561,822.53
23-Sep-2011,70.00,73.85,68.35, 71.80,72.15,1787142,1274.07
22-Sep-2011,76.00,76.40,71.70, 72.15,72.00,1385089,1024.42
21-Sep-2011,77.75,78.60,76.55, 76.70,77.00,1851433,1439.11
20-Sep-2011,72.65,77.75,72.35, 77.55,77.35,3757245,2856.51
19-Sep-2011,72.50,73.95,71.30, 72.00,72.20,617497,447.78
