Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,49.75,51.00,49.50, 50.30,50.30,1563001,785.84
29-Dec-2011,48.75,51.35,47.45, 49.70,49.80,1719114,850.29
28-Dec-2011,48.95,49.30,48.10, 48.55,48.75,575570,279.82
27-Dec-2011,51.10,51.50,48.45, 48.95,49.00,1300879,644.37
26-Dec-2011,49.45,51.80,49.35, 50.30,50.70,1026421,519.18
23-Dec-2011,50.10,51.25,48.80, 49.25,49.45,1506598,752.92
22-Dec-2011,45.00,50.00,42.60, 49.40,49.70,2733907,1296.99
21-Dec-2011,47.05,48.45,45.65, 47.20,46.85,2187722,1027.00
20-Dec-2011,48.20,49.70,45.85, 46.60,46.65,2357917,1117.98
19-Dec-2011,47.00,48.90,45.20, 47.65,48.30,3670994,1734.61
16-Dec-2011,56.40,56.40,46.60, 46.70,47.75,7323761,3702.86
15-Dec-2011,57.15,57.95,55.25, 56.15,56.60,1211982,684.28
14-Dec-2011,60.00,60.00,57.60, 58.00,58.25,1493948,873.69
13-Dec-2011,54.65,61.65,54.20, 60.00,60.05,8686411,5079.94
12-Dec-2011,67.25,68.10,56.20, 57.00,59.85,1528450,958.32
09-Dec-2011,67.00,68.60,66.45, 66.80,67.00,796299,538.61
08-Dec-2011,69.40,69.90,67.00, 67.20,67.65,491118,334.23
07-Dec-2011,69.95,71.00,69.50, 69.60,69.75,565750,395.83
05-Dec-2011,70.00,71.05,68.55, 69.70,69.70,835892,581.87
02-Dec-2011,68.75,71.00,68.05, 70.65,70.65,907331,635.40
01-Dec-2011,70.00,72.80,68.20, 68.35,69.05,1030239,720.71
30-Nov-2011,68.20,69.80,66.50, 69.40,69.25,992256,675.97
29-Nov-2011,71.40,72.50,68.25, 69.00,68.75,827308,579.29
28-Nov-2011,69.50,72.50,69.50, 72.05,71.60,983827,702.85
25-Nov-2011,68.75,69.85,67.40, 69.45,69.20,999004,686.23
24-Nov-2011,67.90,70.00,66.30, 69.00,68.60,1958444,1336.51
23-Nov-2011,71.10,71.10,67.15, 67.55,67.95,783131,535.64
22-Nov-2011,71.40,72.90,69.85, 71.50,71.20,634768,453.14
21-Nov-2011,72.95,73.25,70.10, 70.40,70.60,700913,499.83
18-Nov-2011,74.65,74.65,71.50, 73.05,72.85,604555,438.64
17-Nov-2011,77.00,77.65,74.00, 74.80,74.65,570690,431.72
16-Nov-2011,76.60,78.55,74.10, 78.05,77.65,834672,635.64
15-Nov-2011,78.05,79.40,75.00, 76.50,76.75,594776,461.98
14-Nov-2011,81.50,84.65,78.25, 78.35,78.65,978222,793.54
11-Nov-2011,82.50,82.50,79.75, 80.75,81.05,970071,783.98
09-Nov-2011,85.90,86.35,82.70, 83.10,83.10,665697,562.82
08-Nov-2011,86.00,87.25,84.85, 85.20,85.25,1322526,1131.94
04-Nov-2011,85.25,87.25,84.80, 85.25,85.75,1174377,1012.91
03-Nov-2011,85.20,85.75,83.35, 84.85,84.55,803716,677.30
02-Nov-2011,80.10,86.25,80.10, 85.70,85.75,1390371,1175.67
01-Nov-2011,87.00,87.70,82.90, 83.15,83.75,2205049,1862.07
31-Oct-2011,85.05,88.35,83.50, 86.50,87.00,933235,809.12
28-Oct-2011,83.60,85.80,83.60, 85.25,85.15,768854,652.37
26-Oct-2011,82.50,83.40,82.50, 82.85,83.10,273465,227.17
25-Oct-2011,79.80,82.70,79.20, 82.55,82.10,1250235,1017.66
24-Oct-2011,79.55,81.25,79.00, 79.05,79.60,571271,458.68
21-Oct-2011,79.95,81.40,78.10, 78.80,78.50,572692,456.41
20-Oct-2011,80.50,80.95,78.50, 80.30,80.05,474196,377.08
19-Oct-2011,80.50,81.65,79.25, 80.90,81.20,478539,386.68
18-Oct-2011,80.00,80.70,77.80, 79.75,79.90,927814,733.41
17-Oct-2011,83.55,84.50,80.50, 80.80,81.00,690495,563.92
14-Oct-2011,79.50,83.00,79.10, 82.20,82.65,1069030,869.57
13-Oct-2011,81.25,81.90,78.75, 78.90,79.25,864334,693.12
12-Oct-2011,79.05,81.45,79.00, 81.35,81.05,700020,563.21
11-Oct-2011,79.50,81.00,78.20, 78.70,78.80,821424,651.66
10-Oct-2011,76.00,80.00,76.00, 79.10,79.20,768183,604.51
07-Oct-2011,76.50,79.00,75.70, 76.80,77.10,870295,672.96
05-Oct-2011,73.85,76.10,73.85, 74.45,74.50,640959,481.00
04-Oct-2011,77.00,78.20,73.30, 73.90,73.85,1305975,992.67
03-Oct-2011,80.00,80.00,76.95, 77.70,77.75,1069590,834.67
30-Sep-2011,82.00,84.40,79.05, 80.00,80.45,2702605,2212.91
29-Sep-2011,83.00,83.35,81.35, 82.00,81.95,1504211,1233.24
28-Sep-2011,86.60,87.40,82.00, 83.25,83.25,1567187,1310.75
27-Sep-2011,86.40,87.50,85.70, 86.25,86.60,462754,401.45
26-Sep-2011,87.60,88.00,82.50, 84.50,84.95,666277,563.93
23-Sep-2011,88.50,89.35,86.05, 87.05,87.40,682608,597.21
22-Sep-2011,92.80,92.80,88.00, 88.20,89.25,804297,729.60
21-Sep-2011,94.80,95.20,92.25, 93.45,93.50,609054,569.96
20-Sep-2011,93.40,95.75,92.95, 94.75,94.80,393490,372.59
19-Sep-2011,95.75,96.10,93.05, 93.60,93.40,466765,438.46
16-Sep-2011,95.50,96.90,94.50, 95.75,95.70,1055939,1010.68
15-Sep-2011,92.75,95.60,92.30, 95.00,94.55,1001407,936.66
14-Sep-2011,91.00,93.20,90.50, 93.20,92.70,679099,623.67
13-Sep-2011,91.05,93.60,89.00, 90.95,90.40,1081102,985.22
12-Sep-2011,94.00,96.50,89.05, 90.60,90.80,826091,748.16
09-Sep-2011,97.00,98.25,93.05, 93.05,94.15,941505,900.45
08-Sep-2011,95.50,99.45,95.50, 97.60,97.50,1282329,1246.64
07-Sep-2011,92.75,95.55,92.30, 95.00,94.90,1260680,1190.16
06-Sep-2011,95.00,95.00,88.70, 93.40,92.30,1151156,1048.15
05-Sep-2011,87.00,93.95,85.90, 92.70,93.00,1476778,1329.66
02-Sep-2011,87.00,89.95,85.95, 87.90,87.70,1389353,1221.30
30-Aug-2011,85.10,89.40,83.80, 89.00,88.40,1348578,1169.31
29-Aug-2011,80.15,85.60,80.15, 85.50,84.95,1067009,895.63
26-Aug-2011,85.05,86.30,78.70, 79.55,79.65,979378,803.30
25-Aug-2011,87.50,89.30,84.00, 85.35,85.60,1192750,1025.74
24-Aug-2011,88.40,91.40,86.50, 86.80,87.10,940580,837.30
23-Aug-2011,87.90,89.50,86.20, 88.85,88.45,584939,514.52
22-Aug-2011,84.00,87.90,82.60, 87.50,87.10,655545,559.63
19-Aug-2011,86.00,86.00,81.10, 83.60,83.45,938758,781.80
18-Aug-2011,91.50,93.00,85.50, 85.70,86.25,990473,879.63
17-Aug-2011,92.00,93.50,90.60, 92.25,92.15,693276,639.65
16-Aug-2011,97.50,99.00,90.90, 91.20,91.25,918944,869.70
12-Aug-2011,101.00,101.40,95.75, 96.15,96.75,887402,871.01
11-Aug-2011,100.00,101.30,99.00, 99.95,100.15,516983,518.29
10-Aug-2011,97.00,101.60,97.00, 100.70,100.85,1333039,1334.36
09-Aug-2011,97.10,100.70,94.55, 95.85,96.00,1034925,1010.36
08-Aug-2011,98.55,104.00,96.10, 99.60,99.65,1152333,1149.64
05-Aug-2011,107.00,107.00,98.80, 102.20,101.85,1880983,1910.44
04-Aug-2011,112.80,113.70,107.80, 108.45,109.00,1001943,1112.41
03-Aug-2011,113.85,113.85,111.10, 112.10,112.00,824225,924.70
02-Aug-2011,115.80,115.85,113.65, 114.25,114.35,564189,645.70
01-Aug-2011,117.75,118.55,115.20, 116.10,115.95,510048,595.11
29-Jul-2011,117.00,118.80,116.10, 116.70,116.70,450879,529.79
28-Jul-2011,120.00,120.00,116.35, 117.70,116.90,975743,1149.46
27-Jul-2011,121.30,122.20,119.40, 120.30,120.65,707451,855.39
26-Jul-2011,123.00,123.50,120.50, 120.85,120.75,456981,555.09
25-Jul-2011,122.00,124.20,121.15, 122.70,122.75,468217,576.08
22-Jul-2011,121.00,122.50,121.00, 121.60,121.85,528360,644.42
21-Jul-2011,121.70,122.50,120.10, 120.20,120.50,486814,590.71
20-Jul-2011,124.00,124.80,121.30, 121.55,121.65,779704,956.24
19-Jul-2011,123.55,124.85,123.35, 123.60,123.85,497235,616.09
18-Jul-2011,124.00,125.40,123.00, 123.65,123.70,955841,1185.77
15-Jul-2011,125.00,125.50,123.15, 123.50,123.60,1281479,1587.17
14-Jul-2011,126.90,127.35,124.00, 124.05,124.65,1648080,2064.01
13-Jul-2011,128.45,129.70,125.70, 127.20,126.90,1475039,1882.83
12-Jul-2011,129.10,131.40,126.40, 127.55,128.05,3337285,4301.92
11-Jul-2011,130.00,132.45,126.65, 127.20,127.60,2423843,3149.14
08-Jul-2011,126.60,130.90,125.50, 129.80,128.80,1745595,2257.22
07-Jul-2011,127.20,127.60,125.25, 126.05,126.40,598270,756.88
06-Jul-2011,124.00,127.90,123.45, 127.50,127.25,785286,988.49
05-Jul-2011,125.50,126.10,122.65, 124.20,124.10,578608,719.49
04-Jul-2011,123.00,126.00,122.80, 124.85,125.00,527440,658.08
01-Jul-2011,125.00,126.00,121.80, 122.50,122.45,601187,742.42
30-Jun-2011,122.95,125.00,121.10, 124.40,124.60,949951,1176.31
29-Jun-2011,121.20,123.10,121.15, 122.00,122.45,597102,730.05
28-Jun-2011,120.10,122.00,119.00, 121.00,121.30,676590,815.51
27-Jun-2011,118.00,122.35,118.00, 119.75,119.85,681595,822.31
24-Jun-2011,116.00,118.55,116.00, 118.00,118.15,510100,599.23
23-Jun-2011,114.00,116.90,112.20, 116.00,115.35,562511,647.09
22-Jun-2011,117.15,118.00,113.05, 113.70,114.50,721293,826.49
