Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
28-Dec-2011,10.20,10.20,10.20, 10.20,10.20,20,0.00
27-Dec-2011,10.35,10.35,10.00, 10.10,10.10,274,0.03
26-Dec-2011,9.55,10.30,9.55, 10.30,10.30,1575,0.16
23-Dec-2011,9.85,9.85,9.85, 9.85,9.85,50,0.00
22-Dec-2011,9.55,9.85,9.15, 9.85,9.85,2608,0.24
21-Dec-2011,9.55,9.65,9.50, 9.65,9.60,114,0.01
20-Dec-2011,10.00,10.00,10.00, 10.00,10.00,1624,0.16
19-Dec-2011,10.35,10.35,10.35, 10.35,10.35,75,0.01
16-Dec-2011,10.90,10.90,10.90, 10.90,10.90,63,0.01
15-Dec-2011,10.85,11.45,10.60, 11.45,11.45,800,0.09
14-Dec-2011,11.00,11.00,11.00, 11.00,11.00,200,0.02
13-Dec-2011,12.00,12.00,11.20, 11.20,11.20,682,0.08
12-Dec-2011,11.75,11.75,11.50, 11.75,11.75,396,0.05
09-Dec-2011,11.30,11.30,11.25, 11.25,11.25,850,0.10
08-Dec-2011,11.00,11.25,11.00, 11.05,11.05,600,0.07
07-Dec-2011,11.25,11.25,11.20, 11.20,11.20,1054,0.12
01-Dec-2011,11.20,11.20,11.20, 11.20,11.20,600,0.07
30-Nov-2011,11.35,11.35,11.00, 11.00,11.00,400,0.04
29-Nov-2011,11.45,11.45,11.35, 11.35,11.40,67,0.01
28-Nov-2011,11.90,11.90,11.90, 11.90,11.90,650,0.08
25-Nov-2011,11.30,11.30,11.25, 11.30,11.30,295,0.03
24-Nov-2011,11.30,11.70,11.15, 11.70,11.70,675,0.08
23-Nov-2011,12.00,12.00,11.70, 11.70,11.70,1095,0.13
22-Nov-2011,12.15,12.20,12.15, 12.20,12.20,188,0.02
21-Nov-2011,12.50,12.50,12.05, 12.10,12.45,1513,0.19
18-Nov-2011,12.20,12.45,11.70, 12.40,12.40,1261,0.15
17-Nov-2011,12.20,12.20,12.20, 12.20,12.20,40,0.00
16-Nov-2011,12.15,12.30,12.15, 12.30,12.30,116,0.01
15-Nov-2011,13.15,13.75,12.65, 12.65,12.65,490,0.06
14-Nov-2011,13.20,13.25,13.10, 13.15,13.15,1780,0.23
09-Nov-2011,13.45,13.45,13.10, 13.10,13.10,200,0.03
08-Nov-2011,14.10,14.10,13.50, 13.50,13.50,450,0.06
04-Nov-2011,13.35,14.15,13.35, 14.15,14.15,152,0.02
03-Nov-2011,13.25,13.70,12.85, 13.70,13.70,200,0.03
02-Nov-2011,14.05,14.10,13.05, 13.05,13.05,1500,0.21
01-Nov-2011,13.80,14.05,13.50, 13.55,13.55,3350,0.46
31-Oct-2011,14.00,14.00,14.00, 14.00,14.00,166,0.02
28-Oct-2011,13.60,14.05,13.15, 13.75,13.95,6120,0.85
26-Oct-2011,12.40,13.70,12.40, 13.65,13.65,470,0.06
25-Oct-2011,13.00,13.50,12.35, 13.50,13.05,810,0.10
24-Oct-2011,13.95,13.95,13.00, 13.00,13.00,840,0.11
21-Oct-2011,13.00,13.30,13.00, 13.30,13.30,511,0.07
20-Oct-2011,12.50,13.05,12.50, 13.05,13.05,691,0.09
19-Oct-2011,13.60,13.80,13.15, 13.15,13.15,1061,0.14
18-Oct-2011,13.90,14.50,13.80, 13.80,13.80,833,0.12
17-Oct-2011,15.15,15.40,14.35, 14.50,14.50,1606,0.24
14-Oct-2011,15.85,15.85,15.10, 15.10,15.10,179,0.03
12-Oct-2011,15.90,15.90,14.90, 15.90,15.90,5640,0.86
11-Oct-2011,15.40,16.05,15.40, 15.40,15.40,1999,0.31
10-Oct-2011,16.20,16.20,16.20, 16.20,16.20,400,0.06
07-Oct-2011,17.05,17.05,17.05, 17.05,17.05,400,0.07
05-Oct-2011,17.95,17.95,17.95, 17.95,17.95,100,0.02
04-Oct-2011,18.90,18.90,18.90, 18.90,18.90,100,0.02
30-Sep-2011,19.85,19.85,19.85, 19.85,19.85,100,0.02
28-Sep-2011,20.40,20.90,20.30, 20.90,20.90,667,0.14
27-Sep-2011,20.30,20.30,20.30, 20.30,20.30,35,0.01
26-Sep-2011,21.05,21.05,21.00, 21.00,21.00,200,0.04
23-Sep-2011,22.00,22.00,22.00, 22.00,22.00,60,0.01
22-Sep-2011,22.25,22.95,21.80, 22.95,22.95,435,0.10
