Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,5.65,6.10,5.60, 5.65,5.65,1027,0.06
29-Dec-2011,5.10,6.35,5.10, 5.95,6.15,4883,0.29
28-Dec-2011,5.05,5.55,5.05, 5.55,5.55,1100,0.06
27-Dec-2011,5.20,5.65,5.20, 5.55,5.40,888,0.05
26-Dec-2011,5.10,5.70,5.05, 5.20,5.20,920,0.05
23-Dec-2011,5.10,5.45,5.10, 5.20,5.20,835,0.04
22-Dec-2011,5.00,6.20,5.00, 5.05,5.10,1798,0.09
21-Dec-2011,5.00,5.65,5.00, 5.25,5.25,1565,0.08
20-Dec-2011,5.10,5.80,5.10, 5.45,5.40,2541,0.14
19-Dec-2011,5.50,6.00,5.00, 5.10,5.20,4307,0.23
16-Dec-2011,5.85,5.90,5.35, 5.40,5.40,455,0.03
15-Dec-2011,5.00,5.95,5.00, 5.30,5.30,2057,0.12
14-Dec-2011,5.55,5.90,5.50, 5.50,5.55,1729,0.10
13-Dec-2011,5.55,5.60,5.55, 5.55,5.55,3100,0.17
12-Dec-2011,5.75,6.00,5.75, 6.00,6.00,751,0.04
09-Dec-2011,6.30,6.30,5.70, 5.75,5.75,4990,0.29
08-Dec-2011,5.80,5.90,5.75, 5.85,5.90,2280,0.13
07-Dec-2011,5.95,6.40,5.80, 6.10,6.10,1991,0.12
05-Dec-2011,5.75,6.10,5.75, 6.10,6.05,6022,0.35
02-Dec-2011,6.10,6.20,5.60, 6.10,6.10,2464,0.15
01-Dec-2011,5.60,6.00,5.60, 6.00,5.75,160,0.01
30-Nov-2011,6.00,6.00,5.50, 5.80,5.55,1600,0.09
29-Nov-2011,5.55,5.70,5.55, 5.70,5.70,326,0.02
28-Nov-2011,5.60,5.90,5.50, 5.90,5.80,899,0.05
25-Nov-2011,5.50,6.00,5.00, 5.60,5.60,630,0.04
24-Nov-2011,5.75,5.95,5.45, 5.70,5.95,2710,0.16
23-Nov-2011,5.90,5.90,5.30, 5.70,5.70,3765,0.21
22-Nov-2011,5.00,6.25,5.00, 6.00,5.90,3695,0.22
21-Nov-2011,5.50,6.45,5.50, 5.55,5.55,1146,0.06
18-Nov-2011,5.10,6.00,5.10, 5.45,5.50,1991,0.11
17-Nov-2011,5.65,6.00,5.00, 6.00,5.75,4501,0.26
16-Nov-2011,6.00,6.20,5.65, 5.85,5.90,2807,0.17
15-Nov-2011,6.00,6.35,6.00, 6.10,6.10,5356,0.32
14-Nov-2011,6.00,6.60,6.00, 6.35,6.35,2744,0.17
11-Nov-2011,6.15,6.65,6.15, 6.65,6.60,2799,0.18
09-Nov-2011,6.80,6.85,6.25, 6.25,6.45,5571,0.37
08-Nov-2011,6.70,6.90,6.55, 6.80,6.75,3389,0.23
04-Nov-2011,6.60,6.90,6.60, 6.85,6.85,2805,0.19
03-Nov-2011,6.60,6.65,6.30, 6.60,6.60,1634,0.11
02-Nov-2011,6.50,6.70,6.35, 6.60,6.45,7616,0.49
01-Nov-2011,6.60,6.75,6.50, 6.75,6.75,3015,0.20
31-Oct-2011,6.50,6.75,6.50, 6.65,6.60,1422,0.09
28-Oct-2011,6.60,6.60,6.50, 6.50,6.50,88,0.01
26-Oct-2011,6.45,6.75,6.40, 6.70,6.70,2203,0.14
25-Oct-2011,6.00,6.80,6.00, 6.40,6.65,1759,0.11
24-Oct-2011,6.75,6.75,6.50, 6.75,6.75,891,0.06
21-Oct-2011,6.50,6.60,6.50, 6.55,6.55,1512,0.10
20-Oct-2011,6.55,6.80,6.50, 6.75,6.75,6193,0.41
19-Oct-2011,6.95,6.95,6.45, 6.70,6.70,7466,0.49
18-Oct-2011,6.70,6.90,6.40, 6.60,6.55,10408,0.68
17-Oct-2011,6.65,7.60,6.65, 6.85,6.85,3730,0.25
14-Oct-2011,6.75,7.00,6.75, 6.80,6.80,300,0.02
13-Oct-2011,6.65,7.30,6.60, 6.85,6.85,2704,0.19
12-Oct-2011,6.80,7.45,6.75, 6.80,6.90,3607,0.25
11-Oct-2011,6.70,7.45,6.70, 6.80,6.80,7944,0.55
10-Oct-2011,6.75,7.45,6.75, 6.90,7.05,12944,0.90
07-Oct-2011,6.55,7.30,6.50, 6.80,6.80,5243,0.36
05-Oct-2011,6.25,7.65,6.25, 6.65,6.75,10084,0.68
04-Oct-2011,6.95,8.05,6.45, 6.50,6.60,17242,1.15
03-Oct-2011,7.35,7.35,6.75, 7.05,7.00,8510,0.61
30-Sep-2011,7.05,7.70,7.05, 7.20,7.25,2113,0.15
29-Sep-2011,7.45,7.55,7.25, 7.25,7.40,1372,0.10
28-Sep-2011,7.65,7.65,7.30, 7.55,7.55,1198,0.09
27-Sep-2011,7.95,7.95,6.05, 7.15,7.25,36647,2.54
26-Sep-2011,8.00,8.00,7.50, 7.50,7.50,8551,0.65
23-Sep-2011,7.70,8.25,7.70, 8.00,8.00,2992,0.24
22-Sep-2011,8.10,8.30,8.00, 8.05,8.05,5066,0.41
21-Sep-2011,8.85,8.85,8.20, 8.20,8.20,2432,0.20
20-Sep-2011,8.45,8.45,8.20, 8.20,8.20,4118,0.34
19-Sep-2011,7.65,8.10,7.65, 7.75,7.75,11280,0.87
16-Sep-2011,8.40,8.40,7.95, 8.20,8.20,300,0.02
15-Sep-2011,8.05,8.30,7.70, 7.80,8.00,20443,1.62
14-Sep-2011,7.35,8.70,7.35, 8.40,8.45,15308,1.27
13-Sep-2011,7.50,8.00,7.25, 7.40,7.25,6642,0.50
12-Sep-2011,7.85,8.00,7.75, 7.90,7.90,1306,0.10
09-Sep-2011,8.70,8.70,8.00, 8.10,8.15,2590,0.21
08-Sep-2011,8.05,8.50,7.95, 8.30,8.25,3405,0.27
07-Sep-2011,7.85,8.70,7.85, 8.25,8.25,3698,0.30
06-Sep-2011,8.10,8.30,7.75, 7.75,7.75,1950,0.16
05-Sep-2011,7.95,8.00,7.85, 8.00,7.95,4029,0.32
02-Sep-2011,8.10,8.10,7.50, 7.50,7.60,2595,0.20
30-Aug-2011,7.30,8.40,7.00, 7.50,7.60,9219,0.70
29-Aug-2011,7.00,7.80,7.00, 7.50,7.35,2384,0.18
26-Aug-2011,7.15,7.55,7.05, 7.15,7.20,4006,0.29
25-Aug-2011,7.25,7.60,7.05, 7.05,7.20,7475,0.54
24-Aug-2011,7.40,8.00,7.25, 7.25,7.35,1782,0.13
23-Aug-2011,7.00,7.50,7.00, 7.30,7.40,1265,0.09
22-Aug-2011,7.00,7.50,7.00, 7.10,7.25,8290,0.61
19-Aug-2011,7.50,7.85,6.85, 7.35,7.30,12162,0.88
18-Aug-2011,7.80,8.35,7.50, 8.35,7.90,3078,0.24
17-Aug-2011,6.85,9.00,6.85, 7.80,7.80,6973,0.57
16-Aug-2011,8.15,8.95,8.00, 8.10,8.05,12415,1.03
12-Aug-2011,8.65,8.65,8.35, 8.65,8.65,2427,0.21
11-Aug-2011,8.10,9.20,8.10, 9.15,9.05,1050,0.09
10-Aug-2011,8.85,9.00,8.35, 8.95,8.85,3436,0.30
09-Aug-2011,8.20,8.85,7.80, 8.85,8.65,8247,0.70
08-Aug-2011,8.35,8.80,7.50, 8.15,8.40,8039,0.67
05-Aug-2011,8.75,9.25,8.35, 9.00,8.80,17476,1.51
04-Aug-2011,9.70,9.70,8.90, 9.25,9.15,9138,0.85
03-Aug-2011,9.00,9.30,8.95, 8.95,8.95,1161,0.11
02-Aug-2011,9.05,9.40,8.90, 8.95,9.10,3806,0.34
01-Aug-2011,9.20,9.45,8.80, 9.05,9.15,3336,0.31
29-Jul-2011,9.65,9.65,9.00, 9.00,9.10,15306,1.43
28-Jul-2011,10.10,10.10,9.55, 9.65,9.65,6696,0.66
27-Jul-2011,10.00,10.40,10.00, 10.25,10.10,3935,0.40
26-Jul-2011,10.00,10.80,9.80, 10.30,10.25,7104,0.72
25-Jul-2011,10.00,10.45,10.00, 10.10,10.10,2927,0.30
22-Jul-2011,9.85,10.90,9.85, 10.15,10.15,2567,0.26
21-Jul-2011,10.90,10.90,9.40, 10.25,10.30,11083,1.12
20-Jul-2011,10.65,10.95,10.25, 10.50,10.70,2156,0.23
19-Jul-2011,10.55,11.00,10.50, 10.95,10.90,2141,0.23
18-Jul-2011,10.55,10.90,10.50, 10.50,10.50,2465,0.26
15-Jul-2011,10.85,10.85,10.50, 10.65,10.60,1286,0.14
14-Jul-2011,10.50,10.90,10.30, 10.85,10.75,2930,0.31
13-Jul-2011,11.10,11.10,10.65, 10.70,10.70,1740,0.19
12-Jul-2011,11.40,11.40,10.65, 10.90,10.80,3585,0.39
11-Jul-2011,10.60,11.15,10.55, 11.00,10.95,4521,0.49
