Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,130.00,130.00,121.10, 121.10,122.25,2138,2.61
29-Dec-2011,120.05,124.90,120.05, 124.85,123.05,2274,2.78
28-Dec-2011,124.95,124.95,120.95, 121.05,121.75,2604,3.18
27-Dec-2011,120.30,124.20,120.30, 121.65,121.95,2738,3.34
26-Dec-2011,119.00,122.90,119.00, 120.60,121.15,1780,2.15
23-Dec-2011,118.65,121.00,118.50, 121.00,120.15,4247,5.09
22-Dec-2011,120.05,120.05,115.00, 120.00,119.00,5248,6.11
21-Dec-2011,120.00,120.05,117.10, 119.25,118.50,4598,5.48
20-Dec-2011,123.00,125.55,117.50, 117.50,118.40,14386,17.44
19-Dec-2011,123.50,126.95,122.00, 125.00,125.40,9414,11.65
16-Dec-2011,128.35,129.80,123.90, 124.00,124.80,21122,26.59
15-Dec-2011,130.65,131.50,126.10, 129.95,128.60,20966,26.88
14-Dec-2011,145.00,145.90,130.10, 131.25,132.70,98992,135.95
13-Dec-2011,130.00,147.85,127.00, 146.00,145.30,729562,1045.62
12-Dec-2011,132.10,134.80,127.25, 131.00,129.45,13980,18.35
09-Dec-2011,131.00,134.00,130.00, 132.00,130.50,2852,3.73
08-Dec-2011,134.80,134.80,130.00, 132.70,130.75,2454,3.21
07-Dec-2011,131.70,133.50,131.70, 133.50,132.75,879,1.16
05-Dec-2011,131.50,133.00,131.35, 133.00,132.75,1617,2.14
02-Dec-2011,129.70,132.00,129.70, 132.00,131.20,2007,2.63
01-Dec-2011,131.15,132.95,129.50, 129.50,129.65,2835,3.69
30-Nov-2011,131.80,131.80,128.00, 128.15,129.20,1149,1.49
29-Nov-2011,132.00,132.00,129.00, 129.50,129.95,4182,5.46
28-Nov-2011,134.00,137.90,127.50, 128.25,128.85,19848,26.01
25-Nov-2011,130.70,138.00,130.60, 135.10,135.10,2223,3.00
24-Nov-2011,128.00,133.50,128.00, 133.50,133.05,18767,24.61
23-Nov-2011,137.05,137.05,129.00, 130.00,129.95,47255,61.84
22-Nov-2011,137.15,139.00,136.20, 137.05,137.45,8011,11.01
21-Nov-2011,137.10,139.95,137.00, 138.90,137.85,7278,10.07
18-Nov-2011,137.00,139.95,135.05, 139.95,138.25,8261,11.34
17-Nov-2011,138.00,141.50,136.25, 141.00,139.80,11501,15.95
16-Nov-2011,137.00,139.60,135.10, 138.00,137.20,5875,8.08
15-Nov-2011,141.20,142.00,135.00, 141.10,139.80,6095,8.52
14-Nov-2011,141.70,142.50,141.50, 141.75,141.75,7295,10.35
11-Nov-2011,141.50,145.50,141.50, 141.80,141.85,7997,11.43
09-Nov-2011,148.00,148.00,143.50, 144.75,144.85,3327,4.82
08-Nov-2011,146.45,147.75,145.00, 146.00,145.85,2839,4.14
04-Nov-2011,145.30,149.80,145.30, 145.80,146.25,10925,16.17
03-Nov-2011,144.60,146.90,144.60, 146.40,145.30,2510,3.65
02-Nov-2011,143.00,146.65,143.00, 146.65,146.15,3872,5.64
01-Nov-2011,145.25,146.75,144.00, 145.00,145.00,9525,13.83
31-Oct-2011,144.25,147.00,144.25, 146.00,145.50,6012,8.75
28-Oct-2011,148.25,149.00,146.65, 147.10,147.25,7722,11.42
26-Oct-2011,143.70,148.00,143.70, 146.75,146.10,4193,6.15
25-Oct-2011,141.50,146.50,141.50, 146.40,145.55,8677,12.49
24-Oct-2011,147.60,149.95,139.00, 140.10,141.60,15352,22.04
21-Oct-2011,147.00,147.15,143.20, 144.00,144.35,12077,17.54
20-Oct-2011,150.00,150.00,145.00, 145.85,146.00,9298,13.71
19-Oct-2011,147.90,155.00,146.50, 149.50,149.10,41588,63.14
18-Oct-2011,145.55,147.00,144.50, 145.95,145.70,6809,9.93
17-Oct-2011,151.00,151.00,145.80, 146.20,147.05,11395,16.92
14-Oct-2011,144.00,151.35,144.00, 147.80,148.25,13911,20.66
13-Oct-2011,151.30,152.90,149.10, 150.35,150.05,11328,17.12
12-Oct-2011,152.10,155.00,150.00, 152.00,152.20,17708,26.94
11-Oct-2011,153.00,154.80,149.55, 152.45,152.00,35801,54.45
10-Oct-2011,155.00,161.45,148.10, 151.55,151.15,106713,166.95
07-Oct-2011,141.00,165.00,141.00, 154.50,155.40,256092,398.38
05-Oct-2011,148.85,150.00,136.30, 138.00,138.60,28490,40.68
04-Oct-2011,147.00,153.90,144.35, 146.95,146.60,98629,148.02
03-Oct-2011,160.95,161.80,147.00, 148.30,149.15,154277,234.29
30-Sep-2011,158.50,178.90,158.20, 163.10,163.40,559651,955.94
