Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,108.90,109.45,104.25, 104.60,105.05,978598,1039.42
29-Dec-2011,101.70,109.40,100.35, 107.00,107.45,1632609,1718.49
28-Dec-2011,104.05,104.45,100.50, 101.90,101.85,1042175,1061.40
27-Dec-2011,106.35,106.45,104.05, 104.60,104.45,470823,493.59
26-Dec-2011,109.10,110.95,105.30, 107.00,106.70,821946,882.90
23-Dec-2011,106.00,110.55,104.50, 108.70,108.00,852930,923.53
22-Dec-2011,101.90,106.10,98.70, 105.80,105.85,1593743,1643.95
21-Dec-2011,109.90,109.90,101.00, 104.80,103.75,2466940,2541.57
20-Dec-2011,112.00,114.00,104.30, 106.00,105.70,1019316,1080.63
19-Dec-2011,114.60,114.80,108.50, 111.75,110.90,1309872,1447.91
16-Dec-2011,115.80,117.50,113.40, 115.00,115.05,631281,728.07
15-Dec-2011,118.00,118.00,114.10, 115.60,115.55,657847,759.28
14-Dec-2011,117.90,120.00,115.25, 119.45,118.75,455967,539.60
13-Dec-2011,119.40,119.40,116.10, 117.35,117.25,460258,540.16
12-Dec-2011,120.00,122.95,118.25, 120.15,119.40,893253,1070.72
09-Dec-2011,117.10,119.70,116.00, 119.10,119.00,643810,759.50
08-Dec-2011,123.15,123.80,118.20, 120.00,120.05,790465,950.92
07-Dec-2011,120.00,124.25,119.60, 123.00,122.90,1024200,1259.05
05-Dec-2011,118.55,120.55,115.70, 119.90,119.55,345871,412.56
02-Dec-2011,116.90,118.50,115.35, 118.00,118.15,542700,635.95
01-Dec-2011,117.00,119.90,115.10, 116.40,116.40,521083,610.91
30-Nov-2011,113.35,116.80,113.35, 116.60,116.40,447558,519.47
29-Nov-2011,117.00,118.50,114.60, 115.80,115.60,1014570,1175.13
28-Nov-2011,117.00,118.30,114.95, 115.50,115.70,1016913,1181.67
25-Nov-2011,114.50,116.60,112.00, 115.10,114.80,1895818,2183.08
24-Nov-2011,111.15,117.20,110.05, 114.50,114.50,2084226,2385.87
23-Nov-2011,114.00,114.00,110.00, 111.10,111.10,697065,772.18
22-Nov-2011,114.00,116.00,112.00, 113.10,112.60,576367,653.21
21-Nov-2011,113.95,116.75,112.00, 112.65,112.60,457740,521.99
18-Nov-2011,114.90,115.50,111.15, 113.70,113.85,1122339,1272.54
17-Nov-2011,115.00,118.00,111.20, 115.50,115.15,4330843,4969.89
16-Nov-2011,120.40,120.95,115.10, 116.55,115.95,1496304,1747.99
15-Nov-2011,124.60,124.60,120.00, 120.70,121.00,3288939,4015.44
14-Nov-2011,124.10,125.45,123.20, 125.00,124.50,1692947,2107.64
11-Nov-2011,121.05,123.75,117.55, 123.50,122.80,1491009,1799.71
09-Nov-2011,124.90,126.65,122.00, 122.35,122.55,1027091,1272.48
08-Nov-2011,125.95,126.40,122.40, 123.80,123.75,760369,940.14
04-Nov-2011,125.05,126.30,124.55, 125.25,125.30,1353344,1695.16
03-Nov-2011,121.00,124.90,120.25, 124.05,124.15,1599924,1973.02
02-Nov-2011,121.00,121.60,119.20, 121.10,121.20,1252717,1513.90
01-Nov-2011,123.00,127.00,120.00, 121.50,121.70,1735755,2105.15
31-Oct-2011,119.85,122.15,118.70, 121.50,121.20,1995746,2404.76
28-Oct-2011,115.00,121.40,114.90, 120.00,119.85,4499533,5366.09
26-Oct-2011,110.00,113.35,109.15, 112.70,112.40,1351558,1512.28
25-Oct-2011,114.70,115.70,108.00, 108.90,109.00,6003229,6576.51
24-Oct-2011,119.80,120.40,114.15, 114.85,114.70,2505672,2929.92
21-Oct-2011,121.30,122.70,117.60, 117.95,118.15,6819760,8114.80
20-Oct-2011,130.35,133.60,118.20, 121.15,121.30,13462430,16434.24
19-Oct-2011,134.25,136.20,130.80, 131.80,131.40,1166520,1548.73
18-Oct-2011,137.50,138.00,133.00, 134.10,134.15,742089,999.32
17-Oct-2011,134.10,138.50,132.50, 137.60,137.85,1970989,2676.37
14-Oct-2011,136.35,137.10,132.35, 133.45,133.60,1121316,1505.84
13-Oct-2011,136.25,138.00,135.30, 135.60,136.35,1507435,2064.21
12-Oct-2011,132.20,137.35,131.50, 135.70,135.45,2397721,3215.10
11-Oct-2011,131.00,132.95,131.00, 132.40,132.25,1241441,1639.84
10-Oct-2011,131.20,131.55,128.90, 130.00,129.95,2836097,3675.35
07-Oct-2011,132.30,133.85,130.50, 131.10,131.20,1225362,1618.10
05-Oct-2011,133.45,134.90,130.30, 130.55,131.00,2145478,2834.74
04-Oct-2011,131.50,134.95,131.00, 132.50,132.00,3972737,5279.64
03-Oct-2011,128.05,132.10,127.35, 131.75,131.35,1733693,2244.75
30-Sep-2011,131.30,131.80,128.20, 128.50,129.60,2691186,3505.31
29-Sep-2011,128.50,132.95,127.00, 131.40,131.85,2485921,3238.17
28-Sep-2011,132.85,133.50,127.65, 128.50,129.60,1237848,1610.80
27-Sep-2011,134.65,135.05,130.70, 132.65,132.60,1611345,2131.19
26-Sep-2011,131.10,133.25,130.00, 132.10,132.55,1336934,1764.17
23-Sep-2011,134.00,134.30,129.85, 131.00,130.95,2551196,3354.11
22-Sep-2011,134.90,136.30,133.15, 134.05,134.15,2174417,2925.73
21-Sep-2011,133.00,137.50,132.25, 137.00,137.05,2119746,2872.16
20-Sep-2011,133.80,135.10,132.70, 132.80,133.00,1192148,1590.88
19-Sep-2011,131.75,134.75,131.00, 133.80,133.75,1171503,1561.07
16-Sep-2011,137.00,137.25,131.00, 132.00,132.65,4463369,5959.17
15-Sep-2011,133.90,137.55,129.50, 136.60,136.40,4945853,6536.85
14-Sep-2011,142.40,142.40,130.65, 131.65,131.35,3005407,3954.47
13-Sep-2011,131.50,134.75,130.50, 132.00,131.65,2863006,3779.22
12-Sep-2011,136.50,136.50,130.90, 131.00,131.30,2493822,3299.66
09-Sep-2011,142.70,143.55,135.00, 136.50,136.95,3233401,4457.22
08-Sep-2011,146.55,147.55,141.65, 142.60,142.65,1833504,2623.30
07-Sep-2011,145.95,147.95,144.50, 146.20,146.25,2203238,3219.05
06-Sep-2011,144.20,146.60,143.05, 144.40,144.35,1593412,2298.06
05-Sep-2011,145.10,146.00,143.90, 144.50,144.35,876555,1267.63
02-Sep-2011,150.55,151.40,146.15, 146.40,146.90,1285584,1890.89
30-Aug-2011,150.00,153.00,148.45, 149.10,149.55,660486,988.99
29-Aug-2011,143.60,149.95,142.00, 149.70,148.95,1337474,1977.32
26-Aug-2011,151.10,152.90,141.50, 145.00,143.60,665482,979.77
25-Aug-2011,152.00,152.95,149.15, 152.00,151.10,645174,972.47
24-Aug-2011,154.25,157.90,150.35, 151.15,151.45,523468,808.61
23-Aug-2011,153.00,157.00,152.20, 155.90,155.75,1235466,1904.66
22-Aug-2011,152.00,155.00,148.30, 154.90,152.50,1360246,2050.75
19-Aug-2011,149.25,151.95,146.00, 151.10,150.30,1586163,2378.09
18-Aug-2011,154.20,156.00,149.30, 151.00,150.35,557984,851.67
17-Aug-2011,158.10,158.10,153.60, 154.45,154.50,478002,745.42
16-Aug-2011,159.85,160.80,156.30, 156.50,158.10,789314,1249.11
12-Aug-2011,161.90,188.20,157.00, 158.95,157.80,3376079,5478.87
11-Aug-2011,153.25,161.40,152.50, 159.50,159.25,4684458,7459.94
10-Aug-2011,155.10,157.70,152.30, 153.30,153.25,1178491,1815.72
09-Aug-2011,148.10,155.00,147.00, 154.15,153.90,1488809,2278.19
08-Aug-2011,151.00,154.30,146.40, 152.00,152.60,1577286,2395.56
05-Aug-2011,145.25,153.70,143.15, 152.95,152.90,1771517,2653.01
04-Aug-2011,151.00,153.15,149.30, 150.30,150.05,483327,731.78
03-Aug-2011,148.50,151.50,146.60, 151.00,150.40,697351,1042.52
02-Aug-2011,153.05,153.05,148.50, 149.80,149.90,572956,861.88
01-Aug-2011,156.10,157.95,152.10, 152.15,153.05,822647,1271.66
29-Jul-2011,149.45,156.00,148.80, 155.50,155.00,1952931,3000.34
28-Jul-2011,149.00,153.15,148.50, 149.15,149.80,1369769,2063.77
27-Jul-2011,151.00,151.50,148.35, 150.00,149.70,1523803,2288.04
26-Jul-2011,151.45,152.20,149.05, 150.45,150.35,1148905,1729.28
25-Jul-2011,149.60,152.25,149.60, 150.55,150.80,2094271,3160.90
22-Jul-2011,155.50,156.90,148.10, 149.50,149.60,6305844,9488.64
21-Jul-2011,163.15,164.00,152.05, 154.05,154.35,8363545,13068.44
20-Jul-2011,174.45,174.60,167.30, 168.15,170.35,2156605,3685.67
19-Jul-2011,169.00,173.45,168.00, 173.00,172.60,2449555,4210.94
18-Jul-2011,169.70,171.70,167.25, 168.00,167.95,1519848,2574.01
15-Jul-2011,164.10,170.40,164.10, 169.50,168.75,2117520,3575.06
14-Jul-2011,163.65,165.90,163.00, 165.25,164.85,512147,841.38
13-Jul-2011,164.95,166.70,163.05, 163.95,164.00,1904771,3135.55
12-Jul-2011,166.05,167.85,163.00, 164.20,164.25,481554,794.47
11-Jul-2011,168.95,169.90,165.60, 167.75,167.70,486940,818.52
08-Jul-2011,172.45,173.50,166.15, 168.70,167.70,1313254,2239.06
07-Jul-2011,167.50,173.50,166.50, 170.95,171.00,2867168,4894.62
06-Jul-2011,163.45,167.00,162.60, 166.80,166.35,1348159,2233.69
05-Jul-2011,162.00,165.25,161.50, 163.00,162.65,892936,1460.86
04-Jul-2011,163.60,163.90,161.00, 162.15,161.90,831794,1350.49
01-Jul-2011,163.00,166.90,160.55, 161.40,161.45,735187,1194.52
30-Jun-2011,165.40,167.20,160.65, 161.95,161.65,1337237,2171.96
29-Jun-2011,169.05,169.75,161.10, 164.75,164.80,1536997,2536.25
28-Jun-2011,162.85,168.80,162.00, 168.50,168.15,2414047,4026.32
27-Jun-2011,158.25,163.00,154.65, 162.00,161.95,1173892,1885.40
24-Jun-2011,153.90,159.40,153.50, 157.75,157.50,1223020,1919.83
23-Jun-2011,149.50,155.70,148.45, 153.10,153.05,1243118,1893.07
22-Jun-2011,150.00,151.00,148.05, 149.45,149.00,680028,1012.92
21-Jun-2011,150.70,151.70,148.65, 149.30,149.45,970004,1458.22
20-Jun-2011,152.70,153.40,142.00, 150.50,150.50,1741402,2607.88
17-Jun-2011,157.50,158.45,151.25, 151.70,152.25,996268,1534.69
16-Jun-2011,155.40,158.85,151.35, 157.00,156.90,1340365,2070.10
15-Jun-2011,157.25,157.25,155.10, 156.75,156.45,511412,797.74
14-Jun-2011,157.35,157.90,154.10, 156.50,156.70,687544,1072.23
13-Jun-2011,154.00,157.00,151.25, 156.10,156.30,817830,1268.65
10-Jun-2011,156.40,156.65,153.00, 153.50,153.90,549163,849.86
09-Jun-2011,160.35,161.50,153.00, 155.70,155.60,937727,1464.31
08-Jun-2011,160.05,161.75,159.15, 159.85,159.95,1258246,2016.81
07-Jun-2011,163.00,163.25,160.00, 160.60,160.65,925825,1492.76
06-Jun-2011,162.15,164.70,162.05, 162.90,163.10,540667,883.25
03-Jun-2011,162.35,165.90,162.00, 164.00,163.60,1217218,1999.78
02-Jun-2011,160.30,161.90,158.60, 161.85,161.30,576596,926.77
01-Jun-2011,158.55,162.70,158.55, 161.05,161.15,1367909,2203.94
31-May-2011,160.70,162.00,158.50, 160.15,159.90,2244584,3601.88
30-May-2011,161.05,162.00,158.50, 159.00,159.35,697504,1115.57
27-May-2011,161.50,163.80,160.25, 160.65,160.85,724626,1173.06
26-May-2011,159.35,161.75,157.50, 160.80,161.15,1747243,2775.58
25-May-2011,158.30,159.35,157.15, 158.05,158.50,244630,386.79
24-May-2011,158.00,160.90,157.00, 158.40,158.45,405702,644.76
23-May-2011,157.45,159.00,156.65, 157.50,158.25,388697,613.63
20-May-2011,160.00,160.00,157.95, 158.80,158.80,286391,455.26
19-May-2011,160.15,160.95,157.95, 159.50,158.50,322176,512.46
