Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,1049.00,1054.95,1025.05, 1049.95,1044.20,713,7.45
29-Dec-2011,1025.00,1048.30,1015.00, 1045.00,1031.40,426,4.41
28-Dec-2011,1010.00,1030.00,1002.50, 1028.00,1025.30,590,6.04
27-Dec-2011,996.00,1014.95,996.00, 1010.00,1007.00,137,1.37
26-Dec-2011,1002.55,1027.15,1002.55, 1003.05,1006.50,300,3.03
23-Dec-2011,1018.70,1030.00,986.05, 1030.00,1020.55,1455,14.69
22-Dec-2011,1010.00,1010.00,975.10, 987.95,990.65,1559,15.41
21-Dec-2011,1025.00,1025.00,960.10, 1010.00,1005.35,3085,30.60
20-Dec-2011,1031.10,1054.65,1000.25, 1000.40,1007.15,1492,15.11
19-Dec-2011,1065.00,1065.00,1018.00, 1040.00,1039.40,13592,142.09
16-Dec-2011,1145.00,1145.00,1062.25, 1065.00,1071.55,559,6.09
15-Dec-2011,1106.00,1136.40,1082.25, 1100.10,1101.30,10009,110.14
14-Dec-2011,1112.90,1140.00,1104.00, 1115.05,1118.40,2365,26.39
13-Dec-2011,1107.10,1125.00,1101.00, 1115.00,1116.20,6449,71.89
12-Dec-2011,1151.25,1174.80,1100.10, 1112.00,1105.85,2098,23.68
09-Dec-2011,1157.00,1180.00,1138.00, 1179.70,1168.10,18626,215.15
08-Dec-2011,1160.50,1169.00,1153.00, 1157.00,1158.50,7855,90.96
07-Dec-2011,1173.00,1184.00,1165.00, 1178.00,1174.40,703,8.27
05-Dec-2011,1170.00,1193.00,1153.00, 1160.50,1161.50,1264,14.71
02-Dec-2011,1180.00,1180.00,1149.00, 1168.00,1164.55,515,5.98
01-Dec-2011,1175.55,1193.00,1151.15, 1180.00,1163.35,878,10.25
30-Nov-2011,1195.00,1195.00,1142.15, 1144.10,1149.70,1194,13.79
29-Nov-2011,1200.00,1200.00,1151.20, 1151.20,1165.60,598,7.04
28-Nov-2011,1175.00,1220.00,1112.35, 1220.00,1199.25,3625,42.56
