Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,78.50,85.05,78.30, 84.00,83.75,55397,45.35
29-Dec-2011,80.05,81.50,78.00, 79.00,79.15,4569,3.63
28-Dec-2011,81.60,82.15,79.10, 81.25,81.30,7844,6.34
27-Dec-2011,81.05,82.40,80.30, 82.25,82.25,21284,17.46
26-Dec-2011,81.90,82.20,81.00, 82.00,82.00,10610,8.70
23-Dec-2011,81.00,82.95,80.40, 82.40,82.10,22417,18.43
22-Dec-2011,79.50,82.00,79.50, 81.90,81.55,9985,8.10
21-Dec-2011,82.75,82.75,76.80, 79.50,79.65,37711,29.85
20-Dec-2011,83.00,89.70,80.35, 80.75,81.80,49623,41.41
19-Dec-2011,79.50,82.50,76.50, 82.50,81.25,36536,28.97
16-Dec-2011,80.00,82.00,79.25, 80.00,79.95,16108,12.95
15-Dec-2011,77.75,80.30,76.00, 80.00,80.05,22964,18.15
14-Dec-2011,79.25,80.45,78.00, 78.00,78.35,2420,1.91
13-Dec-2011,80.00,80.30,79.00, 79.50,79.85,15963,12.75
12-Dec-2011,81.00,81.50,79.10, 79.35,79.40,14450,11.57
09-Dec-2011,79.05,80.50,78.45, 80.25,80.00,22088,17.62
08-Dec-2011,80.00,80.75,79.10, 79.50,79.45,20784,16.63
07-Dec-2011,80.10,81.20,79.55, 80.65,80.95,20402,16.49
05-Dec-2011,81.80,81.80,79.00, 81.00,80.95,18072,14.48
02-Dec-2011,79.05,79.50,78.15, 78.50,78.40,85081,66.85
01-Dec-2011,80.05,81.00,79.10, 79.10,79.70,10939,8.75
30-Nov-2011,82.00,82.00,78.00, 78.75,78.75,11746,9.36
29-Nov-2011,82.60,82.60,81.25, 81.65,81.80,26286,21.43
28-Nov-2011,80.55,83.00,80.55, 81.50,81.80,9042,7.42
25-Nov-2011,82.75,82.75,80.80, 81.60,81.75,11159,9.17
24-Nov-2011,83.00,83.05,81.25, 81.25,81.60,33890,27.99
23-Nov-2011,79.00,83.35,76.55, 83.00,82.80,65263,53.53
22-Nov-2011,82.00,84.45,77.00, 79.00,79.20,63346,51.89
21-Nov-2011,82.00,89.00,79.60, 82.65,84.70,51543,42.99
18-Nov-2011,81.50,81.50,79.00, 79.55,79.70,18803,15.10
17-Nov-2011,84.00,85.00,80.90, 82.30,81.20,22453,18.42
16-Nov-2011,83.00,89.80,82.50, 84.00,84.50,122565,106.88
15-Nov-2011,84.50,84.75,82.00, 83.65,84.00,128626,107.91
14-Nov-2011,89.25,89.25,85.05, 85.50,85.25,26616,23.00
11-Nov-2011,92.00,92.50,87.05, 87.05,87.60,23170,20.36
09-Nov-2011,92.85,92.85,89.50, 90.40,90.05,5581,5.07
08-Nov-2011,92.45,93.00,91.25, 91.25,91.45,29693,27.42
04-Nov-2011,91.10,92.25,90.50, 91.35,91.55,15474,14.20
03-Nov-2011,93.50,93.50,91.45, 91.45,91.50,40911,37.64
02-Nov-2011,95.50,95.50,91.75, 92.20,92.55,299706,275.90
01-Nov-2011,92.75,96.25,91.75, 95.75,95.35,63346,59.67
31-Oct-2011,92.00,93.00,91.25, 91.25,91.90,217404,200.02
28-Oct-2011,93.15,93.75,91.50, 92.15,92.25,16056,14.82
26-Oct-2011,92.00,93.40,92.00, 92.05,92.20,3967,3.66
25-Oct-2011,92.00,92.90,91.50, 92.80,92.20,8316,7.65
24-Oct-2011,91.70,92.50,91.00, 91.50,91.10,432648,397.83
21-Oct-2011,91.60,93.00,91.50, 91.50,91.70,5358,4.93
20-Oct-2011,91.60,92.50,91.00, 91.00,91.85,9640,8.84
19-Oct-2011,92.45,92.95,91.00, 92.00,91.50,29456,27.07
18-Oct-2011,99.80,99.80,92.05, 92.50,92.35,19550,18.23
17-Oct-2011,93.00,103.00,92.10, 95.70,95.10,115699,109.03
14-Oct-2011,91.60,92.15,91.40, 92.15,91.65,42226,38.65
13-Oct-2011,91.80,92.35,91.80, 92.30,92.00,27354,25.18
12-Oct-2011,91.00,92.85,91.00, 92.85,92.65,118852,109.10
11-Oct-2011,90.25,91.95,90.25, 91.75,91.60,53553,48.79
10-Oct-2011,90.10,91.50,90.00, 91.00,90.95,17286,15.69
07-Oct-2011,92.50,100.00,89.20, 90.40,90.35,28545,25.77
05-Oct-2011,90.50,90.50,89.25, 90.00,89.65,11728,10.53
04-Oct-2011,87.65,90.50,87.65, 89.40,89.35,42576,38.21
03-Oct-2011,90.00,90.00,88.00, 88.00,88.25,7822,6.93
30-Sep-2011,89.50,90.50,88.65, 90.10,90.05,77165,68.81
29-Sep-2011,88.00,90.50,86.55, 90.00,90.05,42331,37.82
28-Sep-2011,89.00,89.25,89.00, 89.00,89.00,5407,4.81
27-Sep-2011,89.05,89.40,88.60, 89.00,89.00,56189,50.01
26-Sep-2011,89.05,90.50,87.75, 89.00,89.00,43215,38.48
23-Sep-2011,89.05,89.90,88.60, 89.40,89.00,12304,10.96
22-Sep-2011,89.50,91.50,89.00, 91.00,90.35,33101,29.63
21-Sep-2011,89.00,90.35,89.00, 90.05,90.05,12637,11.32
20-Sep-2011,89.00,90.00,89.00, 89.00,89.15,46443,41.39
