Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,49.00,51.75,49.00, 51.00,51.00,7169,3.64
29-Dec-2011,57.00,57.80,47.55, 50.00,49.90,54123,27.37
28-Dec-2011,53.00,54.80,51.00, 54.70,53.40,94025,50.16
27-Dec-2011,52.45,52.45,51.50, 52.00,51.80,758,0.39
26-Dec-2011,51.50,52.45,51.00, 51.50,51.45,7331,3.80
23-Dec-2011,51.00,53.00,50.30, 51.50,51.50,4319,2.22
22-Dec-2011,51.00,52.85,50.25, 52.20,52.00,1974,1.01
21-Dec-2011,51.50,53.45,51.00, 51.00,51.25,2766,1.43
20-Dec-2011,53.35,53.35,51.40, 52.50,52.50,1043,0.54
19-Dec-2011,53.10,53.10,51.05, 52.40,52.35,2806,1.47
16-Dec-2011,52.10,54.80,52.10, 52.90,52.80,9662,5.11
15-Dec-2011,55.00,55.50,51.65, 53.25,52.70,35746,18.88
14-Dec-2011,56.80,56.80,55.00, 55.50,55.40,22408,12.42
13-Dec-2011,59.95,59.95,55.40, 57.05,56.80,6728,3.79
12-Dec-2011,58.50,58.50,55.55, 55.70,55.95,12465,7.03
09-Dec-2011,57.80,58.50,56.75, 58.45,58.15,3833,2.21
08-Dec-2011,59.40,59.50,56.25, 57.25,57.30,20701,11.89
07-Dec-2011,59.20,59.95,58.85, 58.85,59.05,11315,6.72
05-Dec-2011,59.80,60.75,59.00, 59.00,59.00,16880,10.05
02-Dec-2011,59.80,60.75,59.60, 59.80,59.75,5067,3.03
01-Dec-2011,60.60,64.95,59.00, 59.60,59.70,11313,6.76
30-Nov-2011,59.50,59.85,59.00, 59.85,59.60,3102,1.84
29-Nov-2011,59.65,60.00,58.85, 58.90,59.00,2673,1.59
28-Nov-2011,58.15,60.00,58.00, 59.50,59.85,6262,3.72
25-Nov-2011,60.35,60.35,58.55, 59.00,59.00,5664,3.36
24-Nov-2011,59.25,59.50,59.00, 59.45,59.40,3893,2.30
23-Nov-2011,60.20,60.70,59.00, 59.50,59.65,7779,4.67
22-Nov-2011,60.40,61.90,60.05, 60.50,60.65,2838,1.72
21-Nov-2011,62.00,62.00,60.05, 60.05,60.85,8412,5.15
18-Nov-2011,60.95,62.00,60.00, 61.65,61.70,8771,5.32
17-Nov-2011,60.80,61.65,60.80, 61.05,61.00,5327,3.25
16-Nov-2011,61.00,62.40,59.00, 61.00,60.80,10981,6.69
15-Nov-2011,62.50,63.75,61.10, 61.20,61.50,7305,4.59
