Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,84.00,86.25,83.00, 85.55,85.25,8061,6.88
29-Dec-2011,87.50,88.00,84.25, 84.25,84.50,3302,2.83
28-Dec-2011,88.00,89.00,87.00, 87.00,87.30,6279,5.52
27-Dec-2011,90.00,91.10,87.10, 87.65,88.00,13792,12.18
26-Dec-2011,89.00,92.40,88.40, 91.30,90.90,18360,16.70
23-Dec-2011,89.85,95.00,87.00, 87.60,88.15,55910,51.12
22-Dec-2011,87.70,94.00,86.90, 87.50,88.20,11280,10.10
21-Dec-2011,83.50,88.90,83.50, 85.90,85.35,17736,15.11
20-Dec-2011,85.10,85.90,81.30, 83.05,83.10,5763,4.82
19-Dec-2011,89.00,89.00,84.50, 85.90,85.65,7229,6.18
16-Dec-2011,93.70,93.70,87.10, 87.10,87.85,4954,4.46
15-Dec-2011,92.75,92.75,89.05, 91.00,91.30,4113,3.71
14-Dec-2011,93.00,94.80,91.25, 93.70,93.35,2952,2.76
13-Dec-2011,93.50,95.00,90.00, 94.95,94.20,6922,6.36
12-Dec-2011,95.25,95.25,94.00, 94.00,94.00,3042,2.88
09-Dec-2011,95.00,95.50,92.55, 95.00,94.85,1937,1.83
08-Dec-2011,98.40,101.65,94.50, 94.65,95.00,25044,23.98
07-Dec-2011,105.70,105.70,98.40, 98.70,98.90,22525,22.57
05-Dec-2011,102.65,103.50,101.35, 103.40,103.05,1894,1.94
02-Dec-2011,100.00,102.40,100.00, 101.60,101.85,3008,3.06
01-Dec-2011,99.50,102.90,99.15, 99.55,99.95,9335,9.37
30-Nov-2011,96.20,99.90,96.20, 99.00,99.00,6829,6.75
29-Nov-2011,99.00,103.50,95.25, 96.00,96.25,7262,7.10
28-Nov-2011,96.90,101.90,95.10, 100.50,100.15,3895,3.85
25-Nov-2011,93.10,95.40,93.00, 94.00,94.00,3365,3.18
24-Nov-2011,95.00,95.00,92.50, 93.00,93.05,76377,72.15
23-Nov-2011,95.60,95.90,94.55, 95.00,94.95,15700,14.93
22-Nov-2011,93.25,98.60,93.25, 96.80,96.75,9081,8.77
21-Nov-2011,95.25,97.00,94.55, 96.75,96.15,15702,15.07
18-Nov-2011,98.50,99.50,92.50, 96.15,95.95,21508,20.48
17-Nov-2011,103.90,103.90,98.00, 98.50,98.65,5184,5.15
16-Nov-2011,106.00,107.45,99.05, 100.00,100.25,8042,8.20
15-Nov-2011,110.00,110.00,105.30, 106.10,106.15,4546,4.88
14-Nov-2011,111.50,114.25,110.00, 110.00,110.15,14292,16.06
11-Nov-2011,113.00,114.60,110.80, 111.70,111.70,7631,8.55
09-Nov-2011,116.10,118.20,113.05, 113.05,113.65,7662,8.80
08-Nov-2011,115.00,119.90,115.00, 116.10,117.20,17674,20.81
