Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6.00,6.25,5.90, 6.25,6.10,2657701,161.69
29-Dec-2011,6.50,6.50,5.55, 5.95,5.75,14550848,866.36
28-Dec-2011,6.90,6.90,6.35, 6.45,6.45,2873948,186.97
27-Dec-2011,6.80,7.05,6.75, 6.80,6.80,1019086,69.84
26-Dec-2011,7.00,7.05,6.85, 7.00,7.00,1128593,78.46
23-Dec-2011,7.00,7.15,6.80, 6.85,6.85,1326932,92.49
22-Dec-2011,6.85,6.95,6.60, 6.95,6.90,1197636,81.72
21-Dec-2011,6.55,7.20,6.50, 6.85,6.85,3774254,259.99
20-Dec-2011,6.55,6.60,6.40, 6.40,6.45,968327,62.73
19-Dec-2011,6.55,6.80,6.35, 6.55,6.55,1125297,73.27
16-Dec-2011,7.10,7.10,6.50, 6.50,6.55,1981999,134.12
15-Dec-2011,7.15,7.20,6.90, 7.00,7.00,1287395,91.11
14-Dec-2011,7.60,7.65,7.15, 7.20,7.25,1190416,87.86
13-Dec-2011,7.70,7.85,7.30, 7.45,7.50,1601711,122.31
12-Dec-2011,7.90,8.00,7.65, 7.75,7.75,1278998,100.44
09-Dec-2011,7.85,8.00,7.80, 7.85,7.85,1422332,112.31
08-Dec-2011,8.30,8.35,7.95, 8.05,8.00,1250525,100.90
07-Dec-2011,8.75,8.80,8.25, 8.30,8.35,1377705,117.59
05-Dec-2011,8.35,8.90,8.00, 8.55,8.60,2921716,252.67
02-Dec-2011,8.05,8.35,7.95, 8.30,8.30,979610,80.11
01-Dec-2011,8.20,8.30,7.90, 7.90,7.95,1816444,147.37
30-Nov-2011,8.15,8.15,7.85, 8.00,7.95,1135744,90.60
29-Nov-2011,8.75,8.75,8.05, 8.10,8.15,1306892,107.67
28-Nov-2011,8.25,8.45,8.00, 8.40,8.40,1501788,124.00
25-Nov-2011,8.05,8.30,7.90, 7.90,8.00,1485456,120.23
24-Nov-2011,8.20,8.35,7.75, 8.10,8.05,8581080,687.49
23-Nov-2011,9.45,9.45,8.05, 8.15,8.15,3028569,253.71
22-Nov-2011,8.75,9.15,8.70, 8.90,8.85,2861757,256.09
21-Nov-2011,9.15,9.15,8.55, 8.70,8.70,2725885,241.55
18-Nov-2011,9.25,9.35,9.00, 9.05,9.05,1230172,111.83
17-Nov-2011,9.45,9.80,9.20, 9.30,9.25,1960679,185.45
16-Nov-2011,9.75,9.75,9.15, 9.40,9.30,1535697,143.54
15-Nov-2011,10.25,10.30,9.15, 9.35,9.55,1646084,162.28
14-Nov-2011,10.85,10.95,10.00, 10.10,10.10,1731083,180.39
11-Nov-2011,11.50,11.50,10.60, 10.70,10.70,2111893,230.00
09-Nov-2011,11.00,11.80,10.70, 11.20,11.25,7124783,810.73
08-Nov-2011,11.00,11.00,10.70, 10.75,10.75,566278,61.16
04-Nov-2011,10.80,11.05,10.70, 10.95,10.95,1421681,154.65
03-Nov-2011,10.75,10.85,10.50, 10.70,10.65,626448,66.81
02-Nov-2011,10.70,10.90,10.70, 10.70,10.75,750436,80.83
01-Nov-2011,11.05,11.15,10.75, 10.80,10.80,692876,75.63
31-Oct-2011,11.20,11.25,11.00, 11.15,11.10,991880,110.43
28-Oct-2011,11.50,11.50,10.85, 11.05,11.10,1746536,193.89
26-Oct-2011,10.60,10.85,10.50, 10.80,10.80,448855,48.09
25-Oct-2011,10.60,10.70,10.35, 10.55,10.45,4363731,455.73
24-Oct-2011,10.85,10.85,10.50, 10.60,10.55,1157472,123.99
21-Oct-2011,10.60,10.90,10.55, 10.60,10.65,944843,101.54
20-Oct-2011,10.55,10.95,10.55, 10.75,10.75,1479703,158.83
19-Oct-2011,10.90,11.05,10.85, 10.95,10.95,915421,100.61
18-Oct-2011,11.05,11.10,10.85, 10.90,10.90,1430153,156.21
17-Oct-2011,11.40,11.60,11.20, 11.20,11.30,572648,65.34
14-Oct-2011,11.05,11.55,11.05, 11.55,11.45,1738860,196.78
13-Oct-2011,11.75,11.75,11.15, 11.15,11.25,1680913,192.44
12-Oct-2011,11.10,11.50,11.10, 11.45,11.45,1950189,221.93
11-Oct-2011,11.05,11.35,11.00, 11.05,11.15,1974602,220.72
10-Oct-2011,10.85,11.15,10.85, 11.10,11.05,856220,94.65
07-Oct-2011,10.75,11.10,10.75, 10.90,10.90,1138463,124.68
05-Oct-2011,11.05,11.15,10.55, 10.65,10.65,1353147,146.26
04-Oct-2011,11.20,11.35,10.90, 11.00,11.00,1220600,135.17
03-Oct-2011,11.15,11.20,11.00, 11.10,11.05,831595,92.23
30-Sep-2011,11.20,11.70,11.20, 11.25,11.30,2275612,260.33
29-Sep-2011,11.25,11.40,11.15, 11.40,11.35,2125286,240.11
28-Sep-2011,11.70,11.90,11.40, 11.40,11.50,2230487,258.89
27-Sep-2011,11.60,11.70,11.40, 11.65,11.65,1400496,163.00
26-Sep-2011,11.05,11.80,11.05, 11.30,11.35,2153525,248.16
23-Sep-2011,11.65,11.95,11.50, 11.60,11.70,2338056,273.21
22-Sep-2011,11.85,12.60,11.75, 11.80,11.90,2049737,249.88
21-Sep-2011,12.75,12.85,12.65, 12.75,12.75,1081154,137.96
20-Sep-2011,12.90,12.90,12.40, 12.75,12.80,969627,123.68
19-Sep-2011,12.55,12.95,12.50, 12.55,12.60,775842,98.20
16-Sep-2011,13.00,13.10,12.65, 12.85,12.85,1532707,196.45
15-Sep-2011,12.95,13.10,12.70, 12.85,12.85,1801965,231.32
14-Sep-2011,12.80,13.05,12.55, 12.90,12.85,3765142,482.84
13-Sep-2011,12.45,12.90,12.25, 12.60,12.45,3294112,416.05
12-Sep-2011,12.45,12.55,12.00, 12.05,12.10,2099611,257.40
09-Sep-2011,13.00,13.40,12.65, 12.65,12.75,3130220,410.04
08-Sep-2011,12.90,13.30,12.70, 12.95,12.95,2033839,265.72
07-Sep-2011,12.90,13.20,12.65, 12.80,12.85,2559394,329.75
06-Sep-2011,12.65,12.90,12.20, 12.75,12.75,2391663,299.70
