Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.00,9.10,8.95, 8.95,9.00,3156337,284.63
29-Dec-2011,9.05,9.15,9.00, 9.05,9.05,108025,9.77
28-Dec-2011,9.00,9.20,9.00, 9.15,9.15,321848,29.35
27-Dec-2011,9.00,9.10,9.00, 9.10,9.05,225105,20.27
26-Dec-2011,9.00,9.10,9.00, 9.05,9.05,74229,6.71
23-Dec-2011,9.05,9.15,9.00, 9.10,9.10,102452,9.26
22-Dec-2011,8.95,9.20,8.85, 9.10,9.10,856456,77.75
21-Dec-2011,9.15,9.15,8.95, 9.10,9.00,133442,11.97
20-Dec-2011,8.90,9.15,8.75, 9.05,9.05,1454165,131.40
19-Dec-2011,8.85,9.35,8.75, 9.00,9.00,2457295,220.96
16-Dec-2011,9.05,9.20,8.80, 9.00,8.90,384123,34.24
15-Dec-2011,9.05,9.15,8.75, 9.10,9.15,1548500,141.13
14-Dec-2011,9.00,9.20,8.85, 9.05,9.10,344995,31.26
13-Dec-2011,8.85,9.20,8.85, 9.05,9.05,236794,21.49
12-Dec-2011,9.05,9.25,8.85, 9.20,9.10,507715,46.30
09-Dec-2011,9.15,9.25,9.00, 9.20,9.20,1152984,106.04
08-Dec-2011,9.40,9.40,9.15, 9.20,9.20,153106,14.10
07-Dec-2011,9.15,9.35,9.10, 9.20,9.20,436347,40.27
05-Dec-2011,9.40,9.40,8.90, 9.30,9.30,1762772,162.85
02-Dec-2011,9.55,9.60,9.35, 9.55,9.50,1326157,125.98
01-Dec-2011,9.50,9.55,9.25, 9.55,9.50,774226,73.21
30-Nov-2011,8.60,9.75,8.60, 9.30,9.40,3355419,318.44
29-Nov-2011,9.15,9.40,9.15, 9.35,9.35,1587340,148.15
28-Nov-2011,9.10,9.35,8.95, 9.25,9.20,644787,59.03
25-Nov-2011,9.00,9.45,8.90, 9.25,9.20,2563172,232.50
24-Nov-2011,8.55,8.90,8.35, 8.90,8.80,395499,34.42
23-Nov-2011,8.55,8.65,8.20, 8.50,8.55,359406,30.47
22-Nov-2011,8.05,8.65,8.05, 8.60,8.55,160106,13.60
21-Nov-2011,8.45,8.55,8.20, 8.40,8.35,261170,21.75
18-Nov-2011,8.60,8.60,8.35, 8.35,8.40,1987624,168.86
17-Nov-2011,8.55,8.80,8.35, 8.50,8.50,294471,25.15
16-Nov-2011,8.70,8.75,8.35, 8.60,8.55,212124,18.01
15-Nov-2011,8.60,9.20,8.10, 8.70,8.60,2110558,182.98
14-Nov-2011,8.60,8.60,8.40, 8.40,8.40,239422,20.36
11-Nov-2011,8.55,8.70,8.55, 8.60,8.55,184514,15.89
09-Nov-2011,8.75,8.85,8.65, 8.65,8.70,105555,9.21
08-Nov-2011,8.90,8.90,8.75, 8.75,8.75,100991,8.87
04-Nov-2011,8.75,8.90,8.70, 8.75,8.80,223994,19.74
03-Nov-2011,8.65,8.80,8.60, 8.60,8.60,377873,32.74
02-Nov-2011,8.80,8.85,8.65, 8.65,8.65,233569,20.37
01-Nov-2011,8.85,8.90,8.75, 8.85,8.80,124659,10.97
31-Oct-2011,8.90,8.95,8.80, 8.80,8.80,92758,8.24
28-Oct-2011,8.95,9.20,8.85, 8.90,8.90,370828,33.24
26-Oct-2011,8.85,8.95,8.80, 8.90,8.90,102384,9.09
25-Oct-2011,8.75,8.80,8.65, 8.75,8.70,104821,9.16
24-Oct-2011,8.85,8.90,8.65, 8.70,8.70,149729,13.14
21-Oct-2011,8.75,8.95,8.60, 8.75,8.75,424809,37.39
20-Oct-2011,8.90,9.00,8.90, 8.95,8.90,168552,15.09
19-Oct-2011,9.00,9.05,8.95, 8.95,8.95,90330,8.11
18-Oct-2011,9.00,9.15,8.95, 9.00,9.00,212570,19.16
17-Oct-2011,9.30,9.30,8.90, 8.95,8.95,238766,21.53
14-Oct-2011,9.40,9.40,8.90, 8.95,8.95,112213,10.07
13-Oct-2011,9.00,9.00,8.85, 8.85,8.90,122120,10.90
12-Oct-2011,9.00,9.00,8.90, 9.00,8.95,115762,10.33
11-Oct-2011,9.10,9.10,8.85, 8.85,8.90,302833,27.02
10-Oct-2011,9.10,9.10,8.95, 8.95,9.00,113732,10.24
07-Oct-2011,9.05,9.25,9.00, 9.00,9.05,131487,11.93
05-Oct-2011,9.00,9.15,8.95, 9.05,9.00,186183,16.79
04-Oct-2011,9.10,9.35,8.95, 9.00,9.00,539239,48.76
03-Oct-2011,9.25,9.40,9.00, 9.25,9.25,220364,20.46
30-Sep-2011,9.50,9.60,9.20, 9.30,9.25,221209,20.71
29-Sep-2011,9.75,9.85,9.50, 9.50,9.50,201964,19.40
28-Sep-2011,9.85,9.95,9.75, 9.85,9.80,589711,57.88
27-Sep-2011,9.30,9.90,9.20, 9.85,9.85,2743955,268.48
26-Sep-2011,9.15,9.40,9.15, 9.35,9.35,494681,46.25
23-Sep-2011,9.40,9.60,9.15, 9.50,9.45,716379,67.60
22-Sep-2011,9.30,9.60,9.10, 9.50,9.50,1397728,132.35
21-Sep-2011,8.90,9.55,8.90, 9.40,9.35,708150,65.86
20-Sep-2011,8.80,9.05,8.75, 9.05,8.95,663599,59.26
19-Sep-2011,8.80,8.85,8.75, 8.75,8.75,152725,13.39
16-Sep-2011,8.80,8.95,8.75, 8.75,8.75,288339,25.42
15-Sep-2011,8.80,8.85,8.75, 8.80,8.80,132137,11.64
14-Sep-2011,9.00,9.00,8.80, 8.80,8.80,231430,20.58
13-Sep-2011,8.85,9.00,8.85, 8.90,8.90,337369,30.02
12-Sep-2011,8.90,9.00,8.80, 8.90,8.85,167983,14.94
09-Sep-2011,8.85,9.05,8.80, 9.00,8.95,444330,39.72
08-Sep-2011,8.90,8.95,8.75, 8.85,8.80,263526,23.37
