Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,18.20,19.50,18.20, 18.40,18.45,5137,0.95
29-Dec-2011,19.00,19.70,18.50, 18.70,18.65,5413,1.01
28-Dec-2011,19.00,19.30,17.05, 19.00,19.05,19110,3.54
27-Dec-2011,20.70,20.70,19.10, 19.10,19.15,4998,0.96
26-Dec-2011,19.10,19.90,19.10, 19.75,19.75,3575,0.70
23-Dec-2011,18.40,19.65,18.40, 19.50,19.35,3902,0.75
22-Dec-2011,19.95,19.95,18.05, 18.85,18.90,8270,1.55
21-Dec-2011,19.10,20.00,18.95, 19.00,19.05,22212,4.24
20-Dec-2011,19.60,20.00,18.70, 19.05,19.05,12584,2.41
19-Dec-2011,20.05,21.10,19.50, 19.65,19.70,16684,3.29
16-Dec-2011,22.95,22.95,19.00, 21.00,20.65,25672,5.49
15-Dec-2011,21.30,21.95,21.25, 21.35,21.35,6055,1.31
14-Dec-2011,21.80,22.95,21.60, 22.10,21.95,3613,0.80
13-Dec-2011,23.80,23.80,21.85, 22.10,22.10,36589,8.19
12-Dec-2011,20.70,24.30,20.40, 24.00,23.60,99728,22.54
09-Dec-2011,20.70,21.45,20.60, 20.75,20.60,4959,1.03
08-Dec-2011,20.10,22.25,19.90, 21.65,21.50,40696,8.78
07-Dec-2011,20.90,20.90,20.30, 20.30,20.30,4863,1.00
05-Dec-2011,20.05,20.75,20.05, 20.75,20.35,2379,0.49
02-Dec-2011,20.00,20.50,20.00, 20.45,20.45,3747,0.76
01-Dec-2011,20.60,23.85,20.05, 20.50,20.35,19543,4.05
30-Nov-2011,19.80,20.35,19.80, 20.30,20.25,5831,1.17
29-Nov-2011,20.60,20.60,20.00, 20.05,20.00,5130,1.04
28-Nov-2011,20.05,20.40,20.00, 20.20,20.05,13321,2.68
25-Nov-2011,20.45,20.75,19.50, 20.75,20.50,5067,1.02
24-Nov-2011,19.15,20.30,19.10, 20.30,20.10,6454,1.27
23-Nov-2011,19.00,19.95,18.75, 19.40,19.50,18998,3.66
22-Nov-2011,19.50,19.80,19.00, 19.40,19.20,12135,2.34
21-Nov-2011,19.00,20.90,18.85, 19.20,19.95,7858,1.54
18-Nov-2011,19.25,19.95,18.70, 19.45,19.20,54325,10.41
17-Nov-2011,20.50,20.50,19.80, 20.10,19.90,7711,1.54
16-Nov-2011,20.65,20.65,19.00, 20.50,20.20,48735,9.58
15-Nov-2011,21.40,21.85,19.75, 20.90,20.65,49615,10.22
14-Nov-2011,22.20,22.80,21.50, 21.60,21.70,33383,7.33
11-Nov-2011,23.00,23.00,22.30, 22.30,22.30,6809,1.53
09-Nov-2011,22.80,23.15,22.50, 22.50,22.70,18305,4.15
08-Nov-2011,23.40,23.50,22.80, 22.80,22.85,17299,3.99
04-Nov-2011,23.00,23.60,22.85, 23.40,23.40,9298,2.16
03-Nov-2011,23.65,23.65,22.75, 23.00,22.90,30041,6.91
02-Nov-2011,23.20,23.95,22.95, 23.50,23.40,9481,2.22
01-Nov-2011,22.15,23.50,22.15, 22.85,22.80,9838,2.27
31-Oct-2011,23.10,24.20,22.70, 23.00,23.15,23578,5.45
28-Oct-2011,23.05,23.75,23.05, 23.50,23.55,12452,2.92
26-Oct-2011,23.50,23.50,22.50, 23.50,23.45,4499,1.05
25-Oct-2011,22.35,23.00,22.35, 22.65,22.80,4580,1.04
24-Oct-2011,22.25,23.50,22.25, 22.75,22.75,22541,5.15
21-Oct-2011,23.00,23.05,22.70, 22.80,22.80,6640,1.52
20-Oct-2011,23.50,23.50,22.60, 22.90,22.95,9242,2.11
19-Oct-2011,23.40,23.40,22.90, 22.90,22.95,13039,3.01
18-Oct-2011,23.00,23.30,23.00, 23.25,23.15,6137,1.41
17-Oct-2011,23.10,23.75,23.00, 23.00,23.05,7869,1.83
14-Oct-2011,23.30,23.70,23.00, 23.00,23.35,6722,1.57
13-Oct-2011,23.15,24.15,23.15, 23.25,23.20,23381,5.56
12-Oct-2011,23.10,23.85,23.00, 23.25,23.25,6658,1.55
11-Oct-2011,24.50,24.50,23.05, 23.10,23.20,18660,4.38
10-Oct-2011,24.25,24.50,23.35, 23.90,23.90,11903,2.86
07-Oct-2011,23.10,25.15,22.55, 24.50,24.25,30588,7.32
05-Oct-2011,24.00,24.00,22.70, 23.20,22.85,6811,1.57
04-Oct-2011,21.50,24.45,21.35, 24.00,23.20,26552,6.01
03-Oct-2011,24.45,24.45,21.00, 22.00,22.00,11408,2.51
30-Sep-2011,24.20,24.20,22.20, 22.40,22.30,20215,4.54
29-Sep-2011,22.20,22.85,22.20, 22.85,22.65,5650,1.28
28-Sep-2011,22.55,23.05,22.35, 22.40,22.45,31749,7.23
27-Sep-2011,22.95,23.30,22.50, 22.50,22.65,34862,7.99
26-Sep-2011,23.95,24.30,22.60, 22.60,22.65,16716,3.82
23-Sep-2011,23.65,23.95,23.00, 23.50,23.60,13618,3.17
22-Sep-2011,23.20,24.00,22.70, 24.00,23.65,35181,8.25
21-Sep-2011,24.00,24.10,23.35, 23.40,23.50,20107,4.79
20-Sep-2011,23.50,24.10,23.30, 23.90,23.90,7446,1.77
19-Sep-2011,23.50,24.05,23.00, 23.20,23.30,11316,2.64
16-Sep-2011,24.00,24.50,23.55, 23.60,23.65,16235,3.88
15-Sep-2011,24.15,24.15,23.50, 23.80,23.85,6375,1.52
14-Sep-2011,24.00,24.50,23.80, 24.40,24.15,8317,2.00
13-Sep-2011,23.50,24.50,23.50, 24.10,24.10,11351,2.73
12-Sep-2011,24.70,24.70,23.80, 24.00,23.95,5821,1.40
09-Sep-2011,24.45,25.40,24.35, 24.40,24.65,16854,4.20
08-Sep-2011,24.30,25.55,24.25, 25.05,25.00,20714,5.17
07-Sep-2011,24.50,25.40,23.70, 25.25,25.00,31135,7.78
06-Sep-2011,23.55,25.25,23.55, 25.00,25.10,8395,2.07
05-Sep-2011,23.90,25.00,23.55, 25.00,24.45,16745,4.04
02-Sep-2011,24.50,24.50,23.55, 23.55,23.90,7320,1.74
30-Aug-2011,23.85,24.70,23.10, 23.55,23.40,24060,5.77
29-Aug-2011,24.00,25.00,22.10, 24.00,24.05,7410,1.78
26-Aug-2011,22.50,23.35,22.50, 23.00,23.00,12983,2.98
25-Aug-2011,23.30,23.30,22.50, 22.60,22.65,8053,1.83
24-Aug-2011,23.00,23.70,22.90, 23.05,23.30,12184,2.85
23-Aug-2011,22.00,23.10,21.95, 22.70,22.85,22091,4.99
22-Aug-2011,22.00,22.00,21.20, 21.85,21.75,12563,2.70
19-Aug-2011,22.20,22.20,21.25, 21.55,21.45,54838,11.82
18-Aug-2011,22.65,22.65,21.25, 21.80,21.60,52275,11.37
17-Aug-2011,23.30,23.50,22.65, 22.70,22.75,28323,6.54
16-Aug-2011,24.50,24.80,23.05, 23.25,23.35,13517,3.26
12-Aug-2011,25.00,25.50,24.15, 24.35,24.40,10824,2.70
11-Aug-2011,24.00,25.50,24.00, 24.75,24.90,19736,4.82
10-Aug-2011,24.55,25.55,24.50, 24.50,24.70,20665,5.15
09-Aug-2011,24.00,24.50,23.00, 24.30,24.20,41386,9.90
08-Aug-2011,24.10,25.00,23.35, 24.60,24.60,60465,14.74
05-Aug-2011,25.75,25.85,23.10, 25.60,25.70,34545,8.68
04-Aug-2011,25.95,26.45,25.60, 26.20,26.00,23856,6.22
03-Aug-2011,25.50,26.35,25.00, 26.35,26.10,24541,6.30
02-Aug-2011,27.05,27.20,25.60, 26.00,25.95,78031,20.35
01-Aug-2011,27.75,27.95,27.00, 27.00,27.05,23241,6.36
29-Jul-2011,27.50,28.10,27.40, 27.45,27.65,19759,5.46
28-Jul-2011,27.65,28.00,27.55, 27.55,27.65,26146,7.26
27-Jul-2011,28.30,28.80,27.90, 27.90,28.05,25036,7.04
26-Jul-2011,28.95,29.20,28.35, 28.65,28.55,26948,7.74
25-Jul-2011,29.50,29.80,28.95, 29.00,29.15,34589,10.13
22-Jul-2011,27.50,30.00,27.50, 29.25,29.20,156015,45.95
21-Jul-2011,27.30,28.20,27.30, 27.90,27.80,21023,5.87
20-Jul-2011,29.30,29.30,27.85, 28.00,28.00,29254,8.22
19-Jul-2011,28.10,28.55,27.80, 28.00,28.10,16260,4.56
18-Jul-2011,28.70,28.70,27.90, 28.40,28.30,10500,2.98
15-Jul-2011,28.60,29.30,28.00, 28.20,28.35,13636,3.88
14-Jul-2011,27.75,28.70,27.60, 28.05,28.25,35862,10.11
13-Jul-2011,28.60,28.75,27.65, 28.65,28.65,20439,5.80
12-Jul-2011,28.80,28.85,27.80, 28.00,27.95,35597,10.10
11-Jul-2011,29.20,29.55,28.75, 29.00,28.80,15678,4.59
08-Jul-2011,29.25,30.20,29.20, 29.50,29.40,33701,9.99
07-Jul-2011,28.70,30.25,28.70, 29.00,29.10,44503,13.19
06-Jul-2011,28.50,29.25,28.20, 28.70,28.70,28625,8.21
05-Jul-2011,28.70,28.95,28.20, 28.60,28.60,13315,3.81
04-Jul-2011,28.00,28.75,27.85, 28.75,28.55,14211,4.04
01-Jul-2011,27.25,28.40,27.25, 27.75,28.05,12988,3.66
30-Jun-2011,27.70,28.60,27.70, 28.05,28.30,14065,3.98
29-Jun-2011,27.75,28.60,27.70, 28.00,28.05,14470,4.08
28-Jun-2011,28.05,28.50,27.60, 27.95,28.00,17362,4.85
27-Jun-2011,27.90,28.35,27.30, 28.05,27.95,18749,5.22
24-Jun-2011,30.40,30.40,26.40, 28.50,28.20,49584,13.85
23-Jun-2011,26.55,27.00,26.00, 26.25,26.45,18168,4.81
22-Jun-2011,27.60,28.15,26.75, 26.85,27.00,11200,3.05
21-Jun-2011,27.90,28.60,27.10, 27.25,27.65,28704,8.03
20-Jun-2011,29.95,29.95,27.50, 27.80,27.85,27982,7.96
17-Jun-2011,29.75,29.95,29.00, 29.55,29.35,29809,8.77
16-Jun-2011,29.15,30.50,29.10, 29.40,29.80,19505,5.75
15-Jun-2011,30.20,30.30,29.75, 30.10,29.95,9435,2.83
14-Jun-2011,30.00,30.60,29.85, 30.20,30.40,33003,9.96
13-Jun-2011,29.90,30.20,29.85, 29.85,30.00,22748,6.83
10-Jun-2011,30.50,31.10,29.80, 30.00,30.20,82472,25.14
09-Jun-2011,30.80,30.95,29.25, 29.85,30.20,183461,55.40
08-Jun-2011,28.70,29.20,28.30, 29.15,28.95,41834,12.08
07-Jun-2011,29.10,29.35,28.05, 28.80,28.60,34234,9.89
06-Jun-2011,29.40,30.00,29.00, 29.15,29.05,35114,10.27
