Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
29-Dec-2011,74.85,74.85,74.85, 74.85,74.85,103,0.08
28-Dec-2011,78.75,78.75,78.75, 78.75,78.75,910,0.72
27-Dec-2011,82.90,82.90,82.90, 82.90,82.90,4,0.00
23-Dec-2011,87.25,87.25,87.25, 87.25,87.25,10,0.01
22-Dec-2011,91.80,91.80,91.80, 91.80,91.80,10,0.01
21-Dec-2011,96.60,96.60,96.60, 96.60,96.60,2,0.00
20-Dec-2011,101.65,101.65,101.65, 101.65,101.65,10,0.01
19-Dec-2011,112.00,112.05,105.65, 105.65,107.00,120487,132.33
16-Dec-2011,111.65,113.45,110.95, 110.95,111.20,101318,112.97
15-Dec-2011,111.85,112.00,110.85, 111.30,111.35,87750,97.74
14-Dec-2011,111.85,112.60,110.90, 110.90,111.45,92825,103.74
13-Dec-2011,112.50,112.80,111.20, 111.20,111.50,93034,104.25
12-Dec-2011,112.00,112.95,111.90, 112.75,112.35,98283,110.67
09-Dec-2011,113.60,114.50,111.25, 111.25,111.70,85181,95.79
08-Dec-2011,114.15,114.70,113.45, 113.90,113.75,93623,106.63
07-Dec-2011,114.30,114.85,113.80, 114.10,114.15,80725,92.30
05-Dec-2011,114.00,115.25,113.25, 114.45,114.35,75375,86.16
02-Dec-2011,115.00,115.00,113.70, 113.70,114.25,106303,121.56
01-Dec-2011,114.30,116.00,114.05, 114.85,114.85,32769,37.54
30-Nov-2011,114.50,115.00,113.80, 113.80,113.90,45885,52.49
29-Nov-2011,114.50,114.90,114.00, 114.00,114.00,40527,46.46
28-Nov-2011,113.35,114.55,112.70, 114.00,114.45,52887,60.15
25-Nov-2011,113.30,114.90,113.00, 113.75,113.65,33240,37.74
24-Nov-2011,114.30,114.60,112.80, 112.85,112.85,45196,51.33
23-Nov-2011,115.30,115.80,114.40, 114.40,114.60,34783,40.07
22-Nov-2011,113.00,116.00,112.85, 114.85,114.95,42378,48.59
21-Nov-2011,115.45,116.00,112.95, 113.45,113.40,67284,76.50
18-Nov-2011,115.00,115.95,114.00, 115.40,115.50,42438,48.89
17-Nov-2011,116.25,116.85,115.00, 115.00,115.55,49308,57.40
16-Nov-2011,116.00,116.75,115.70, 115.90,116.30,59619,69.36
15-Nov-2011,116.50,117.00,115.85, 115.85,115.85,42191,49.10
14-Nov-2011,115.25,116.95,114.95, 116.95,116.95,35321,40.78
11-Nov-2011,117.30,118.00,115.00, 116.45,115.30,56914,66.42
09-Nov-2011,117.45,118.00,117.00, 117.95,117.95,40258,47.35
08-Nov-2011,117.85,118.10,117.00, 118.00,118.00,45386,53.42
04-Nov-2011,116.30,118.70,115.95, 118.00,117.25,45603,53.53
03-Nov-2011,117.30,119.10,115.85, 116.15,116.05,46408,54.52
02-Nov-2011,114.60,117.55,113.40, 116.90,117.10,56024,64.32
01-Nov-2011,112.25,113.55,111.95, 113.00,113.00,48203,54.32
31-Oct-2011,108.45,111.50,108.30, 111.30,111.40,43770,48.06
28-Oct-2011,108.50,108.95,107.80, 107.80,108.35,52304,56.73
26-Oct-2011,108.10,108.75,108.00, 108.60,108.50,12120,13.14
25-Oct-2011,107.25,109.40,107.00, 108.35,108.10,53989,58.23
24-Oct-2011,106.50,108.00,106.00, 107.00,107.20,76075,81.36
21-Oct-2011,106.75,107.75,104.80, 104.90,105.00,45532,48.50
20-Oct-2011,106.00,109.00,106.00, 106.00,106.10,38029,40.45
19-Oct-2011,106.25,106.70,105.50, 105.80,105.75,42078,44.68
18-Oct-2011,107.80,107.80,105.75, 106.00,105.95,66549,70.91
17-Oct-2011,107.00,108.45,106.00, 106.00,107.05,49219,52.87
14-Oct-2011,107.35,107.60,104.40, 107.00,107.45,70325,74.76
13-Oct-2011,100.20,112.50,99.80, 105.50,106.80,142630,149.11
12-Oct-2011,103.10,107.45,99.85, 100.75,100.35,159515,162.10
11-Oct-2011,109.05,111.45,104.00, 104.05,104.05,66652,70.71
10-Oct-2011,109.00,110.95,109.00, 109.95,109.10,126855,138.61
07-Oct-2011,101.00,116.90,100.10, 110.00,110.00,122587,133.77
05-Oct-2011,113.80,118.45,100.05, 103.00,102.80,104804,111.36
04-Oct-2011,97.05,118.35,97.05, 114.50,112.15,144563,151.19
03-Oct-2011,97.50,100.00,97.00, 98.50,98.60,173382,170.69
30-Sep-2011,99.00,100.40,97.00, 98.50,97.55,90591,89.26
29-Sep-2011,97.00,101.70,93.85, 99.00,100.55,127534,125.87
28-Sep-2011,94.70,96.10,94.70, 95.05,95.65,107072,102.05
27-Sep-2011,90.20,96.25,90.20, 95.25,95.40,138868,128.32
26-Sep-2011,90.80,91.20,89.95, 90.40,90.80,109861,99.78
23-Sep-2011,90.00,95.70,90.00, 91.00,90.95,102835,93.34
22-Sep-2011,91.50,92.55,90.35, 91.60,91.25,143461,131.23
21-Sep-2011,90.10,94.00,90.10, 90.75,91.95,116077,105.48
20-Sep-2011,90.60,90.95,90.20, 90.20,90.20,121560,110.03
19-Sep-2011,94.50,94.50,90.00, 91.00,90.55,138768,125.55
16-Sep-2011,90.55,90.60,89.20, 89.80,89.75,105197,95.09
15-Sep-2011,90.05,91.75,90.00, 90.00,90.45,102686,92.88
14-Sep-2011,89.50,90.85,89.25, 90.85,90.10,109022,98.14
13-Sep-2011,89.50,90.95,89.20, 90.30,89.90,95383,85.43
12-Sep-2011,89.55,91.05,89.15, 91.05,90.30,113637,101.69
09-Sep-2011,99.00,99.00,89.00, 89.25,89.65,119257,106.82
08-Sep-2011,89.65,89.90,89.00, 89.00,89.45,126296,113.10
07-Sep-2011,95.00,95.00,88.20, 89.35,89.55,108086,96.99
06-Sep-2011,92.10,93.85,89.15, 90.00,90.15,114145,103.65
05-Sep-2011,89.10,96.00,89.10, 94.80,94.25,148083,134.67
02-Sep-2011,90.00,90.00,88.95, 89.40,89.35,117326,105.07
30-Aug-2011,89.10,90.15,88.95, 89.20,89.95,125354,112.20
29-Aug-2011,89.10,90.90,88.85, 89.20,89.50,97394,87.17
26-Aug-2011,89.50,89.55,89.00, 89.00,89.35,114471,102.39
25-Aug-2011,89.05,90.40,89.00, 89.00,89.45,131238,117.48
24-Aug-2011,89.10,90.05,89.10, 89.75,89.75,113213,101.36
23-Aug-2011,89.50,89.90,89.10, 89.70,89.35,99417,88.89
22-Aug-2011,95.00,95.00,88.80, 88.80,89.15,128264,114.58
19-Aug-2011,89.00,89.95,87.20, 88.55,88.30,111944,99.70
18-Aug-2011,89.50,89.50,88.90, 88.90,89.00,104637,93.41
17-Aug-2011,90.45,90.45,88.50, 89.00,89.00,154946,138.48
16-Aug-2011,89.15,90.40,88.80, 89.05,89.45,128328,114.80
12-Aug-2011,89.15,90.00,88.95, 89.20,89.40,138067,123.44
11-Aug-2011,89.10,98.00,88.95, 89.50,89.50,126996,113.43
