Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,118.00,120.50,115.55, 118.00,118.20,8935,10.66
29-Dec-2011,118.00,124.50,118.00, 118.25,118.20,23949,29.11
28-Dec-2011,127.70,129.50,118.30, 119.10,120.95,2829,3.47
27-Dec-2011,121.40,122.15,119.00, 121.00,121.00,19589,23.85
26-Dec-2011,122.10,124.00,119.95, 119.95,120.90,9381,11.37
23-Dec-2011,124.00,126.95,123.55, 124.75,125.05,1336,1.67
22-Dec-2011,120.00,128.30,118.00, 125.05,126.50,3145,3.89
21-Dec-2011,123.95,124.95,123.95, 123.95,123.95,2775,3.44
20-Dec-2011,121.00,124.45,101.75, 123.05,121.70,11623,13.96
19-Dec-2011,115.00,125.00,113.50, 125.00,123.50,7983,9.60
16-Dec-2011,124.10,125.00,113.50, 114.10,116.60,10619,12.71
15-Dec-2011,120.05,127.00,119.05, 127.00,125.05,6554,8.08
14-Dec-2011,122.15,126.00,121.20, 125.25,123.90,17486,21.66
13-Dec-2011,122.60,126.50,121.00, 124.00,124.80,14129,17.64
12-Dec-2011,122.50,128.00,122.50, 125.00,126.55,5809,7.29
09-Dec-2011,122.00,127.45,120.35, 124.95,124.80,3555,4.44
08-Dec-2011,130.00,131.80,125.25, 125.25,127.70,9333,12.05
07-Dec-2011,128.00,133.20,126.55, 130.00,129.95,6836,8.87
05-Dec-2011,123.25,130.75,123.25, 129.50,128.40,5017,6.46
02-Dec-2011,118.00,128.80,118.00, 128.80,126.90,6236,7.75
01-Dec-2011,120.05,124.50,120.05, 122.50,122.35,4527,5.55
30-Nov-2011,122.00,122.05,116.55, 120.90,119.70,21891,25.85
29-Nov-2011,115.25,120.90,115.25, 120.50,120.50,3292,3.89
28-Nov-2011,118.00,126.50,114.00, 119.00,117.65,8286,9.96
25-Nov-2011,113.00,126.00,111.30, 120.05,122.80,5706,6.91
24-Nov-2011,107.10,122.90,102.25, 119.75,119.05,10112,11.17
23-Nov-2011,116.00,116.00,105.10, 108.00,109.20,19732,21.41
22-Nov-2011,130.00,130.00,113.00, 116.00,115.80,22246,26.55
21-Nov-2011,129.80,130.00,122.00, 122.00,126.70,18469,23.47
18-Nov-2011,130.50,130.50,124.00, 126.55,129.15,3180,4.01
17-Nov-2011,140.00,140.00,127.00, 128.50,128.65,11019,14.43
16-Nov-2011,133.00,133.00,127.00, 130.10,127.90,1947,2.49
15-Nov-2011,134.30,138.00,128.40, 128.40,128.90,8650,11.50
14-Nov-2011,130.55,137.90,126.15, 135.75,134.45,15595,20.72
11-Nov-2011,145.25,145.25,132.60, 133.05,134.05,13645,18.80
09-Nov-2011,149.00,149.85,142.30, 144.00,145.15,44350,64.85
08-Nov-2011,147.70,149.90,144.05, 144.10,144.65,2436,3.56
04-Nov-2011,151.00,154.00,147.50, 148.00,149.35,50306,76.17
03-Nov-2011,151.95,157.90,148.15, 148.55,151.65,22986,35.16
02-Nov-2011,143.05,158.45,143.05, 150.00,152.10,55732,85.95
01-Nov-2011,146.15,151.95,144.50, 147.45,147.25,6208,9.26
31-Oct-2011,143.00,154.40,138.00, 147.55,149.30,42478,63.77
28-Oct-2011,132.00,144.40,130.00, 142.00,142.05,12385,17.06
26-Oct-2011,137.60,137.60,127.00, 131.00,132.05,1102,1.47
25-Oct-2011,125.70,129.95,125.70, 128.10,127.80,1125,1.44
24-Oct-2011,133.00,133.00,126.05, 128.70,128.00,2138,2.76
21-Oct-2011,129.00,133.00,128.00, 128.20,130.05,1942,2.53
20-Oct-2011,128.00,129.50,127.10, 129.00,128.00,591,0.76
19-Oct-2011,129.00,131.70,128.05, 128.85,129.45,1822,2.36
18-Oct-2011,129.40,130.00,126.65, 128.30,128.15,1498,1.92
17-Oct-2011,137.40,137.40,131.45, 132.00,131.65,3536,4.68
14-Oct-2011,137.35,137.35,133.50, 134.00,133.80,1919,2.59
13-Oct-2011,135.90,137.40,133.00, 134.55,134.90,10912,14.85
12-Oct-2011,138.00,138.00,132.15, 134.50,133.25,2732,3.67
11-Oct-2011,140.00,144.00,135.45, 137.50,137.15,5889,8.07
10-Oct-2011,139.00,145.00,130.00, 136.00,137.40,555495,801.10
07-Oct-2011,123.00,127.95,122.85, 124.10,123.90,4003,4.98
05-Oct-2011,123.10,130.00,121.15, 121.15,122.15,5227,6.50
04-Oct-2011,130.00,130.10,125.80, 126.05,126.65,3811,4.87
03-Oct-2011,131.15,132.90,129.00, 129.00,129.35,3462,4.51
30-Sep-2011,131.55,134.95,130.00, 130.15,132.75,11206,14.91
29-Sep-2011,133.45,134.95,132.00, 134.95,133.05,2407,3.20
28-Sep-2011,133.65,134.95,133.00, 133.50,134.20,772,1.03
27-Sep-2011,133.25,135.95,133.00, 133.65,133.70,3474,4.65
26-Sep-2011,132.00,136.00,130.10, 134.00,134.00,1849,2.46
23-Sep-2011,140.00,140.00,130.25, 131.50,132.85,5940,7.81
22-Sep-2011,137.15,139.25,130.55, 132.00,133.80,13923,19.08
21-Sep-2011,139.00,141.95,138.00, 139.80,139.40,1937,2.69
20-Sep-2011,141.00,141.00,137.00, 139.00,139.00,5096,7.04
19-Sep-2011,137.90,137.90,135.10, 137.00,137.00,3921,5.37
16-Sep-2011,137.00,138.00,135.60, 136.00,136.40,5998,8.20
15-Sep-2011,138.95,139.00,136.15, 137.00,137.00,3121,4.28
14-Sep-2011,135.80,140.00,135.80, 139.00,139.75,1013,1.41
13-Sep-2011,139.05,142.30,137.50, 137.50,137.90,3325,4.65
12-Sep-2011,140.15,144.50,140.00, 140.15,140.25,1520,2.13
09-Sep-2011,144.55,147.60,142.10, 145.00,145.00,4102,5.95
08-Sep-2011,150.00,150.00,144.00, 145.00,145.00,3396,4.92
07-Sep-2011,146.00,147.80,144.55, 145.60,145.30,3055,4.44
06-Sep-2011,135.35,147.40,135.35, 146.00,145.25,3898,5.62
05-Sep-2011,135.50,140.00,135.50, 140.00,139.05,369,0.51
02-Sep-2011,139.50,140.00,136.00, 140.00,138.20,3155,4.35
30-Aug-2011,133.90,138.25,132.55, 134.80,135.90,35575,48.30
29-Aug-2011,135.40,135.40,130.00, 132.40,130.55,3499,4.62
26-Aug-2011,135.10,137.50,129.80, 129.80,130.20,3459,4.58
25-Aug-2011,140.00,142.00,135.55, 139.00,138.45,2649,3.63
24-Aug-2011,142.10,146.00,139.00, 140.05,140.70,5702,8.04
23-Aug-2011,148.00,148.00,141.50, 142.10,143.05,1465,2.09
22-Aug-2011,143.00,146.00,140.00, 144.50,144.50,2816,4.05
19-Aug-2011,145.60,150.00,139.10, 143.00,140.40,10071,14.46
18-Aug-2011,152.70,152.70,150.00, 150.05,150.30,6528,9.88
17-Aug-2011,152.00,155.00,152.00, 152.70,152.75,737,1.13
16-Aug-2011,154.55,157.90,153.00, 153.00,153.20,3446,5.31
12-Aug-2011,159.70,159.70,154.15, 154.95,154.60,4701,7.30
11-Aug-2011,157.00,158.80,156.00, 156.00,156.05,1752,2.74
10-Aug-2011,156.70,161.00,154.35, 157.00,156.20,10578,16.65
09-Aug-2011,152.90,156.00,151.00, 155.00,154.15,45432,69.77
08-Aug-2011,146.50,159.00,144.00, 154.10,155.00,10230,15.80
05-Aug-2011,149.00,157.00,142.00, 156.00,155.95,46182,71.85
04-Aug-2011,156.00,160.45,155.00, 155.00,155.50,4238,6.61
03-Aug-2011,152.00,162.90,152.00, 159.45,156.95,3813,5.97
02-Aug-2011,159.05,160.00,157.50, 158.95,158.75,4082,6.46
01-Aug-2011,163.30,166.00,161.05, 161.30,162.35,2909,4.74
29-Jul-2011,164.00,167.00,164.00, 164.05,164.90,4265,7.05
28-Jul-2011,162.35,166.80,162.20, 166.30,166.00,12040,19.80
27-Jul-2011,165.25,168.90,164.10, 165.00,166.40,12666,21.09
26-Jul-2011,164.50,169.00,161.00, 166.15,168.00,32693,54.06
25-Jul-2011,158.90,163.75,153.00, 163.50,162.20,16508,26.47
22-Jul-2011,159.00,159.00,153.65, 154.00,154.25,12875,19.94
21-Jul-2011,168.00,168.00,151.00, 155.10,154.60,29248,45.42
20-Jul-2011,165.10,165.10,160.00, 162.75,161.40,12170,19.77
19-Jul-2011,168.00,170.00,164.00, 164.00,164.65,16337,27.11
18-Jul-2011,172.50,172.50,169.10, 169.10,169.35,14986,25.57
15-Jul-2011,168.00,172.00,168.00, 171.00,170.95,7831,13.39
14-Jul-2011,169.50,173.00,166.00, 170.00,170.30,13735,23.29
13-Jul-2011,165.00,169.75,164.15, 168.00,168.05,5676,9.52
12-Jul-2011,168.60,170.00,165.00, 167.00,166.50,9367,15.67
11-Jul-2011,169.00,171.50,168.60, 169.25,169.55,7123,12.12
08-Jul-2011,170.00,172.40,169.00, 169.00,170.05,19768,33.80
07-Jul-2011,168.00,173.85,167.00, 168.00,168.30,76492,129.76
06-Jul-2011,166.90,170.00,166.90, 167.15,167.60,7953,13.33
05-Jul-2011,171.00,171.00,167.20, 168.30,168.65,10037,16.98
04-Jul-2011,175.00,175.00,170.10, 170.60,171.00,8954,15.42
01-Jul-2011,175.00,176.90,171.60, 174.95,173.45,15515,27.07
30-Jun-2011,177.50,177.90,173.55, 174.70,174.70,7546,13.20
29-Jun-2011,179.00,179.30,173.00, 174.55,174.95,6579,11.57
28-Jun-2011,178.00,181.95,172.30, 174.50,173.90,8946,15.80
27-Jun-2011,171.50,178.00,170.40, 177.00,177.05,30394,53.26
24-Jun-2011,175.00,175.00,166.65, 169.00,169.20,11759,19.90
23-Jun-2011,170.10,171.00,167.00, 168.00,168.20,3592,6.05
22-Jun-2011,174.00,175.05,170.05, 170.50,170.85,3099,5.30
21-Jun-2011,172.00,179.00,172.00, 172.70,173.10,6904,11.98
20-Jun-2011,179.00,182.00,174.00, 175.00,175.10,8145,14.38
17-Jun-2011,183.00,185.00,170.70, 182.00,180.25,2860,5.16
