Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,46.00,46.70,44.00, 46.20,46.20,231988,104.56
29-Dec-2011,47.00,47.00,44.75, 45.40,45.25,8168,3.70
28-Dec-2011,46.75,46.75,44.80, 45.50,45.35,17956,8.16
27-Dec-2011,47.20,47.90,45.90, 46.00,46.25,33128,15.42
26-Dec-2011,46.00,48.00,46.00, 47.95,47.35,40783,19.23
23-Dec-2011,46.00,46.70,44.70, 46.60,46.25,33580,15.46
22-Dec-2011,46.05,46.05,44.50, 45.50,45.75,45335,20.52
21-Dec-2011,47.30,47.30,42.75, 46.50,45.90,172913,77.68
20-Dec-2011,45.65,47.40,45.50, 45.70,45.55,65388,30.03
19-Dec-2011,46.55,47.00,45.30, 45.55,45.60,75984,34.79
16-Dec-2011,48.75,49.80,46.65, 46.65,47.30,155455,75.45
15-Dec-2011,47.40,49.45,46.40, 48.00,47.55,104448,49.49
14-Dec-2011,50.00,51.55,48.35, 48.50,48.95,138022,68.78
13-Dec-2011,53.65,54.65,48.30, 50.50,49.95,265215,135.49
12-Dec-2011,54.80,63.45,52.70, 52.95,53.50,1329097,749.61
09-Dec-2011,49.50,53.50,48.40, 52.60,52.90,265210,139.24
08-Dec-2011,52.80,53.20,45.65, 50.60,49.85,197857,98.01
07-Dec-2011,56.70,56.70,51.35, 51.50,51.75,310933,167.28
05-Dec-2011,49.60,57.45,49.00, 53.60,53.55,550019,282.73
02-Dec-2011,46.30,48.65,45.80, 47.90,48.15,381092,183.14
01-Dec-2011,45.90,48.90,45.50, 47.00,47.20,124440,59.06
30-Nov-2011,45.60,45.60,43.65, 45.40,45.00,43614,19.59
29-Nov-2011,45.00,46.70,42.40, 45.60,45.30,75448,34.23
28-Nov-2011,41.35,43.85,41.25, 43.00,43.50,61003,26.27
25-Nov-2011,39.25,41.90,39.25, 41.85,41.45,28992,11.88
24-Nov-2011,38.70,40.45,37.50, 40.45,39.80,34055,13.43
23-Nov-2011,38.70,40.25,38.10, 38.70,38.50,26184,10.23
22-Nov-2011,39.20,40.60,38.65, 40.10,39.95,35056,14.02
21-Nov-2011,43.15,43.15,39.25, 39.25,39.40,18477,7.36
18-Nov-2011,38.20,40.70,36.50, 40.40,39.90,34058,12.85
17-Nov-2011,40.00,40.50,37.55, 38.00,38.20,44797,17.50
16-Nov-2011,39.50,40.00,38.65, 39.40,39.30,27581,10.82
15-Nov-2011,42.00,43.20,39.55, 40.75,40.10,21718,8.82
14-Nov-2011,44.00,45.00,41.85, 42.00,42.20,33171,14.26
11-Nov-2011,45.90,45.90,43.30, 44.10,44.00,20267,9.01
09-Nov-2011,46.50,46.50,45.20, 45.70,45.55,16411,7.52
08-Nov-2011,46.80,46.80,44.80, 45.60,45.65,26374,12.01
04-Nov-2011,44.00,46.00,44.00, 45.40,44.95,26067,11.77
03-Nov-2011,44.90,45.25,43.90, 44.30,44.10,17081,7.56
02-Nov-2011,45.25,45.55,42.10, 44.65,44.40,36022,16.03
01-Nov-2011,46.90,46.90,45.55, 45.55,45.65,11427,5.23
31-Oct-2011,47.00,47.60,45.90, 46.00,46.10,37396,17.48
28-Oct-2011,47.45,47.45,46.30, 46.65,46.70,33996,15.85
26-Oct-2011,45.80,46.80,45.80, 45.90,46.30,8653,3.99
25-Oct-2011,47.50,47.50,44.75, 45.30,45.55,23717,10.82
24-Oct-2011,46.20,48.50,46.20, 46.90,46.80,107540,50.75
21-Oct-2011,44.90,46.25,44.30, 45.70,45.75,122709,55.69
20-Oct-2011,44.75,45.40,44.10, 44.20,44.20,17478,7.78
19-Oct-2011,45.90,46.00,44.50, 44.50,44.75,47327,21.28
18-Oct-2011,44.25,46.80,44.20, 44.70,44.65,92441,41.98
17-Oct-2011,45.00,45.10,43.00, 44.35,44.45,32051,14.23
14-Oct-2011,44.25,45.10,43.80, 44.95,44.35,9202,4.08
13-Oct-2011,45.15,45.95,44.50, 44.50,44.65,12217,5.51
12-Oct-2011,43.40,45.30,43.40, 45.00,44.95,20893,9.40
11-Oct-2011,44.90,45.45,44.10, 44.10,44.30,6304,2.82
10-Oct-2011,43.20,45.00,42.50, 44.00,44.00,17345,7.61
07-Oct-2011,42.90,43.70,42.00, 43.00,42.90,18341,7.87
05-Oct-2011,41.50,44.25,41.50, 42.00,42.10,16126,6.86
04-Oct-2011,42.45,43.25,42.15, 42.90,42.55,12229,5.22
03-Oct-2011,43.55,44.45,42.15, 42.75,42.45,7914,3.38
30-Sep-2011,45.45,46.00,43.25, 43.55,43.55,16507,7.38
29-Sep-2011,45.00,45.65,44.50, 45.50,45.10,18055,8.15
28-Sep-2011,45.20,46.05,44.50, 45.00,45.05,14423,6.54
27-Sep-2011,44.50,45.80,44.00, 45.20,45.35,29866,13.51
26-Sep-2011,42.05,45.25,41.10, 45.00,44.50,34706,14.92
23-Sep-2011,43.20,43.70,41.90, 42.20,42.30,29431,12.55
22-Sep-2011,45.00,46.00,43.50, 43.50,44.10,20717,9.23
21-Sep-2011,46.50,46.80,45.05, 45.35,45.70,45698,20.94
20-Sep-2011,41.00,46.80,41.00, 46.25,46.15,102195,46.13
19-Sep-2011,40.40,42.30,40.40, 42.00,41.95,17742,7.39
16-Sep-2011,42.00,42.50,41.50, 42.00,41.80,13848,5.81
15-Sep-2011,41.30,42.30,41.30, 42.05,42.00,12429,5.21
14-Sep-2011,39.45,41.75,39.45, 41.75,41.30,20900,8.57
13-Sep-2011,40.45,41.10,39.90, 40.40,40.10,54699,22.19
12-Sep-2011,40.80,41.40,39.35, 41.15,40.75,54597,22.13
09-Sep-2011,39.00,42.40,39.00, 41.20,41.40,85130,35.26
08-Sep-2011,40.00,40.50,38.20, 39.00,38.90,91057,35.66
07-Sep-2011,40.00,40.90,39.10, 40.10,40.00,86035,34.35
06-Sep-2011,38.25,40.15,38.20, 39.95,39.35,42741,16.61
05-Sep-2011,39.80,40.25,38.80, 39.45,39.05,26522,10.38
02-Sep-2011,39.80,40.50,39.10, 39.90,39.95,25736,10.29
30-Aug-2011,39.20,40.00,38.30, 39.35,38.95,18791,7.34
29-Aug-2011,39.75,39.90,37.50, 37.50,37.90,54037,20.79
26-Aug-2011,38.50,38.60,36.15, 36.15,37.10,22533,8.46
25-Aug-2011,38.00,39.25,37.25, 37.75,37.95,22867,8.72
24-Aug-2011,39.05,39.50,37.70, 38.35,38.10,18109,7.00
23-Aug-2011,38.10,39.75,38.10, 38.50,38.70,23223,9.02
22-Aug-2011,36.45,38.35,35.30, 37.75,37.90,19684,7.36
19-Aug-2011,36.90,39.90,34.50, 36.45,36.65,47942,17.04
18-Aug-2011,38.15,38.90,36.75, 37.70,37.10,36574,13.79
17-Aug-2011,39.50,40.45,37.95, 38.00,38.10,52647,20.28
16-Aug-2011,41.15,42.20,39.40, 39.55,39.60,34108,13.90
12-Aug-2011,41.40,47.70,40.35, 41.50,41.05,57708,23.97
11-Aug-2011,40.80,40.95,39.75, 40.10,40.30,73262,29.52
10-Aug-2011,40.65,43.00,40.35, 40.45,40.70,99674,40.97
09-Aug-2011,42.00,42.65,40.00, 40.55,40.65,50838,21.16
08-Aug-2011,43.00,43.00,39.00, 43.00,42.90,50254,20.91
05-Aug-2011,45.90,45.90,42.55, 43.95,43.75,64549,28.09
04-Aug-2011,45.00,47.70,45.00, 46.00,45.75,35901,16.70
03-Aug-2011,47.05,48.00,46.25, 47.15,46.70,30505,14.24
02-Aug-2011,49.10,49.35,47.00, 47.45,47.50,44354,21.31
01-Aug-2011,49.80,50.10,49.05, 50.00,49.90,55376,27.65
29-Jul-2011,49.60,50.05,48.20, 48.50,48.90,40915,20.21
28-Jul-2011,49.95,50.20,48.80, 49.15,49.35,40708,20.05
27-Jul-2011,51.00,51.00,49.40, 50.00,50.05,54658,27.38
26-Jul-2011,52.00,52.00,50.15, 50.85,50.45,80280,40.92
25-Jul-2011,51.80,55.40,51.30, 51.70,52.00,804493,428.73
22-Jul-2011,51.65,52.40,50.65, 51.65,51.80,75432,38.85
21-Jul-2011,53.50,53.50,51.55, 52.00,51.85,31843,16.54
20-Jul-2011,52.60,53.10,52.10, 52.50,52.40,116369,61.23
19-Jul-2011,52.00,52.40,51.55, 51.85,52.05,31794,16.56
