Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,185.90,194.35,185.90, 188.50,189.50,46469,88.52
29-Dec-2011,188.30,191.65,182.55, 188.00,186.50,57891,108.42
28-Dec-2011,196.50,196.50,187.35, 187.75,188.40,54458,103.27
27-Dec-2011,199.90,201.50,191.00, 191.60,192.55,30235,59.13
26-Dec-2011,201.95,201.95,195.00, 198.30,197.45,45574,89.55
23-Dec-2011,202.00,204.55,196.55, 198.50,198.60,27241,54.24
22-Dec-2011,196.55,202.95,194.50, 200.05,199.90,58390,116.77
21-Dec-2011,198.00,202.25,192.20, 199.50,198.45,32194,63.23
20-Dec-2011,197.05,201.05,190.50, 194.05,196.00,103559,203.12
19-Dec-2011,205.85,207.00,198.00, 198.20,199.00,136431,273.25
16-Dec-2011,223.30,229.00,201.70, 204.00,208.65,329170,728.28
15-Dec-2011,221.60,224.90,220.00, 224.90,222.35,76509,170.15
14-Dec-2011,227.00,227.80,220.15, 223.05,224.65,71029,159.93
13-Dec-2011,215.10,226.05,211.20, 226.00,222.55,35336,77.36
12-Dec-2011,213.00,221.00,211.55, 215.10,217.60,62529,136.07
09-Dec-2011,210.00,220.45,210.00, 216.00,216.60,223986,478.94
08-Dec-2011,218.55,224.30,213.05, 214.15,214.50,219952,483.28
07-Dec-2011,226.50,230.50,217.50, 217.50,222.30,86941,195.59
05-Dec-2011,222.60,228.95,222.60, 227.05,227.15,22112,50.15
02-Dec-2011,220.25,227.00,220.25, 227.00,225.35,45576,102.44
01-Dec-2011,219.00,225.00,219.00, 223.00,223.05,88173,196.01
30-Nov-2011,217.00,218.00,212.30, 217.25,217.00,15338,33.15
29-Nov-2011,213.50,223.65,210.75, 216.10,216.50,59401,129.71
28-Nov-2011,213.95,216.35,211.05, 215.30,215.00,114499,245.77
25-Nov-2011,212.00,216.50,209.00, 209.00,211.10,31338,66.76
24-Nov-2011,207.00,221.00,205.00, 219.50,215.50,76126,160.72
23-Nov-2011,205.95,208.95,204.00, 208.00,206.60,282074,582.95
22-Nov-2011,203.00,210.50,200.45, 206.05,207.00,56492,117.08
21-Nov-2011,200.15,204.85,200.00, 203.10,202.10,109968,222.65
18-Nov-2011,210.00,211.90,201.00, 206.00,204.50,219414,449.08
17-Nov-2011,221.95,224.95,213.00, 213.00,216.55,40541,88.87
16-Nov-2011,221.50,223.50,217.10, 220.45,220.80,85311,187.17
15-Nov-2011,224.90,224.90,219.00, 222.20,221.40,122810,271.23
14-Nov-2011,230.00,230.00,222.00, 222.30,224.80,117385,264.09
11-Nov-2011,229.00,232.00,226.00, 229.50,229.85,76658,175.48
09-Nov-2011,231.10,236.75,228.40, 231.00,230.10,74691,174.28
08-Nov-2011,231.65,232.85,228.40, 231.20,230.40,17165,39.53
04-Nov-2011,228.20,232.25,228.20, 231.00,231.30,29660,68.50
03-Nov-2011,234.90,234.90,226.70, 228.00,227.60,39841,91.63
02-Nov-2011,229.50,234.00,229.30, 233.40,232.40,29610,68.65
01-Nov-2011,236.00,236.00,230.20, 234.00,231.80,23906,55.55
31-Oct-2011,241.75,241.75,233.05, 233.05,234.15,71730,168.86
28-Oct-2011,237.00,245.00,236.00, 236.00,237.25,179518,427.34
26-Oct-2011,235.00,236.55,233.05, 235.70,235.20,12047,28.31
25-Oct-2011,231.10,234.50,228.15, 231.00,232.15,152171,352.75
24-Oct-2011,236.00,236.50,229.10, 230.05,230.95,76885,179.91
21-Oct-2011,233.00,238.00,232.15, 233.00,233.45,17545,41.33
20-Oct-2011,237.00,242.95,234.35, 235.00,235.35,32467,77.03
19-Oct-2011,233.60,243.00,233.60, 242.00,241.95,84653,202.76
18-Oct-2011,240.00,241.00,231.00, 233.50,233.60,140506,328.31
17-Oct-2011,248.95,249.65,240.25, 241.55,241.55,557699,1374.20
14-Oct-2011,244.70,247.80,244.00, 247.80,246.70,42936,105.43
13-Oct-2011,246.00,248.40,242.35, 244.05,245.40,558355,1372.93
12-Oct-2011,243.05,245.85,241.00, 244.00,244.30,189375,460.12
11-Oct-2011,244.00,246.05,239.35, 242.00,241.80,116281,281.49
10-Oct-2011,240.05,242.50,240.00, 240.25,240.90,24983,60.10
07-Oct-2011,234.05,242.65,231.00, 239.75,239.40,219239,524.48
05-Oct-2011,226.05,234.75,226.05, 229.00,230.20,697120,1596.57
04-Oct-2011,235.05,236.90,228.75, 228.80,229.55,39817,92.71
03-Oct-2011,247.95,247.95,233.20, 234.95,234.90,57875,138.15
30-Sep-2011,245.00,252.50,242.00, 250.00,250.50,38796,96.11
29-Sep-2011,243.00,249.00,236.95, 249.00,246.30,60856,148.76
28-Sep-2011,237.00,249.70,237.00, 240.10,242.10,29224,71.75
27-Sep-2011,252.10,253.80,245.25, 250.00,249.05,513522,1283.15
26-Sep-2011,251.55,253.95,241.80, 250.00,249.50,182481,454.23
23-Sep-2011,252.50,254.80,248.05, 250.50,250.65,121941,306.84
22-Sep-2011,258.00,259.05,251.10, 255.00,254.15,169246,431.93
21-Sep-2011,254.50,264.50,253.00, 260.30,261.90,128004,330.90
20-Sep-2011,253.50,255.95,251.35, 254.45,253.80,80090,203.43
19-Sep-2011,255.00,255.00,248.10, 252.95,253.80,59717,150.54
16-Sep-2011,246.00,254.90,242.85, 252.40,252.80,139376,349.54
15-Sep-2011,246.50,248.95,240.15, 245.00,245.05,337308,822.84
14-Sep-2011,245.00,249.70,242.25, 247.00,245.65,272781,672.97
13-Sep-2011,244.70,251.35,226.00, 243.45,244.25,512691,1256.36
12-Sep-2011,244.95,245.05,238.05, 242.00,243.70,268105,649.10
09-Sep-2011,248.00,248.00,237.40, 246.30,244.70,450961,1094.54
08-Sep-2011,245.85,246.90,243.75, 246.90,245.35,97253,238.75
07-Sep-2011,244.90,247.50,237.30, 244.75,245.00,345918,844.54
06-Sep-2011,240.60,245.95,239.05, 241.50,240.00,28958,69.90
05-Sep-2011,241.00,245.65,236.10, 245.30,243.55,48056,115.74
02-Sep-2011,240.95,244.90,235.75, 241.50,241.15,51320,123.02
30-Aug-2011,232.65,242.00,226.05, 241.00,238.45,108294,253.26
29-Aug-2011,221.50,227.85,219.85, 227.15,226.40,146303,328.39
26-Aug-2011,224.00,224.00,218.40, 218.40,220.10,135469,299.72
25-Aug-2011,235.55,235.90,223.00, 223.00,226.85,818885,1854.33
24-Aug-2011,234.05,238.00,233.00, 236.00,235.05,226663,532.10
23-Aug-2011,230.10,234.95,229.60, 233.50,233.25,60492,140.89
22-Aug-2011,222.00,230.00,221.00, 229.45,228.45,76511,173.34
19-Aug-2011,222.25,228.00,215.60, 221.05,224.05,845334,1892.22
18-Aug-2011,241.90,241.90,217.60, 225.00,225.75,531505,1209.75
17-Aug-2011,241.00,242.85,234.25, 238.10,239.90,200120,480.47
16-Aug-2011,245.05,245.05,237.25, 240.05,240.55,457263,1097.69
12-Aug-2011,240.20,241.80,235.25, 238.10,238.20,120882,287.52
11-Aug-2011,239.05,242.00,235.00, 236.80,237.95,253414,601.26
10-Aug-2011,255.00,255.00,234.05, 235.55,236.70,240792,580.26
09-Aug-2011,249.95,253.45,233.00, 247.00,246.85,229231,556.33
08-Aug-2011,253.00,258.55,240.10, 255.60,254.85,153832,384.96
05-Aug-2011,259.00,261.95,242.60, 254.90,253.70,272056,685.03
04-Aug-2011,262.05,266.90,260.15, 266.40,265.30,148325,390.74
03-Aug-2011,265.05,265.05,261.00, 262.00,261.65,53050,139.15
02-Aug-2011,269.15,272.75,263.85, 267.00,267.75,68342,182.80
01-Aug-2011,270.05,273.70,263.00, 272.00,272.45,86363,234.05
29-Jul-2011,271.15,274.35,268.00, 270.50,271.30,115861,314.91
28-Jul-2011,273.00,280.00,268.25, 270.00,271.65,115905,315.57
27-Jul-2011,274.95,281.00,269.05, 281.00,278.40,136112,372.85
26-Jul-2011,283.50,283.50,276.00, 276.75,277.85,106399,296.12
25-Jul-2011,283.00,286.85,280.90, 281.20,282.00,142301,404.20
22-Jul-2011,276.85,284.35,275.20, 281.75,281.45,203890,572.44
21-Jul-2011,274.05,277.75,272.45, 274.95,274.95,46845,129.05
20-Jul-2011,273.05,280.00,272.10, 274.90,275.55,37424,103.41
19-Jul-2011,274.15,278.90,273.70, 278.00,277.00,59350,164.63
18-Jul-2011,279.00,283.10,273.65, 274.10,275.20,70960,197.83
15-Jul-2011,272.75,281.40,272.00, 281.40,279.95,228397,633.47
14-Jul-2011,267.00,274.40,267.00, 272.00,271.95,115925,315.05
13-Jul-2011,267.00,274.20,267.00, 272.00,271.85,278265,756.89
12-Jul-2011,265.15,271.00,265.15, 267.00,266.90,74042,198.13
11-Jul-2011,273.60,275.45,269.05, 272.00,271.85,151597,413.09
08-Jul-2011,280.90,280.90,274.00, 274.30,274.80,113090,314.23
07-Jul-2011,282.95,285.90,279.20, 280.00,280.00,395690,1115.14
06-Jul-2011,289.05,291.00,281.15, 282.00,283.65,88919,254.17
05-Jul-2011,293.95,294.70,285.00, 287.00,286.75,110941,320.50
04-Jul-2011,286.00,293.55,281.00, 292.25,292.35,52262,152.11
01-Jul-2011,290.00,296.90,286.00, 286.00,287.05,102837,298.25
30-Jun-2011,286.90,293.50,278.60, 292.05,287.60,167136,476.92
29-Jun-2011,281.75,287.00,280.00, 283.55,283.55,52511,148.91
28-Jun-2011,285.00,285.00,277.05, 280.50,280.45,64593,181.10
27-Jun-2011,284.40,284.40,272.15, 281.65,279.65,32587,90.79
24-Jun-2011,268.00,278.00,264.30, 273.75,274.55,132773,358.15
23-Jun-2011,263.25,266.00,262.05, 265.00,264.95,94896,251.23
22-Jun-2011,260.40,267.80,259.60, 263.50,264.80,152071,402.21
21-Jun-2011,269.50,269.50,260.00, 260.40,261.60,92788,245.30
20-Jun-2011,278.80,279.00,265.00, 265.00,267.80,144521,393.00
17-Jun-2011,286.25,287.70,277.05, 277.60,278.85,54147,152.03
16-Jun-2011,285.05,286.50,282.30, 285.15,285.10,74369,211.68
15-Jun-2011,286.85,286.85,283.25, 285.95,284.90,68473,195.21
14-Jun-2011,290.95,290.95,282.15, 285.35,286.00,70683,201.71
13-Jun-2011,284.00,285.95,281.20, 284.20,284.90,77088,218.74
10-Jun-2011,290.95,290.95,280.00, 284.50,285.85,257801,735.66
09-Jun-2011,294.65,294.70,287.10, 288.00,288.55,109621,317.48
08-Jun-2011,293.40,296.50,291.65, 293.10,293.30,339495,1000.46
07-Jun-2011,292.00,294.45,291.35, 293.00,292.70,91538,268.68
06-Jun-2011,298.00,298.50,291.35, 292.00,293.35,66012,194.44
03-Jun-2011,294.10,305.40,293.55, 297.30,296.75,403180,1212.35
02-Jun-2011,285.80,294.50,284.00, 293.10,293.35,149290,433.55
01-Jun-2011,290.05,291.40,287.25, 287.60,289.05,116666,337.50
31-May-2011,286.00,292.00,283.35, 290.05,289.70,144620,417.14
30-May-2011,282.90,288.00,276.85, 287.15,284.65,106812,300.63
27-May-2011,271.05,280.75,270.05, 280.75,279.40,50015,138.03
26-May-2011,276.00,281.00,270.65, 274.00,272.90,203177,555.26
25-May-2011,277.00,279.60,274.00, 277.95,277.10,67895,188.05
24-May-2011,275.35,283.00,273.00, 279.00,280.10,62605,173.66
23-May-2011,280.40,281.00,275.50, 277.20,276.60,27461,76.21
20-May-2011,282.00,287.80,279.40, 280.95,281.40,62603,176.72
19-May-2011,286.00,289.50,278.25, 278.30,280.05,40166,113.46
18-May-2011,287.85,287.85,280.65, 284.70,285.00,108375,308.59
17-May-2011,289.70,297.80,284.10, 284.55,287.15,257945,752.69
16-May-2011,285.00,291.00,283.95, 288.00,288.25,106003,305.51
13-May-2011,283.95,286.50,279.10, 284.05,284.50,90926,257.68
12-May-2011,280.00,284.95,279.60, 281.50,281.30,90556,255.90
11-May-2011,276.40,283.90,272.65, 281.00,282.10,213097,596.35
10-May-2011,261.15,274.95,261.15, 274.95,274.15,105379,286.88
09-May-2011,285.00,285.05,268.15, 270.15,271.30,269990,734.47
06-May-2011,286.45,291.75,282.35, 283.00,284.70,109546,312.05
05-May-2011,282.10,289.00,282.00, 287.00,286.95,156778,447.58
04-May-2011,285.40,286.50,278.50, 283.80,282.30,161305,455.32
03-May-2011,278.00,286.60,272.00, 285.85,285.40,192209,545.20
02-May-2011,285.00,290.00,280.00, 282.00,282.55,66885,189.35
