Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.55,2.55,2.55, 2.55,2.55,100,0.00
23-Dec-2011,2.65,2.65,2.65, 2.65,2.65,5,0.00
16-Dec-2011,2.75,2.75,2.75, 2.75,2.75,500,0.01
15-Dec-2011,2.85,2.85,2.85, 2.85,2.85,125,0.00
14-Dec-2011,2.95,3.00,2.95, 3.00,3.00,350,0.01
12-Dec-2011,3.10,3.10,3.10, 3.10,3.10,500,0.02
09-Dec-2011,3.50,3.50,3.15, 3.25,3.25,6116,0.20
08-Dec-2011,3.55,3.55,3.00, 3.10,3.10,1259,0.04
07-Dec-2011,3.10,3.55,3.10, 3.20,3.30,6280,0.21
05-Dec-2011,3.00,3.35,2.75, 3.35,3.30,4170,0.13
02-Dec-2011,3.95,3.95,3.10, 3.35,3.35,8182,0.26
01-Dec-2011,3.00,3.50,3.00, 3.30,3.30,13655,0.45
30-Nov-2011,3.70,3.70,3.25, 3.35,3.30,11022,0.37
29-Nov-2011,2.80,3.10,2.30, 3.10,3.10,10026,0.29
28-Nov-2011,2.85,2.85,2.55, 2.60,2.60,5106,0.14
25-Nov-2011,2.85,2.90,2.05, 2.45,2.40,12599,0.30
24-Nov-2011,2.65,2.65,2.30, 2.55,2.55,203,0.01
23-Nov-2011,2.75,2.85,2.40, 2.40,2.40,9864,0.25
22-Nov-2011,2.60,2.80,2.25, 2.35,2.35,1776,0.04
21-Nov-2011,2.90,2.90,2.35, 2.55,2.50,3239,0.08
18-Nov-2011,2.30,2.60,2.30, 2.50,2.50,841,0.02
17-Nov-2011,2.45,2.45,2.30, 2.45,2.35,11920,0.28
16-Nov-2011,2.55,2.60,2.55, 2.60,2.60,1200,0.03
15-Nov-2011,3.55,3.55,2.55, 2.90,2.90,5651,0.15
14-Nov-2011,3.10,3.10,2.65, 3.05,3.05,2365,0.07
11-Nov-2011,2.60,3.05,2.60, 2.95,2.65,552,0.01
09-Nov-2011,3.15,3.15,3.15, 3.15,3.15,1,0.00
08-Nov-2011,3.50,3.50,2.80, 2.95,2.95,2693,0.08
04-Nov-2011,3.25,3.25,3.00, 3.05,3.05,600,0.02
03-Nov-2011,3.25,3.25,2.85, 3.10,3.10,3828,0.12
02-Nov-2011,2.90,3.15,2.85, 3.15,3.10,4155,0.13
01-Nov-2011,3.10,3.10,2.85, 3.00,3.00,1150,0.03
31-Oct-2011,2.70,3.00,2.70, 2.90,2.90,93,0.00
28-Oct-2011,3.00,3.00,2.90, 2.95,2.95,629,0.02
26-Oct-2011,2.85,2.85,2.85, 2.85,2.85,600,0.02
25-Oct-2011,2.90,2.90,2.60, 2.75,2.75,6104,0.17
24-Oct-2011,2.90,2.90,2.70, 2.70,2.70,13928,0.39
21-Oct-2011,3.00,3.00,3.00, 3.00,3.00,20,0.00
20-Oct-2011,3.00,3.00,2.75, 2.90,2.90,4300,0.12
19-Oct-2011,3.00,3.00,2.90, 2.90,2.90,1260,0.04
18-Oct-2011,2.95,3.00,2.85, 2.85,2.90,4171,0.12
17-Oct-2011,2.85,3.05,2.85, 2.95,2.95,2100,0.06
14-Oct-2011,3.00,3.20,3.00, 3.00,3.00,3011,0.09
13-Oct-2011,3.25,3.25,3.05, 3.25,3.25,1011,0.03
12-Oct-2011,3.05,3.05,2.90, 3.05,3.05,1900,0.06
11-Oct-2011,3.00,3.00,2.95, 2.95,2.95,2700,0.08
10-Oct-2011,2.85,3.10,2.80, 2.90,2.90,4325,0.12
07-Oct-2011,2.80,3.05,2.80, 2.95,2.95,610,0.02
05-Oct-2011,3.00,3.10,3.00, 3.05,3.05,100,0.00
04-Oct-2011,2.90,2.90,2.80, 2.90,2.90,2360,0.07
03-Oct-2011,2.90,2.90,2.90, 2.90,2.90,34,0.00
30-Sep-2011,2.90,2.90,2.90, 2.90,2.90,2000,0.06
29-Sep-2011,2.90,3.15,2.85, 3.05,3.05,1551,0.05
28-Sep-2011,3.00,3.15,3.00, 3.05,3.05,1235,0.04
27-Sep-2011,3.15,3.15,2.95, 3.15,3.15,2699,0.08
26-Sep-2011,3.25,3.25,3.00, 3.05,3.05,29186,0.89
23-Sep-2011,3.25,3.50,3.15, 3.30,3.30,2401,0.08
22-Sep-2011,3.30,3.30,3.30, 3.30,3.30,900,0.03
21-Sep-2011,3.30,3.55,3.30, 3.50,3.50,529,0.02
20-Sep-2011,3.35,3.50,3.35, 3.45,3.45,1001,0.03
19-Sep-2011,3.45,3.45,3.45, 3.45,3.45,1000,0.03
16-Sep-2011,3.35,3.50,3.35, 3.35,3.35,349,0.01
15-Sep-2011,3.40,3.40,3.30, 3.35,3.35,1619,0.05
13-Sep-2011,3.30,3.45,3.30, 3.45,3.35,1865,0.06
12-Sep-2011,3.55,3.55,3.50, 3.55,3.55,140,0.00
09-Sep-2011,3.40,3.50,3.25, 3.35,3.35,10388,0.35
08-Sep-2011,3.30,3.60,3.30, 3.40,3.40,905,0.03
07-Sep-2011,3.40,3.45,3.35, 3.45,3.45,3500,0.12
06-Sep-2011,3.50,3.50,3.35, 3.35,3.35,8437,0.29
05-Sep-2011,3.50,3.50,3.50, 3.50,3.50,4500,0.16
02-Sep-2011,3.65,3.65,3.65, 3.65,3.65,2,0.00
24-Aug-2011,3.50,3.80,3.50, 3.80,3.80,1738,0.06
23-Aug-2011,3.40,3.70,3.35, 3.70,3.65,4333,0.15
22-Aug-2011,3.70,3.70,3.50, 3.50,3.50,1175,0.04
19-Aug-2011,3.30,3.65,3.30, 3.65,3.65,8281,0.27
18-Aug-2011,3.45,3.45,3.45, 3.45,3.45,1815,0.06
17-Aug-2011,3.60,3.60,3.35, 3.60,3.60,1800,0.06
16-Aug-2011,3.45,3.45,3.45, 3.45,3.45,237,0.01
12-Aug-2011,3.50,3.55,3.40, 3.50,3.50,1220,0.04
11-Aug-2011,3.55,3.60,3.50, 3.50,3.50,576,0.02
10-Aug-2011,3.50,3.60,3.50, 3.55,3.55,2537,0.09
09-Aug-2011,3.65,3.65,3.65, 3.65,3.65,2200,0.08
08-Aug-2011,3.60,3.80,3.60, 3.80,3.80,2749,0.10
05-Aug-2011,3.80,3.80,3.65, 3.80,3.75,10749,0.40
04-Aug-2011,3.90,4.00,3.75, 3.90,3.80,8236,0.32
03-Aug-2011,3.75,3.90,3.75, 3.85,3.80,6998,0.27
02-Aug-2011,4.00,4.00,3.85, 3.85,3.85,2164,0.09
01-Aug-2011,4.00,4.05,3.80, 4.05,4.00,13597,0.54
29-Jul-2011,4.15,4.15,3.80, 3.90,3.90,19253,0.74
28-Jul-2011,4.00,4.00,3.90, 4.00,4.00,5710,0.23
27-Jul-2011,4.15,4.20,4.00, 4.00,4.05,2885,0.12
26-Jul-2011,4.50,4.50,4.00, 4.10,4.10,33377,1.37
25-Jul-2011,4.95,5.35,4.45, 4.45,4.45,44371,2.07
22-Jul-2011,4.30,4.95,4.15, 4.95,4.95,248002,12.01
21-Jul-2011,3.80,4.35,3.80, 4.10,4.10,17350,0.71
20-Jul-2011,3.70,3.85,3.60, 3.85,3.85,2605,0.09
19-Jul-2011,3.75,3.75,3.55, 3.70,3.70,1046,0.04
18-Jul-2011,3.10,3.85,3.10, 3.75,3.75,1220,0.05
15-Jul-2011,3.00,3.85,3.00, 3.50,3.50,5767,0.21
14-Jul-2011,3.50,3.70,3.50, 3.60,3.50,4532,0.16
13-Jul-2011,3.55,3.85,3.55, 3.55,3.55,28955,1.07
12-Jul-2011,3.40,3.50,3.40, 3.50,3.50,10146,0.35
11-Jul-2011,3.20,3.70,3.20, 3.45,3.45,573,0.02
08-Jul-2011,3.40,3.60,3.40, 3.60,3.60,1750,0.06
07-Jul-2011,3.95,3.95,3.50, 3.50,3.50,7250,0.26
06-Jul-2011,3.15,3.55,3.15, 3.55,3.55,10999,0.39
05-Jul-2011,3.45,3.55,3.45, 3.55,3.55,1850,0.07
04-Jul-2011,3.15,3.60,3.15, 3.45,3.45,20551,0.71
01-Jul-2011,3.55,3.55,3.40, 3.55,3.55,25,0.00
30-Jun-2011,3.40,3.50,3.40, 3.50,3.50,6228,0.22
29-Jun-2011,3.45,3.80,3.35, 3.50,3.40,33127,1.15
28-Jun-2011,3.25,4.00,3.25, 3.65,3.60,75795,2.74
27-Jun-2011,3.00,3.45,3.00, 3.35,3.35,8426,0.28
24-Jun-2011,3.40,3.45,3.40, 3.40,3.40,30251,1.04
23-Jun-2011,3.25,3.55,2.85, 3.25,3.25,7235,0.22
22-Jun-2011,3.90,3.90,3.35, 3.40,3.40,18702,0.64
21-Jun-2011,3.30,3.45,3.30, 3.45,3.45,102,0.00
20-Jun-2011,3.50,3.75,3.45, 3.45,3.45,3252,0.11
17-Jun-2011,3.55,3.60,3.45, 3.50,3.50,24013,0.84
16-Jun-2011,3.55,3.90,3.55, 3.90,3.90,1024,0.04
15-Jun-2011,3.85,3.85,3.55, 3.60,3.60,877,0.03
14-Jun-2011,3.30,3.90,3.30, 3.75,3.75,1261,0.05
13-Jun-2011,3.30,3.40,3.30, 3.40,3.40,1116,0.04
10-Jun-2011,3.45,3.65,3.40, 3.40,3.45,4300,0.15
09-Jun-2011,3.60,3.60,3.40, 3.40,3.60,2101,0.08
08-Jun-2011,3.40,3.50,3.40, 3.40,3.40,1582,0.05
07-Jun-2011,3.40,3.50,3.40, 3.50,3.50,350,0.01
06-Jun-2011,3.45,3.70,3.40, 3.70,3.70,701,0.02
03-Jun-2011,3.40,3.45,3.40, 3.45,3.45,1263,0.04
01-Jun-2011,3.40,3.45,3.40, 3.45,3.45,188,0.01
31-May-2011,3.40,3.45,3.40, 3.45,3.45,2137,0.07
30-May-2011,3.40,3.45,3.40, 3.45,3.45,1070,0.04
27-May-2011,3.50,3.70,3.45, 3.65,3.65,603,0.02
26-May-2011,3.50,3.50,3.35, 3.40,3.40,1351,0.05
25-May-2011,3.45,3.45,3.45, 3.45,3.45,50,0.00
24-May-2011,3.35,3.65,3.35, 3.45,3.45,4748,0.17
23-May-2011,3.35,3.65,3.35, 3.65,3.65,1085,0.04
19-May-2011,3.30,3.30,3.30, 3.30,3.30,1,0.00
18-May-2011,3.35,3.35,3.35, 3.35,3.35,3020,0.10
17-May-2011,3.35,3.35,3.35, 3.35,3.35,1548,0.05
16-May-2011,3.35,3.35,3.35, 3.35,3.35,243,0.01
13-May-2011,3.35,3.35,3.35, 3.35,3.35,187,0.01
12-May-2011,3.35,3.45,3.35, 3.45,3.45,2801,0.09
11-May-2011,3.30,3.40,3.30, 3.40,3.40,162,0.01
10-May-2011,3.40,3.40,3.40, 3.40,3.40,7,0.00
06-May-2011,3.50,3.90,3.45, 3.45,3.50,12475,0.44
05-May-2011,3.95,3.95,3.55, 3.75,3.60,6528,0.24
04-May-2011,3.80,3.95,3.50, 3.80,3.80,1067,0.04
03-May-2011,3.50,3.60,3.50, 3.50,3.50,1551,0.06
02-May-2011,3.55,3.80,3.55, 3.60,3.60,1329,0.05
29-Apr-2011,3.65,3.85,3.50, 3.60,3.60,8542,0.30
28-Apr-2011,3.60,3.80,3.60, 3.75,3.75,1110,0.04
27-Apr-2011,3.30,3.70,3.30, 3.55,3.55,14256,0.51
26-Apr-2011,3.65,3.70,3.65, 3.65,3.65,9814,0.36
25-Apr-2011,3.70,3.80,3.60, 3.60,3.60,10400,0.39
21-Apr-2011,3.80,3.80,3.65, 3.65,3.65,450,0.02
20-Apr-2011,3.55,4.00,3.55, 3.80,3.80,5088,0.20
19-Apr-2011,3.95,3.95,3.75, 3.90,3.90,502,0.02
18-Apr-2011,3.75,3.75,3.75, 3.75,3.75,1300,0.05
15-Apr-2011,3.65,3.90,3.65, 3.75,3.75,440,0.02
13-Apr-2011,3.75,4.15,3.75, 4.15,3.90,2241,0.09
11-Apr-2011,4.00,4.10,3.70, 4.00,4.00,4017,0.16
08-Apr-2011,4.20,4.20,4.00, 4.00,4.00,5510,0.23
07-Apr-2011,3.80,4.25,3.80, 4.25,4.20,3816,0.16
06-Apr-2011,3.70,4.35,3.70, 4.30,4.05,3491,0.15
05-Apr-2011,4.05,4.05,3.75, 3.95,3.95,1476,0.06
04-Apr-2011,3.60,4.15,3.60, 4.15,4.15,5600,0.22
01-Apr-2011,3.50,3.85,3.50, 3.65,3.65,3912,0.14
31-Mar-2011,3.75,3.75,3.70, 3.70,3.70,850,0.03
30-Mar-2011,3.40,3.80,3.40, 3.80,3.80,3587,0.13
29-Mar-2011,3.35,4.00,3.35, 3.85,3.75,2417,0.09
25-Mar-2011,3.55,3.75,3.55, 3.75,3.55,1464,0.05
24-Mar-2011,3.35,4.20,3.35, 3.90,3.90,408,0.01
23-Mar-2011,3.85,3.85,3.45, 3.75,3.75,3115,0.12
22-Mar-2011,3.50,3.85,3.50, 3.85,3.85,2381,0.08
21-Mar-2011,3.35,3.85,3.35, 3.60,3.70,3696,0.14
18-Mar-2011,3.45,3.45,3.45, 3.45,3.45,201,0.01
17-Mar-2011,3.40,3.70,3.40, 3.50,3.55,11229,0.40
16-Mar-2011,3.45,3.75,3.45, 3.55,3.55,2350,0.08
15-Mar-2011,3.45,3.70,3.15, 3.35,3.35,1000,0.03
14-Mar-2011,3.60,3.60,3.55, 3.55,3.55,6758,0.24
11-Mar-2011,3.40,3.80,3.40, 3.65,3.65,1259,0.04
10-Mar-2011,3.55,3.55,3.55, 3.55,3.55,1858,0.07
09-Mar-2011,3.95,3.95,3.55, 3.55,3.55,12204,0.45
08-Mar-2011,3.85,4.00,3.65, 3.70,3.70,3101,0.12
07-Mar-2011,3.75,4.05,3.75, 3.75,3.75,851,0.03
04-Mar-2011,3.70,4.05,3.70, 4.05,4.00,4007,0.16
03-Mar-2011,4.05,4.05,3.80, 3.80,3.80,116,0.00
