Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,75.50,77.00,70.35, 70.80,71.05,7355,5.24
29-Dec-2011,67.00,77.00,66.00, 72.40,72.20,12675,9.29
28-Dec-2011,68.00,69.00,64.40, 64.45,66.80,2271,1.51
27-Dec-2011,66.00,69.75,63.40, 68.45,68.60,4428,2.99
26-Dec-2011,63.50,67.50,63.50, 65.15,65.15,2157,1.41
23-Dec-2011,65.00,67.50,64.45, 64.60,64.70,21552,14.49
22-Dec-2011,69.95,69.95,64.30, 64.40,65.25,36391,23.79
21-Dec-2011,68.45,70.00,64.45, 66.00,67.00,6652,4.39
20-Dec-2011,67.30,69.25,67.30, 67.35,68.45,1315,0.89
19-Dec-2011,68.00,69.90,63.30, 69.90,67.10,9411,6.28
16-Dec-2011,70.00,71.45,68.20, 69.95,69.20,1225,0.85
15-Dec-2011,70.00,71.75,68.20, 70.00,70.45,3890,2.72
14-Dec-2011,67.10,72.50,67.10, 71.45,71.20,8050,5.70
13-Dec-2011,66.00,70.00,64.80, 69.05,68.95,3974,2.69
12-Dec-2011,66.00,69.55,65.30, 66.80,66.80,1864,1.25
09-Dec-2011,65.75,70.00,65.15, 67.00,68.40,10544,7.14
08-Dec-2011,66.50,69.40,65.30, 66.00,66.30,1420,0.95
07-Dec-2011,67.95,71.95,65.00, 67.10,67.70,14589,10.10
05-Dec-2011,64.30,69.25,63.30, 67.90,66.85,9570,6.43
02-Dec-2011,63.00,66.00,61.15, 66.00,65.45,1620,1.06
01-Dec-2011,65.90,66.00,62.70, 63.75,63.95,3522,2.27
30-Nov-2011,66.00,66.95,61.35, 63.20,63.45,10159,6.51
29-Nov-2011,70.00,70.50,62.60, 67.00,67.05,32867,22.07
28-Nov-2011,77.00,77.00,65.60, 66.00,66.90,31902,22.00
25-Nov-2011,68.50,81.00,68.30, 70.50,77.25,35533,27.21
24-Nov-2011,68.45,72.00,68.05, 68.25,68.50,1926,1.34
23-Nov-2011,79.80,79.80,69.40, 70.95,70.10,4901,3.51
22-Nov-2011,82.00,82.00,73.50, 73.65,73.70,4311,3.26
21-Nov-2011,80.75,83.95,78.20, 80.50,80.30,2148,1.73
18-Nov-2011,80.00,80.75,78.00, 79.40,78.90,2133,1.69
17-Nov-2011,79.80,84.25,77.50, 79.00,79.75,10422,8.46
16-Nov-2011,75.10,78.45,75.05, 77.85,77.50,1008,0.77
15-Nov-2011,77.20,81.50,76.00, 76.00,76.45,837,0.64
14-Nov-2011,83.10,83.10,77.50, 78.60,78.35,1684,1.35
11-Nov-2011,89.00,89.00,81.00, 83.30,82.70,3154,2.60
09-Nov-2011,82.00,83.00,81.00, 82.95,82.65,4475,3.68
08-Nov-2011,79.00,84.00,79.00, 81.05,81.70,5659,4.63
04-Nov-2011,78.10,79.50,77.75, 79.35,79.35,2976,2.34
03-Nov-2011,79.90,79.90,78.00, 78.00,78.10,2332,1.83
02-Nov-2011,77.85,81.50,77.60, 78.00,78.10,1224,0.97
01-Nov-2011,80.00,80.00,78.15, 78.70,78.70,1605,1.28
31-Oct-2011,78.05,81.00,76.50, 78.50,78.20,4562,3.63
