Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,97.00,99.00,96.30, 98.00,98.15,1474,1.45
29-Dec-2011,98.00,99.70,95.65, 98.00,98.10,959,0.94
28-Dec-2011,97.30,100.00,97.30, 100.00,99.15,7645,7.57
27-Dec-2011,102.70,102.70,98.00, 98.15,98.15,3256,3.23
26-Dec-2011,103.75,104.70,97.60, 99.50,98.80,20453,20.64
23-Dec-2011,99.20,101.75,99.10, 101.00,101.00,11346,11.43
22-Dec-2011,98.75,100.95,98.70, 100.00,99.90,2979,2.96
21-Dec-2011,97.80,101.90,97.25, 97.60,97.85,3557,3.51
20-Dec-2011,102.45,102.75,96.10, 98.50,98.00,9606,9.49
19-Dec-2011,107.50,107.50,102.55, 103.00,103.05,9193,9.51
16-Dec-2011,109.70,109.75,108.30, 109.50,108.60,27650,30.17
15-Dec-2011,108.00,109.95,106.50, 109.80,108.70,19999,21.65
14-Dec-2011,108.90,112.00,106.10, 108.00,108.65,60617,66.06
13-Dec-2011,107.00,109.95,102.70, 109.95,107.85,14614,15.48
12-Dec-2011,106.00,107.95,105.10, 107.00,106.35,6258,6.65
09-Dec-2011,105.00,107.80,104.00, 106.00,106.25,15971,16.89
08-Dec-2011,105.00,109.90,103.00, 107.05,106.80,20411,21.86
07-Dec-2011,103.05,106.40,103.00, 105.60,105.70,6212,6.52
05-Dec-2011,108.00,108.90,102.20, 102.20,103.10,4465,4.62
02-Dec-2011,102.10,105.55,101.10, 105.35,104.60,4575,4.71
01-Dec-2011,108.20,108.20,101.00, 101.30,102.45,11899,12.38
30-Nov-2011,104.85,106.20,102.00, 104.00,103.40,8027,8.32
29-Nov-2011,106.80,108.90,102.85, 103.00,103.05,12389,12.98
28-Nov-2011,104.05,107.20,102.60, 103.00,103.20,8654,9.06
25-Nov-2011,100.30,105.20,99.45, 102.30,102.55,5761,5.86
24-Nov-2011,103.05,103.05,94.05, 100.90,100.50,32231,31.60
23-Nov-2011,108.00,109.80,102.10, 102.55,103.15,10879,11.53
22-Nov-2011,106.70,111.90,106.70, 111.90,110.15,5590,6.11
21-Nov-2011,109.50,111.00,106.70, 108.00,107.90,3736,4.02
18-Nov-2011,104.20,107.60,103.25, 107.60,107.05,2821,2.98
17-Nov-2011,111.00,112.00,104.00, 104.00,105.35,9666,10.48
16-Nov-2011,109.05,109.05,103.85, 108.00,107.70,5605,5.95
15-Nov-2011,115.60,117.95,107.65, 109.50,110.15,9234,10.23
