Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,240.00,243.90,234.50, 239.00,239.15,139117,333.55
29-Dec-2011,242.00,244.75,227.65, 241.15,240.25,197665,466.97
28-Dec-2011,249.55,251.70,240.25, 241.00,243.90,130842,322.26
27-Dec-2011,246.65,254.00,244.55, 249.95,249.55,147233,366.87
26-Dec-2011,241.45,248.85,238.00, 247.75,246.65,162057,398.11
23-Dec-2011,244.60,249.00,237.55, 240.20,240.65,64871,157.12
22-Dec-2011,244.95,249.75,239.05, 240.00,244.55,105568,258.26
21-Dec-2011,232.05,250.00,230.05, 248.50,245.50,156061,374.86
20-Dec-2011,239.55,245.50,227.00, 231.00,233.65,94970,224.85
19-Dec-2011,245.40,245.40,226.00, 238.10,239.55,240757,564.19
16-Dec-2011,243.00,255.35,240.00, 244.95,246.30,231404,569.83
15-Dec-2011,260.00,260.05,248.85, 251.95,251.95,157163,395.73
14-Dec-2011,253.05,259.80,246.20, 259.80,254.25,116892,296.52
13-Dec-2011,253.50,263.35,250.10, 257.10,257.25,238509,611.11
12-Dec-2011,273.00,278.80,259.00, 260.20,261.60,318199,848.67
09-Dec-2011,247.50,271.00,247.50, 265.50,266.80,242216,633.42
08-Dec-2011,258.80,258.80,246.10, 255.80,252.40,236693,594.54
07-Dec-2011,236.00,252.20,235.40, 252.20,248.95,283283,687.43
05-Dec-2011,239.00,241.95,226.00, 232.90,229.30,133123,305.56
02-Dec-2011,264.80,265.00,235.00, 237.00,239.00,170038,412.63
01-Dec-2011,258.00,264.00,250.25, 251.10,253.80,107784,276.12
30-Nov-2011,248.00,254.00,242.50, 250.20,249.95,154485,384.71
29-Nov-2011,244.95,256.00,238.00, 246.70,248.45,171228,426.34
28-Nov-2011,230.00,243.95,230.00, 243.50,241.25,176525,418.56
25-Nov-2011,218.50,229.00,205.00, 227.00,224.15,286043,626.98
24-Nov-2011,230.00,230.00,191.15, 211.00,209.50,456122,950.60
23-Nov-2011,245.00,245.95,197.55, 203.00,210.00,385010,838.47
22-Nov-2011,265.05,274.90,221.20, 248.50,246.90,392439,967.19
21-Nov-2011,301.00,301.00,266.10, 274.00,276.50,110925,317.79
18-Nov-2011,305.00,310.00,282.05, 307.00,301.95,151585,441.16
17-Nov-2011,298.90,306.95,298.90, 302.05,303.40,98956,300.15
16-Nov-2011,304.70,308.50,300.25, 303.70,302.95,80439,243.98
15-Nov-2011,303.10,310.00,301.00, 309.95,304.70,165755,503.55
14-Nov-2011,318.50,318.50,297.00, 301.90,300.55,110295,337.10
11-Nov-2011,326.00,327.95,301.65, 303.95,306.80,95148,301.70
09-Nov-2011,335.00,335.00,326.25, 327.00,327.50,74838,248.21
08-Nov-2011,333.00,335.00,328.00, 331.40,331.70,83088,275.12
04-Nov-2011,338.50,340.00,330.60, 335.00,332.95,65196,218.79
03-Nov-2011,337.00,340.70,334.00, 335.00,334.95,63742,215.02
02-Nov-2011,344.95,344.95,337.20, 337.50,338.40,80777,275.53
01-Nov-2011,346.00,352.00,340.25, 340.30,341.20,83567,288.71
31-Oct-2011,348.50,359.45,328.20, 349.50,348.60,138241,479.56
28-Oct-2011,354.50,394.00,346.20, 346.20,347.75,81309,285.13
26-Oct-2011,350.30,353.75,347.90, 349.90,349.25,36161,126.89
25-Oct-2011,351.00,352.60,348.00, 350.85,349.60,69731,244.44
24-Oct-2011,351.20,360.95,347.25, 347.50,350.25,80504,283.75
21-Oct-2011,364.00,365.90,348.00, 350.30,350.80,108556,387.19
20-Oct-2011,359.95,361.95,352.45, 357.80,357.35,73673,263.81
19-Oct-2011,363.50,368.05,361.50, 361.50,363.25,85762,312.52
18-Oct-2011,359.00,372.00,358.00, 360.00,361.35,90336,329.53
17-Oct-2011,374.50,378.75,363.60, 363.95,366.45,90145,332.39
14-Oct-2011,372.55,382.00,371.20, 371.30,375.40,88735,334.79
13-Oct-2011,385.00,387.90,378.00, 378.00,379.20,57286,218.85
12-Oct-2011,384.65,388.70,379.05, 385.00,385.20,89993,346.42
11-Oct-2011,384.80,384.80,378.50, 380.00,381.30,75666,289.21
10-Oct-2011,377.00,391.85,377.00, 379.00,381.05,143874,553.56
07-Oct-2011,389.50,399.00,365.40, 374.00,375.75,216993,826.98
05-Oct-2011,365.50,392.00,360.20, 388.00,385.15,140706,530.16
04-Oct-2011,367.90,371.35,358.60, 363.10,365.95,94990,345.82
03-Oct-2011,372.95,373.90,366.00, 366.00,368.95,72339,268.66
30-Sep-2011,375.60,386.90,368.00, 379.95,373.85,125413,472.82
29-Sep-2011,377.50,380.00,373.00, 379.00,378.45,97560,368.80
