Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,20.25,22.25,19.60, 21.55,21.00,5679995,1164.22
29-Dec-2011,19.90,20.60,19.30, 20.35,20.10,12754011,2545.15
28-Dec-2011,19.50,20.35,19.25, 19.95,19.90,4176142,825.89
27-Dec-2011,20.60,20.95,19.50, 19.70,19.65,2995590,603.30
26-Dec-2011,19.05,20.50,19.05, 20.50,20.40,2496979,505.29
23-Dec-2011,20.15,20.45,19.50, 19.70,19.55,3284524,656.51
22-Dec-2011,19.15,20.00,18.85, 19.90,19.85,3610230,704.48
21-Dec-2011,19.25,19.45,18.75, 19.25,19.20,2065322,395.65
20-Dec-2011,19.20,19.55,18.50, 18.75,18.95,3320457,627.24
19-Dec-2011,19.00,19.10,18.05, 18.85,19.00,3659571,681.15
16-Dec-2011,19.50,20.00,18.60, 18.95,19.25,6102028,1197.94
15-Dec-2011,18.85,19.85,18.10, 19.70,19.50,5818467,1107.06
14-Dec-2011,17.90,19.15,17.90, 18.90,18.85,5378221,1016.67
13-Dec-2011,18.00,19.15,17.60, 19.05,18.95,6628363,1227.91
12-Dec-2011,18.95,19.20,17.95, 18.00,18.00,3779201,692.75
09-Dec-2011,19.25,19.30,18.50, 18.75,18.75,5245616,986.85
08-Dec-2011,21.10,21.20,19.40, 19.45,19.55,5633255,1119.18
07-Dec-2011,21.10,21.65,21.00, 21.10,21.10,3747827,795.88
05-Dec-2011,21.25,21.50,20.90, 21.25,21.10,2544354,538.97
02-Dec-2011,20.05,21.45,20.05, 21.40,21.25,4609253,966.55
01-Dec-2011,21.60,22.20,20.70, 20.85,20.90,11294080,2435.42
30-Nov-2011,20.30,21.10,19.65, 20.55,20.60,6592394,1340.27
29-Nov-2011,21.20,21.20,19.60, 20.20,20.30,5572246,1127.65
28-Nov-2011,20.80,21.20,20.50, 20.85,20.90,2822393,587.63
25-Nov-2011,20.70,21.40,20.15, 20.25,20.30,2881053,599.15
24-Nov-2011,19.60,21.30,19.40, 20.95,20.70,11027864,2232.53
23-Nov-2011,20.60,21.20,19.80, 19.90,20.05,5369133,1084.84
22-Nov-2011,21.00,21.50,20.40, 21.25,21.25,5667562,1193.22
21-Nov-2011,19.60,21.80,19.10, 20.95,21.00,16760399,3493.22
18-Nov-2011,20.50,20.95,19.80, 20.95,20.50,13963219,2832.75
17-Nov-2011,21.35,21.95,20.25, 20.65,20.65,5037273,1060.91
16-Nov-2011,22.70,23.30,21.05, 21.75,21.35,6400536,1414.82
15-Nov-2011,23.60,25.10,22.50, 22.65,22.65,6536073,1558.50
14-Nov-2011,25.20,25.70,23.50, 23.65,23.70,4359506,1065.42
11-Nov-2011,25.55,25.85,24.65, 24.90,24.85,3763897,949.07
09-Nov-2011,26.90,26.90,25.25, 25.50,25.60,2551979,669.53
08-Nov-2011,26.60,26.80,26.30, 26.40,26.45,2209021,585.87
04-Nov-2011,26.35,26.95,26.20, 26.45,26.40,3040331,805.37
03-Nov-2011,26.40,26.50,25.80, 26.20,26.10,2150897,561.05
02-Nov-2011,26.35,26.70,26.00, 26.35,26.10,2135194,561.23
01-Nov-2011,28.30,28.80,25.75, 26.20,26.25,3340809,898.21
31-Oct-2011,27.90,28.40,27.40, 27.75,27.75,5276120,1472.79
28-Oct-2011,26.60,28.35,25.90, 27.75,27.80,8760564,2383.16
26-Oct-2011,25.90,25.95,25.55, 25.85,25.85,455270,117.40
25-Oct-2011,26.00,26.25,24.95, 25.60,25.50,7018215,1780.28
24-Oct-2011,26.00,26.05,25.35, 25.80,25.95,4066852,1047.59
21-Oct-2011,25.30,26.15,25.15, 25.55,25.65,5411693,1395.40
20-Oct-2011,25.20,25.65,25.05, 25.35,25.40,3154958,800.57
19-Oct-2011,25.40,25.70,25.20, 25.25,25.30,2225541,565.13
18-Oct-2011,25.90,25.90,25.30, 25.30,25.35,1402441,356.29
17-Oct-2011,26.20,26.45,25.50, 25.50,25.70,3101224,804.08
14-Oct-2011,25.90,26.25,25.55, 26.00,25.95,1743451,450.67
13-Oct-2011,25.80,26.05,25.65, 25.85,25.90,3082846,797.10
12-Oct-2011,25.75,25.90,25.25, 25.85,25.75,4678743,1191.54
11-Oct-2011,26.00,26.10,25.30, 25.35,25.40,4940275,1271.40
10-Oct-2011,26.05,26.10,25.55, 25.75,25.80,4279384,1104.98
07-Oct-2011,26.80,26.80,25.50, 26.00,26.05,4506408,1175.57
05-Oct-2011,25.80,26.25,25.55, 25.90,26.00,2786828,719.55
04-Oct-2011,26.25,26.25,25.10, 25.55,25.55,4105837,1054.80
03-Oct-2011,27.10,27.20,25.80, 25.90,26.00,6365245,1665.43
30-Sep-2011,27.45,27.50,26.70, 27.05,27.05,2053960,556.96
29-Sep-2011,26.40,27.60,26.05, 27.55,27.35,5480686,1461.66
28-Sep-2011,27.00,27.30,26.45, 26.65,26.55,3292538,887.82
27-Sep-2011,27.70,28.15,26.55, 26.80,26.80,6532689,1779.54
26-Sep-2011,28.65,28.70,26.60, 26.60,26.90,3108740,847.02
23-Sep-2011,27.60,28.95,27.50, 28.70,28.35,5354671,1518.38
22-Sep-2011,29.65,29.85,28.10, 28.25,28.35,3247750,945.17
21-Sep-2011,29.90,30.60,29.70, 30.05,30.15,3269766,985.68
20-Sep-2011,29.25,30.00,28.70, 29.85,29.80,3510110,1034.09
19-Sep-2011,29.00,29.25,28.60, 28.80,28.85,4081768,1183.84
16-Sep-2011,29.10,29.35,28.35, 28.50,28.65,6656580,1919.36
15-Sep-2011,27.90,28.90,27.20, 28.90,28.70,4685688,1328.75
14-Sep-2011,27.50,27.90,26.85, 27.75,27.65,3642850,997.65
13-Sep-2011,27.85,28.40,26.50, 27.20,27.15,3707483,1026.97
12-Sep-2011,28.90,28.90,27.30, 27.65,27.70,3965802,1105.47
09-Sep-2011,30.00,30.20,28.30, 28.35,28.55,5461881,1598.45
08-Sep-2011,31.30,31.30,29.70, 29.85,29.90,4600706,1388.17
07-Sep-2011,28.55,30.15,27.00, 30.00,29.70,6670985,1949.59
06-Sep-2011,27.80,28.60,27.60, 28.60,28.50,3679031,1033.69
