Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,387.10,390.95,382.25, 385.70,385.60,50120,193.65
29-Dec-2011,391.00,392.00,385.20, 389.00,389.05,36806,143.24
28-Dec-2011,386.55,395.00,386.55, 394.70,392.05,698293,2754.69
27-Dec-2011,393.25,393.25,386.10, 390.20,389.85,6309,24.57
26-Dec-2011,384.00,396.60,384.00, 387.50,390.10,33457,130.61
23-Dec-2011,389.00,394.50,381.65, 381.85,383.00,73678,285.35
22-Dec-2011,393.00,395.50,386.00, 388.00,389.10,143822,563.56
21-Dec-2011,383.05,404.75,383.05, 389.00,391.30,498882,1948.11
20-Dec-2011,398.00,403.00,384.00, 391.90,390.35,109078,427.01
19-Dec-2011,390.00,400.00,385.00, 399.95,398.60,71187,278.41
16-Dec-2011,397.40,403.20,390.15, 394.00,395.45,259614,1033.49
15-Dec-2011,387.00,391.90,382.10, 387.00,387.50,302427,1173.39
14-Dec-2011,381.60,391.70,381.55, 387.00,387.15,35215,136.32
13-Dec-2011,378.60,392.80,378.60, 390.80,390.70,101113,394.28
12-Dec-2011,389.00,396.00,389.00, 391.10,391.05,75884,296.65
09-Dec-2011,384.00,389.80,381.00, 388.00,387.75,27687,107.17
08-Dec-2011,395.00,399.40,376.55, 385.00,384.10,284407,1116.43
07-Dec-2011,393.70,400.00,390.00, 395.25,395.10,342195,1352.10
05-Dec-2011,397.55,397.55,388.00, 389.85,391.35,136414,532.87
02-Dec-2011,397.00,400.50,391.60, 400.00,396.50,477257,1881.45
01-Dec-2011,422.25,422.25,391.60, 396.70,395.75,40971,165.64
30-Nov-2011,393.00,405.95,393.00, 399.00,401.55,113411,449.99
29-Nov-2011,396.00,404.40,392.05, 398.50,400.25,297443,1174.94
28-Nov-2011,388.00,394.35,388.00, 393.55,393.40,116211,454.36
25-Nov-2011,380.05,389.65,379.00, 389.65,388.85,124210,478.48
24-Nov-2011,384.05,386.90,376.90, 385.00,383.00,112563,424.92
23-Nov-2011,390.60,394.85,380.10, 384.65,386.80,80331,310.41
22-Nov-2011,392.90,393.80,387.10, 393.70,390.60,113247,444.17
21-Nov-2011,390.00,396.00,385.25, 393.25,392.90,35729,140.38
18-Nov-2011,389.65,395.00,375.00, 391.00,393.40,106155,408.56
17-Nov-2011,391.20,401.55,382.10, 390.00,389.65,201007,788.24
16-Nov-2011,412.20,416.00,393.00, 399.50,398.25,396677,1575.29
15-Nov-2011,406.45,414.00,402.25, 413.00,410.20,116809,474.70
14-Nov-2011,406.15,418.90,401.10, 406.50,408.55,115192,468.48
11-Nov-2011,417.00,418.95,403.55, 408.00,409.15,219677,899.79
09-Nov-2011,423.85,423.85,414.05, 417.15,419.60,69056,289.88
08-Nov-2011,425.00,426.00,412.10, 415.50,415.65,126556,525.56
04-Nov-2011,429.10,429.10,421.15, 424.00,423.90,148703,630.70
03-Nov-2011,416.00,424.75,413.05, 424.00,423.45,37274,157.43
02-Nov-2011,420.60,425.00,412.25, 415.90,414.90,75019,314.27
01-Nov-2011,436.80,437.50,420.60, 420.60,422.10,216974,920.86
31-Oct-2011,430.00,441.80,424.00, 436.95,437.35,229625,998.87
28-Oct-2011,430.00,438.00,418.00, 428.95,432.30,176699,752.38
26-Oct-2011,423.00,438.50,414.10, 423.50,424.95,64492,278.22
25-Oct-2011,415.00,423.00,411.65, 423.00,422.10,74104,311.17
24-Oct-2011,405.00,415.00,404.25, 415.00,413.40,377120,1553.16
21-Oct-2011,410.00,410.00,393.80, 402.00,405.25,154467,622.68
20-Oct-2011,409.00,416.90,408.00, 408.95,409.90,82119,336.88
19-Oct-2011,400.00,413.90,400.00, 413.65,412.05,117442,480.30
18-Oct-2011,386.10,399.85,386.10, 397.95,396.50,44668,176.65
17-Oct-2011,401.00,401.00,390.00, 390.00,391.40,130577,513.94
14-Oct-2011,399.90,400.25,393.35, 398.90,399.70,66001,262.84
13-Oct-2011,400.35,402.10,390.00, 400.00,399.90,332432,1326.99
12-Oct-2011,355.00,401.80,355.00, 400.00,400.30,271527,1086.39
11-Oct-2011,394.70,404.00,393.05, 399.10,399.20,162721,649.61
10-Oct-2011,398.95,399.00,388.00, 390.00,389.65,260510,1014.08
07-Oct-2011,404.00,406.00,393.00, 395.00,394.60,521581,2071.71
05-Oct-2011,401.00,404.00,399.10, 401.70,402.00,261479,1052.47
04-Oct-2011,393.05,404.65,393.00, 399.50,398.95,223342,892.89
03-Oct-2011,401.00,401.85,395.00, 398.50,397.40,147518,588.11
30-Sep-2011,400.00,411.25,399.00, 400.00,400.50,218812,881.11
29-Sep-2011,402.40,404.00,398.00, 400.90,400.10,664714,2661.92
28-Sep-2011,401.05,413.30,399.10, 399.20,402.40,139679,568.08
27-Sep-2011,402.90,409.00,400.00, 402.00,400.10,492027,1972.54
26-Sep-2011,417.00,420.00,399.00, 402.00,401.80,959232,3842.34
23-Sep-2011,419.00,421.75,411.20, 414.00,414.55,144299,603.91
22-Sep-2011,420.00,426.00,419.15, 420.00,420.90,122286,518.24
21-Sep-2011,438.00,438.00,420.00, 424.50,423.75,120466,509.86
20-Sep-2011,424.35,429.50,423.80, 424.85,424.20,66738,283.74
19-Sep-2011,432.00,434.60,422.00, 428.25,426.20,342202,1457.37
16-Sep-2011,430.00,435.00,418.00, 423.40,426.35,385310,1639.02
15-Sep-2011,428.00,432.60,423.00, 424.00,423.70,61961,263.69
14-Sep-2011,428.05,432.90,419.00, 423.00,425.50,126554,538.02
13-Sep-2011,429.00,432.00,424.10, 428.00,427.20,102044,437.03
12-Sep-2011,423.00,435.00,380.00, 425.00,425.00,325088,1389.78
09-Sep-2011,423.00,431.70,420.60, 426.80,428.10,69769,299.43
08-Sep-2011,428.65,428.65,417.90, 424.65,424.35,83832,356.17
07-Sep-2011,422.00,432.40,422.00, 425.20,424.80,94134,400.46
06-Sep-2011,420.00,428.00,420.00, 420.00,422.45,110276,468.59
05-Sep-2011,419.90,434.90,415.35, 421.95,427.55,622430,2627.28
02-Sep-2011,425.00,426.00,408.30, 420.00,420.30,94999,397.33
30-Aug-2011,426.00,434.00,424.95, 428.00,427.25,49325,211.85
29-Aug-2011,416.00,429.00,414.35, 429.00,419.05,466244,1938.65
26-Aug-2011,421.00,421.50,412.20, 416.00,415.95,151117,628.09
25-Aug-2011,414.25,423.00,401.50, 415.50,415.00,281399,1169.51
24-Aug-2011,428.00,434.95,414.10, 417.00,415.95,65431,277.51
23-Aug-2011,437.00,439.95,425.00, 426.00,428.15,136832,588.97
22-Aug-2011,424.50,439.00,420.00, 437.00,436.05,216200,938.03
19-Aug-2011,395.60,424.80,395.60, 424.00,424.10,174350,730.48
18-Aug-2011,416.00,421.50,410.70, 415.00,415.30,47293,196.37
17-Aug-2011,414.00,423.00,409.00, 415.00,417.20,480469,2004.72
16-Aug-2011,421.00,424.70,412.00, 413.10,415.30,143741,596.84
12-Aug-2011,420.00,429.00,415.00, 415.00,418.80,192882,811.68
11-Aug-2011,410.25,420.00,403.00, 416.15,417.45,187370,767.02
10-Aug-2011,413.00,423.40,408.00, 410.00,410.55,1209885,4958.78
09-Aug-2011,409.00,414.00,393.30, 406.00,403.50,319977,1299.63
08-Aug-2011,410.00,425.00,400.00, 412.50,411.55,209762,864.07
05-Aug-2011,416.00,423.00,396.10, 419.50,419.95,456875,1917.53
04-Aug-2011,429.95,433.00,421.25, 427.00,426.05,68582,292.79
03-Aug-2011,426.90,433.90,423.55, 430.05,430.70,91295,391.28
02-Aug-2011,427.15,433.80,422.00, 426.05,427.05,75733,323.61
01-Aug-2011,438.05,441.00,427.05, 430.00,429.80,68031,293.70
29-Jul-2011,431.05,439.90,428.00, 439.90,436.85,139760,609.41
28-Jul-2011,432.00,441.25,425.00, 430.00,430.75,408128,1771.61
27-Jul-2011,425.35,440.00,425.30, 434.00,431.70,317827,1373.61
26-Jul-2011,442.00,447.50,435.75, 436.30,436.55,444421,1940.45
25-Jul-2011,460.00,470.00,428.10, 440.00,440.45,968049,4286.92
22-Jul-2011,446.55,456.00,444.00, 453.55,453.75,188475,855.95
21-Jul-2011,441.55,448.40,440.00, 443.05,444.50,92346,410.44
20-Jul-2011,441.60,441.60,436.10, 440.80,438.85,150079,657.97
19-Jul-2011,441.00,442.95,436.50, 439.00,439.85,87189,381.81
18-Jul-2011,438.05,443.05,437.00, 438.00,437.95,122461,538.11
15-Jul-2011,440.50,443.40,436.25, 437.00,437.40,22896,100.43
14-Jul-2011,440.05,444.95,438.00, 440.05,440.45,32817,144.38
13-Jul-2011,437.15,447.00,436.15, 443.15,444.50,45010,198.31
12-Jul-2011,442.05,444.90,430.10, 441.20,441.05,84412,370.64
11-Jul-2011,449.30,449.30,438.00, 441.70,441.80,74863,331.08
08-Jul-2011,447.00,451.35,429.00, 438.05,437.50,294091,1284.34
07-Jul-2011,448.10,454.00,441.60, 448.00,446.40,145507,651.34
06-Jul-2011,439.00,452.90,438.35, 446.85,446.50,193026,863.55
05-Jul-2011,436.40,442.90,429.95, 439.00,438.10,279658,1223.68
04-Jul-2011,433.00,436.80,429.05, 431.50,431.60,178213,774.78
01-Jul-2011,435.50,443.50,431.00, 433.90,432.90,310322,1357.14
30-Jun-2011,425.05,442.00,425.00, 431.00,431.65,369545,1606.71
29-Jun-2011,417.40,426.00,412.10, 426.00,422.35,1588911,6607.71
28-Jun-2011,408.35,415.00,408.35, 413.75,413.15,848306,3483.06
27-Jun-2011,415.50,415.50,405.25, 410.00,408.35,193456,794.69
24-Jun-2011,410.00,418.00,405.10, 412.00,411.45,322574,1326.20
23-Jun-2011,411.00,411.00,400.50, 404.75,405.95,82747,335.44
22-Jun-2011,423.50,425.00,403.00, 410.00,411.05,105416,436.39
21-Jun-2011,422.50,425.35,420.15, 423.90,422.30,228491,965.99
20-Jun-2011,420.50,425.75,415.20, 423.95,421.95,174673,737.70
17-Jun-2011,417.75,426.80,415.25, 417.05,419.25,274843,1155.14
16-Jun-2011,425.00,428.35,413.55, 418.00,416.30,387070,1641.03
15-Jun-2011,435.00,438.00,424.50, 425.00,427.00,343038,1469.97
14-Jun-2011,445.00,446.55,416.20, 433.00,437.15,942615,4143.33
13-Jun-2011,433.00,441.00,430.00, 436.15,438.85,336059,1469.29
10-Jun-2011,430.00,436.70,429.25, 434.00,434.30,286693,1245.30
09-Jun-2011,425.00,433.90,425.00, 431.95,431.60,102056,440.31
08-Jun-2011,435.00,437.00,426.00, 430.20,430.35,141879,610.40
07-Jun-2011,430.00,441.70,426.20, 432.00,434.35,576985,2517.01
06-Jun-2011,414.00,435.40,411.00, 431.35,431.25,287400,1225.23
03-Jun-2011,412.60,420.90,407.00, 413.00,410.75,862991,3584.97
02-Jun-2011,416.20,424.10,410.00, 410.00,412.50,87782,366.47
01-Jun-2011,418.00,428.00,414.00, 420.00,422.75,286060,1205.86
31-May-2011,421.80,432.00,415.00, 418.00,419.65,476947,2004.34
30-May-2011,396.15,417.00,392.45, 415.00,412.85,232352,945.88
27-May-2011,388.00,395.00,386.95, 395.00,392.45,134227,526.17
26-May-2011,385.05,388.90,382.00, 384.00,385.75,95779,368.74
25-May-2011,382.05,385.05,381.10, 383.65,384.25,30690,117.87
24-May-2011,378.00,386.80,376.10, 381.00,382.30,152237,581.58
23-May-2011,385.00,392.00,379.00, 383.00,383.10,85047,330.40
20-May-2011,385.15,391.00,384.00, 385.00,385.75,35930,139.83
19-May-2011,386.00,390.90,374.10, 383.05,383.70,104461,397.69
18-May-2011,383.05,388.95,383.00, 386.00,385.50,69083,266.59
17-May-2011,390.90,395.00,373.05, 384.00,383.10,133671,519.08
16-May-2011,392.95,395.00,382.10, 387.80,387.50,637219,2481.21
13-May-2011,388.50,394.00,385.20, 389.05,390.35,261246,1022.60
12-May-2011,388.85,391.95,384.10, 385.05,387.00,215756,835.15
11-May-2011,395.00,399.00,384.20, 386.50,385.85,31544,122.36
10-May-2011,396.25,396.25,390.00, 396.00,394.40,34953,137.33
09-May-2011,393.65,399.95,393.60, 394.25,394.45,71901,284.28
06-May-2011,384.20,394.50,381.55, 394.00,392.65,97343,380.10
05-May-2011,385.05,392.00,382.00, 383.90,384.25,55122,213.05
04-May-2011,391.90,394.70,378.05, 378.10,380.90,48211,185.60
03-May-2011,393.00,401.00,372.10, 389.35,391.30,185175,731.28
02-May-2011,381.90,397.80,376.05, 391.25,392.45,548261,2140.34
29-Apr-2011,370.00,382.00,369.85, 381.00,376.20,109423,411.23
28-Apr-2011,376.00,379.35,367.10, 370.80,369.85,35672,133.16
27-Apr-2011,374.70,383.50,370.00, 376.85,380.25,70789,267.41
