Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,176.00,180.00,168.20, 169.50,171.15,158405,276.12
29-Dec-2011,169.95,177.30,168.00, 175.65,174.55,187421,322.19
28-Dec-2011,172.85,173.50,169.05, 169.45,170.30,182788,313.22
27-Dec-2011,177.70,179.70,173.20, 174.00,174.45,248527,437.84
26-Dec-2011,178.00,180.90,176.05, 176.55,176.65,211069,375.17
23-Dec-2011,180.30,182.00,173.75, 179.25,178.35,462017,819.33
22-Dec-2011,177.00,182.00,171.30, 180.30,179.90,602193,1059.87
21-Dec-2011,178.00,184.80,174.30, 183.25,182.10,386263,686.26
20-Dec-2011,182.95,185.50,172.75, 174.50,174.75,409361,722.94
19-Dec-2011,187.00,187.00,180.05, 182.60,181.85,471614,860.82
16-Dec-2011,200.00,201.95,185.35, 186.50,189.50,558321,1091.12
15-Dec-2011,195.25,201.00,193.45, 200.00,198.85,614524,1210.29
14-Dec-2011,204.00,205.70,195.25, 195.75,197.75,563412,1133.10
13-Dec-2011,182.00,204.80,182.00, 204.75,203.25,929259,1856.06
12-Dec-2011,197.65,198.65,194.25, 196.25,196.35,507802,995.77
09-Dec-2011,196.30,199.50,193.20, 198.00,197.30,337740,664.65
08-Dec-2011,199.00,200.05,191.10, 197.80,198.00,552982,1087.17
07-Dec-2011,197.90,201.95,196.50, 200.30,198.65,596674,1186.83
05-Dec-2011,198.85,199.45,196.10, 197.95,197.45,253362,501.16
02-Dec-2011,195.00,199.50,192.50, 197.70,198.25,448777,886.74
01-Dec-2011,191.25,194.95,188.10, 194.00,192.35,451802,868.81
30-Nov-2011,189.00,190.70,185.50, 188.00,188.00,791735,1487.99
29-Nov-2011,187.20,190.00,184.90, 188.00,188.50,477616,898.57
28-Nov-2011,180.20,188.50,180.10, 188.50,187.20,382075,707.30
25-Nov-2011,176.00,180.90,176.00, 179.20,178.90,420787,753.24
24-Nov-2011,170.10,180.00,170.10, 180.00,176.95,888987,1561.45
23-Nov-2011,179.00,179.55,169.10, 172.10,171.80,885678,1546.69
22-Nov-2011,184.50,186.00,180.10, 180.75,180.80,343035,626.71
21-Nov-2011,185.00,186.80,182.70, 183.00,184.55,326396,601.73
18-Nov-2011,187.00,188.80,181.50, 188.80,185.95,460043,847.60
17-Nov-2011,193.50,193.50,187.40, 187.50,188.90,312389,594.58
16-Nov-2011,187.50,193.50,183.60, 193.50,191.10,246928,463.77
15-Nov-2011,195.50,196.80,184.55, 186.20,188.65,510207,977.08
14-Nov-2011,209.00,209.00,193.90, 196.20,195.35,268506,532.09
11-Nov-2011,206.45,207.50,197.25, 199.60,198.60,578884,1165.36
09-Nov-2011,214.90,214.90,206.15, 206.65,207.55,1021343,2151.90
08-Nov-2011,209.00,210.65,205.65, 206.30,207.15,388765,808.63
04-Nov-2011,204.40,209.75,202.05, 209.40,208.65,761404,1579.31
03-Nov-2011,202.85,203.45,199.00, 201.55,200.80,184614,370.79
02-Nov-2011,197.80,203.70,197.00, 200.50,201.60,401622,808.26
01-Nov-2011,202.60,205.75,196.60, 198.50,199.35,851291,1698.26
31-Oct-2011,203.00,205.70,200.05, 203.30,203.05,316631,641.33
28-Oct-2011,200.15,204.05,199.40, 202.75,202.35,252158,509.35
26-Oct-2011,199.50,199.50,196.10, 198.25,197.65,70343,139.00
25-Oct-2011,188.95,198.00,188.95, 197.90,195.80,812900,1593.06
24-Oct-2011,196.00,196.80,194.00, 196.00,195.75,254943,497.95
21-Oct-2011,193.80,195.70,192.20, 193.00,193.45,203576,394.81
20-Oct-2011,194.00,194.40,190.05, 193.95,193.85,188377,361.87
19-Oct-2011,194.70,195.15,192.00, 193.85,194.15,261972,507.37
18-Oct-2011,194.30,195.05,190.00, 191.50,191.25,211982,405.80
17-Oct-2011,196.80,197.80,194.60, 197.30,196.70,217430,426.94
14-Oct-2011,193.00,196.10,190.65, 195.00,195.10,214915,417.24
13-Oct-2011,198.10,199.40,191.30, 191.65,192.70,333562,652.35
12-Oct-2011,192.00,198.40,190.65, 196.45,197.45,293170,571.31
11-Oct-2011,189.50,194.75,189.50, 191.75,191.25,380448,731.69
10-Oct-2011,188.05,189.90,186.20, 187.75,187.95,425462,799.84
07-Oct-2011,185.00,189.30,184.55, 188.55,187.75,412445,770.75
05-Oct-2011,188.00,189.75,180.10, 180.80,181.25,433361,803.42
04-Oct-2011,190.95,192.60,184.20, 187.00,186.80,357812,678.32
03-Oct-2011,192.10,193.85,188.10, 189.10,190.55,234805,448.55
30-Sep-2011,197.75,200.65,194.00, 194.00,195.60,424294,836.53
29-Sep-2011,192.00,199.00,192.00, 197.25,197.75,417666,814.90
28-Sep-2011,200.00,200.50,190.05, 194.00,192.50,514404,997.63
27-Sep-2011,192.70,198.50,192.00, 197.70,197.75,325966,638.25
26-Sep-2011,192.50,193.40,185.15, 188.00,189.30,494815,935.07
23-Sep-2011,192.85,194.30,186.95, 190.00,191.90,558282,1067.50
22-Sep-2011,205.95,206.00,188.85, 189.20,190.40,688907,1351.43
21-Sep-2011,206.10,210.50,206.10, 207.80,208.30,378372,789.56
20-Sep-2011,203.15,207.50,203.15, 206.70,205.90,194153,399.15
19-Sep-2011,207.00,208.90,203.10, 203.35,204.10,234571,482.18
16-Sep-2011,209.90,214.75,207.05, 208.05,208.45,638099,1346.90
15-Sep-2011,204.00,209.65,201.25, 208.50,207.95,388490,799.94
14-Sep-2011,201.10,204.85,200.10, 204.85,203.35,183985,372.15
13-Sep-2011,203.90,207.55,199.00, 200.00,200.65,329927,672.00
12-Sep-2011,200.05,204.90,199.15, 201.75,202.00,416994,842.97
09-Sep-2011,212.00,213.20,201.20, 204.40,203.55,495064,1032.94
08-Sep-2011,209.10,213.80,207.00, 211.00,211.80,965617,2028.04
07-Sep-2011,201.40,209.40,198.60, 207.80,207.55,1218696,2489.03
06-Sep-2011,198.15,201.70,195.50, 199.50,199.95,571331,1134.47
05-Sep-2011,199.50,203.00,198.55, 200.00,199.70,469651,941.74
02-Sep-2011,200.30,205.95,196.60, 203.55,201.45,508699,1019.71
30-Aug-2011,198.70,199.90,193.85, 199.90,198.40,341711,672.73
