Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6.10,6.40,6.10, 6.30,6.30,12970,0.82
29-Dec-2011,6.60,6.90,6.40, 6.55,6.55,1514,0.10
28-Dec-2011,6.80,6.80,6.35, 6.60,6.45,6031,0.39
27-Dec-2011,6.35,6.55,6.35, 6.40,6.40,3598,0.23
26-Dec-2011,6.30,6.60,6.25, 6.35,6.35,8623,0.55
23-Dec-2011,6.20,6.60,6.20, 6.60,6.50,5298,0.35
22-Dec-2011,6.05,6.50,6.05, 6.20,6.50,11499,0.74
21-Dec-2011,6.20,6.50,6.20, 6.25,6.20,6440,0.40
20-Dec-2011,6.25,6.45,6.20, 6.25,6.25,15135,0.95
19-Dec-2011,6.35,6.45,5.60, 6.35,6.25,13819,0.84
16-Dec-2011,6.75,6.75,6.30, 6.30,6.30,3570,0.23
15-Dec-2011,6.15,6.60,6.15, 6.60,6.50,7157,0.45
14-Dec-2011,6.10,6.60,6.00, 6.60,6.50,19616,1.23
13-Dec-2011,6.10,6.50,6.00, 6.40,6.40,18213,1.13
12-Dec-2011,6.00,6.50,6.00, 6.25,6.25,5725,0.36
09-Dec-2011,6.10,6.55,6.00, 6.55,6.35,8141,0.51
08-Dec-2011,6.20,6.55,6.20, 6.55,6.45,6991,0.45
07-Dec-2011,6.20,6.50,6.20, 6.35,6.35,4517,0.29
05-Dec-2011,6.10,6.50,6.10, 6.40,6.40,2708,0.17
02-Dec-2011,6.00,6.35,6.00, 6.25,6.20,4708,0.29
01-Dec-2011,6.00,6.60,6.00, 6.20,6.20,5558,0.35
30-Nov-2011,5.75,6.40,5.75, 6.30,6.30,6581,0.40
29-Nov-2011,6.00,6.50,6.00, 6.25,6.05,4428,0.28
28-Nov-2011,6.55,6.55,6.00, 6.30,6.30,2754,0.17
25-Nov-2011,6.00,6.30,5.90, 6.00,5.95,1596,0.10
24-Nov-2011,6.15,6.30,5.75, 6.25,6.25,5818,0.36
23-Nov-2011,6.10,6.50,5.85, 5.90,6.10,6349,0.39
22-Nov-2011,6.95,6.95,6.05, 6.20,6.35,4255,0.27
21-Nov-2011,6.00,6.60,5.55, 6.60,6.40,7442,0.45
18-Nov-2011,6.15,6.65,6.00, 6.30,6.15,11777,0.74
17-Nov-2011,6.70,6.75,6.55, 6.55,6.60,3491,0.23
16-Nov-2011,6.50,6.85,6.15, 6.75,6.70,12506,0.82
15-Nov-2011,6.90,7.25,6.55, 6.65,6.70,6137,0.42
14-Nov-2011,7.30,7.30,7.05, 7.05,7.05,552,0.04
11-Nov-2011,7.30,7.30,7.00, 7.00,7.00,34263,2.42
09-Nov-2011,7.25,7.35,7.00, 7.25,7.25,9015,0.65
08-Nov-2011,7.00,7.35,6.90, 7.35,7.25,8170,0.59
04-Nov-2011,7.00,7.25,7.00, 7.10,7.10,1265,0.09
03-Nov-2011,7.00,7.35,6.95, 7.30,7.15,1232,0.09
02-Nov-2011,6.80,7.30,6.80, 6.95,7.05,1157,0.08
01-Nov-2011,6.65,7.40,6.65, 7.10,7.10,6216,0.44
31-Oct-2011,6.50,7.20,6.50, 7.00,7.00,4108,0.29
28-Oct-2011,7.00,7.45,6.95, 7.10,7.05,4542,0.32
26-Oct-2011,7.35,7.35,6.95, 6.95,7.10,1457,0.10
25-Oct-2011,6.85,7.25,6.85, 7.00,7.00,1455,0.10
24-Oct-2011,6.70,7.20,6.70, 7.00,7.05,3757,0.26
21-Oct-2011,7.00,7.15,6.95, 7.00,7.00,11295,0.79
20-Oct-2011,7.00,7.20,7.00, 7.00,7.00,21586,1.51
19-Oct-2011,7.00,7.35,7.00, 7.00,7.15,11201,0.80
18-Oct-2011,7.00,7.30,6.90, 7.30,7.15,2897,0.21
17-Oct-2011,6.75,7.15,6.75, 7.00,7.00,1585,0.11
14-Oct-2011,7.60,7.60,7.05, 7.20,7.20,1209,0.09
13-Oct-2011,7.15,7.45,6.85, 7.45,7.40,6581,0.48
12-Oct-2011,6.75,7.20,6.75, 7.20,7.10,5635,0.39
11-Oct-2011,7.45,7.45,6.75, 6.75,6.75,18370,1.26
10-Oct-2011,7.00,7.00,6.60, 6.80,6.85,20663,1.39
07-Oct-2011,7.70,7.70,6.60, 6.90,7.00,38429,2.67
05-Oct-2011,7.05,7.40,6.80, 7.10,7.00,15144,1.06
04-Oct-2011,7.00,7.75,7.00, 7.15,7.10,8822,0.63
03-Oct-2011,7.20,7.60,7.15, 7.50,7.30,2075,0.15
30-Sep-2011,7.65,7.65,7.25, 7.50,7.40,7561,0.56
29-Sep-2011,7.70,7.70,7.20, 7.65,7.55,6446,0.48
28-Sep-2011,7.25,7.50,7.20, 7.45,7.35,10757,0.79
27-Sep-2011,7.15,7.95,7.15, 7.35,7.40,43221,3.20
26-Sep-2011,7.70,8.35,7.55, 7.85,7.75,10843,0.83
23-Sep-2011,8.50,8.50,7.90, 8.00,8.05,29824,2.42
22-Sep-2011,9.00,9.05,8.60, 8.65,8.65,15482,1.36
21-Sep-2011,8.95,9.80,8.95, 9.30,9.10,19167,1.78
20-Sep-2011,9.00,9.40,8.90, 9.05,9.10,13973,1.28
19-Sep-2011,9.00,9.85,8.55, 9.05,9.30,59123,5.43
16-Sep-2011,9.65,9.70,8.60, 9.00,8.95,11522,1.07
15-Sep-2011,9.15,9.90,9.05, 9.50,9.35,67296,6.33
14-Sep-2011,8.85,9.50,8.85, 8.95,9.10,51152,4.71
13-Sep-2011,8.00,9.40,8.00, 9.10,9.00,48554,4.27
12-Sep-2011,7.25,8.35,6.85, 8.10,8.05,30869,2.38
09-Sep-2011,7.00,7.35,7.00, 7.00,7.00,15243,1.09
08-Sep-2011,6.10,7.25,6.10, 7.05,7.15,5758,0.41
07-Sep-2011,7.10,7.20,6.95, 7.20,7.10,28474,2.01
