Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,70.50,73.60,70.50, 73.00,72.20,14640,10.62
29-Dec-2011,70.00,72.10,69.50, 72.00,71.95,26107,18.67
28-Dec-2011,70.55,73.00,70.55, 70.95,71.30,14471,10.37
27-Dec-2011,75.75,75.80,70.25, 72.00,71.50,27232,19.77
26-Dec-2011,74.20,76.90,74.20, 75.00,74.75,20398,15.33
23-Dec-2011,77.00,78.40,75.10, 76.80,75.80,38721,29.77
22-Dec-2011,88.00,88.00,76.10, 76.50,76.85,51634,39.86
21-Dec-2011,89.35,89.40,81.00, 81.90,82.00,18733,15.56
20-Dec-2011,88.10,90.70,84.00, 84.00,84.55,16269,13.97
19-Dec-2011,92.40,97.00,88.25, 90.50,90.50,11520,10.64
16-Dec-2011,97.00,102.50,95.50, 95.60,96.55,12306,12.12
15-Dec-2011,101.30,101.40,96.15, 98.85,98.85,9054,8.94
14-Dec-2011,102.60,103.75,101.45, 102.50,102.15,4563,4.70
13-Dec-2011,105.00,106.90,103.05, 104.85,103.95,4032,4.20
12-Dec-2011,103.00,108.00,101.95, 106.90,106.90,20279,21.31
09-Dec-2011,107.70,107.75,102.00, 102.30,102.85,163014,166.93
08-Dec-2011,109.15,112.40,105.65, 106.50,106.95,11431,12.32
07-Dec-2011,112.00,113.45,110.50, 110.50,111.00,11269,12.56
05-Dec-2011,113.20,114.50,111.25, 112.00,111.80,8831,9.90
02-Dec-2011,111.85,114.40,110.55, 113.45,112.25,17131,19.19
01-Dec-2011,115.00,115.85,110.50, 112.00,111.85,12019,13.69
30-Nov-2011,110.00,114.90,110.00, 112.00,111.85,11379,12.84
29-Nov-2011,116.00,117.40,111.50, 113.00,112.55,7735,8.84
28-Nov-2011,122.00,122.00,116.00, 116.40,116.35,12624,14.91
25-Nov-2011,119.00,120.95,119.00, 119.00,119.05,7107,8.50
24-Nov-2011,119.00,121.00,118.50, 119.60,120.10,51197,60.98
23-Nov-2011,119.00,119.20,119.00, 119.00,119.00,28500,33.92
22-Nov-2011,119.00,119.40,117.05, 119.00,119.00,20473,24.35
21-Nov-2011,122.70,122.70,119.00, 119.35,119.15,16820,20.02
18-Nov-2011,119.00,119.40,119.00, 119.00,119.05,23659,28.16
17-Nov-2011,119.00,120.00,119.00, 119.00,119.05,18384,21.88
16-Nov-2011,118.85,119.95,117.55, 119.95,119.20,34185,40.70
15-Nov-2011,119.00,119.90,118.10, 119.00,119.10,25892,30.82
14-Nov-2011,120.00,122.50,115.10, 119.00,119.00,49569,58.90
11-Nov-2011,121.50,121.50,111.25, 119.00,119.00,43494,51.70
09-Nov-2011,122.00,122.95,120.05, 121.00,121.00,42388,51.35
08-Nov-2011,120.50,121.95,118.00, 121.70,121.35,13760,16.57
04-Nov-2011,117.50,121.00,117.50, 120.05,120.05,23725,28.47
03-Nov-2011,116.15,119.80,116.15, 118.00,118.25,21841,25.77
02-Nov-2011,125.80,125.80,115.70, 118.65,118.15,17506,20.57
01-Nov-2011,119.55,119.55,117.05, 118.00,118.15,19653,23.21
31-Oct-2011,118.05,120.90,118.05, 119.05,119.45,12284,14.66
28-Oct-2011,122.00,124.00,118.25, 120.20,120.35,46110,55.56
26-Oct-2011,125.80,125.80,120.10, 120.40,121.25,89286,108.68
25-Oct-2011,112.50,114.95,112.50, 114.80,114.25,62755,71.54
24-Oct-2011,112.75,114.45,112.00, 112.50,113.10,22709,25.66
21-Oct-2011,109.50,115.00,109.50, 111.55,111.95,305509,338.23
20-Oct-2011,109.00,110.65,109.00, 110.55,109.45,19364,21.20
19-Oct-2011,109.30,111.95,109.00, 111.50,111.15,35326,39.17
18-Oct-2011,110.05,111.35,107.80, 109.45,109.05,31180,34.04
17-Oct-2011,111.10,113.50,110.65, 110.80,111.10,21675,24.19
14-Oct-2011,111.50,112.00,110.40, 110.60,110.90,17766,19.74
13-Oct-2011,112.25,115.00,111.15, 111.50,111.85,45346,51.28
12-Oct-2011,111.50,113.90,110.05, 110.80,111.80,39802,44.54
11-Oct-2011,112.00,114.90,110.55, 111.95,111.30,70709,80.20
10-Oct-2011,110.55,111.90,110.45, 110.60,110.95,22054,24.51
07-Oct-2011,110.05,114.65,108.00, 110.60,110.10,33337,37.05
05-Oct-2011,119.15,119.15,108.20, 108.25,109.00,47667,53.16
04-Oct-2011,116.95,119.45,113.05, 114.00,114.60,24718,28.79
03-Oct-2011,120.00,123.00,115.80, 118.00,118.45,16608,19.59
30-Sep-2011,123.15,125.40,120.00, 120.30,120.80,20334,25.00
29-Sep-2011,122.50,126.90,122.50, 125.55,126.15,18417,23.00
28-Sep-2011,129.85,129.85,124.00, 124.05,124.20,27329,34.56
27-Sep-2011,127.15,130.95,124.00, 127.00,126.05,26810,34.37
26-Sep-2011,134.70,134.70,121.50, 127.45,126.40,38280,48.24
23-Sep-2011,132.00,132.50,124.00, 130.15,129.95,40040,51.94
22-Sep-2011,136.10,136.50,132.35, 134.90,133.40,36157,48.57
21-Sep-2011,136.00,138.80,136.00, 137.35,137.25,41336,56.75
20-Sep-2011,135.30,139.80,135.30, 136.35,136.10,39418,53.96
19-Sep-2011,137.25,142.15,136.00, 136.05,136.35,73540,102.47
16-Sep-2011,142.70,143.25,137.70, 138.20,138.25,28788,40.40
15-Sep-2011,143.00,144.55,140.00, 140.50,140.65,31363,44.30
14-Sep-2011,144.40,146.15,140.15, 140.15,141.70,22731,32.52
13-Sep-2011,149.85,158.00,142.80, 143.00,144.00,37622,55.18
12-Sep-2011,148.00,148.00,142.20, 146.00,144.10,37751,54.57
09-Sep-2011,143.00,161.90,141.50, 151.00,151.05,316478,492.56
08-Sep-2011,136.60,143.75,136.50, 143.00,142.05,25532,36.06
07-Sep-2011,134.10,137.80,134.10, 136.50,136.80,15151,20.72
