Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,61.95,61.95,61.00, 61.05,61.00,176,0.11
29-Dec-2011,61.00,61.00,61.00, 61.00,61.00,458,0.28
28-Dec-2011,61.05,62.35,61.00, 61.00,61.00,472,0.29
27-Dec-2011,62.00,62.35,61.00, 61.00,61.20,631,0.39
26-Dec-2011,61.00,62.00,61.00, 61.00,61.00,1337,0.82
23-Dec-2011,61.95,62.00,58.60, 60.95,60.05,2704,1.62
22-Dec-2011,57.00,59.00,56.20, 59.00,58.75,956,0.54
21-Dec-2011,58.00,59.80,56.50, 56.50,56.55,884,0.51
20-Dec-2011,60.00,61.95,58.05, 58.10,58.20,1119,0.66
19-Dec-2011,62.00,62.00,60.00, 60.05,60.15,960,0.58
16-Dec-2011,62.50,63.45,61.50, 61.50,61.50,843,0.52
15-Dec-2011,62.00,62.50,61.50, 62.50,62.50,2311,1.43
14-Dec-2011,64.45,64.45,62.10, 62.85,62.85,1287,0.80
13-Dec-2011,63.00,64.00,62.50, 64.00,62.90,638,0.40
12-Dec-2011,64.00,64.60,62.50, 62.50,62.55,1404,0.89
09-Dec-2011,64.50,67.00,63.15, 64.10,65.00,1671,1.10
08-Dec-2011,63.00,71.00,62.55, 65.30,65.50,7106,4.64
07-Dec-2011,61.55,63.50,61.55, 63.45,63.05,1994,1.24
05-Dec-2011,62.00,62.90,62.00, 62.10,62.10,1662,1.04
02-Dec-2011,61.95,61.95,61.00, 61.75,61.45,1432,0.88
01-Dec-2011,61.95,61.95,61.00, 61.05,61.05,1315,0.81
30-Nov-2011,62.80,62.80,60.90, 61.00,61.00,2331,1.42
29-Nov-2011,61.05,62.00,61.00, 62.00,61.85,1202,0.74
28-Nov-2011,63.00,63.00,60.60, 63.00,61.40,1798,1.10
25-Nov-2011,61.00,62.95,61.00, 61.05,61.05,577,0.35
24-Nov-2011,60.50,62.45,60.15, 60.35,60.90,1456,0.88
23-Nov-2011,63.00,63.00,60.50, 60.70,60.65,3595,2.20
22-Nov-2011,61.75,62.50,61.25, 61.50,61.50,3150,1.94
21-Nov-2011,62.50,62.85,61.05, 61.25,61.35,24028,14.93
18-Nov-2011,63.00,63.25,62.30, 63.25,63.15,1122,0.71
17-Nov-2011,65.00,65.00,63.00, 63.00,63.20,23444,14.88
16-Nov-2011,64.00,67.00,63.00, 63.50,63.50,1496,0.96
15-Nov-2011,65.50,67.10,63.00, 63.55,64.15,7336,4.73
14-Nov-2011,65.75,66.80,65.50, 65.50,65.50,24700,16.35
11-Nov-2011,67.30,67.30,65.55, 67.00,66.35,2027,1.34
09-Nov-2011,67.00,67.45,66.50, 67.45,67.30,2706,1.81
08-Nov-2011,65.00,66.70,65.00, 66.55,66.20,1057,0.70
04-Nov-2011,65.60,66.75,65.25, 66.00,65.70,3728,2.46
03-Nov-2011,66.70,67.00,64.65, 65.00,65.00,2345,1.53
02-Nov-2011,66.10,67.70,65.25, 65.65,65.80,2335,1.55
01-Nov-2011,66.00,71.80,65.35, 66.50,67.05,8498,5.73
31-Oct-2011,65.60,66.85,64.75, 66.25,66.40,5748,3.79
28-Oct-2011,66.45,66.90,64.10, 65.50,65.50,6546,4.27
26-Oct-2011,64.80,65.50,63.10, 65.00,65.15,1666,1.08
25-Oct-2011,64.95,64.95,63.85, 64.00,64.00,1966,1.26
24-Oct-2011,64.85,65.00,63.10, 63.60,63.60,6249,4.00
21-Oct-2011,67.50,67.50,64.50, 64.85,64.90,11570,7.58
20-Oct-2011,68.05,68.05,66.05, 66.60,66.40,7350,4.92
19-Oct-2011,69.50,70.50,68.00, 69.25,68.95,6403,4.43
18-Oct-2011,71.00,71.00,68.75, 68.75,69.25,11634,8.13
17-Oct-2011,68.80,74.90,68.80, 70.70,70.55,120202,85.93
14-Oct-2011,65.50,67.45,65.30, 67.10,67.10,10865,7.25
13-Oct-2011,65.00,65.45,64.55, 64.55,64.70,2451,1.59
12-Oct-2011,66.35,66.35,64.60, 64.85,65.15,8791,5.73
11-Oct-2011,66.00,66.20,64.50, 64.50,64.80,2058,1.34
10-Oct-2011,64.00,66.40,64.00, 66.00,65.15,4019,2.60
07-Oct-2011,64.00,65.90,63.90, 65.50,64.65,6207,4.00
05-Oct-2011,63.50,65.50,63.50, 63.90,63.90,1140,0.73
04-Oct-2011,63.85,63.90,63.00, 63.60,63.50,3170,2.01
03-Oct-2011,64.10,65.00,63.25, 65.00,64.40,720,0.46
30-Sep-2011,65.00,66.00,63.55, 64.50,64.90,799,0.52
29-Sep-2011,65.10,66.05,65.10, 65.60,65.60,864,0.57
28-Sep-2011,67.50,67.50,64.55, 65.95,65.80,3245,2.16
27-Sep-2011,65.65,67.90,65.65, 66.25,66.45,3830,2.56
26-Sep-2011,68.00,68.00,66.00, 66.30,66.45,1661,1.11
23-Sep-2011,66.00,67.80,66.00, 67.25,66.55,3101,2.07
22-Sep-2011,67.50,67.50,65.35, 66.00,66.15,1651,1.10
21-Sep-2011,67.80,68.45,66.25, 67.15,67.55,3702,2.49
20-Sep-2011,68.00,68.00,66.25, 66.80,66.95,2146,1.44
19-Sep-2011,67.00,67.60,66.65, 67.15,67.00,2133,1.43
16-Sep-2011,67.55,67.95,66.50, 67.60,66.90,5127,3.44
15-Sep-2011,69.60,69.60,65.40, 66.20,66.80,12968,8.71
14-Sep-2011,70.00,70.00,67.30, 67.90,68.05,3523,2.41
13-Sep-2011,73.00,73.25,69.50, 69.50,69.65,7322,5.23
12-Sep-2011,75.00,75.35,72.35, 73.60,73.50,1787,1.32
09-Sep-2011,74.00,77.45,72.75, 77.00,76.10,5569,4.20
08-Sep-2011,73.25,74.05,72.40, 73.40,73.65,984,0.72
07-Sep-2011,70.60,73.50,70.60, 73.50,73.50,2431,1.75
06-Sep-2011,70.25,72.05,70.15, 71.80,71.80,4868,3.46
05-Sep-2011,72.80,72.80,69.10, 71.00,70.55,955,0.68
02-Sep-2011,70.85,72.90,70.00, 71.75,71.90,1268,0.90
30-Aug-2011,71.00,76.90,69.50, 71.90,71.40,2640,1.89
29-Aug-2011,68.30,69.50,68.30, 68.50,68.90,937,0.64
26-Aug-2011,67.50,68.30,66.00, 68.30,67.70,5769,3.89
25-Aug-2011,69.00,69.45,67.00, 67.35,67.40,2867,1.95
24-Aug-2011,70.50,70.80,68.00, 68.00,68.85,982,0.69
23-Aug-2011,68.65,72.00,68.10, 70.75,70.25,1868,1.31
22-Aug-2011,66.20,70.50,66.20, 68.50,69.50,1426,0.97
19-Aug-2011,69.40,69.40,65.65, 66.10,66.50,8578,5.72
