Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.55,8.60,8.05, 8.55,8.45,402919,33.04
29-Dec-2011,8.20,8.50,8.10, 8.25,8.20,554839,45.84
28-Dec-2011,8.30,8.50,8.05, 8.15,8.10,476624,39.19
27-Dec-2011,9.10,9.10,8.15, 8.35,8.35,380665,32.21
26-Dec-2011,9.00,9.10,8.60, 8.65,8.75,335203,29.69
23-Dec-2011,9.40,9.40,8.80, 8.85,8.95,346550,31.25
22-Dec-2011,9.30,9.30,8.80, 9.15,9.05,293211,26.46
21-Dec-2011,9.15,9.55,9.10, 9.20,9.20,195793,18.33
20-Dec-2011,9.60,9.95,9.00, 9.30,9.05,301415,28.15
19-Dec-2011,10.00,10.00,9.45, 9.75,9.60,611612,59.10
16-Dec-2011,10.30,10.35,10.00, 10.15,10.05,370389,37.31
15-Dec-2011,10.00,10.30,10.00, 10.20,10.10,482227,49.14
14-Dec-2011,10.20,10.40,9.75, 9.95,10.05,258697,26.28
13-Dec-2011,10.05,10.65,10.00, 10.15,10.20,235877,24.33
12-Dec-2011,10.65,10.65,10.05, 10.05,10.10,298965,30.35
09-Dec-2011,10.50,10.65,10.25, 10.30,10.30,185497,19.28
08-Dec-2011,10.65,10.90,10.50, 10.50,10.55,303204,32.34
07-Dec-2011,10.85,11.00,10.60, 10.80,10.65,274927,29.56
05-Dec-2011,11.25,11.25,10.75, 10.75,10.85,261496,28.55
02-Dec-2011,11.05,11.55,10.80, 11.50,11.35,182786,20.68
01-Dec-2011,11.60,12.30,10.85, 11.10,11.05,197633,22.01
30-Nov-2011,10.90,10.95,10.60, 10.70,10.75,308365,33.05
29-Nov-2011,10.65,10.90,10.60, 10.75,10.80,365913,39.28
28-Nov-2011,11.00,11.45,10.50, 10.55,10.60,787383,84.82
25-Nov-2011,11.15,11.15,10.65, 10.85,10.75,327080,35.40
24-Nov-2011,10.80,11.05,10.40, 10.85,10.80,587742,62.90
23-Nov-2011,10.60,10.95,10.60, 10.80,10.80,680993,73.57
22-Nov-2011,11.10,11.10,10.75, 10.80,10.85,327833,35.64
21-Nov-2011,11.00,11.10,10.60, 10.80,10.80,2029583,219.19
18-Nov-2011,11.50,11.50,10.45, 10.85,10.90,671485,72.96
17-Nov-2011,12.30,12.30,11.30, 11.50,11.50,236008,27.73
16-Nov-2011,12.25,12.45,11.80, 11.85,12.05,425026,51.87
15-Nov-2011,13.40,13.40,12.05, 12.30,12.20,537485,66.66
14-Nov-2011,14.90,14.90,13.05, 13.10,13.20,287331,38.74
11-Nov-2011,14.50,14.50,13.90, 13.90,13.95,200383,28.11
