Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.00,39.15,36.45, 36.65,36.70,1641524,619.60
29-Dec-2011,38.85,40.15,36.50, 36.65,37.10,3255655,1251.95
28-Dec-2011,39.80,39.80,36.50, 39.05,38.85,4465519,1720.72
27-Dec-2011,36.35,37.30,35.70, 35.95,35.90,434597,158.02
26-Dec-2011,38.30,38.30,35.70, 36.30,36.30,622239,228.39
23-Dec-2011,35.40,37.70,35.00, 35.95,35.95,1251040,456.83
22-Dec-2011,36.20,36.50,34.70, 35.35,35.35,914722,322.31
21-Dec-2011,34.70,38.00,34.55, 36.70,36.35,6219325,2263.23
20-Dec-2011,30.90,34.20,29.25, 32.90,32.65,2046228,657.38
19-Dec-2011,31.85,32.00,30.20, 30.50,30.60,448490,137.43
16-Dec-2011,34.30,35.50,31.50, 31.75,31.85,563638,187.68
15-Dec-2011,35.10,35.75,34.00, 34.30,34.30,469487,162.19
14-Dec-2011,36.25,36.65,35.25, 35.40,35.60,348387,125.78
13-Dec-2011,36.30,36.50,35.60, 36.15,36.20,387364,140.04
12-Dec-2011,38.40,38.40,36.25, 36.35,36.50,461182,172.11
09-Dec-2011,38.45,38.75,37.60, 37.80,37.75,433899,164.44
08-Dec-2011,40.35,40.70,38.40, 38.85,38.80,491279,192.41
07-Dec-2011,40.60,41.40,40.20, 40.20,40.45,654659,266.86
05-Dec-2011,40.35,41.40,40.05, 40.30,40.40,491207,199.49
02-Dec-2011,40.65,41.65,39.55, 40.35,40.35,1124538,457.63
01-Dec-2011,42.90,47.45,40.05, 40.15,40.30,943226,383.90
30-Nov-2011,40.00,41.80,39.30, 39.75,39.65,3049016,1226.77
29-Nov-2011,38.00,45.30,37.85, 42.25,42.30,9087733,3897.96
28-Nov-2011,38.15,38.75,37.10, 38.10,38.15,549959,209.73
25-Nov-2011,36.70,38.85,36.10, 36.70,36.80,1073072,400.75
24-Nov-2011,36.95,37.35,36.00, 37.20,36.95,491471,180.24
23-Nov-2011,38.00,39.15,36.60, 36.80,36.95,758177,286.35
22-Nov-2011,37.25,39.90,37.25, 38.40,38.00,571727,218.91
21-Nov-2011,36.55,40.30,35.80, 37.75,37.55,1593605,613.85
18-Nov-2011,38.55,38.55,36.50, 36.85,37.10,795830,294.65
17-Nov-2011,39.80,40.10,38.15, 38.25,38.50,814480,316.22
16-Nov-2011,43.35,43.35,39.45, 39.80,39.60,1300819,525.12
15-Nov-2011,46.20,47.05,43.10, 43.45,43.45,576580,255.66
14-Nov-2011,48.85,49.15,45.80, 46.05,46.05,724407,341.49
11-Nov-2011,49.10,49.75,48.15, 48.25,48.30,639623,311.51
09-Nov-2011,50.30,52.10,49.10, 49.10,49.75,1157743,589.73
08-Nov-2011,51.00,51.10,49.75, 50.30,50.20,545565,274.22
04-Nov-2011,51.00,51.85,50.40, 50.60,50.70,585884,297.97
03-Nov-2011,51.85,51.85,50.20, 50.80,50.60,611335,310.06
