Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,11.30,11.85,11.30, 11.70,11.55,10952636,1271.03
29-Dec-2011,11.30,11.95,11.05, 11.70,11.25,29671175,3412.39
28-Dec-2011,11.30,11.55,11.10, 11.30,11.35,11080642,1252.97
27-Dec-2011,11.80,11.95,11.20, 11.35,11.40,10865717,1252.85
26-Dec-2011,11.05,13.00,11.05, 12.00,11.90,27735677,3286.31
23-Dec-2011,11.00,11.25,10.90, 11.05,11.00,8125092,901.88
22-Dec-2011,10.50,11.05,10.20, 11.00,10.80,6858718,726.25
21-Dec-2011,10.15,10.55,10.15, 10.50,10.50,7105528,741.65
20-Dec-2011,10.25,10.40,10.00, 10.15,10.10,5749060,584.47
19-Dec-2011,9.90,10.30,9.60, 10.25,10.20,10054467,1005.61
16-Dec-2011,10.50,10.65,9.75, 9.90,9.85,8748468,888.84
15-Dec-2011,10.30,10.45,10.15, 10.35,10.30,4086455,419.98
14-Dec-2011,10.50,10.80,10.25, 10.25,10.35,3767074,397.15
13-Dec-2011,10.50,10.80,10.40, 10.70,10.70,5268993,561.04
12-Dec-2011,10.75,10.90,10.55, 10.55,10.60,5883440,631.23
09-Dec-2011,10.60,10.90,10.30, 10.70,10.70,9048761,955.77
08-Dec-2011,11.60,11.60,10.60, 10.70,10.70,14345560,1565.84
07-Dec-2011,11.30,11.75,11.30, 11.50,11.55,11115279,1286.05
05-Dec-2011,10.80,11.50,10.60, 11.50,11.30,11424998,1276.16
02-Dec-2011,10.65,10.90,10.50, 10.85,10.85,5280365,567.08
01-Dec-2011,10.40,10.90,10.40, 10.65,10.65,6056364,646.62
30-Nov-2011,10.40,10.50,10.20, 10.35,10.35,6880376,711.37
29-Nov-2011,11.00,11.50,10.40, 10.45,10.45,10108316,1076.58
28-Nov-2011,10.45,11.00,10.40, 10.95,10.95,7819907,839.83
25-Nov-2011,10.50,10.85,10.20, 10.25,10.30,14453218,1519.24
24-Nov-2011,10.30,10.55,10.10, 10.40,10.45,9245346,953.86
23-Nov-2011,10.35,10.40,10.05, 10.30,10.25,9540512,972.87
22-Nov-2011,10.55,10.95,10.20, 10.45,10.35,13295247,1400.71
21-Nov-2011,11.20,11.45,10.40, 10.60,10.50,12950120,1412.17
18-Nov-2011,10.40,11.45,10.40, 11.40,11.20,14553641,1574.22
17-Nov-2011,11.20,11.50,10.40, 10.50,10.60,11669783,1285.66
16-Nov-2011,11.70,11.75,11.20, 11.40,11.25,7921187,899.62
15-Nov-2011,12.25,12.45,11.60, 11.65,11.70,11163040,1341.90
14-Nov-2011,13.00,13.50,12.05, 12.30,12.30,11241738,1408.73
11-Nov-2011,13.00,13.50,12.75, 13.15,13.15,7409591,968.74
09-Nov-2011,14.00,14.00,13.00, 13.10,13.05,10883699,1455.10
08-Nov-2011,14.00,14.05,13.40, 13.55,13.60,9571979,1303.47
04-Nov-2011,13.50,13.95,13.50, 13.95,13.80,14306530,1963.95
03-Nov-2011,13.35,13.65,13.15, 13.50,13.40,9440347,1259.47
02-Nov-2011,14.00,14.00,13.25, 13.30,13.30,28616701,3879.08
01-Nov-2011,14.25,14.45,13.75, 13.95,13.90,11828158,1659.41
31-Oct-2011,14.50,15.00,14.15, 14.30,14.20,20446123,2971.22
28-Oct-2011,14.50,14.75,14.35, 14.55,14.50,20568967,2987.64
26-Oct-2011,14.00,14.45,14.00, 14.40,14.35,3263995,467.69
25-Oct-2011,11.50,14.15,11.50, 14.05,13.95,12264594,1707.16
24-Oct-2011,14.25,14.60,13.95, 14.00,14.00,7756326,1108.05
21-Oct-2011,14.50,14.65,14.15, 14.25,14.25,5845498,842.81
20-Oct-2011,13.85,14.75,13.85, 14.40,14.30,8928961,1289.80
19-Oct-2011,14.70,15.00,14.55, 14.55,14.60,10494450,1548.09
18-Oct-2011,14.85,14.90,14.35, 14.60,14.50,7371824,1067.98
17-Oct-2011,17.00,17.00,14.80, 14.85,14.90,4336540,651.53
14-Oct-2011,15.15,15.35,15.10, 15.20,15.20,2925964,445.19
13-Oct-2011,15.40,15.50,15.20, 15.20,15.25,4857997,744.43
12-Oct-2011,15.00,15.35,15.00, 15.30,15.30,3753424,570.30
11-Oct-2011,15.25,15.45,15.00, 15.05,15.05,5274385,801.10
10-Oct-2011,15.05,15.40,15.05, 15.20,15.20,5182988,788.68
07-Oct-2011,14.85,15.55,14.85, 15.10,15.15,5165663,790.40
05-Oct-2011,15.00,15.35,15.00, 15.00,15.00,4378242,662.54
04-Oct-2011,15.30,15.70,15.05, 15.15,15.10,6310370,971.04
03-Oct-2011,15.10,15.75,15.10, 15.50,15.50,5211352,806.99
30-Sep-2011,15.70,16.30,15.30, 15.85,15.80,7013709,1123.64
29-Sep-2011,16.00,16.10,15.70, 16.05,16.00,7992982,1269.43
28-Sep-2011,16.40,16.50,15.95, 16.00,16.05,9714494,1567.92
27-Sep-2011,16.00,16.70,16.00, 16.40,16.35,8515037,1399.92
26-Sep-2011,16.70,16.75,16.05, 16.15,16.15,8500551,1381.65
23-Sep-2011,16.50,16.85,16.05, 16.75,16.60,9139854,1503.74
22-Sep-2011,17.30,17.80,16.60, 16.65,16.70,9841184,1671.28
21-Sep-2011,17.35,17.90,17.20, 17.45,17.45,12645624,2217.32
20-Sep-2011,17.00,17.45,16.80, 17.30,17.30,11151190,1906.72
19-Sep-2011,17.00,18.25,16.75, 17.00,16.85,25235088,4394.17
16-Sep-2011,17.00,17.45,16.85, 16.95,17.00,5504266,938.70
15-Sep-2011,17.00,17.30,16.75, 17.15,17.00,5644449,956.88
14-Sep-2011,16.55,17.15,16.50, 17.10,17.00,7367255,1240.45
13-Sep-2011,17.00,17.55,16.40, 16.55,16.50,8500921,1439.73
12-Sep-2011,17.50,17.85,17.00, 17.05,17.10,5334632,918.48
09-Sep-2011,17.90,18.45,17.75, 17.80,17.85,7896141,1422.34
08-Sep-2011,18.00,18.50,17.80, 17.90,17.85,10405517,1881.98
07-Sep-2011,17.75,18.30,17.65, 18.20,18.15,8385125,1513.40
06-Sep-2011,17.20,17.90,16.65, 17.75,17.75,7204418,1243.17
05-Sep-2011,16.80,17.50,16.55, 17.45,17.30,5576937,947.57
02-Sep-2011,16.50,17.15,16.50, 16.95,16.95,5031570,852.23
30-Aug-2011,16.65,17.05,16.45, 16.90,16.80,6046816,1013.61
29-Aug-2011,16.20,16.90,16.20, 16.60,16.60,6146926,1018.83
26-Aug-2011,16.70,16.90,15.80, 15.90,16.00,9317589,1514.76
25-Aug-2011,17.50,17.70,16.30, 16.60,16.50,14433264,2423.65
24-Aug-2011,17.90,18.00,17.30, 17.40,17.40,7023794,1244.37
23-Aug-2011,18.00,18.50,17.50, 17.90,17.80,10635730,1910.37
22-Aug-2011,17.10,17.55,16.80, 17.55,17.40,5506724,945.41
19-Aug-2011,16.10,17.30,15.00, 17.00,17.10,7751342,1309.75
18-Aug-2011,17.70,17.85,16.75, 16.80,16.90,5794770,1003.09
17-Aug-2011,18.05,18.20,17.10, 17.50,17.60,7901558,1389.48
16-Aug-2011,18.75,19.10,17.65, 17.70,17.95,6162093,1128.38
12-Aug-2011,19.25,19.40,18.55, 18.65,18.65,4817746,912.07
11-Aug-2011,19.10,19.40,18.85, 19.15,19.20,5679294,1086.06
10-Aug-2011,18.70,19.25,18.70, 19.15,19.05,10800797,2046.13
09-Aug-2011,17.10,18.70,16.80, 18.45,18.35,13490703,2399.33
08-Aug-2011,16.80,18.30,16.60, 17.70,17.70,16063167,2840.41
05-Aug-2011,17.30,17.35,16.35, 17.30,17.20,9948063,1682.22
04-Aug-2011,17.50,18.25,17.20, 17.30,17.35,6046577,1074.99
03-Aug-2011,17.00,17.70,16.55, 17.55,17.45,8674808,1485.02
02-Aug-2011,18.30,18.30,17.05, 17.10,17.15,6613986,1146.76
01-Aug-2011,18.50,18.50,17.60, 17.95,17.90,4997893,897.10
29-Jul-2011,17.00,18.35,17.00, 18.05,18.05,5299695,959.92
28-Jul-2011,18.80,18.80,17.85, 18.05,18.10,8863515,1619.15
27-Jul-2011,18.65,18.95,18.40, 18.85,18.85,7484761,1403.27
26-Jul-2011,19.60,19.65,18.40, 18.60,18.55,7436946,1412.59
25-Jul-2011,19.70,19.70,19.35, 19.55,19.55,2040298,399.17
22-Jul-2011,19.40,19.65,19.30, 19.45,19.50,2411740,470.05
21-Jul-2011,19.30,19.50,19.15, 19.35,19.30,3532158,683.08
20-Jul-2011,19.60,19.90,19.30, 19.40,19.40,3512648,689.84
19-Jul-2011,19.30,19.90,19.15, 19.50,19.55,5644609,1101.62
18-Jul-2011,19.30,19.50,19.10, 19.20,19.25,1907682,368.51
15-Jul-2011,19.00,19.50,19.00, 19.35,19.30,3669453,706.33
14-Jul-2011,19.00,19.45,19.00, 19.10,19.15,4627265,890.36
13-Jul-2011,19.25,19.55,19.05, 19.55,19.45,3392635,655.71
