Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,50.50,52.70,49.60, 52.40,51.90,1562,0.81
29-Dec-2011,50.85,51.95,50.85, 51.95,51.95,200,0.10
28-Dec-2011,53.00,53.00,49.50, 52.45,49.65,441,0.22
27-Dec-2011,53.85,53.85,53.85, 53.85,53.85,4,0.00
26-Dec-2011,49.00,52.50,49.00, 50.30,50.75,837,0.42
23-Dec-2011,52.40,52.40,49.70, 49.80,49.80,265,0.14
22-Dec-2011,49.05,51.00,49.00, 50.80,50.50,3014,1.52
21-Dec-2011,48.50,50.65,48.20, 50.65,50.25,3302,1.62
20-Dec-2011,49.00,49.55,48.00, 48.00,48.25,1229,0.59
19-Dec-2011,50.25,53.30,49.00, 50.45,50.50,1832,0.93
16-Dec-2011,52.00,53.30,50.80, 51.20,51.35,2543,1.32
15-Dec-2011,53.70,53.70,50.10, 53.65,53.25,961,0.50
14-Dec-2011,55.80,55.90,50.60, 52.00,52.40,3962,2.08
13-Dec-2011,56.00,57.00,50.60, 54.80,54.55,6295,3.41
12-Dec-2011,57.20,58.95,54.25, 55.40,54.50,2766,1.54
09-Dec-2011,58.25,63.90,55.55, 57.00,56.70,58916,34.86
08-Dec-2011,62.80,62.80,57.70, 58.00,58.00,821,0.48
07-Dec-2011,64.85,64.85,58.55, 60.00,60.30,3812,2.31
05-Dec-2011,61.00,63.90,60.55, 63.90,63.40,701,0.43
02-Dec-2011,58.55,62.00,58.55, 62.00,60.25,776,0.47
01-Dec-2011,61.00,61.00,59.05, 59.10,59.20,349,0.21
30-Nov-2011,61.75,63.00,61.10, 62.00,62.25,1000,0.62
29-Nov-2011,63.75,63.80,60.05, 60.50,60.50,350,0.21
28-Nov-2011,63.30,63.30,59.45, 60.05,60.05,532,0.32
25-Nov-2011,61.00,61.00,59.30, 59.30,59.30,2367,1.43
24-Nov-2011,60.00,62.90,58.05, 62.90,62.90,518,0.30
23-Nov-2011,61.00,62.75,58.35, 61.00,61.00,1513,0.92
22-Nov-2011,60.15,62.40,60.10, 62.40,62.35,782,0.47
21-Nov-2011,61.50,66.50,58.35, 59.50,60.05,2458,1.52
18-Nov-2011,63.00,67.45,61.50, 61.75,61.80,839,0.53
17-Nov-2011,63.00,65.00,63.00, 64.90,64.70,1897,1.22
16-Nov-2011,66.05,66.95,61.70, 63.05,63.05,3098,1.96
15-Nov-2011,68.75,71.60,62.75, 67.00,66.85,3333,2.20
14-Nov-2011,74.40,74.40,66.40, 69.00,68.95,5758,4.05
11-Nov-2011,66.00,74.80,64.10, 72.75,73.25,20531,14.77
09-Nov-2011,67.00,67.75,63.25, 67.75,67.75,348,0.23
08-Nov-2011,67.00,67.25,65.00, 66.00,66.00,354,0.24
04-Nov-2011,65.95,68.00,65.00, 68.00,67.95,1271,0.85
03-Nov-2011,66.00,66.60,63.55, 64.30,64.60,2041,1.32
02-Nov-2011,67.95,68.00,63.35, 65.50,67.20,1317,0.89
01-Nov-2011,62.00,68.00,60.70, 66.60,66.05,2439,1.60
31-Oct-2011,61.00,64.00,60.60, 64.00,63.10,928,0.58
28-Oct-2011,60.00,61.00,58.50, 60.60,60.60,2697,1.63
26-Oct-2011,56.80,61.00,56.80, 60.75,61.00,1372,0.84
24-Oct-2011,59.00,60.90,57.10, 57.65,57.65,981,0.57
21-Oct-2011,57.00,57.20,55.95, 57.20,57.15,55,0.03
20-Oct-2011,57.00,59.00,57.00, 58.00,58.00,293,0.17
19-Oct-2011,57.00,57.55,56.55, 56.55,56.65,579,0.33
18-Oct-2011,58.70,60.00,56.45, 57.00,57.00,2606,1.53
17-Oct-2011,59.25,59.25,57.55, 57.55,58.70,537,0.32
14-Oct-2011,58.90,61.00,58.90, 59.05,59.75,1155,0.69
13-Oct-2011,60.95,60.95,56.60, 58.90,58.35,6910,4.06
12-Oct-2011,60.00,62.25,60.00, 60.35,60.75,770,0.47
11-Oct-2011,61.00,61.50,59.25, 60.90,60.65,2605,1.57
10-Oct-2011,60.40,62.70,60.40, 61.60,61.60,416,0.26
07-Oct-2011,64.00,64.00,60.55, 60.65,60.70,641,0.41
05-Oct-2011,60.00,61.80,60.00, 61.75,61.45,156,0.09
04-Oct-2011,60.45,60.45,60.00, 60.00,60.00,210,0.13
03-Oct-2011,60.00,62.70,59.20, 60.45,60.45,925,0.56
30-Sep-2011,61.65,63.90,61.20, 61.20,61.50,1660,1.03
29-Sep-2011,60.25,63.90,60.25, 61.75,61.65,993,0.62
