Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
28-Dec-2011,87.40,87.40,87.40, 87.40,87.40,10,0.01
26-Dec-2011,92.00,92.00,92.00, 92.00,92.00,1,0.00
23-Dec-2011,87.20,92.00,87.20, 92.00,92.00,180,0.16
14-Dec-2011,91.75,91.75,91.75, 91.75,91.75,47,0.04
13-Dec-2011,87.40,87.40,87.40, 87.40,87.40,238,0.21
12-Dec-2011,92.00,92.00,87.40, 87.40,87.40,170,0.15
09-Dec-2011,90.00,92.00,90.00, 92.00,92.00,810,0.74
08-Dec-2011,91.95,91.95,85.50, 91.95,91.55,171,0.15
07-Dec-2011,87.50,88.70,87.50, 88.70,88.70,751,0.66
05-Dec-2011,84.50,84.50,84.50, 84.50,84.50,20,0.02
02-Dec-2011,80.50,80.50,80.50, 80.50,80.50,20,0.02
01-Dec-2011,80.50,80.50,80.50, 80.50,80.50,70,0.06
28-Nov-2011,86.00,86.00,84.00, 84.00,84.70,58,0.05
25-Nov-2011,83.25,87.00,83.25, 83.25,83.25,154,0.13
24-Nov-2011,76.30,87.60,76.30, 87.60,87.60,28,0.02
23-Nov-2011,85.95,85.95,78.60, 83.90,80.90,515,0.42
22-Nov-2011,91.00,92.50,74.10, 81.40,82.05,172,0.14
21-Nov-2011,89.00,89.00,76.05, 79.65,82.40,165,0.14
18-Nov-2011,82.00,84.00,78.75, 84.00,82.90,460,0.38
17-Nov-2011,88.25,88.25,76.10, 84.00,84.25,1588,1.31
16-Nov-2011,92.50,92.50,74.00, 78.60,81.50,1756,1.39
15-Nov-2011,89.40,89.40,83.00, 83.60,83.60,1721,1.46
14-Nov-2011,93.00,93.60,84.55, 89.40,87.35,12042,10.71
11-Nov-2011,78.00,78.00,78.00, 78.00,78.00,1195,0.93
09-Nov-2011,65.00,65.00,65.00, 65.00,65.00,200,0.13
08-Nov-2011,67.00,68.00,65.65, 68.00,68.00,41,0.03
04-Nov-2011,69.00,75.55,69.00, 75.55,69.25,52,0.04
31-Oct-2011,70.00,70.00,69.70, 69.70,69.70,57,0.04
28-Oct-2011,70.90,70.90,67.60, 69.60,68.60,201,0.14
26-Oct-2011,73.70,73.70,73.70, 73.70,73.70,1,0.00
25-Oct-2011,64.40,70.90,64.40, 67.00,67.00,172,0.11
24-Oct-2011,71.90,71.90,70.90, 70.90,70.90,2,0.00
21-Oct-2011,64.25,67.95,64.25, 65.35,65.35,20,0.01
20-Oct-2011,69.90,69.90,69.90, 69.90,69.90,1,0.00
19-Oct-2011,68.90,68.90,68.90, 68.90,68.90,21,0.01
17-Oct-2011,62.25,70.00,62.05, 62.05,64.00,422,0.27
13-Oct-2011,71.90,71.90,65.70, 65.70,65.70,100,0.07
12-Oct-2011,70.00,70.00,70.00, 70.00,70.00,1,0.00
11-Oct-2011,65.15,65.15,65.15, 65.15,65.15,25,0.02
10-Oct-2011,69.80,69.80,69.70, 69.70,69.70,20,0.01
07-Oct-2011,70.00,70.00,67.00, 67.05,67.05,52,0.03
05-Oct-2011,71.00,71.00,62.00, 70.00,70.00,3566,2.36
03-Oct-2011,72.00,72.00,65.05, 65.05,65.05,7,0.00
29-Sep-2011,67.05,67.05,67.05, 67.05,67.05,4,0.00
28-Sep-2011,65.05,70.00,65.05, 70.00,70.00,39,0.03
27-Sep-2011,71.00,71.00,65.50, 70.25,70.25,2610,1.77
26-Sep-2011,68.00,71.00,68.00, 71.00,71.00,64,0.04
23-Sep-2011,70.05,71.85,67.05, 71.35,71.15,316,0.22
22-Sep-2011,69.50,72.90,69.05, 72.90,72.90,153,0.11
