Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,46.55,47.95,46.55, 47.10,47.75,23921,11.34
29-Dec-2011,47.00,48.00,46.90, 47.10,47.15,5132,2.42
28-Dec-2011,48.40,48.50,47.05, 47.50,47.90,4103,1.97
27-Dec-2011,48.40,48.50,48.25, 48.25,48.45,5152,2.49
26-Dec-2011,47.75,48.90,47.30, 48.45,48.50,10581,5.10
23-Dec-2011,48.00,48.00,47.20, 47.20,47.20,5802,2.75
22-Dec-2011,47.00,48.15,46.60, 48.00,47.80,9860,4.68
21-Dec-2011,47.50,48.00,46.50, 47.90,47.45,11145,5.27
20-Dec-2011,48.00,48.50,46.50, 47.50,47.10,23351,11.09
19-Dec-2011,48.50,50.40,47.35, 48.50,48.70,24835,12.16
16-Dec-2011,50.80,50.80,49.05, 49.50,49.20,15531,7.74
15-Dec-2011,49.50,50.65,48.80, 49.00,49.35,10132,5.05
14-Dec-2011,54.00,54.00,49.05, 49.70,50.05,24390,12.49
13-Dec-2011,50.25,50.70,49.15, 49.60,49.50,14569,7.24
12-Dec-2011,50.45,50.80,50.00, 50.10,50.45,4496,2.26
09-Dec-2011,51.00,52.00,50.00, 51.20,51.40,3097,1.59
08-Dec-2011,51.50,52.05,51.20, 51.80,51.75,7402,3.82
07-Dec-2011,53.95,53.95,52.10, 52.10,52.25,6510,3.42
05-Dec-2011,53.00,54.10,52.10, 53.00,52.75,20801,11.00
02-Dec-2011,55.10,55.50,53.10, 53.10,53.30,19454,10.50
01-Dec-2011,53.85,57.00,51.50, 55.65,56.20,252914,139.68
30-Nov-2011,50.00,54.30,50.00, 53.00,53.80,79217,41.97
29-Nov-2011,49.00,51.30,47.55, 51.30,50.95,43988,22.08
28-Nov-2011,54.70,54.70,49.50, 50.00,49.90,9146,4.59
25-Nov-2011,48.70,50.00,48.20, 49.40,49.65,9828,4.86
24-Nov-2011,48.55,49.50,46.65, 48.10,48.25,74941,35.95
23-Nov-2011,49.70,50.20,48.80, 49.00,49.05,17536,8.62
22-Nov-2011,49.20,51.00,49.20, 49.90,49.55,37186,18.55
21-Nov-2011,52.20,55.00,49.00, 50.00,49.80,141847,73.23
18-Nov-2011,50.20,51.95,48.65, 51.80,51.60,36093,18.30
17-Nov-2011,51.00,51.60,50.10, 50.70,50.80,13668,6.96
16-Nov-2011,49.25,52.25,48.00, 51.60,51.90,46164,23.44
15-Nov-2011,51.20,52.00,49.50, 49.50,50.30,39117,20.02
14-Nov-2011,52.55,52.55,52.00, 52.05,52.05,20587,10.73
11-Nov-2011,52.00,52.90,49.00, 52.70,52.35,47711,24.45
09-Nov-2011,53.75,54.70,52.05, 52.50,52.50,31536,16.87
08-Nov-2011,55.15,55.15,53.00, 53.55,53.65,33542,18.15
04-Nov-2011,54.00,57.80,54.00, 55.00,55.65,217845,123.84
03-Nov-2011,56.45,56.45,53.50, 53.95,54.30,15456,8.48
02-Nov-2011,57.50,58.00,54.05, 55.20,56.50,88651,49.87
01-Nov-2011,52.95,57.70,51.75, 56.00,57.20,293538,162.87
31-Oct-2011,49.00,53.90,48.85, 52.60,53.35,85169,44.64
28-Oct-2011,50.05,50.75,49.00, 49.05,49.35,11063,5.50
26-Oct-2011,48.60,50.20,48.60, 49.75,49.75,4912,2.43
