Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,433.80,434.00,422.10, 426.20,426.85,1919104,8232.08
29-Dec-2011,435.65,442.00,426.00, 430.00,429.60,2732657,11860.28
28-Dec-2011,442.50,443.00,433.05, 439.00,439.80,1917085,8383.91
27-Dec-2011,440.30,443.60,435.70, 441.90,439.70,1573559,6914.09
26-Dec-2011,439.00,445.40,437.05, 443.15,443.70,1141190,5053.97
23-Dec-2011,444.20,446.50,436.00, 438.00,437.55,1713825,7565.36
22-Dec-2011,431.50,444.80,428.80, 444.20,442.85,3394017,14823.00
21-Dec-2011,426.00,439.40,417.80, 438.30,435.45,3746720,15995.30
20-Dec-2011,406.00,421.60,404.00, 415.40,414.20,4995892,20641.25
19-Dec-2011,412.05,413.00,400.25, 402.40,406.00,8085381,32822.26
16-Dec-2011,434.10,440.50,410.00, 413.65,415.30,7356205,31460.88
15-Dec-2011,429.00,436.00,427.00, 431.50,431.35,6740035,29107.01
14-Dec-2011,439.00,443.75,430.25, 434.30,434.35,6076681,26542.74
13-Dec-2011,428.00,445.40,426.00, 442.90,438.40,3731470,16154.30
12-Dec-2011,448.10,450.95,426.30, 428.05,432.05,3017789,13229.80
09-Dec-2011,447.00,451.20,440.50, 445.30,443.75,3401728,15177.03
08-Dec-2011,467.00,467.70,451.10, 452.00,453.75,3139250,14348.22
07-Dec-2011,470.00,470.90,462.10, 465.00,467.10,2793236,13048.17
05-Dec-2011,463.70,467.45,458.00, 464.30,462.35,2188307,10105.69
02-Dec-2011,455.15,467.90,453.15, 466.55,466.00,2809257,12959.04
01-Dec-2011,458.95,467.00,449.45, 452.15,453.50,3482446,15891.29
30-Nov-2011,429.20,449.65,429.20, 443.50,442.50,7053637,31132.88
29-Nov-2011,444.00,445.55,432.20, 432.25,435.20,3707756,16293.70
28-Nov-2011,436.00,444.95,434.10, 443.00,440.85,2722929,11940.31
25-Nov-2011,427.75,434.90,419.05, 432.00,430.90,4726617,20241.81
24-Nov-2011,428.80,435.00,411.30, 426.10,429.65,7221297,30561.27
23-Nov-2011,441.75,441.75,414.20, 424.00,426.10,6391409,27160.80
22-Nov-2011,447.00,449.50,440.00, 443.50,444.05,3804576,16941.94
21-Nov-2011,456.00,456.00,440.00, 442.00,444.65,2548509,11429.69
18-Nov-2011,455.20,461.60,450.10, 459.30,458.30,2930186,13353.38
17-Nov-2011,463.15,470.00,456.60, 461.45,459.35,2694342,12457.50
16-Nov-2011,470.00,472.00,460.30, 469.40,465.70,1779400,8313.39
15-Nov-2011,470.70,477.80,469.90, 470.00,472.25,2911073,13794.34
14-Nov-2011,469.90,479.85,468.95, 471.45,471.40,3057141,14538.36
11-Nov-2011,475.65,478.40,462.60, 463.55,464.05,2302509,10800.21
09-Nov-2011,485.00,485.70,475.30, 476.10,477.25,2151247,10341.10
08-Nov-2011,483.00,487.35,478.50, 484.45,484.25,2098202,10123.36
04-Nov-2011,486.70,487.90,480.30, 483.65,483.00,1700805,8218.22
03-Nov-2011,481.00,484.85,472.10, 483.60,481.85,2626409,12542.34
02-Nov-2011,478.70,488.00,477.50, 481.50,483.10,2527955,12265.11
01-Nov-2011,485.10,493.00,480.00, 480.60,482.30,3324879,16124.30
31-Oct-2011,483.00,491.75,477.15, 490.00,490.00,3212854,15641.11
28-Oct-2011,486.00,494.50,479.75, 482.25,482.65,4509612,21793.88
26-Oct-2011,472.00,474.90,470.00, 472.15,472.00,499071,2354.73
25-Oct-2011,487.85,490.75,448.55, 471.80,468.00,20657505,95821.66
24-Oct-2011,492.75,497.00,482.95, 485.00,484.35,2435773,11943.72
21-Oct-2011,490.05,491.80,483.30, 488.00,487.00,2290366,11183.02
20-Oct-2011,488.00,492.40,480.60, 490.00,489.55,2838426,13794.78
19-Oct-2011,482.95,494.60,479.30, 492.00,491.85,4344521,21239.52
18-Oct-2011,473.90,481.40,472.00, 481.20,478.15,2027255,9644.72
17-Oct-2011,476.60,480.50,472.35, 479.00,478.05,1771816,8456.07
14-Oct-2011,469.00,476.40,465.35, 475.70,473.90,1667510,7850.49
13-Oct-2011,475.00,476.20,467.60, 470.00,470.65,2933351,13855.37
12-Oct-2011,461.95,469.90,453.45, 468.50,467.15,4483890,20680.96
11-Oct-2011,460.70,464.90,455.15, 459.25,457.50,2496879,11505.00
10-Oct-2011,452.00,458.00,450.05, 457.20,454.70,6031496,27375.85
07-Oct-2011,452.70,460.00,446.20, 450.00,450.00,4721751,21324.99
05-Oct-2011,448.95,456.25,436.55, 437.50,438.70,4133748,18424.73
04-Oct-2011,452.50,456.00,440.50, 446.20,448.90,3740798,16812.32
03-Oct-2011,460.15,464.90,450.75, 464.90,456.05,4534059,20637.67
30-Sep-2011,465.85,474.80,464.40, 467.30,467.65,4757200,22331.30
29-Sep-2011,457.55,474.80,452.65, 470.00,470.60,8133246,38118.15
28-Sep-2011,462.40,465.35,451.75, 460.35,458.00,3805938,17395.43
27-Sep-2011,458.00,461.90,454.10, 459.40,457.45,4005709,18346.76
26-Sep-2011,456.00,457.65,439.45, 450.05,450.10,6946267,31118.42
23-Sep-2011,468.55,470.00,452.50, 456.00,456.40,8227806,37683.73
22-Sep-2011,487.90,489.00,465.50, 477.05,472.30,2547772,12155.44
21-Sep-2011,492.75,497.65,488.40, 493.70,494.50,3222849,15928.59
20-Sep-2011,485.00,493.25,483.00, 492.60,491.35,2958817,14453.71
19-Sep-2011,481.90,487.00,477.10, 487.00,484.75,2097305,10116.37
16-Sep-2011,486.25,490.00,476.30, 487.00,483.70,2736752,13234.50
15-Sep-2011,485.90,488.05,471.60, 488.05,484.65,2184190,10487.34
14-Sep-2011,467.40,483.10,461.05, 483.10,478.90,1937252,9133.92
13-Sep-2011,471.00,475.80,464.00, 466.70,467.70,1793988,8430.70
12-Sep-2011,467.00,471.20,462.50, 469.00,469.35,1746380,8153.02
09-Sep-2011,483.90,485.70,470.70, 472.00,473.25,2582854,12379.59
08-Sep-2011,489.70,489.70,479.15, 483.00,483.70,2041012,9858.16
07-Sep-2011,476.00,489.95,472.85, 488.45,488.10,3686643,17888.99
06-Sep-2011,468.60,476.40,460.00, 473.10,472.80,4465198,20885.27
05-Sep-2011,469.80,474.00,462.65, 473.30,470.25,2950179,13804.04
02-Sep-2011,484.00,484.00,468.00, 472.00,472.80,3797737,17973.44
30-Aug-2011,461.95,475.00,458.80, 474.80,471.95,3897324,18161.37
29-Aug-2011,444.50,457.95,443.15, 457.20,456.45,2900099,13130.04
26-Aug-2011,444.00,450.55,436.15, 437.95,438.95,2130956,9433.19
25-Aug-2011,459.40,459.40,440.70, 444.55,443.65,5800210,25998.20
24-Aug-2011,458.00,462.40,452.50, 454.00,456.00,3185614,14554.65
23-Aug-2011,457.40,462.50,445.30, 457.30,459.40,4036273,18376.17
22-Aug-2011,460.05,463.95,450.70, 452.50,453.05,2977249,13598.11
19-Aug-2011,455.00,463.50,450.00, 460.80,460.85,4480259,20440.28
18-Aug-2011,468.30,474.85,458.55, 460.60,462.40,5722113,26740.60
17-Aug-2011,456.05,472.45,455.90, 470.00,467.50,3134201,14574.70
16-Aug-2011,478.40,478.40,454.65, 459.05,456.45,3055648,14188.26
12-Aug-2011,485.10,486.00,464.10, 468.00,468.05,2853388,13414.26
11-Aug-2011,478.70,484.70,475.00, 479.60,479.95,2102304,10107.12
10-Aug-2011,494.80,494.80,473.40, 483.50,479.90,3267226,15619.24
09-Aug-2011,450.00,473.55,449.85, 466.15,464.45,4490924,20697.82
08-Aug-2011,463.00,480.00,458.05, 462.50,462.10,4308373,20035.79
05-Aug-2011,465.00,475.80,457.10, 474.10,473.05,3156094,14819.68
04-Aug-2011,484.10,488.90,475.00, 476.00,476.45,1829606,8800.36
03-Aug-2011,478.70,489.40,476.00, 484.00,482.05,2082567,10035.71
02-Aug-2011,487.90,487.90,480.00, 481.95,482.85,1982494,9581.41
01-Aug-2011,493.45,495.95,484.50, 488.00,488.00,2202354,10772.69
29-Jul-2011,489.90,489.90,481.10, 488.85,486.80,2997667,14558.23
28-Jul-2011,499.50,499.50,484.60, 490.20,487.30,5354489,26225.54
27-Jul-2011,499.35,503.95,492.00, 502.35,502.05,2765678,13780.94
26-Jul-2011,505.35,510.20,495.25, 497.90,498.15,2645382,13225.24
25-Jul-2011,501.55,506.50,497.15, 505.70,505.20,3342607,16776.62
22-Jul-2011,500.00,507.05,498.85, 502.50,501.55,3158530,15880.40
21-Jul-2011,504.80,504.90,494.50, 496.45,496.30,3220256,16034.78
20-Jul-2011,516.40,516.40,502.00, 502.55,503.10,1852161,9420.22
19-Jul-2011,517.50,519.00,508.35, 511.00,510.85,4263166,21879.57
18-Jul-2011,511.95,518.90,508.00, 514.85,515.05,1552474,7995.71
15-Jul-2011,506.45,510.45,503.00, 510.25,508.95,1372538,6966.85
14-Jul-2011,505.10,513.30,498.80, 505.00,505.95,2338586,11827.40
13-Jul-2011,2490.00,2528.95,2478.05, 2526.00,2519.70,372091,9341.89
12-Jul-2011,2510.00,2510.00,2460.20, 2473.30,2479.75,736090,18266.33
11-Jul-2011,2559.00,2564.10,2515.10, 2523.00,2524.35,397250,10075.09
08-Jul-2011,2566.00,2583.30,2553.70, 2561.80,2559.15,754468,19395.11
07-Jul-2011,2546.10,2574.95,2534.15, 2563.00,2565.80,738902,18932.57
06-Jul-2011,2535.00,2560.00,2515.00, 2543.10,2545.30,589287,15006.01
05-Jul-2011,2522.00,2552.00,2514.50, 2542.00,2541.15,531864,13461.24
04-Jul-2011,2535.00,2542.00,2512.40, 2536.00,2532.20,716168,18109.86
01-Jul-2011,2540.00,2547.60,2478.00, 2501.35,2501.25,665242,16615.11
30-Jun-2011,2499.00,2524.95,2476.15, 2503.50,2515.55,1342060,33632.31
29-Jun-2011,2435.00,2499.00,2435.00, 2495.00,2489.10,1025244,25295.74
28-Jun-2011,2429.40,2430.00,2404.55, 2424.65,2423.05,609681,14752.06
27-Jun-2011,2383.00,2431.85,2372.65, 2420.10,2416.15,1025619,24766.02
24-Jun-2011,2349.00,2389.95,2341.55, 2386.65,2383.15,828773,19648.84
23-Jun-2011,2319.00,2339.45,2310.00, 2339.00,2333.75,413379,9618.86
22-Jun-2011,2332.45,2347.80,2312.40, 2320.00,2322.70,309158,7191.89
21-Jun-2011,2302.00,2344.00,2302.00, 2327.65,2325.55,507886,11828.32
20-Jun-2011,2342.15,2361.45,2271.95, 2300.10,2299.00,781285,17978.06
17-Jun-2011,2350.50,2366.10,2333.65, 2350.00,2349.30,710674,16701.99
16-Jun-2011,2364.00,2372.00,2338.05, 2342.30,2343.00,421265,9915.62
15-Jun-2011,2380.00,2395.80,2367.00, 2369.90,2372.80,703894,16774.92
14-Jun-2011,2378.00,2398.00,2365.50, 2382.30,2382.50,621660,14832.94
13-Jun-2011,2353.15,2380.00,2344.15, 2375.00,2372.60,391778,9273.02
