Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,23.00,24.50,22.30, 23.05,23.10,6553,1.52
29-Dec-2011,23.05,23.90,23.00, 23.90,23.50,17691,4.12
28-Dec-2011,23.40,24.40,23.35, 24.40,23.75,327,0.08
27-Dec-2011,23.80,24.00,23.45, 23.45,23.65,4536,1.08
26-Dec-2011,23.00,24.25,23.00, 24.20,23.75,9775,2.30
23-Dec-2011,23.50,23.95,23.15, 23.30,23.35,6261,1.47
22-Dec-2011,23.35,23.90,22.95, 23.20,23.15,49095,11.41
21-Dec-2011,23.90,23.90,23.00, 23.50,23.35,7173,1.66
20-Dec-2011,23.75,23.75,22.55, 23.40,23.05,24582,5.69
19-Dec-2011,24.95,24.95,24.00, 24.45,24.45,7830,1.89
16-Dec-2011,24.75,26.10,24.70, 24.70,25.00,3445,0.88
15-Dec-2011,26.65,26.90,24.70, 25.00,24.95,50610,12.72
14-Dec-2011,27.55,28.00,26.60, 26.60,27.00,26899,7.46
13-Dec-2011,26.90,28.35,26.60, 27.50,27.50,1941,0.53
12-Dec-2011,28.25,28.95,26.85, 27.20,27.20,7465,2.05
09-Dec-2011,27.50,28.65,27.10, 28.40,28.25,4896,1.36
08-Dec-2011,29.20,30.95,27.55, 28.00,28.10,9205,2.61
07-Dec-2011,29.30,30.60,29.00, 29.50,29.50,2405,0.71
05-Dec-2011,29.20,31.45,29.20, 29.55,29.65,962,0.29
02-Dec-2011,30.70,30.70,29.75, 29.95,30.15,2057,0.62
01-Dec-2011,30.00,31.25,29.60, 29.60,29.60,7006,2.10
30-Nov-2011,29.05,30.00,27.35, 29.50,29.75,106359,31.10
29-Nov-2011,29.50,30.00,29.05, 30.00,29.55,1465,0.43
28-Nov-2011,28.60,30.25,28.55, 30.25,30.05,14504,4.31
25-Nov-2011,28.30,29.75,27.05, 29.50,29.00,8723,2.48
24-Nov-2011,28.90,29.00,27.65, 28.50,28.35,5742,1.63
23-Nov-2011,29.00,29.80,28.15, 29.00,29.00,11005,3.19
22-Nov-2011,29.10,29.70,28.70, 29.40,29.00,10660,3.09
21-Nov-2011,29.40,29.75,29.00, 29.40,29.55,9189,2.69
18-Nov-2011,31.65,31.65,29.55, 29.65,29.70,14283,4.27
17-Nov-2011,30.75,31.65,30.50, 30.80,30.95,15155,4.66
16-Nov-2011,31.70,31.70,31.00, 31.05,31.15,91683,28.98
15-Nov-2011,32.85,32.95,32.00, 32.00,32.00,15966,5.17
14-Nov-2011,32.80,32.80,32.15, 32.20,32.20,13007,4.22
11-Nov-2011,33.80,33.80,32.90, 33.05,33.10,6693,2.21
09-Nov-2011,33.90,34.10,33.55, 33.70,33.55,10640,3.58
08-Nov-2011,34.50,34.85,33.30, 33.85,33.85,10032,3.44
04-Nov-2011,34.50,34.80,34.15, 34.50,34.60,43354,14.94
03-Nov-2011,33.50,34.25,33.25, 34.10,34.10,122068,41.52
02-Nov-2011,32.60,33.55,32.60, 33.50,33.45,7980,2.64
