Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,118.60,119.40,115.10, 115.30,115.85,6098382,7155.79
29-Dec-2011,115.00,118.50,114.75, 117.50,117.20,8635020,10101.46
28-Dec-2011,119.00,120.10,115.75, 116.65,116.60,7637676,8952.10
27-Dec-2011,121.00,122.60,119.05, 119.40,119.60,4560134,5512.84
26-Dec-2011,122.65,123.00,120.35, 120.55,120.90,7351812,8927.66
23-Dec-2011,123.50,125.90,120.60, 121.60,121.75,7969883,9829.88
22-Dec-2011,121.00,123.35,119.20, 122.45,122.60,9164837,11106.53
21-Dec-2011,124.00,124.50,120.20, 122.55,122.90,8818636,10806.72
20-Dec-2011,125.30,126.20,118.10, 119.10,118.85,8372622,10166.59
19-Dec-2011,124.50,126.60,122.50, 124.75,124.80,5857830,7297.32
16-Dec-2011,128.10,131.75,124.15, 125.40,125.90,8609493,11085.83
15-Dec-2011,124.00,128.75,122.00, 128.35,127.40,8922687,11191.87
14-Dec-2011,129.10,130.60,126.45, 127.30,127.30,9157648,11742.18
13-Dec-2011,122.85,131.20,121.55, 131.20,129.55,13933430,17673.76
12-Dec-2011,134.25,134.60,122.60, 123.80,123.55,14097827,17963.32
09-Dec-2011,126.90,135.60,125.95, 132.20,132.15,11322225,14842.66
08-Dec-2011,136.10,136.50,129.10, 130.65,130.60,7229118,9542.35
07-Dec-2011,137.90,140.30,136.55, 136.60,137.80,9938870,13804.44
05-Dec-2011,134.30,137.70,131.75, 136.10,136.50,10051399,13593.05
02-Dec-2011,130.45,136.85,129.10, 135.40,135.40,10097525,13513.73
01-Dec-2011,129.45,134.20,129.20, 131.55,131.25,11017464,14470.47
30-Nov-2011,121.00,123.95,120.35, 123.45,122.95,6423394,7846.10
29-Nov-2011,124.75,124.75,121.00, 122.40,122.35,6936757,8478.81
28-Nov-2011,115.40,125.45,115.40, 124.70,124.35,9636964,11663.56
25-Nov-2011,117.40,117.70,112.80, 113.30,113.50,7896679,9113.36
24-Nov-2011,120.00,120.30,115.85, 118.80,118.05,9908978,11654.77
23-Nov-2011,119.90,120.65,117.25, 119.75,119.45,7780200,9262.75
22-Nov-2011,120.10,123.65,120.10, 121.65,122.00,7230164,8813.73
21-Nov-2011,122.00,123.00,118.60, 118.90,119.25,5766985,6954.55
18-Nov-2011,121.70,124.50,118.25, 123.65,123.70,9535655,11568.70
17-Nov-2011,123.50,127.50,121.05, 121.70,122.85,8880668,11110.44
16-Nov-2011,125.85,127.60,121.30, 124.50,123.40,7628209,9455.72
15-Nov-2011,126.00,128.00,123.70, 125.30,125.45,5326756,6710.74
14-Nov-2011,131.50,132.70,125.50, 126.50,126.20,7465268,9678.79
11-Nov-2011,136.00,136.00,126.35, 128.70,128.70,12200524,15770.93
09-Nov-2011,140.00,141.70,133.30, 133.85,134.50,5878833,8115.08
08-Nov-2011,140.25,141.70,137.65, 139.85,139.85,4602343,6423.73
04-Nov-2011,139.00,139.75,137.10, 139.10,139.25,7225218,10035.72
03-Nov-2011,135.10,137.00,133.20, 136.50,135.75,7735734,10424.21
02-Nov-2011,133.30,137.90,133.10, 135.75,136.15,6391144,8700.72
01-Nov-2011,135.35,137.90,134.10, 135.60,135.85,8754763,11884.77
31-Oct-2011,141.00,141.00,135.10, 136.20,135.95,13641523,18901.94
28-Oct-2011,135.10,144.15,135.00, 142.00,142.30,31867922,44822.36
26-Oct-2011,126.70,129.10,126.50, 128.25,128.25,2892556,3703.48
