Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,143.00,150.00,142.50, 144.00,143.85,3323,4.78
29-Dec-2011,149.00,149.00,142.50, 142.50,146.60,10717,15.45
28-Dec-2011,145.00,145.00,142.50, 144.00,144.00,139,0.20
27-Dec-2011,151.80,151.80,142.50, 144.50,144.60,1182,1.70
26-Dec-2011,158.75,158.80,142.50, 142.50,144.90,5463,7.88
23-Dec-2011,148.00,148.00,143.00, 144.95,144.65,703,1.02
22-Dec-2011,144.00,147.50,138.00, 145.35,145.05,1291,1.86
21-Dec-2011,142.00,149.00,142.00, 144.00,144.00,10085,14.54
20-Dec-2011,143.00,146.50,141.05, 143.00,142.95,1362,1.96
19-Dec-2011,146.05,148.00,143.00, 145.00,145.00,575,0.83
16-Dec-2011,152.70,152.70,145.20, 148.80,148.25,673,1.01
15-Dec-2011,145.00,148.00,145.00, 147.95,146.95,719,1.06
14-Dec-2011,152.00,152.90,145.00, 151.75,150.65,245,0.37
13-Dec-2011,146.15,147.65,145.00, 147.65,147.65,404,0.59
12-Dec-2011,150.95,150.95,146.00, 148.00,148.00,6810,10.02
09-Dec-2011,148.00,151.95,145.15, 146.00,147.00,1767,2.60
08-Dec-2011,150.00,150.00,148.00, 148.00,148.00,363,0.54
07-Dec-2011,154.95,154.95,147.00, 153.00,152.95,1763,2.69
05-Dec-2011,155.00,155.00,145.20, 150.00,149.00,5555,8.28
02-Dec-2011,141.10,146.00,141.10, 145.00,144.85,527,0.76
01-Dec-2011,141.30,147.00,141.25, 145.05,146.00,17857,25.87
30-Nov-2011,146.00,146.00,142.15, 143.00,143.00,3084,4.50
29-Nov-2011,150.00,150.00,146.00, 146.50,149.00,1964,2.92
28-Nov-2011,148.50,151.00,145.10, 151.00,149.35,434,0.64
25-Nov-2011,143.35,160.00,141.50, 152.00,150.85,1835,2.76
24-Nov-2011,142.00,150.00,141.50, 144.05,144.20,671,0.96
23-Nov-2011,145.00,145.50,140.05, 142.50,142.60,324,0.46
22-Nov-2011,140.00,152.95,136.05, 150.05,149.05,756,1.10
21-Nov-2011,146.00,146.00,135.10, 144.00,144.00,1309,1.89
18-Nov-2011,134.35,145.00,121.30, 144.00,143.90,5275,6.99
17-Nov-2011,150.00,150.00,135.65, 138.00,138.65,4481,6.43
16-Nov-2011,152.55,153.00,149.50, 150.10,150.15,913,1.39
15-Nov-2011,163.00,163.05,146.20, 146.95,150.15,3958,6.18
14-Nov-2011,163.00,173.95,163.00, 165.00,166.00,661,1.11
11-Nov-2011,171.00,171.50,167.00, 168.60,170.25,8547,14.47
09-Nov-2011,175.00,180.00,173.00, 173.15,174.55,3223,5.64
08-Nov-2011,174.85,174.85,172.00, 173.50,173.50,126,0.22
04-Nov-2011,177.00,177.00,169.00, 171.00,171.00,481,0.83
03-Nov-2011,174.00,178.95,168.20, 175.95,175.95,34,0.06
02-Nov-2011,176.95,178.00,173.35, 178.00,177.00,1266,2.24
01-Nov-2011,172.45,176.00,171.10, 173.00,175.25,348,0.60
31-Oct-2011,175.00,185.00,170.00, 172.00,172.30,444,0.78
28-Oct-2011,175.00,178.00,163.95, 167.10,168.25,1827,3.12
26-Oct-2011,172.00,176.80,172.00, 176.80,175.45,125,0.22
25-Oct-2011,170.55,179.80,170.30, 172.00,172.20,182,0.31
24-Oct-2011,175.00,177.50,172.00, 172.05,172.20,962,1.67
21-Oct-2011,176.00,179.00,175.00, 175.50,178.70,909,1.60
20-Oct-2011,178.00,179.10,175.00, 175.20,177.05,392,0.69
19-Oct-2011,171.00,179.60,167.00, 175.00,175.00,67,0.11
18-Oct-2011,181.00,181.00,175.00, 179.35,175.35,685,1.21
