Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,62.00,65.00,57.15, 57.20,57.50,274,0.16
29-Dec-2011,63.90,63.90,57.20, 63.65,63.65,24,0.01
28-Dec-2011,63.20,63.25,59.00, 59.00,59.35,422,0.26
27-Dec-2011,59.10,64.00,59.05, 59.25,59.70,175,0.10
26-Dec-2011,60.10,62.00,58.25, 58.75,58.75,963,0.57
23-Dec-2011,62.00,65.00,60.10, 60.10,60.30,343,0.21
22-Dec-2011,59.05,59.50,59.05, 59.50,59.50,4,0.00
21-Dec-2011,66.00,66.00,59.55, 59.55,59.55,2392,1.44
20-Dec-2011,59.55,65.75,58.90, 59.95,59.90,428,0.25
19-Dec-2011,59.15,66.90,58.55, 63.00,60.60,4127,2.49
16-Dec-2011,66.00,66.00,60.05, 60.05,60.05,358,0.22
14-Dec-2011,66.90,66.90,61.05, 63.00,63.00,4,0.00
13-Dec-2011,61.00,63.00,60.30, 60.30,60.30,414,0.25
12-Dec-2011,63.00,63.10,60.00, 61.00,60.50,975,0.60
09-Dec-2011,66.50,67.80,63.70, 63.75,63.75,64,0.04
08-Dec-2011,71.90,71.90,63.60, 67.50,67.50,1819,1.20
07-Dec-2011,64.20,67.95,63.80, 67.95,67.30,1548,1.02
05-Dec-2011,66.00,66.00,64.00, 65.00,65.00,91,0.06
02-Dec-2011,65.95,69.00,65.05, 65.05,66.90,540,0.36
01-Dec-2011,66.00,69.70,64.00, 64.00,64.90,417,0.27
30-Nov-2011,64.00,68.50,62.75, 64.00,67.00,4130,2.74
29-Nov-2011,62.00,68.00,62.00, 67.95,65.05,52943,33.37
28-Nov-2011,63.00,64.00,62.00, 62.50,62.70,3379,2.10
25-Nov-2011,61.50,64.00,61.50, 64.00,62.00,262,0.16
24-Nov-2011,64.20,64.20,60.75, 62.10,62.90,1237,0.77
23-Nov-2011,67.55,67.55,61.10, 66.80,66.15,5542,3.44
22-Nov-2011,66.00,67.90,62.60, 62.60,63.30,578,0.37
21-Nov-2011,72.30,72.30,63.10, 63.50,64.00,8883,5.89
18-Nov-2011,65.15,72.75,64.00, 66.00,66.95,108976,73.02
17-Nov-2011,66.00,68.95,65.55, 68.95,66.70,152118,100.47
16-Nov-2011,65.55,67.00,65.50, 66.00,66.00,143157,95.18
15-Nov-2011,69.00,69.00,65.45, 66.00,66.00,147665,99.20
14-Nov-2011,73.00,73.00,67.00, 70.00,70.00,145749,105.87
11-Nov-2011,71.00,78.00,69.00, 70.00,69.95,4100,2.88
09-Nov-2011,77.90,77.90,70.90, 72.10,72.10,1305,0.98
08-Nov-2011,70.30,73.00,70.30, 71.95,71.95,210,0.15
04-Nov-2011,72.00,78.00,70.95, 78.00,71.45,314,0.22
03-Nov-2011,70.45,71.95,70.30, 71.00,71.00,5676,4.04
02-Nov-2011,70.10,73.90,70.10, 73.50,73.05,224,0.16
01-Nov-2011,69.00,73.90,67.20, 73.90,73.90,12546,9.08
31-Oct-2011,69.00,72.00,69.00, 71.45,70.50,193,0.13
28-Oct-2011,64.45,69.00,64.35, 69.00,69.00,352,0.23
26-Oct-2011,66.05,67.30,66.05, 67.30,67.30,102,0.07
25-Oct-2011,63.85,73.00,63.85, 71.80,71.90,219,0.15
24-Oct-2011,65.25,68.00,65.25, 68.00,68.00,160,0.11
21-Oct-2011,64.75,72.70,64.75, 67.25,67.35,4900,3.33
20-Oct-2011,65.50,70.95,65.50, 69.00,69.00,325,0.21
19-Oct-2011,66.75,66.75,66.75, 66.75,66.75,1,0.00
17-Oct-2011,67.00,67.00,66.95, 66.95,66.95,4,0.00
14-Oct-2011,73.10,73.10,66.50, 66.50,66.50,300,0.21
13-Oct-2011,71.00,71.00,67.05, 67.05,67.05,1262,0.88
12-Oct-2011,68.05,73.85,65.55, 71.50,68.35,213,0.15
11-Oct-2011,66.25,70.00,66.25, 70.00,70.00,94,0.06
10-Oct-2011,70.95,70.95,70.00, 70.00,70.45,2,0.00
07-Oct-2011,70.00,70.00,67.90, 70.00,70.00,632,0.43
05-Oct-2011,69.95,70.00,65.25, 65.30,67.20,258,0.17
04-Oct-2011,65.10,65.10,65.10, 65.10,65.10,4,0.00
03-Oct-2011,66.95,70.00,66.95, 67.00,67.00,2447,1.66
30-Sep-2011,66.55,70.55,66.55, 70.50,70.50,4607,3.25
28-Sep-2011,70.20,70.25,68.50, 68.50,68.75,173,0.12
27-Sep-2011,69.15,71.50,68.55, 71.00,70.50,213,0.15
26-Sep-2011,65.30,72.50,65.30, 72.50,72.50,246,0.16
23-Sep-2011,69.85,69.85,67.05, 67.05,67.35,243,0.16
22-Sep-2011,72.05,73.95,68.50, 69.00,69.00,10693,7.44
21-Sep-2011,77.00,77.95,70.05, 72.70,74.30,330,0.24
20-Sep-2011,72.90,75.00,72.90, 75.00,74.95,3242,2.43
19-Sep-2011,75.95,75.95,73.00, 75.00,75.00,1093,0.81
16-Sep-2011,77.00,77.00,73.00, 74.95,74.65,453,0.34
15-Sep-2011,73.50,73.95,70.05, 72.00,72.00,3939,2.85
14-Sep-2011,73.50,76.75,70.85, 76.75,74.45,476,0.35
13-Sep-2011,73.00,77.00,70.05, 74.50,74.40,674,0.50
12-Sep-2011,68.00,75.75,66.35, 75.75,75.75,103,0.07
09-Sep-2011,74.00,74.00,71.00, 71.00,71.30,1190,0.87
08-Sep-2011,78.00,78.50,72.00, 73.05,72.15,11548,8.70
07-Sep-2011,71.00,73.55,71.00, 73.55,73.50,3605,2.62
06-Sep-2011,72.00,72.25,68.50, 70.00,70.05,3743,2.62
05-Sep-2011,70.00,70.00,68.15, 68.15,68.80,14,0.01
02-Sep-2011,71.00,71.00,69.35, 69.35,69.35,499,0.35
30-Aug-2011,67.30,70.00,67.30, 70.00,70.00,55,0.04
29-Aug-2011,65.95,72.50,65.95, 67.05,67.05,304,0.20
26-Aug-2011,69.35,69.40,69.35, 69.40,69.40,1420,0.99
25-Aug-2011,73.00,73.00,73.00, 73.00,73.00,1,0.00
24-Aug-2011,69.00,69.70,69.00, 69.70,69.70,107,0.07
23-Aug-2011,66.35,66.35,66.35, 66.35,66.35,11,0.01
22-Aug-2011,72.75,72.75,66.25, 66.25,66.25,10320,7.48
19-Aug-2011,70.00,70.00,69.35, 69.35,69.35,55,0.03
18-Aug-2011,70.30,73.00,70.30, 73.00,73.00,14600,10.26
17-Aug-2011,74.00,74.00,74.00, 74.00,74.00,75,0.06
16-Aug-2011,70.05,75.00,70.05, 72.00,71.85,6559,4.86
12-Aug-2011,74.00,75.00,71.55, 71.55,71.55,5302,3.91
11-Aug-2011,73.75,73.95,72.50, 73.95,73.95,5113,3.75
10-Aug-2011,70.45,73.95,70.45, 71.10,71.10,3975,2.93
09-Aug-2011,70.30,77.70,70.30, 70.40,70.40,2060,1.52
08-Aug-2011,73.75,75.00,71.00, 74.00,74.00,2642,1.92
05-Aug-2011,74.05,74.35,74.05, 74.35,74.35,195,0.14
04-Aug-2011,77.55,77.55,75.05, 75.05,77.50,956,0.74
03-Aug-2011,75.05,78.00,75.00, 78.00,78.00,331,0.25
02-Aug-2011,77.00,80.00,75.00, 75.50,78.45,961,0.74
01-Aug-2011,78.00,81.00,77.25, 77.25,77.25,189,0.15
29-Jul-2011,78.00,78.00,78.00, 78.00,78.00,196,0.15
28-Jul-2011,79.00,79.00,78.05, 79.00,79.00,1113,0.87
27-Jul-2011,81.25,81.50,77.60, 79.00,79.00,1812,1.44
26-Jul-2011,83.50,83.50,81.00, 81.15,81.25,979,0.79
25-Jul-2011,83.00,84.00,81.65, 81.65,81.65,823,0.69
22-Jul-2011,76.25,83.00,76.25, 82.00,82.00,1739,1.42
21-Jul-2011,84.00,84.00,75.65, 79.25,79.95,101558,80.06
20-Jul-2011,80.50,86.95,80.50, 86.95,86.80,1202,1.03
19-Jul-2011,85.20,89.75,85.20, 85.45,86.20,11388,9.82
18-Jul-2011,85.20,89.00,85.15, 85.50,86.70,1500,1.31
15-Jul-2011,86.00,89.40,86.00, 88.65,87.80,1832,1.59
14-Jul-2011,86.00,90.00,86.00, 88.00,88.00,3185,2.84
13-Jul-2011,87.00,94.00,87.00, 87.35,87.65,10016,8.90
12-Jul-2011,88.00,89.60,86.20, 89.60,88.80,5585,4.88
11-Jul-2011,82.00,95.40,80.00, 87.20,86.85,106205,95.14
08-Jul-2011,80.00,82.00,80.00, 81.10,81.95,609,0.49
07-Jul-2011,83.95,83.95,80.00, 80.00,80.25,328,0.26
06-Jul-2011,76.70,82.00,76.70, 82.00,80.40,2302,1.82
05-Jul-2011,75.50,77.80,75.10, 76.00,75.90,1363,1.04
04-Jul-2011,76.00,76.00,72.00, 75.40,75.15,671,0.50
01-Jul-2011,72.50,74.00,72.00, 73.25,73.25,212,0.16
30-Jun-2011,73.95,73.95,72.00, 72.00,72.00,249,0.18
29-Jun-2011,74.85,74.90,71.15, 72.50,71.30,213,0.15
28-Jun-2011,72.00,73.30,70.10, 71.25,71.65,4947,3.57
27-Jun-2011,70.20,73.50,70.20, 72.95,72.10,333,0.24
24-Jun-2011,72.90,73.50,72.90, 73.50,73.45,2765,2.03
23-Jun-2011,73.00,74.00,72.00, 72.00,73.00,873,0.64
22-Jun-2011,75.00,76.00,72.55, 73.00,73.00,316,0.23
21-Jun-2011,73.00,75.00,70.30, 72.50,72.50,1656,1.19
20-Jun-2011,75.25,76.50,75.00, 76.50,76.00,825,0.62
17-Jun-2011,75.00,76.25,74.85, 76.00,75.15,213,0.16
16-Jun-2011,76.00,76.50,74.50, 74.90,74.95,527,0.40
15-Jun-2011,74.00,76.45,73.00, 74.50,74.50,1535,1.13
14-Jun-2011,76.00,76.00,73.35, 74.50,74.50,46,0.03
13-Jun-2011,76.00,76.70,72.20, 75.00,75.00,4405,3.26
10-Jun-2011,75.00,75.95,72.90, 74.20,73.60,4352,3.23
09-Jun-2011,80.00,80.00,74.25, 74.30,74.35,1459,1.11
08-Jun-2011,76.45,80.00,76.45, 76.70,76.75,287,0.22
07-Jun-2011,79.00,79.90,74.00, 76.65,76.45,3552,2.71
06-Jun-2011,79.00,79.00,77.20, 77.20,77.60,922,0.72
03-Jun-2011,80.00,80.00,77.00, 77.00,77.75,907,0.71
02-Jun-2011,80.50,81.00,78.40, 79.25,79.35,2613,2.08
01-Jun-2011,84.50,84.50,80.15, 80.15,81.75,1452,1.19
31-May-2011,90.00,90.00,84.30, 84.50,84.80,593,0.51
30-May-2011,82.50,84.45,81.80, 83.00,82.60,612,0.51
27-May-2011,82.00,83.70,81.30, 81.50,81.45,774,0.63
26-May-2011,80.55,83.65,80.55, 81.50,81.50,750,0.62
25-May-2011,85.90,85.90,80.55, 80.55,80.95,1048,0.85
24-May-2011,83.70,87.00,81.90, 82.00,82.00,970,0.81
23-May-2011,90.00,90.00,83.00, 84.80,83.95,1323,1.12
20-May-2011,90.00,93.90,83.40, 85.05,85.90,2410,2.11
19-May-2011,88.00,88.00,82.00, 86.00,85.20,4897,4.16
18-May-2011,88.00,88.00,86.00, 87.45,86.90,982,0.86
17-May-2011,93.00,98.00,88.15, 88.15,88.15,4252,3.85
16-May-2011,94.60,98.95,90.80, 91.00,91.35,2593,2.39
13-May-2011,97.00,98.00,96.95, 96.95,96.95,380,0.37
12-May-2011,97.25,104.00,94.35, 94.70,95.05,514,0.51
11-May-2011,95.90,105.00,93.20, 104.90,99.15,3583,3.48
09-May-2011,97.00,97.95,97.00, 97.95,97.95,151,0.15
06-May-2011,93.00,97.40,93.00, 93.25,93.20,455,0.43
05-May-2011,96.00,96.00,92.00, 92.00,92.00,2560,2.46
04-May-2011,93.00,97.00,92.00, 92.00,92.40,849,0.79
03-May-2011,96.20,102.00,92.20, 92.20,93.70,807,0.78
02-May-2011,102.00,104.00,98.25, 98.25,100.60,821,0.83
29-Apr-2011,105.80,105.95,98.00, 98.00,98.10,5912,6.02
28-Apr-2011,101.10,102.00,101.00, 101.00,101.00,189,0.19
27-Apr-2011,103.00,104.05,103.00, 103.00,103.00,692,0.71
26-Apr-2011,100.35,108.00,100.35, 106.70,104.55,2170,2.30
25-Apr-2011,100.30,105.75,100.30, 104.00,104.00,4994,5.21
21-Apr-2011,104.00,105.00,102.50, 102.50,104.50,6885,7.17
20-Apr-2011,100.00,107.00,100.00, 104.50,103.90,2064,2.14
19-Apr-2011,97.00,100.00,97.00, 97.00,97.00,91,0.09
18-Apr-2011,105.00,105.00,100.10, 100.10,100.10,101,0.10
15-Apr-2011,100.00,104.40,100.00, 102.50,102.25,927,0.94
13-Apr-2011,104.95,105.95,100.00, 103.70,102.00,594,0.61
11-Apr-2011,98.20,103.00,98.20, 100.20,100.20,340,0.35
08-Apr-2011,101.15,107.90,101.15, 105.00,103.15,754,0.78
07-Apr-2011,104.00,104.80,100.30, 100.50,101.75,472,0.48
06-Apr-2011,105.25,111.90,105.00, 106.00,106.00,2586,2.79
05-Apr-2011,98.00,107.45,94.45, 105.00,104.80,4646,4.67
04-Apr-2011,96.00,102.00,89.00, 100.95,100.70,5417,5.18
01-Apr-2011,89.10,92.50,88.05, 92.50,92.50,345,0.32
31-Mar-2011,87.30,97.90,87.30, 91.85,89.60,7306,6.64
30-Mar-2011,94.55,94.55,89.00, 93.85,93.05,292,0.27
29-Mar-2011,93.00,97.45,87.75, 91.00,90.30,771,0.70
28-Mar-2011,91.00,96.90,89.15, 91.15,93.00,37838,35.33
25-Mar-2011,92.50,98.00,92.25, 93.00,93.10,1234,1.19
24-Mar-2011,90.80,96.90,90.80, 93.55,93.55,1706,1.65
23-Mar-2011,95.80,96.30,92.50, 93.00,92.80,2123,2.01
22-Mar-2011,88.00,96.00,88.00, 93.75,93.75,1763,1.59
21-Mar-2011,93.00,93.95,88.55, 88.55,88.60,307,0.28
18-Mar-2011,95.00,99.00,90.00, 93.85,92.65,1021,0.96
17-Mar-2011,91.95,92.90,88.50, 88.50,88.50,120,0.11
16-Mar-2011,87.00,92.90,87.00, 90.00,91.30,14,0.01
15-Mar-2011,90.00,90.00,85.60, 89.90,89.90,363,0.32
14-Mar-2011,92.00,94.50,88.35, 90.00,92.50,566,0.52
11-Mar-2011,92.65,98.75,86.20, 95.00,93.65,1197,1.12
10-Mar-2011,87.65,93.00,87.65, 90.00,90.00,17,0.02
09-Mar-2011,92.00,93.00,91.20, 93.00,92.65,15,0.01
08-Mar-2011,90.00,92.45,89.90, 91.95,91.95,694,0.63
07-Mar-2011,99.40,99.40,93.00, 93.40,93.25,603,0.57
04-Mar-2011,94.00,99.95,92.00, 97.00,94.85,1953,1.86
03-Mar-2011,90.00,97.50,87.60, 93.95,91.55,3052,2.80
01-Mar-2011,86.45,92.00,84.50, 90.50,91.05,6258,5.48
28-Feb-2011,83.00,85.00,80.50, 81.05,80.80,5515,4.57
25-Feb-2011,83.25,83.25,80.05, 83.00,81.30,623,0.51
24-Feb-2011,86.80,86.80,78.40, 83.80,81.65,1685,1.37
23-Feb-2011,92.00,92.00,82.00, 82.25,82.85,10900,9.14
22-Feb-2011,85.00,87.95,84.05, 87.95,86.95,3704,3.19
21-Feb-2011,88.25,88.75,83.25, 85.00,84.90,3308,2.82
18-Feb-2011,94.00,96.75,88.00, 90.00,88.05,2626,2.45
17-Feb-2011,89.00,94.65,88.80, 90.00,90.00,7945,7.17
16-Feb-2011,86.20,90.00,86.20, 88.00,88.00,180,0.16
15-Feb-2011,92.00,92.00,85.00, 85.50,87.15,17293,15.31
14-Feb-2011,92.50,92.50,89.15, 92.00,90.55,232,0.21
11-Feb-2011,88.00,88.00,71.50, 87.75,87.50,8332,7.16
10-Feb-2011,80.00,84.00,77.00, 81.00,78.30,3633,2.95
09-Feb-2011,81.00,84.00,80.00, 80.00,82.10,4107,3.35
08-Feb-2011,88.00,89.00,85.00, 85.00,85.05,1960,1.72
07-Feb-2011,91.00,91.00,85.05, 85.05,85.30,2430,2.15
04-Feb-2011,90.00,91.00,88.10, 88.10,88.10,218,0.20
03-Feb-2011,84.70,90.00,84.70, 90.00,88.15,775,0.68
02-Feb-2011,89.00,90.00,88.00, 88.05,88.05,652,0.58
01-Feb-2011,90.00,91.95,87.00, 88.00,88.95,16198,14.54
31-Jan-2011,88.00,91.00,88.00, 91.00,90.00,16966,15.27
28-Jan-2011,93.30,99.45,85.00, 90.25,94.20,1056,0.96
27-Jan-2011,97.00,97.00,93.55, 96.90,96.90,427,0.41
25-Jan-2011,100.00,104.00,97.00, 97.00,97.00,982,0.98
24-Jan-2011,95.00,99.00,90.00, 99.00,98.80,96932,90.06
21-Jan-2011,95.00,95.00,94.05, 94.05,94.60,434,0.41
20-Jan-2011,92.05,95.00,90.00, 95.00,94.65,809,0.76
19-Jan-2011,94.00,95.00,93.10, 93.10,94.40,357,0.34
18-Jan-2011,96.00,98.50,94.10, 95.00,95.00,13432,12.82
17-Jan-2011,97.20,97.30,96.00, 96.00,96.00,711,0.68
14-Jan-2011,104.00,104.00,95.15, 99.00,98.65,5502,5.49
13-Jan-2011,99.10,102.00,98.00, 98.00,98.00,16732,16.74
12-Jan-2011,97.20,105.00,97.20, 100.00,100.15,569,0.57
11-Jan-2011,102.00,104.00,99.00, 100.00,100.40,2308,2.34
10-Jan-2011,103.50,104.00,98.10, 100.85,99.60,1658,1.70
07-Jan-2011,109.60,109.60,101.55, 102.80,103.25,3517,3.68
06-Jan-2011,110.00,114.00,103.35, 108.00,109.65,3467,3.77
05-Jan-2011,112.00,112.00,105.60, 106.50,106.50,20959,23.07
04-Jan-2011,112.00,112.00,110.00, 112.00,111.40,3919,4.38
03-Jan-2011,122.70,122.70,111.35, 112.00,112.00,90558,101.45
