Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.15,40.00,38.00, 38.40,38.10,1831,0.71
29-Dec-2011,39.00,40.70,37.00, 38.10,38.35,5389,2.07
28-Dec-2011,40.05,40.80,39.80, 39.80,39.80,2671,1.07
27-Dec-2011,40.35,41.45,40.00, 41.00,41.00,5762,2.33
26-Dec-2011,40.10,41.00,39.75, 41.00,40.95,2259,0.90
23-Dec-2011,38.05,40.85,38.05, 39.85,39.35,1894,0.75
22-Dec-2011,38.75,38.75,38.75, 38.75,38.75,50,0.02
21-Dec-2011,38.75,39.00,38.10, 38.75,38.75,1902,0.74
20-Dec-2011,38.50,38.75,36.80, 36.80,37.70,737,0.28
19-Dec-2011,37.50,39.85,37.00, 37.70,37.45,1229,0.46
16-Dec-2011,39.15,40.00,38.35, 38.35,38.35,2441,0.95
15-Dec-2011,39.50,39.50,38.80, 38.80,38.95,1522,0.59
14-Dec-2011,41.25,41.25,40.55, 41.00,40.90,463,0.19
13-Dec-2011,40.15,41.80,40.15, 40.90,40.90,2494,1.02
12-Dec-2011,42.20,42.20,41.20, 41.20,41.20,500,0.21
09-Dec-2011,42.50,43.10,42.00, 42.00,42.05,3460,1.47
08-Dec-2011,43.85,44.90,41.65, 41.65,42.50,11882,5.20
07-Dec-2011,43.75,43.75,41.70, 42.00,42.30,1758,0.75
05-Dec-2011,43.00,43.00,41.50, 42.85,42.45,584,0.25
02-Dec-2011,40.55,42.15,39.55, 42.15,42.05,1145,0.48
01-Dec-2011,43.45,43.45,41.00, 41.00,41.40,1119,0.47
30-Nov-2011,41.00,43.00,40.20, 40.65,40.65,834,0.35
29-Nov-2011,40.05,40.80,40.00, 40.05,40.40,517,0.21
28-Nov-2011,38.70,40.00,38.70, 40.00,39.95,987,0.39
25-Nov-2011,38.70,39.25,38.50, 38.50,38.55,2820,1.10
24-Nov-2011,39.45,39.45,38.25, 38.85,38.70,2406,0.93
23-Nov-2011,39.90,39.90,39.10, 39.60,39.60,900,0.36
22-Nov-2011,40.00,41.95,39.05, 39.90,39.85,1189,0.47
21-Nov-2011,39.50,40.40,39.15, 39.50,40.00,2174,0.87
18-Nov-2011,41.00,41.20,38.65, 39.40,39.00,13657,5.39
17-Nov-2011,42.80,44.00,41.00, 42.50,42.30,3180,1.34
16-Nov-2011,42.50,43.95,42.00, 42.60,42.60,1055,0.45
