Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,55.55,59.25,55.55, 59.25,56.30,1425,0.82
29-Dec-2011,62.90,66.95,52.50, 55.25,55.40,2958,1.73
28-Dec-2011,54.20,59.00,52.05, 59.00,56.15,228,0.13
27-Dec-2011,58.00,58.00,53.45, 53.45,55.55,47,0.03
26-Dec-2011,60.00,60.00,56.00, 56.05,56.05,61,0.03
23-Dec-2011,58.00,58.00,57.00, 57.00,57.00,88,0.05
22-Dec-2011,51.60,61.65,51.60, 57.15,57.45,1184,0.66
21-Dec-2011,58.00,63.95,55.05, 63.95,59.30,297,0.17
20-Dec-2011,58.75,58.75,58.75, 58.75,58.75,1,0.00
19-Dec-2011,60.05,60.05,55.05, 55.50,56.75,1082,0.62
16-Dec-2011,61.10,64.05,60.00, 60.00,60.05,10,0.01
15-Dec-2011,59.00,63.00,59.00, 63.00,63.00,166,0.10
14-Dec-2011,66.05,66.05,60.80, 60.80,60.80,248,0.15
13-Dec-2011,60.05,60.05,60.05, 60.05,60.05,310,0.19
12-Dec-2011,61.00,64.95,60.05, 60.05,60.05,1070,0.65
09-Dec-2011,62.05,63.15,61.30, 62.50,62.85,705,0.44
08-Dec-2011,63.55,65.90,63.00, 65.65,64.40,410,0.26
07-Dec-2011,64.00,65.95,61.75, 65.95,65.95,143,0.09
05-Dec-2011,66.00,67.20,66.00, 66.65,66.65,86,0.06
02-Dec-2011,64.10,67.85,64.00, 66.95,64.70,226,0.15
01-Dec-2011,69.70,69.70,64.15, 64.15,65.15,682,0.46
30-Nov-2011,70.00,73.80,65.00, 66.00,66.15,10662,7.14
29-Nov-2011,73.75,73.80,69.10, 69.10,69.10,19,0.01
28-Nov-2011,68.00,74.00,68.00, 69.35,69.35,210,0.15
25-Nov-2011,75.35,77.00,68.75, 70.25,70.15,86,0.06
24-Nov-2011,68.05,77.00,68.05, 68.60,73.45,1328,0.96
23-Nov-2011,70.10,70.10,70.10, 70.10,70.10,254,0.18
22-Nov-2011,68.00,74.65,65.25, 72.15,72.15,3448,2.42
21-Nov-2011,66.05,71.25,65.00, 67.50,67.50,78,0.05
18-Nov-2011,71.80,73.80,66.30, 67.00,67.15,1311,0.90
17-Nov-2011,71.30,76.60,70.00, 72.40,72.40,411,0.29
16-Nov-2011,71.60,76.00,71.15, 72.30,73.00,1199,0.87
15-Nov-2011,75.00,77.05,73.00, 73.00,73.30,1132,0.86
14-Nov-2011,75.10,77.00,70.30, 77.00,77.00,2492,1.84
11-Nov-2011,76.55,76.70,76.50, 76.50,76.50,150,0.11
09-Nov-2011,79.90,80.00,77.05, 77.05,77.70,329,0.26
08-Nov-2011,82.95,83.95,80.00, 80.20,81.50,1016,0.84
04-Nov-2011,81.20,81.25,78.00, 80.95,78.15,173,0.14
03-Nov-2011,77.35,77.35,77.15, 77.15,77.20,60,0.05
02-Nov-2011,76.55,79.50,76.50, 79.50,79.50,20,0.02
01-Nov-2011,78.40,78.40,77.80, 78.25,78.25,150,0.12
31-Oct-2011,80.00,80.00,80.00, 80.00,80.00,2,0.00
28-Oct-2011,82.00,82.00,77.00, 77.00,77.80,19,0.01
26-Oct-2011,83.30,83.30,79.95, 79.95,79.95,52,0.04
24-Oct-2011,79.00,79.05,79.00, 79.00,79.00,113,0.09
21-Oct-2011,81.95,81.95,78.20, 79.00,79.00,7,0.01
20-Oct-2011,78.20,78.20,78.15, 78.15,78.15,10,0.01
19-Oct-2011,78.50,80.70,78.45, 80.70,80.70,110,0.09
18-Oct-2011,79.15,79.15,78.30, 78.30,78.30,200,0.16
17-Oct-2011,80.00,80.00,79.50, 79.50,79.50,33,0.03
14-Oct-2011,78.60,80.00,78.00, 79.80,79.50,518,0.41
13-Oct-2011,80.50,80.50,80.40, 80.45,80.45,270,0.22
12-Oct-2011,86.00,86.00,78.00, 78.00,78.30,1022,0.81
11-Oct-2011,76.65,76.75,76.65, 76.75,76.75,2,0.00
10-Oct-2011,80.00,81.40,77.65, 81.40,78.60,637,0.51
07-Oct-2011,77.20,79.65,77.10, 77.10,77.10,667,0.52
05-Oct-2011,80.00,80.00,76.80, 78.00,78.15,342,0.27
03-Oct-2011,75.35,78.95,75.35, 78.10,78.10,635,0.49
30-Sep-2011,80.95,80.95,80.95, 80.95,80.95,1,0.00
29-Sep-2011,78.10,78.95,78.10, 78.50,78.50,34,0.03
28-Sep-2011,77.30,79.00,77.25, 79.00,78.95,402,0.31
26-Sep-2011,76.15,78.05,76.15, 78.05,78.05,282,0.22
23-Sep-2011,80.00,80.00,76.00, 78.00,78.00,1237,0.96
22-Sep-2011,76.55,81.00,76.55, 78.75,77.40,261,0.21
21-Sep-2011,80.30,80.30,79.50, 80.25,80.25,17,0.01
20-Sep-2011,79.00,79.95,77.10, 77.10,77.80,1354,1.06
19-Sep-2011,77.25,81.00,77.25, 81.00,80.45,255,0.20
16-Sep-2011,80.95,81.00,77.10, 79.70,79.70,239,0.19
15-Sep-2011,76.35,78.40,76.35, 78.40,77.10,390,0.30
14-Sep-2011,77.30,79.45,75.40, 76.10,76.05,365,0.28
13-Sep-2011,80.00,80.85,77.35, 78.00,78.00,201,0.16
12-Sep-2011,82.95,82.95,78.00, 79.60,78.20,120,0.09
09-Sep-2011,76.20,87.00,76.20, 80.50,80.50,2118,1.76
08-Sep-2011,80.80,80.80,77.25, 78.00,77.95,2262,1.76
07-Sep-2011,78.00,79.90,75.30, 77.85,78.55,919,0.72
06-Sep-2011,78.05,78.05,78.05, 78.05,78.05,50,0.04
02-Sep-2011,79.00,79.00,77.00, 77.00,78.30,564,0.44
30-Aug-2011,77.00,78.50,77.00, 78.10,78.10,283,0.22
29-Aug-2011,78.00,78.00,77.00, 77.00,77.05,1627,1.27
26-Aug-2011,77.85,80.00,77.85, 80.00,78.90,20,0.02
25-Aug-2011,82.80,82.80,82.80, 82.80,82.80,10,0.01
24-Aug-2011,84.00,86.85,79.50, 79.50,79.60,791,0.64
23-Aug-2011,85.00,85.00,84.75, 84.75,84.75,101,0.09
22-Aug-2011,78.50,82.00,72.15, 82.00,77.00,662,0.51
19-Aug-2011,77.00,77.00,74.00, 76.90,76.90,1875,1.40
18-Aug-2011,80.00,80.10,78.00, 78.00,78.45,872,0.69
17-Aug-2011,81.00,82.00,80.05, 80.05,80.60,203,0.16
12-Aug-2011,87.85,87.85,87.85, 87.85,87.85,1,0.00
11-Aug-2011,80.10,80.10,80.10, 80.10,80.10,20,0.02
10-Aug-2011,83.95,83.95,81.00, 81.20,81.20,1184,0.97
09-Aug-2011,83.00,83.50,80.05, 82.00,82.00,950,0.78
08-Aug-2011,84.00,90.00,82.00, 82.00,82.00,2738,2.37
05-Aug-2011,88.00,88.00,81.30, 87.95,84.35,1727,1.45
04-Aug-2011,86.60,90.00,86.50, 86.50,87.95,27,0.02
03-Aug-2011,93.35,93.40,86.50, 86.50,86.55,415,0.37
02-Aug-2011,90.90,90.90,88.00, 88.00,89.65,657,0.58
01-Aug-2011,88.00,90.95,88.00, 90.95,90.85,413,0.37
29-Jul-2011,89.95,89.95,87.40, 87.40,88.00,492,0.44
28-Jul-2011,88.15,88.15,88.10, 88.10,88.10,30,0.03
27-Jul-2011,92.00,92.50,88.10, 90.00,90.00,1360,1.23
26-Jul-2011,93.45,94.50,92.00, 93.10,93.10,563,0.53
25-Jul-2011,93.85,93.85,89.85, 90.10,90.20,358,0.32
22-Jul-2011,91.35,93.95,91.20, 93.70,91.30,1357,1.25
21-Jul-2011,95.00,95.00,91.50, 92.95,92.95,454,0.42
20-Jul-2011,97.35,97.35,92.60, 92.60,92.60,960,0.90
19-Jul-2011,90.25,96.95,90.00, 93.25,93.40,808,0.74
18-Jul-2011,95.60,96.00,94.20, 94.50,94.35,957,0.91
15-Jul-2011,93.60,97.70,93.60, 96.80,96.80,125,0.12
14-Jul-2011,94.90,94.90,91.00, 91.00,93.00,740,0.69
13-Jul-2011,95.00,95.00,90.90, 90.90,91.45,306,0.29
12-Jul-2011,91.00,91.00,91.00, 91.00,91.00,28,0.03
11-Jul-2011,97.50,97.50,93.65, 95.00,94.80,512,0.48
08-Jul-2011,96.95,96.95,96.95, 96.95,96.95,350,0.34
07-Jul-2011,94.75,96.95,93.25, 95.05,95.60,3314,3.17
06-Jul-2011,90.00,93.95,90.00, 93.40,93.20,352,0.32
05-Jul-2011,92.00,92.00,89.10, 90.00,90.00,156,0.14
04-Jul-2011,90.00,90.90,89.05, 89.85,89.85,403,0.36
01-Jul-2011,90.00,90.00,90.00, 90.00,90.00,79,0.07
30-Jun-2011,83.65,94.70,83.65, 86.00,86.00,875,0.79
29-Jun-2011,87.00,88.00,87.00, 87.00,87.00,314,0.27
28-Jun-2011,88.50,88.50,86.00, 87.00,87.00,1212,1.06
27-Jun-2011,91.00,91.00,86.00, 86.25,88.35,903,0.79
24-Jun-2011,88.95,88.95,85.00, 86.05,85.35,712,0.61
23-Jun-2011,86.65,88.75,83.00, 88.75,86.05,863,0.73
22-Jun-2011,90.40,91.00,83.05, 86.65,84.80,7941,6.94
21-Jun-2011,94.00,94.00,92.00, 92.00,92.00,1389,1.28
20-Jun-2011,92.00,92.00,90.10, 90.15,90.15,1275,1.16
17-Jun-2011,96.00,96.00,91.50, 93.00,92.95,1098,1.03
16-Jun-2011,93.50,98.90,92.50, 96.80,93.90,505,0.48
15-Jun-2011,92.50,93.80,92.00, 92.45,92.70,2505,2.34
14-Jun-2011,95.00,96.00,92.20, 94.00,93.50,750,0.71
13-Jun-2011,92.00,92.80,91.35, 91.35,91.65,1669,1.53
10-Jun-2011,92.50,92.95,90.50, 90.55,90.55,438,0.40
09-Jun-2011,93.00,93.00,90.05, 90.05,90.10,66,0.06
08-Jun-2011,92.05,92.95,90.05, 90.05,90.15,2546,2.33
07-Jun-2011,90.60,94.50,88.50, 92.05,92.05,710,0.65
06-Jun-2011,94.00,94.00,90.60, 91.00,91.00,66,0.06
03-Jun-2011,94.00,94.80,94.00, 94.35,94.35,212,0.20
02-Jun-2011,94.00,96.50,93.00, 94.00,94.00,112,0.10
01-Jun-2011,94.80,96.00,90.85, 91.50,94.25,1372,1.29
31-May-2011,90.25,90.25,90.25, 90.25,90.25,28,0.03
30-May-2011,92.50,93.00,91.00, 91.00,91.00,640,0.59
27-May-2011,92.00,92.00,91.00, 91.40,91.20,593,0.54
26-May-2011,91.50,91.50,89.00, 91.10,91.10,96,0.09
25-May-2011,105.00,105.00,86.30, 89.00,88.75,2395,2.18
24-May-2011,90.40,91.50,88.00, 88.10,88.75,1761,1.58
20-May-2011,98.00,98.65,94.00, 95.00,95.00,352,0.34
19-May-2011,93.50,93.50,93.50, 93.50,93.50,20,0.02
18-May-2011,97.80,97.80,94.10, 95.00,95.00,416,0.40
17-May-2011,99.70,99.70,95.00, 95.00,95.00,311,0.30
16-May-2011,98.00,98.00,91.00, 95.00,95.00,208,0.20
13-May-2011,98.00,98.80,93.35, 93.35,96.85,9062,8.80
12-May-2011,92.35,94.00,92.25, 94.00,93.95,253,0.24
11-May-2011,93.40,98.90,93.00, 95.00,95.00,106,0.10
10-May-2011,98.95,98.95,92.30, 92.65,92.65,707,0.67
09-May-2011,94.50,98.60,91.70, 93.05,93.05,275,0.27
06-May-2011,91.60,93.05,91.60, 93.05,93.05,36,0.03
05-May-2011,90.75,99.00,90.75, 95.00,96.35,181,0.17
04-May-2011,90.00,94.95,90.00, 92.20,92.30,2250,2.06
03-May-2011,90.00,91.00,90.00, 90.50,90.50,430,0.39
02-May-2011,93.00,93.00,91.00, 91.60,91.60,534,0.49
29-Apr-2011,94.00,94.00,93.50, 93.50,93.50,261,0.24
27-Apr-2011,96.10,97.95,94.00, 94.25,94.35,3917,3.76
26-Apr-2011,96.00,96.00,95.00, 96.00,96.00,3803,3.64
25-Apr-2011,96.00,99.00,95.10, 95.10,96.65,1061,1.04
21-Apr-2011,97.00,99.95,96.10, 96.20,96.35,2483,2.40
20-Apr-2011,91.60,99.00,91.60, 96.10,96.45,4262,4.13
19-Apr-2011,100.00,102.00,97.25, 100.00,100.05,1905,1.91
18-Apr-2011,114.00,114.00,99.10, 99.10,99.55,4611,4.70
15-Apr-2011,94.25,108.00,94.25, 102.90,101.80,25561,26.87
13-Apr-2011,94.95,94.95,89.20, 90.00,90.00,84,0.08
11-Apr-2011,89.00,90.00,88.50, 88.50,88.50,100,0.09
08-Apr-2011,90.10,95.00,88.10, 88.10,88.30,396,0.36
07-Apr-2011,90.00,95.60,90.00, 90.50,91.60,6300,5.88
05-Apr-2011,88.45,95.00,86.20, 90.00,89.85,341,0.31
04-Apr-2011,85.00,88.00,85.00, 88.00,87.70,749,0.65
01-Apr-2011,82.00,86.35,82.00, 86.35,85.85,564,0.48
31-Mar-2011,83.00,84.50,82.10, 84.50,84.50,104,0.09
30-Mar-2011,82.00,84.00,81.05, 81.50,81.75,2241,1.84
29-Mar-2011,80.55,82.90,80.55, 81.00,81.10,7162,5.83
28-Mar-2011,82.50,85.65,81.25, 81.25,81.30,4727,3.93
25-Mar-2011,84.10,88.00,81.00, 81.00,81.40,3006,2.49
23-Mar-2011,88.70,88.70,84.05, 84.05,84.05,476,0.41
22-Mar-2011,85.15,88.00,84.10, 87.50,87.15,95,0.08
21-Mar-2011,82.65,83.90,82.65, 83.90,83.90,60,0.05
18-Mar-2011,85.00,88.00,82.70, 83.05,84.35,661,0.56
17-Mar-2011,84.10,88.90,84.10, 88.70,88.70,21,0.02
16-Mar-2011,90.00,90.00,87.00, 87.05,87.05,1531,1.36
15-Mar-2011,86.95,86.95,84.80, 85.90,85.90,626,0.54
14-Mar-2011,88.00,88.00,84.30, 84.50,84.50,560,0.49
11-Mar-2011,83.50,85.25,83.50, 83.50,83.50,2562,2.17
10-Mar-2011,83.50,85.90,83.00, 85.00,85.00,625,0.53
09-Mar-2011,84.35,89.50,84.10, 84.10,84.80,1486,1.28
08-Mar-2011,90.70,90.70,87.40, 87.40,87.40,251,0.23
07-Mar-2011,89.90,89.95,89.90, 89.90,89.95,59,0.05
04-Mar-2011,90.05,90.05,90.05, 90.05,90.05,400,0.36
03-Mar-2011,91.90,92.00,91.00, 91.00,91.00,1525,1.40
01-Mar-2011,88.00,92.95,87.90, 89.00,89.00,1717,1.55
28-Feb-2011,88.05,91.90,87.35, 87.35,88.10,457,0.40
25-Feb-2011,92.75,92.75,89.05, 89.05,89.05,200,0.18
24-Feb-2011,90.00,93.85,89.00, 89.00,89.20,685,0.61
23-Feb-2011,93.40,93.50,91.25, 91.25,93.35,87,0.08
22-Feb-2011,91.30,91.30,91.25, 91.25,91.25,138,0.13
21-Feb-2011,90.35,93.00,90.35, 91.00,93.00,117,0.11
18-Feb-2011,90.00,90.60,90.00, 90.60,90.60,125,0.11
17-Feb-2011,85.20,93.45,85.20, 90.00,90.90,628,0.56
16-Feb-2011,90.00,93.00,90.00, 90.40,90.40,12,0.01
15-Feb-2011,89.10,90.75,87.85, 90.75,90.65,1870,1.65
14-Feb-2011,89.90,90.20,88.35, 90.00,89.90,393,0.35
11-Feb-2011,81.00,89.90,80.20, 89.65,84.75,1776,1.49
10-Feb-2011,83.65,83.65,80.15, 81.00,81.35,1453,1.18
09-Feb-2011,83.65,91.50,80.50, 87.70,83.65,641,0.55
08-Feb-2011,99.85,99.85,86.00, 87.00,86.65,2196,2.00
07-Feb-2011,96.00,97.00,93.00, 94.00,93.85,1389,1.32
04-Feb-2011,97.05,98.85,95.80, 96.95,96.55,584,0.56
03-Feb-2011,98.60,100.05,96.00, 97.05,97.05,567,0.55
02-Feb-2011,101.00,102.00,100.00, 100.05,100.00,121,0.12
01-Feb-2011,99.10,106.00,99.10, 100.80,101.80,1563,1.61
31-Jan-2011,102.55,103.95,97.15, 103.60,103.00,1148,1.17
28-Jan-2011,99.65,109.85,95.30, 95.30,98.50,2318,2.38
27-Jan-2011,103.85,104.50,102.45, 102.45,102.55,510,0.53
25-Jan-2011,105.00,105.00,102.10, 103.85,103.15,1865,1.93
24-Jan-2011,105.80,115.80,103.00, 103.00,103.90,9183,9.67
21-Jan-2011,104.40,107.85,102.00, 102.00,102.65,10876,11.50
20-Jan-2011,99.05,101.75,99.05, 99.10,99.10,161,0.16
19-Jan-2011,104.70,104.70,99.00, 99.05,99.10,497,0.49
18-Jan-2011,102.00,104.85,100.00, 102.95,102.75,372,0.38
17-Jan-2011,111.95,111.95,97.10, 100.95,100.60,7787,8.11
14-Jan-2011,106.80,110.00,100.35, 105.90,105.80,1660,1.73
13-Jan-2011,104.05,107.00,102.60, 102.60,102.85,184,0.19
12-Jan-2011,104.15,107.80,102.00, 102.30,103.75,690,0.72
11-Jan-2011,105.75,109.80,101.20, 103.50,102.75,3070,3.18
10-Jan-2011,110.00,112.00,103.50, 105.00,105.75,1945,2.10
07-Jan-2011,117.50,117.50,109.05, 109.20,110.20,4686,5.31
06-Jan-2011,116.50,116.50,108.30, 109.05,109.05,688,0.76
05-Jan-2011,115.00,115.00,109.00, 112.50,112.45,561,0.63
04-Jan-2011,114.90,114.90,110.20, 110.40,111.25,42,0.05
03-Jan-2011,115.40,115.40,110.00, 111.00,111.30,446,0.49
