Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,119.25,120.00,119.00, 119.05,119.05,431,0.51
29-Dec-2011,124.10,124.10,120.30, 120.95,121.00,1210,1.47
28-Dec-2011,130.00,130.00,123.05, 123.95,123.90,992,1.24
27-Dec-2011,124.25,131.00,124.25, 126.55,129.30,692,0.89
26-Dec-2011,129.50,131.90,127.00, 127.95,127.00,19486,25.05
23-Dec-2011,122.10,129.00,122.05, 126.50,127.00,25436,32.32
22-Dec-2011,121.55,126.00,121.55, 126.00,126.00,630,0.79
21-Dec-2011,126.80,129.70,116.00, 126.00,125.30,35855,45.03
20-Dec-2011,131.00,131.90,123.00, 123.00,125.45,2659,3.34
19-Dec-2011,129.50,129.65,124.00, 125.00,129.45,615,0.79
16-Dec-2011,133.30,135.60,124.55, 124.55,130.05,5510,7.27
15-Dec-2011,131.55,132.00,130.10, 132.00,131.60,34,0.04
14-Dec-2011,135.00,135.00,130.00, 134.35,132.40,1042,1.37
13-Dec-2011,130.00,138.00,130.00, 130.10,133.15,2085,2.75
12-Dec-2011,130.00,134.70,129.80, 134.70,130.10,18091,23.52
09-Dec-2011,124.55,134.70,124.55, 131.50,130.05,18625,24.18
08-Dec-2011,130.25,134.50,128.00, 128.00,129.55,2011,2.61
07-Dec-2011,125.55,134.00,124.70, 133.95,133.25,2721,3.58
05-Dec-2011,125.20,129.95,125.20, 129.85,128.65,772,0.99
02-Dec-2011,122.20,131.25,122.15, 123.50,126.80,19663,25.21
01-Dec-2011,129.00,129.00,120.00, 125.25,125.10,2581,3.20
30-Nov-2011,126.95,126.95,102.10, 126.70,124.80,120062,145.67
29-Nov-2011,127.50,128.50,123.85, 123.90,124.25,217672,279.01
28-Nov-2011,126.00,129.00,117.30, 129.00,127.45,3793,4.67
25-Nov-2011,127.95,128.95,121.80, 122.15,122.95,1575,1.95
24-Nov-2011,120.10,128.50,120.10, 122.45,124.90,666,0.83
23-Nov-2011,130.00,130.00,123.80, 125.00,125.50,858,1.07
22-Nov-2011,128.70,128.70,126.45, 126.45,126.55,654,0.83
21-Nov-2011,128.70,134.75,126.10, 126.10,127.75,11204,14.53
18-Nov-2011,131.00,134.95,129.00, 129.00,130.15,1320,1.72
17-Nov-2011,133.00,139.00,132.10, 132.20,133.75,407,0.55
16-Nov-2011,133.00,138.80,133.00, 135.00,135.05,6424,8.67
15-Nov-2011,132.50,141.00,132.50, 135.40,138.80,20954,29.19
14-Nov-2011,133.70,136.30,133.70, 134.40,134.40,441,0.59
11-Nov-2011,135.00,135.65,131.80, 135.10,134.95,2501,3.34
09-Nov-2011,135.00,138.45,135.00, 135.85,136.30,263,0.36
08-Nov-2011,133.00,140.45,130.50, 140.45,136.45,10866,14.79
04-Nov-2011,132.60,136.90,132.60, 136.90,136.05,2965,4.03
03-Nov-2011,134.50,137.00,128.60, 133.40,133.45,15036,19.78
02-Nov-2011,133.05,137.35,132.00, 132.20,132.85,653,0.88
01-Nov-2011,133.50,138.00,132.00, 136.35,135.25,8326,11.23
31-Oct-2011,133.80,135.00,132.35, 132.35,132.45,21755,28.94
28-Oct-2011,138.50,138.60,129.00, 132.90,130.30,68521,89.87
26-Oct-2011,137.80,138.00,135.60, 137.10,137.20,2704,3.72
25-Oct-2011,134.15,136.00,133.50, 134.00,134.95,16855,22.76
24-Oct-2011,130.35,134.95,130.35, 133.35,134.10,11420,15.32
21-Oct-2011,131.50,134.90,131.50, 132.00,133.70,3488,4.64
20-Oct-2011,133.50,135.50,126.80, 132.05,133.15,35657,47.87
19-Oct-2011,135.00,135.15,126.65, 133.25,134.10,15210,20.37
18-Oct-2011,130.50,136.40,130.00, 136.40,134.30,3582,4.80
17-Oct-2011,132.10,133.00,128.95, 132.00,130.80,3148,4.12
14-Oct-2011,132.00,132.10,132.00, 132.10,132.10,3,0.00
13-Oct-2011,132.15,135.35,131.35, 131.50,132.90,384,0.51
12-Oct-2011,130.80,137.70,129.70, 134.75,135.00,2734,3.66
11-Oct-2011,127.30,129.50,127.30, 129.50,129.05,122,0.16
10-Oct-2011,131.85,131.85,126.55, 126.55,126.60,6848,8.88
07-Oct-2011,127.80,133.00,125.40, 126.10,127.00,10308,13.38
05-Oct-2011,129.80,131.50,125.20, 125.20,126.20,177,0.22
04-Oct-2011,127.75,131.90,127.75, 128.00,128.05,353,0.46
03-Oct-2011,126.00,132.55,125.60, 132.00,131.95,580,0.76
30-Sep-2011,126.75,132.90,126.70, 130.00,130.00,249,0.32
29-Sep-2011,130.00,130.05,130.00, 130.00,130.00,290,0.38
28-Sep-2011,132.75,132.75,128.50, 129.65,129.65,4003,5.21
27-Sep-2011,130.25,132.75,125.10, 129.00,131.25,728,0.95
26-Sep-2011,138.00,138.00,128.50, 130.00,130.05,1783,2.34
23-Sep-2011,138.75,138.90,130.10, 136.00,135.95,1563,2.11
22-Sep-2011,137.50,138.00,136.55, 138.00,138.00,386,0.53
21-Sep-2011,143.70,143.70,137.00, 137.00,138.25,359304,499.44
20-Sep-2011,143.80,143.80,138.85, 140.55,141.25,333,0.47
19-Sep-2011,142.90,144.30,140.20, 140.20,140.65,508,0.72
16-Sep-2011,144.90,145.00,140.10, 140.10,141.30,781,1.11
15-Sep-2011,142.50,144.50,141.10, 144.50,142.40,2798,3.98
14-Sep-2011,144.95,144.95,143.00, 144.45,143.10,155,0.22
13-Sep-2011,141.80,146.00,141.75, 145.00,145.00,641,0.93
12-Sep-2011,140.80,144.60,140.80, 141.00,141.75,417,0.59
09-Sep-2011,147.45,147.45,142.10, 142.10,143.05,573,0.82
08-Sep-2011,143.60,147.50,140.00, 147.50,145.05,5092,7.31
07-Sep-2011,147.90,147.90,143.50, 143.50,144.75,8730,12.60
06-Sep-2011,145.20,149.90,142.10, 149.90,145.70,6940,10.09
05-Sep-2011,146.80,149.95,144.50, 149.95,148.55,1083,1.60
02-Sep-2011,153.00,153.00,145.05, 148.15,149.40,1871,2.78
30-Aug-2011,145.00,155.50,140.20, 151.60,154.20,7435,11.25
29-Aug-2011,143.15,146.00,137.10, 145.00,145.20,1220,1.76
26-Aug-2011,137.55,143.00,136.50, 143.00,140.95,1099,1.54
25-Aug-2011,137.80,143.00,134.95, 143.00,141.45,1415,1.96
24-Aug-2011,135.25,141.50,135.25, 141.50,140.60,1048,1.46
23-Aug-2011,136.50,141.95,133.00, 140.00,138.05,1273,1.74
22-Aug-2011,131.15,136.25,131.15, 136.25,135.35,894,1.20
19-Aug-2011,132.20,135.45,130.20, 133.00,134.30,1296,1.72
18-Aug-2011,132.35,137.20,132.25, 136.00,135.50,1380,1.86
17-Aug-2011,132.05,136.40,130.55, 131.50,133.55,1935,2.57
16-Aug-2011,134.40,137.30,134.40, 134.50,135.45,2393,3.23
12-Aug-2011,132.60,136.20,132.55, 132.60,132.70,175,0.23
11-Aug-2011,133.60,134.50,131.15, 131.15,131.70,894,1.19
10-Aug-2011,136.00,137.00,132.00, 136.50,136.05,3622,4.87
09-Aug-2011,130.25,136.95,130.25, 132.40,134.65,1585,2.12
08-Aug-2011,120.20,137.00,120.20, 135.60,135.25,3458,4.57
05-Aug-2011,130.20,139.30,130.20, 136.50,137.60,2556,3.45
04-Aug-2011,133.00,135.80,133.00, 134.20,134.20,801,1.08
03-Aug-2011,131.80,137.00,131.80, 132.40,133.00,889,1.19
02-Aug-2011,136.00,137.00,128.00, 136.50,135.15,3124,4.18
01-Aug-2011,132.00,137.35,132.00, 137.00,137.00,1819,2.48
29-Jul-2011,138.75,138.95,136.00, 136.00,137.80,2739,3.77
28-Jul-2011,133.40,138.40,133.40, 138.00,136.80,1768,2.41
27-Jul-2011,134.55,135.40,133.10, 133.10,133.70,1269,1.70
26-Jul-2011,133.00,137.45,133.00, 134.20,135.35,3468,4.71
25-Jul-2011,134.85,137.80,133.10, 135.05,135.75,2406,3.27
22-Jul-2011,133.05,134.90,130.85, 133.50,133.55,279565,369.05
21-Jul-2011,133.40,134.95,131.00, 133.95,133.25,3987,5.29
20-Jul-2011,135.00,137.90,134.95, 135.10,136.55,4174,5.68
19-Jul-2011,136.80,138.40,135.10, 138.35,136.95,1526,2.09
18-Jul-2011,135.20,139.00,134.55, 134.60,136.35,7714,10.51
15-Jul-2011,137.15,137.15,132.00, 133.50,133.50,714013,942.60
14-Jul-2011,137.45,137.85,133.50, 134.00,134.65,1239,1.67
13-Jul-2011,134.30,138.55,134.30, 134.50,137.15,27150,37.24
12-Jul-2011,137.00,137.00,132.70, 132.70,133.70,4270,5.75
11-Jul-2011,135.00,140.00,135.00, 136.05,136.15,486,0.66
08-Jul-2011,135.35,143.90,134.10, 140.00,139.75,3000,4.17
07-Jul-2011,137.00,139.70,129.00, 139.60,135.30,7975,10.79
06-Jul-2011,134.60,137.90,134.20, 135.80,136.05,3070,4.19
05-Jul-2011,135.05,138.00,132.00, 132.00,132.10,46836,61.91
04-Jul-2011,137.35,138.75,136.60, 136.60,137.05,1227,1.68
01-Jul-2011,140.50,140.50,136.20, 136.30,137.65,655,0.91
30-Jun-2011,141.70,141.70,138.70, 138.70,139.25,996,1.39
29-Jun-2011,142.90,144.00,139.05, 139.05,140.90,7842,11.14
28-Jun-2011,138.90,142.80,138.80, 140.00,139.90,7675,10.75
27-Jun-2011,135.80,143.95,135.80, 143.90,143.10,3158,4.44
24-Jun-2011,141.50,141.80,136.70, 137.10,138.60,6599,9.18
23-Jun-2011,135.05,145.70,135.05, 144.50,142.30,2430,3.42
22-Jun-2011,137.50,139.45,130.05, 136.20,137.80,209430,282.69
21-Jun-2011,135.65,136.40,133.00, 135.00,135.00,5559,7.51
20-Jun-2011,143.50,143.70,132.55, 137.10,139.65,6394,8.87
17-Jun-2011,140.20,146.50,139.00, 139.25,141.30,252281,358.21
16-Jun-2011,143.00,144.30,140.25, 140.25,141.55,983,1.40
15-Jun-2011,144.00,148.00,143.30, 144.00,144.75,4012,5.80
14-Jun-2011,145.80,147.00,143.05, 143.05,144.95,2805,4.07
13-Jun-2011,146.90,148.40,141.00, 147.70,144.60,3867,5.56
10-Jun-2011,140.75,147.00,140.75, 143.50,143.75,1311,1.90
09-Jun-2011,145.00,146.70,143.20, 143.20,143.75,401,0.58
08-Jun-2011,144.50,148.00,142.70, 143.10,145.80,1160,1.69
07-Jun-2011,144.90,149.70,138.00, 149.00,145.30,4352,6.26
06-Jun-2011,145.20,146.70,143.05, 143.05,143.15,667,0.96
03-Jun-2011,147.40,147.40,144.70, 144.70,145.65,740,1.08
02-Jun-2011,150.00,150.00,144.20, 144.20,146.15,73196,106.16
01-Jun-2011,145.15,150.20,143.20, 147.15,148.25,2668,3.90
31-May-2011,144.00,150.75,144.00, 149.70,146.25,2747,4.02
30-May-2011,146.05,151.70,144.00, 147.00,148.85,133425,194.50
27-May-2011,147.00,147.85,144.00, 146.30,146.25,2541,3.72
26-May-2011,148.90,148.90,143.00, 144.10,145.90,1331,1.94
25-May-2011,150.15,153.70,145.10, 149.85,149.90,362185,538.94
24-May-2011,148.75,151.85,145.20, 145.60,148.80,966,1.44
23-May-2011,149.70,153.00,144.20, 152.00,151.00,2232,3.35
20-May-2011,151.00,153.30,147.00, 147.00,148.75,840,1.27
19-May-2011,152.00,154.00,147.10, 150.00,150.45,5952,8.95
18-May-2011,150.00,156.00,147.20, 149.80,152.75,1446,2.20
17-May-2011,153.00,154.00,148.00, 148.00,151.25,1978,2.99
16-May-2011,156.00,156.00,150.15, 150.55,152.50,12081,18.69
13-May-2011,154.00,156.00,153.00, 156.00,155.75,2081,3.23
12-May-2011,157.50,157.50,154.00, 154.25,154.85,816,1.27
11-May-2011,156.00,161.00,150.00, 155.80,158.20,92506,138.96
10-May-2011,150.70,160.00,150.65, 159.00,156.90,1992,3.10
09-May-2011,148.00,165.00,147.00, 152.05,155.65,4047,6.19
06-May-2011,146.20,150.00,144.00, 145.20,148.65,2926,4.30
05-May-2011,149.00,154.70,142.25, 150.00,147.75,6564,9.65
04-May-2011,141.60,151.00,140.10, 149.40,149.80,2079,3.06
03-May-2011,140.15,148.10,138.80, 146.00,146.05,7000,10.00
02-May-2011,140.00,147.00,136.00, 142.50,145.35,1899,2.69
29-Apr-2011,139.00,145.50,139.00, 141.50,141.60,876,1.25
28-Apr-2011,141.00,142.90,140.00, 140.00,140.70,383,0.54
27-Apr-2011,142.60,143.00,142.25, 142.25,142.40,4283,6.12
26-Apr-2011,143.00,144.00,142.35, 142.35,143.15,3697,5.29
25-Apr-2011,142.35,145.00,142.35, 144.85,144.80,2438,3.53
21-Apr-2011,145.00,145.95,142.60, 145.10,144.65,7913,11.45
20-Apr-2011,144.50,146.00,140.00, 142.80,143.55,2862,4.13
19-Apr-2011,143.70,147.60,142.70, 144.25,144.30,7403,10.68
18-Apr-2011,137.10,147.50,137.10, 146.00,146.00,3969,5.77
15-Apr-2011,145.00,149.80,138.50, 143.40,142.95,3043,4.34
13-Apr-2011,143.00,146.00,141.70, 142.05,142.70,13177,18.88
11-Apr-2011,142.00,146.40,142.00, 143.85,144.05,7189,10.35
