Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,279.85,282.50,275.00, 275.70,278.20,519,1.44
29-Dec-2011,275.00,277.50,275.00, 275.00,275.00,390,1.07
28-Dec-2011,275.00,279.80,275.00, 278.60,275.55,543,1.50
27-Dec-2011,284.85,284.85,275.00, 275.10,275.10,10757,29.59
26-Dec-2011,279.00,279.00,269.00, 269.00,270.05,497,1.35
23-Dec-2011,277.95,278.40,270.10, 275.15,276.05,602,1.65
22-Dec-2011,265.05,271.00,265.05, 270.00,270.15,1093,2.94
21-Dec-2011,268.10,276.80,262.00, 272.00,270.65,4084,10.92
20-Dec-2011,278.05,278.05,261.00, 261.65,266.70,8324,22.22
19-Dec-2011,271.55,283.70,264.60, 280.00,278.00,1771,4.85
16-Dec-2011,284.95,288.95,276.05, 277.30,277.50,2580,7.29
15-Dec-2011,282.35,288.95,280.00, 280.25,280.90,1380,3.89
14-Dec-2011,294.30,301.60,283.55, 290.00,289.90,2495,7.38
13-Dec-2011,295.00,304.25,290.00, 294.00,294.30,3153,9.28
12-Dec-2011,335.90,335.90,295.10, 297.05,298.15,3471,10.43
09-Dec-2011,312.00,319.80,302.00, 308.15,309.55,1821,5.67
08-Dec-2011,320.00,320.00,312.15, 314.30,316.30,1190,3.76
07-Dec-2011,323.05,326.00,318.00, 318.10,318.95,3484,11.22
05-Dec-2011,327.00,328.90,316.00, 317.00,317.55,1896,6.05
02-Dec-2011,326.00,329.80,320.00, 329.80,326.55,1956,6.31
01-Dec-2011,337.90,337.90,315.60, 320.00,320.05,2763,8.99
30-Nov-2011,318.00,336.95,318.00, 328.00,329.25,1273,4.20
29-Nov-2011,335.95,336.95,331.00, 336.55,332.65,867,2.89
28-Nov-2011,338.90,338.90,325.05, 338.00,334.25,287,0.96
25-Nov-2011,312.05,329.90,312.05, 329.90,325.25,1001,3.26
24-Nov-2011,318.00,320.00,312.05, 317.50,318.60,1196,3.78
23-Nov-2011,330.00,330.00,315.00, 317.30,318.75,1263,4.05
22-Nov-2011,330.00,330.00,321.40, 326.20,326.20,573,1.88
21-Nov-2011,330.70,337.35,320.05, 320.05,321.80,1320,4.34
18-Nov-2011,321.60,331.00,321.60, 329.95,324.60,856,2.78
17-Nov-2011,332.50,334.95,327.55, 330.00,330.15,814,2.70
16-Nov-2011,330.05,337.90,321.15, 335.00,332.30,1384,4.52
15-Nov-2011,340.00,340.00,330.00, 335.00,334.85,696,2.33
14-Nov-2011,347.00,349.90,337.60, 339.30,340.45,5041,17.47
11-Nov-2011,352.00,354.45,342.65, 343.00,343.25,9686,33.86
09-Nov-2011,356.05,360.00,350.00, 350.00,350.20,1717,6.07
08-Nov-2011,355.65,355.65,352.05, 354.75,354.80,643,2.28
04-Nov-2011,356.60,369.70,356.60, 357.00,358.40,1823,6.56
03-Nov-2011,347.75,364.85,347.70, 356.00,356.45,1576,5.59
02-Nov-2011,369.95,369.95,353.00, 361.00,361.00,580,2.08
01-Nov-2011,353.10,366.95,353.05, 355.15,355.05,427,1.52
31-Oct-2011,356.50,368.00,354.55, 367.95,362.35,2914,10.48
28-Oct-2011,371.95,374.95,354.30, 355.10,356.30,22749,82.84
26-Oct-2011,367.00,367.00,349.10, 354.05,356.65,569,2.04
25-Oct-2011,346.00,354.90,346.00, 347.10,348.20,929,3.24
24-Oct-2011,354.25,355.50,348.15, 348.15,349.85,1000,3.53
21-Oct-2011,353.00,357.80,353.00, 353.80,353.85,932,3.31
20-Oct-2011,348.55,356.75,348.55, 356.00,355.20,11900,41.81
19-Oct-2011,358.00,363.85,353.10, 353.15,353.70,1588,5.64
18-Oct-2011,359.90,362.85,352.00, 352.00,353.80,1831,6.49
17-Oct-2011,382.00,382.20,357.90, 359.90,360.20,10899,40.62
14-Oct-2011,339.90,386.30,338.00, 373.10,378.45,31810,118.49
13-Oct-2011,339.85,340.00,329.15, 329.15,331.20,3944,13.22
12-Oct-2011,337.20,340.00,336.05, 340.00,339.95,3415,11.60
11-Oct-2011,340.00,340.00,338.00, 339.35,339.05,2082,7.07
10-Oct-2011,337.00,340.00,335.05, 340.00,338.05,1418,4.81
07-Oct-2011,333.00,340.00,330.00, 339.00,337.90,1364,4.60
05-Oct-2011,338.75,341.05,327.75, 328.00,330.30,1907,6.37
04-Oct-2011,345.90,350.00,336.25, 338.00,338.75,1444,4.94
03-Oct-2011,349.75,349.90,337.00, 345.95,343.90,2337,8.08
30-Sep-2011,357.80,359.85,350.10, 352.05,353.15,1634,5.82
29-Sep-2011,351.30,360.00,351.30, 357.00,357.80,1409,5.00
28-Sep-2011,372.65,373.60,355.60, 356.10,357.60,5041,18.19
27-Sep-2011,372.00,372.95,363.80, 371.95,370.20,9837,36.21
26-Sep-2011,380.00,384.90,357.10, 358.00,361.55,4404,16.05
23-Sep-2011,382.00,389.85,376.00, 380.00,379.95,1488,5.66
22-Sep-2011,387.15,389.80,384.00, 385.00,385.05,1949,7.53
21-Sep-2011,400.00,402.80,390.95, 396.00,395.00,4269,16.96
20-Sep-2011,382.50,402.00,382.50, 395.00,395.10,8521,33.80
19-Sep-2011,395.00,400.00,385.00, 385.00,386.90,3039,11.88
16-Sep-2011,395.00,405.00,385.25, 398.00,392.75,9877,39.27
15-Sep-2011,398.95,403.95,390.00, 400.10,399.55,6250,24.89
