Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.80,8.80,8.40, 8.45,8.50,106113,9.05
29-Dec-2011,8.45,8.70,8.40, 8.55,8.45,155921,13.27
28-Dec-2011,8.50,8.75,8.40, 8.60,8.50,237389,20.35
27-Dec-2011,8.85,8.85,8.50, 8.55,8.55,105530,9.08
26-Dec-2011,8.50,8.70,8.00, 8.60,8.65,205834,17.63
23-Dec-2011,8.55,8.75,8.40, 8.45,8.45,249064,21.21
22-Dec-2011,8.45,8.50,8.05, 8.50,8.45,176338,14.81
21-Dec-2011,9.00,9.20,8.25, 8.40,8.30,874124,74.38
20-Dec-2011,9.05,9.20,8.70, 8.70,8.75,214674,18.93
19-Dec-2011,8.80,9.40,8.80, 9.00,9.05,487786,44.11
16-Dec-2011,9.15,9.15,8.50, 8.95,8.80,447035,39.68
15-Dec-2011,9.10,9.10,8.45, 8.65,8.55,1092892,94.42
14-Dec-2011,9.70,9.80,8.95, 9.05,9.05,1081216,101.15
13-Dec-2011,9.85,10.00,9.65, 9.75,9.70,314869,30.81
12-Dec-2011,10.00,10.30,9.80, 9.90,9.85,309144,30.75
09-Dec-2011,10.05,10.10,9.85, 10.00,10.00,377423,37.67
08-Dec-2011,10.50,10.55,10.00, 10.10,10.05,414256,42.02
07-Dec-2011,10.25,11.10,10.00, 10.40,10.40,1426206,150.35
05-Dec-2011,10.30,10.35,9.95, 10.05,10.00,590232,59.40
02-Dec-2011,10.05,10.75,9.95, 10.20,10.15,927114,94.70
01-Dec-2011,10.50,10.50,9.85, 10.00,9.90,439049,44.06
30-Nov-2011,11.00,11.00,9.70, 10.20,9.95,924658,92.99
29-Nov-2011,11.10,11.15,10.70, 10.70,10.80,246629,26.96
28-Nov-2011,10.60,11.35,10.25, 11.15,11.10,698159,75.28
25-Nov-2011,10.10,10.45,9.90, 10.35,10.25,310737,31.51
24-Nov-2011,9.95,10.15,9.70, 9.90,10.00,262517,26.00
23-Nov-2011,10.00,10.00,9.45, 9.70,9.65,305171,29.57
22-Nov-2011,9.50,10.10,8.80, 10.10,10.00,265112,26.22
21-Nov-2011,10.10,10.15,9.50, 9.85,9.65,480629,47.45
18-Nov-2011,10.00,10.30,9.75, 10.05,10.05,946576,95.04
17-Nov-2011,10.00,10.20,9.85, 10.05,10.00,768485,76.95
16-Nov-2011,10.10,10.35,9.85, 10.00,10.00,988848,99.19
15-Nov-2011,10.70,10.75,9.90, 10.10,10.00,540783,54.85
14-Nov-2011,10.50,10.80,10.45, 10.45,10.50,530879,56.11
11-Nov-2011,10.75,10.80,10.40, 10.60,10.50,1575421,166.38
09-Nov-2011,10.95,11.10,10.50, 10.70,10.70,621492,67.42
08-Nov-2011,11.30,11.40,10.85, 10.90,10.90,968299,106.66
04-Nov-2011,11.25,11.45,11.15, 11.25,11.25,540409,60.95
03-Nov-2011,11.15,11.30,11.00, 11.05,11.05,374976,41.75
02-Nov-2011,11.00,11.35,11.00, 11.15,11.10,453628,50.80
01-Nov-2011,11.50,11.60,11.10, 11.10,11.15,441240,49.97
31-Oct-2011,11.40,11.80,11.20, 11.50,11.55,746218,86.06
28-Oct-2011,12.10,12.10,11.20, 11.40,11.35,1467578,167.64
26-Oct-2011,11.20,12.10,11.05, 12.10,11.85,359545,41.91
25-Oct-2011,11.00,11.00,10.90, 11.00,10.95,279066,30.64
24-Oct-2011,11.20,11.30,10.90, 11.00,10.95,397304,43.83
21-Oct-2011,11.20,11.40,10.95, 10.95,11.00,559071,61.96
