Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,7.00,7.10,7.00, 7.05,7.05,27,0.00
29-Dec-2011,7.30,7.30,7.30, 7.30,7.30,100,0.01
28-Dec-2011,8.10,8.10,7.00, 8.00,8.00,190,0.02
26-Dec-2011,7.50,7.50,7.50, 7.50,7.50,130,0.01
23-Dec-2011,7.05,7.50,7.00, 7.50,7.05,151,0.01
21-Dec-2011,7.45,7.45,7.45, 7.45,7.45,10,0.00
20-Dec-2011,7.55,7.55,7.55, 7.55,7.55,3,0.00
19-Dec-2011,7.85,8.75,7.55, 7.55,7.55,303,0.03
16-Dec-2011,7.95,7.95,7.95, 7.95,7.95,108,0.01
15-Dec-2011,7.75,7.95,7.75, 7.95,7.95,1592,0.12
14-Dec-2011,8.55,8.55,7.55, 8.55,8.20,72,0.01
13-Dec-2011,7.85,7.95,7.75, 7.95,7.95,437,0.03
12-Dec-2011,7.75,8.00,7.75, 7.80,7.85,16,0.00
09-Dec-2011,7.75,8.45,7.75, 8.45,8.45,136,0.01
07-Dec-2011,8.90,8.90,8.10, 8.20,8.30,226,0.02
05-Dec-2011,8.65,8.65,8.65, 8.65,8.65,10,0.00
01-Dec-2011,8.20,9.50,8.20, 9.50,9.50,1027,0.09
29-Nov-2011,8.20,8.95,8.15, 8.95,8.95,610,0.05
28-Nov-2011,7.95,8.95,7.85, 8.95,8.95,342,0.03
25-Nov-2011,8.45,8.50,8.45, 8.45,8.50,171,0.01
23-Nov-2011,8.50,9.35,8.50, 9.35,9.35,400,0.04
22-Nov-2011,8.05,9.00,7.95, 8.95,8.95,31,0.00
21-Nov-2011,8.50,8.50,8.50, 8.50,8.50,201,0.02
18-Nov-2011,9.25,9.45,9.20, 9.45,9.45,1092,0.10
14-Nov-2011,10.00,10.00,9.10, 9.10,9.10,230,0.02
08-Nov-2011,10.10,10.10,10.10, 10.10,10.10,3,0.00
04-Nov-2011,8.75,9.90,8.75, 9.10,9.15,314,0.03
03-Nov-2011,8.80,10.05,8.80, 9.10,9.15,62,0.01
28-Oct-2011,9.25,9.25,9.15, 9.15,9.20,3,0.00
25-Oct-2011,10.00,10.00,9.40, 9.45,9.45,396,0.04
21-Oct-2011,9.10,9.90,9.10, 9.90,9.90,74,0.01
20-Oct-2011,9.00,9.50,9.00, 9.50,9.50,102,0.01
19-Oct-2011,8.60,8.60,8.60, 8.60,8.60,1,0.00
17-Oct-2011,9.85,9.85,9.05, 9.05,9.05,102,0.01
14-Oct-2011,9.15,9.25,9.10, 9.25,9.25,770,0.07
13-Oct-2011,9.95,10.45,8.85, 9.55,9.55,833,0.08
12-Oct-2011,9.45,9.95,9.45, 9.55,9.55,1104,0.10
11-Oct-2011,10.00,10.40,10.00, 10.40,10.40,6,0.00
10-Oct-2011,10.00,10.00,10.00, 10.00,10.00,1,0.00
07-Oct-2011,9.10,10.65,9.10, 10.30,10.15,363,0.04
05-Oct-2011,9.00,9.95,9.00, 9.95,9.90,1580,0.16
04-Oct-2011,9.00,9.75,9.00, 9.65,9.70,1228,0.12
03-Oct-2011,9.00,9.65,9.00, 9.65,9.55,24,0.00
30-Sep-2011,9.00,9.70,9.00, 9.70,9.70,673,0.06
29-Sep-2011,9.00,9.70,9.00, 9.70,9.70,190,0.02
28-Sep-2011,9.10,9.10,9.10, 9.10,9.10,4,0.00
27-Sep-2011,9.10,9.65,8.95, 9.05,9.05,12606,1.15
26-Sep-2011,10.65,10.65,9.10, 9.10,9.10,3,0.00
23-Sep-2011,9.95,9.95,9.10, 9.80,9.80,1044,0.10
22-Sep-2011,9.10,10.00,9.05, 10.00,10.00,20,0.00
21-Sep-2011,10.20,10.60,9.30, 10.60,10.00,1608,0.16
20-Sep-2011,8.95,9.70,8.95, 9.70,9.70,3,0.00
19-Sep-2011,8.90,8.95,8.90, 8.90,8.90,501,0.04
16-Sep-2011,9.10,10.05,9.10, 9.35,9.35,340,0.03
14-Sep-2011,9.10,9.10,9.10, 9.10,9.10,100,0.01
13-Sep-2011,9.00,10.00,9.00, 10.00,9.85,1279,0.12
12-Sep-2011,9.65,10.00,9.65, 9.65,9.65,1058,0.10
09-Sep-2011,11.30,11.30,10.70, 10.70,10.70,300,0.03
08-Sep-2011,10.25,11.00,9.55, 9.55,10.25,771,0.08
07-Sep-2011,8.05,10.00,8.05, 10.00,10.00,1631,0.15
06-Sep-2011,10.65,10.65,9.35, 9.35,9.35,50,0.00
05-Sep-2011,9.55,9.60,9.55, 9.60,9.60,110,0.01
02-Sep-2011,10.00,10.00,10.00, 10.00,10.00,151,0.02
29-Aug-2011,11.00,11.00,9.60, 9.85,9.85,7279,0.76
25-Aug-2011,9.00,9.45,9.00, 9.45,9.45,86,0.01
24-Aug-2011,9.35,9.35,9.35, 9.35,9.35,150,0.01
23-Aug-2011,9.15,9.80,9.15, 9.30,9.30,12,0.00
19-Aug-2011,9.00,9.90,9.00, 9.90,9.90,865,0.08
18-Aug-2011,9.60,9.60,9.20, 9.60,9.60,506,0.05
17-Aug-2011,10.00,10.90,9.20, 10.90,10.15,2831,0.28
16-Aug-2011,12.40,12.40,10.00, 10.00,10.75,4859,0.51
11-Aug-2011,9.30,12.40,9.30, 11.75,11.75,472,0.06
10-Aug-2011,10.50,10.50,10.50, 10.50,10.50,499,0.05
09-Aug-2011,9.55,10.40,9.50, 10.40,10.40,150,0.01
08-Aug-2011,10.00,10.90,9.70, 10.55,10.05,810,0.08
05-Aug-2011,9.35,11.00,9.35, 10.90,10.40,970,0.10
04-Aug-2011,10.30,12.25,10.30, 12.00,11.25,2751,0.31
03-Aug-2011,11.00,11.50,10.05, 10.20,10.20,366,0.04
