Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,80.35,83.25,79.80, 83.00,82.30,3636820,2955.59
29-Dec-2011,80.75,81.45,79.60, 80.00,80.15,5073888,4080.08
28-Dec-2011,79.15,81.65,78.75, 80.80,81.20,7378582,5885.94
27-Dec-2011,82.00,82.90,78.80, 80.30,80.00,4035887,3247.62
26-Dec-2011,78.75,82.65,78.75, 82.50,82.20,2986776,2435.02
23-Dec-2011,78.00,81.90,78.00, 78.40,78.75,6046682,4808.76
22-Dec-2011,82.50,83.85,78.30, 81.70,81.65,6780544,5492.57
21-Dec-2011,84.00,85.05,80.85, 83.15,82.75,4242023,3498.40
20-Dec-2011,82.75,84.25,81.30, 83.40,83.15,3569655,2970.23
19-Dec-2011,83.90,84.30,81.10, 82.85,82.75,4346770,3611.62
16-Dec-2011,85.20,87.10,83.35, 84.00,84.00,4832544,4129.02
15-Dec-2011,84.10,85.80,81.75, 85.40,85.20,6983336,5858.97
14-Dec-2011,84.40,85.50,83.45, 84.90,84.70,6076533,5140.17
13-Dec-2011,81.20,84.90,80.05, 83.60,83.45,9854226,8168.55
12-Dec-2011,88.20,88.40,80.75, 82.05,82.20,11029272,9173.98
09-Dec-2011,86.40,87.75,83.20, 86.50,86.35,13767540,11766.71
08-Dec-2011,92.00,92.30,86.70, 87.50,87.65,14306730,12706.86
07-Dec-2011,97.55,97.95,91.20, 91.55,91.45,13963458,13013.96
05-Dec-2011,96.80,97.85,95.45, 97.70,97.45,2565040,2484.35
02-Dec-2011,92.75,97.45,91.90, 97.35,96.95,6710092,6358.96
01-Dec-2011,97.70,98.40,91.80, 92.50,92.30,10787197,10211.87
30-Nov-2011,95.50,99.35,93.35, 94.70,97.95,51104247,49522.62
29-Nov-2011,98.50,99.90,94.60, 94.85,95.20,10375210,10032.77
28-Nov-2011,97.00,99.80,96.20, 98.90,98.25,8423359,8289.65
25-Nov-2011,93.55,97.90,93.55, 97.55,95.70,4608763,4406.28
24-Nov-2011,93.00,95.70,92.95, 94.95,94.75,8472187,7997.26
23-Nov-2011,98.25,98.25,89.20, 93.30,93.95,27176782,25307.74
22-Nov-2011,99.00,99.80,96.50, 98.70,98.45,4599475,4512.43
21-Nov-2011,98.40,101.20,96.35, 98.25,98.85,6866967,6847.15
18-Nov-2011,98.00,99.00,95.60, 99.00,98.90,3999227,3907.57
17-Nov-2011,98.80,99.95,97.60, 97.70,98.15,4552274,4498.82
16-Nov-2011,95.15,103.15,94.90, 98.90,98.85,14349885,14308.95
15-Nov-2011,97.00,97.90,94.05, 94.20,94.40,1555982,1495.11
14-Nov-2011,95.95,98.05,95.50, 97.25,97.20,3750120,3638.96
11-Nov-2011,94.00,95.70,93.70, 95.20,94.90,2251740,2134.66
09-Nov-2011,96.50,97.55,94.30, 94.60,94.70,1490286,1422.22
08-Nov-2011,98.00,98.25,95.30, 96.50,96.45,2288365,2211.51
