Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,57.50,59.50,57.00, 58.70,58.95,5279,3.10
29-Dec-2011,59.00,59.50,58.25, 58.60,58.45,4907,2.88
28-Dec-2011,60.40,60.90,59.00, 59.05,59.25,7181,4.29
27-Dec-2011,61.50,62.70,60.10, 60.10,60.50,14941,9.17
26-Dec-2011,60.00,61.95,60.00, 60.50,61.35,4219,2.59
23-Dec-2011,61.00,61.90,58.15, 61.90,61.15,11475,7.00
22-Dec-2011,59.05,61.00,58.85, 60.85,60.70,15336,9.16
21-Dec-2011,58.00,65.05,58.00, 59.95,60.10,10602,6.49
20-Dec-2011,61.85,62.25,59.65, 59.80,60.05,4265,2.58
19-Dec-2011,64.00,65.95,60.00, 61.30,61.85,8057,4.98
16-Dec-2011,65.25,67.50,63.00, 64.50,64.20,7240,4.74
15-Dec-2011,67.00,68.00,64.65, 65.05,65.20,5272,3.48
14-Dec-2011,69.00,69.85,65.35, 68.00,68.30,5796,3.95
13-Dec-2011,70.00,70.50,68.20, 69.20,68.95,2986,2.08
12-Dec-2011,68.00,73.55,68.00, 71.20,70.85,7149,5.05
09-Dec-2011,70.50,72.50,70.00, 70.00,70.45,7213,5.11
08-Dec-2011,74.45,74.45,71.00, 71.30,71.45,3883,2.78
07-Dec-2011,75.00,75.35,74.00, 74.00,74.20,7474,5.57
05-Dec-2011,75.40,75.40,74.05, 74.35,74.65,3106,2.32
02-Dec-2011,73.65,75.90,73.65, 75.30,75.45,13749,10.31
01-Dec-2011,75.50,76.00,74.00, 74.45,74.55,9836,7.37
30-Nov-2011,73.00,74.90,72.60, 74.65,74.25,33031,24.37
29-Nov-2011,74.90,76.00,72.00, 72.50,72.80,36084,26.71
28-Nov-2011,72.50,73.45,71.00, 72.60,72.90,17437,12.63
25-Nov-2011,70.50,73.90,69.10, 70.50,70.75,29683,21.00
24-Nov-2011,71.50,72.40,70.00, 72.40,71.30,10478,7.42
23-Nov-2011,72.50,73.40,69.50, 70.00,72.00,17103,12.18
22-Nov-2011,74.25,74.50,71.00, 73.00,73.00,13161,9.61
21-Nov-2011,69.00,75.60,69.00, 70.00,71.10,14234,10.30
18-Nov-2011,74.40,78.00,68.65, 72.00,72.25,39941,29.23
17-Nov-2011,70.00,76.00,69.60, 74.40,73.95,82051,61.08
16-Nov-2011,81.20,81.20,68.25, 70.45,69.35,144767,105.33
15-Nov-2011,88.90,89.50,80.40, 80.95,81.10,40353,34.07
14-Nov-2011,92.05,93.00,88.50, 88.60,89.55,14986,13.55
11-Nov-2011,96.00,98.00,93.00, 93.00,93.20,20385,19.22
09-Nov-2011,98.00,99.50,95.25, 97.00,96.45,61325,60.37
08-Nov-2011,105.55,105.55,97.35, 98.00,99.30,16903,17.01
04-Nov-2011,102.00,103.10,101.05, 101.10,101.65,24754,25.38
03-Nov-2011,101.00,102.40,100.20, 101.85,101.70,22526,22.85
02-Nov-2011,101.25,104.25,100.20, 101.00,101.25,32803,33.58
01-Nov-2011,106.50,106.50,101.05, 102.20,102.55,27091,27.99
31-Oct-2011,107.00,110.10,106.00, 106.00,106.80,40653,43.81
28-Oct-2011,114.00,114.00,106.55, 107.25,107.40,43136,47.16
26-Oct-2011,111.00,112.95,110.05, 111.20,112.15,6662,7.44
25-Oct-2011,115.80,115.85,109.40, 109.50,109.80,26528,29.37
24-Oct-2011,115.50,115.80,113.20, 114.00,113.80,6897,7.88
21-Oct-2011,115.00,115.95,111.15, 113.00,112.60,27813,31.90
20-Oct-2011,115.00,115.55,114.00, 115.55,115.25,5786,6.64
19-Oct-2011,115.70,117.40,115.00, 116.00,115.95,21122,24.55
18-Oct-2011,114.00,115.00,114.00, 114.10,114.50,5247,6.00
17-Oct-2011,115.00,116.50,113.80, 114.20,114.45,4390,5.02
14-Oct-2011,115.70,117.90,113.15, 115.70,115.10,19075,21.89
13-Oct-2011,113.10,116.75,113.10, 113.75,114.65,22793,26.32
12-Oct-2011,113.90,124.00,111.95, 114.50,113.95,22333,25.55
11-Oct-2011,114.90,115.20,111.25, 111.50,112.00,10667,12.09
10-Oct-2011,115.00,115.50,112.75, 113.95,113.25,38882,44.15
07-Oct-2011,110.00,113.80,110.00, 113.00,112.95,12308,13.85
05-Oct-2011,111.30,113.40,109.00, 109.50,109.90,8598,9.55
04-Oct-2011,116.00,116.00,110.70, 112.00,111.45,9350,10.51
03-Oct-2011,112.55,116.85,110.70, 115.00,114.90,41011,46.71
30-Sep-2011,115.90,115.95,112.50, 112.50,113.10,17303,19.80
29-Sep-2011,114.90,119.70,113.05, 115.15,115.65,39076,45.71
28-Sep-2011,116.00,116.10,113.45, 114.60,114.95,15561,17.91
27-Sep-2011,115.75,116.50,114.50, 115.80,115.60,17663,20.40
26-Sep-2011,116.90,117.00,111.10, 112.70,113.15,13393,15.15
23-Sep-2011,113.95,118.00,111.10, 113.10,114.00,13466,15.29
22-Sep-2011,117.00,118.90,114.50, 116.00,115.20,19445,22.71
21-Sep-2011,117.00,121.05,112.65, 117.50,118.45,26323,31.25
20-Sep-2011,115.50,117.50,114.50, 116.75,116.65,10246,11.90
19-Sep-2011,116.05,116.50,115.50, 115.50,116.10,11142,12.93
16-Sep-2011,117.15,118.50,115.10, 115.10,116.15,12282,14.41
