Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,5.65,5.75,5.30, 5.75,5.65,167272,9.32
29-Dec-2011,5.75,5.80,5.50, 5.55,5.55,139888,7.92
28-Dec-2011,6.00,6.15,5.70, 5.70,5.75,689409,40.43
27-Dec-2011,6.10,6.15,5.85, 6.10,6.00,96356,5.75
26-Dec-2011,5.80,6.05,5.75, 6.05,5.90,342492,20.18
23-Dec-2011,6.10,6.40,5.80, 5.85,5.80,1011808,60.36
22-Dec-2011,6.25,6.40,6.10, 6.10,6.10,621212,38.04
21-Dec-2011,6.75,7.00,6.40, 6.40,6.40,533499,34.98
20-Dec-2011,6.90,7.00,6.70, 6.70,6.70,501479,34.35
19-Dec-2011,7.00,7.20,6.55, 7.10,7.05,254749,17.38
16-Dec-2011,7.20,7.25,6.85, 6.85,6.90,97044,6.84
15-Dec-2011,7.50,7.50,7.15, 7.20,7.20,103671,7.49
14-Dec-2011,7.45,7.70,7.35, 7.50,7.45,81153,6.12
13-Dec-2011,7.55,7.55,7.35, 7.45,7.45,48749,3.61
12-Dec-2011,7.50,7.65,7.35, 7.40,7.45,49539,3.72
09-Dec-2011,7.50,7.60,7.30, 7.50,7.45,498291,36.69
08-Dec-2011,7.90,7.95,7.60, 7.70,7.65,94382,7.29
07-Dec-2011,8.00,8.10,7.85, 7.90,7.90,91391,7.27
05-Dec-2011,7.95,8.00,7.70, 7.90,7.85,64867,5.11
02-Dec-2011,8.00,8.15,7.85, 8.00,7.95,98828,7.85
01-Dec-2011,8.00,8.15,7.90, 8.00,8.05,162326,12.99
30-Nov-2011,8.45,8.45,7.75, 7.80,7.80,252749,20.25
29-Nov-2011,7.95,8.05,7.70, 8.05,8.05,231672,18.53
28-Nov-2011,7.85,7.85,7.60, 7.70,7.70,90098,6.93
25-Nov-2011,7.80,7.90,7.50, 7.50,7.55,128913,9.94
24-Nov-2011,7.75,7.80,7.45, 7.80,7.75,371425,28.52
23-Nov-2011,7.30,7.60,7.30, 7.35,7.40,382376,28.50
22-Nov-2011,7.30,7.50,7.20, 7.35,7.30,123433,9.08
21-Nov-2011,7.55,7.80,7.25, 7.25,7.30,259858,19.51
18-Nov-2011,7.50,7.55,7.25, 7.50,7.50,209786,15.50
17-Nov-2011,8.10,8.25,7.50, 7.50,7.55,282875,21.86
16-Nov-2011,7.50,7.90,7.25, 7.90,7.90,593136,46.47
15-Nov-2011,7.85,8.00,7.50, 7.50,7.50,188429,14.45
14-Nov-2011,8.10,8.30,7.75, 7.85,7.85,140901,11.15
11-Nov-2011,8.15,8.25,7.85, 8.05,8.00,161224,12.92
09-Nov-2011,8.60,8.60,8.10, 8.20,8.15,155856,12.93
08-Nov-2011,8.90,8.90,8.40, 8.50,8.45,226497,19.25
04-Nov-2011,8.80,8.95,8.55, 8.70,8.80,388341,34.08
03-Nov-2011,8.65,8.65,8.35, 8.65,8.65,565953,48.32
02-Nov-2011,7.75,8.25,7.55, 8.25,8.20,1027983,81.85
01-Nov-2011,8.00,8.00,7.60, 8.00,7.85,1204635,93.22
31-Oct-2011,8.40,8.50,8.00, 8.00,8.00,2185309,179.08
28-Oct-2011,9.00,9.20,8.40, 8.40,8.40,2397248,208.64
26-Oct-2011,8.75,9.00,8.50, 8.80,8.80,367421,32.27
25-Oct-2011,9.35,9.70,8.75, 8.75,8.75,4372041,395.55
24-Oct-2011,9.70,9.95,9.20, 9.20,9.20,1316939,125.54
21-Oct-2011,10.25,10.60,9.65, 9.65,9.65,3122704,314.58
20-Oct-2011,10.15,10.30,9.80, 10.25,10.15,446078,44.89
19-Oct-2011,10.05,10.25,9.80, 10.15,10.10,346693,35.10
18-Oct-2011,10.40,10.60,10.00, 10.00,10.00,1708241,174.04
17-Oct-2011,10.50,10.90,10.35, 10.45,10.50,928422,98.18
14-Oct-2011,10.50,11.30,10.35, 10.35,10.40,3193402,341.67
13-Oct-2011,11.45,11.95,10.80, 10.85,10.85,2543491,283.87
12-Oct-2011,12.15,12.15,11.35, 11.35,11.35,549817,63.13
11-Oct-2011,12.95,12.95,11.95, 11.95,11.95,320734,39.54
10-Oct-2011,12.55,12.55,12.05, 12.55,12.55,831039,103.63
