Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.80,40.10,37.70, 38.15,38.05,23026,8.87
29-Dec-2011,40.85,41.20,38.65, 39.65,39.65,19247,7.71
28-Dec-2011,42.00,42.00,40.30, 41.75,41.35,71971,29.60
27-Dec-2011,40.00,42.10,39.50, 41.85,42.00,189912,78.63
26-Dec-2011,38.65,40.65,38.65, 39.85,39.90,96516,38.41
23-Dec-2011,38.50,39.50,37.35, 39.10,38.90,87416,33.57
22-Dec-2011,38.00,38.85,37.10, 38.15,38.45,98654,37.63
21-Dec-2011,36.70,38.80,36.30, 38.50,38.55,118285,44.83
20-Dec-2011,35.05,38.00,35.05, 37.00,36.95,159988,59.23
19-Dec-2011,36.10,36.95,35.10, 36.25,36.10,51795,18.54
16-Dec-2011,35.20,38.35,35.20, 37.00,36.95,106193,39.54
15-Dec-2011,34.55,36.25,34.55, 35.20,35.95,60079,21.45
14-Dec-2011,35.05,36.50,35.00, 35.55,35.45,7083,2.51
13-Dec-2011,36.65,36.65,35.40, 36.35,35.55,10916,3.91
12-Dec-2011,36.45,37.80,35.35, 36.95,36.75,61551,22.78
09-Dec-2011,34.20,37.60,34.15, 36.60,36.45,74014,27.00
08-Dec-2011,36.20,36.25,35.20, 35.25,35.30,14302,5.13
07-Dec-2011,34.50,36.60,34.10, 36.60,36.15,75561,27.00
05-Dec-2011,34.90,35.35,34.15, 34.60,34.55,27192,9.51
02-Dec-2011,33.90,35.80,33.05, 34.65,34.65,55722,19.38
01-Dec-2011,33.10,34.70,33.10, 33.20,33.30,6068,2.05
30-Nov-2011,33.55,34.00,33.30, 34.00,33.45,4400,1.48
29-Nov-2011,33.50,34.80,33.50, 33.80,34.05,3874,1.31
28-Nov-2011,34.00,34.35,33.65, 33.80,33.85,9835,3.34
25-Nov-2011,32.55,33.75,32.50, 33.35,33.05,13286,4.42
24-Nov-2011,34.50,34.50,33.00, 33.05,33.15,11778,3.91
23-Nov-2011,33.15,33.95,32.90, 32.90,33.05,14495,4.83
22-Nov-2011,33.00,34.00,33.00, 33.55,33.55,10407,3.50
21-Nov-2011,34.00,34.05,33.60, 33.75,33.75,16078,5.44
18-Nov-2011,33.85,34.60,33.75, 33.95,34.10,43641,14.92
17-Nov-2011,35.00,35.00,33.70, 33.85,33.90,8748,2.97
16-Nov-2011,34.80,35.00,34.00, 34.25,34.30,12729,4.39
15-Nov-2011,36.20,36.20,34.55, 35.00,35.00,26329,9.25
14-Nov-2011,35.70,36.25,35.50, 35.50,35.50,25708,9.13
