Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,23.60,24.40,22.70, 23.60,23.45,17833,4.19
29-Dec-2011,25.20,25.20,24.10, 24.15,24.20,2339,0.57
28-Dec-2011,24.00,24.90,23.75, 24.40,24.60,11908,2.89
27-Dec-2011,24.45,24.95,24.10, 24.55,24.30,2894,0.71
26-Dec-2011,24.00,24.80,24.00, 24.40,24.55,6028,1.47
23-Dec-2011,24.05,25.00,23.80, 24.65,24.20,14177,3.45
22-Dec-2011,24.10,24.10,23.20, 23.60,23.90,5510,1.30
21-Dec-2011,23.00,24.50,23.00, 23.80,23.75,10149,2.42
20-Dec-2011,23.20,24.40,23.20, 23.40,23.45,27324,6.50
19-Dec-2011,25.10,25.10,23.50, 23.50,23.60,38715,9.22
16-Dec-2011,25.40,25.40,23.65, 24.85,24.20,10631,2.62
15-Dec-2011,24.50,25.30,24.25, 25.30,25.05,4782,1.18
14-Dec-2011,24.30,25.65,24.30, 25.10,25.15,34459,8.70
13-Dec-2011,24.20,25.50,24.15, 25.00,24.95,2822,0.70
12-Dec-2011,25.85,25.85,24.75, 25.00,24.85,5259,1.32
09-Dec-2011,25.10,25.95,25.10, 25.15,25.30,5937,1.50
08-Dec-2011,26.00,26.80,25.80, 25.85,25.85,16120,4.25
07-Dec-2011,26.80,27.40,26.20, 26.25,26.30,3012,0.80
05-Dec-2011,26.00,26.70,25.55, 26.70,26.40,7657,1.99
02-Dec-2011,25.50,26.75,25.50, 26.50,26.55,39407,10.40
01-Dec-2011,26.10,26.70,25.50, 26.00,26.05,19238,5.03
30-Nov-2011,25.55,26.30,25.25, 25.65,25.85,5000,1.28
29-Nov-2011,25.45,26.25,25.20, 25.60,25.60,18982,4.87
28-Nov-2011,26.10,26.10,25.30, 25.50,25.30,5041,1.28
25-Nov-2011,24.80,25.60,24.50, 24.70,24.95,8913,2.25
24-Nov-2011,24.60,25.20,24.50, 24.80,24.80,13105,3.25
23-Nov-2011,26.70,27.30,24.00, 24.35,24.60,105996,26.95
22-Nov-2011,29.40,29.40,27.10, 27.20,27.30,6516,1.79
21-Nov-2011,28.00,28.80,26.00, 27.70,27.70,96879,27.56
18-Nov-2011,28.05,28.10,26.25, 27.05,27.10,23395,6.35
17-Nov-2011,31.00,31.00,28.50, 28.50,28.60,23343,6.73
16-Nov-2011,29.50,29.95,28.75, 29.05,29.05,13509,3.95
15-Nov-2011,31.15,31.90,29.75, 29.95,29.90,9582,2.93
14-Nov-2011,30.60,32.40,30.60, 31.55,31.50,14800,4.67
11-Nov-2011,32.15,32.50,31.30, 31.90,31.50,10000,3.18
09-Nov-2011,32.50,33.05,32.15, 32.85,32.85,54277,17.72
08-Nov-2011,32.00,33.35,31.50, 31.70,31.85,62286,20.15
04-Nov-2011,30.60,32.00,30.50, 31.20,31.20,55089,17.20
03-Nov-2011,30.45,31.25,30.05, 30.60,30.55,21533,6.61
02-Nov-2011,29.10,30.20,29.10, 29.60,29.70,19961,5.92
01-Nov-2011,30.10,30.75,29.10, 29.25,29.15,8342,2.49
31-Oct-2011,30.90,30.90,29.80, 29.95,29.90,10612,3.19
28-Oct-2011,30.40,31.00,29.90, 30.15,30.20,14133,4.32
26-Oct-2011,30.90,30.90,28.75, 29.75,30.10,10368,3.11
25-Oct-2011,29.85,29.85,28.85, 29.35,29.35,4969,1.44
24-Oct-2011,29.60,30.00,28.90, 28.90,29.10,10009,2.93
21-Oct-2011,29.85,30.50,29.30, 29.90,29.65,12020,3.59
20-Oct-2011,29.60,30.30,29.20, 29.65,29.75,163513,48.66
19-Oct-2011,30.90,31.05,29.90, 30.15,30.20,13510,4.09
18-Oct-2011,30.10,31.40,29.50, 30.50,30.50,48161,14.80
17-Oct-2011,30.10,30.40,29.50, 29.50,29.70,15125,4.54
14-Oct-2011,30.50,30.75,30.00, 30.50,30.60,5427,1.66
13-Oct-2011,30.40,31.00,30.00, 30.00,30.15,13103,4.00
12-Oct-2011,32.00,32.00,27.50, 30.40,30.30,2922,0.88
11-Oct-2011,29.90,30.40,29.80, 30.20,30.20,8170,2.46
10-Oct-2011,30.45,30.55,29.75, 29.85,29.75,1729,0.52
07-Oct-2011,29.05,32.00,28.55, 29.70,29.75,3626,1.07
05-Oct-2011,30.00,30.50,29.60, 30.00,29.90,12360,3.70
04-Oct-2011,29.90,30.15,29.70, 30.00,30.00,7882,2.35
03-Oct-2011,31.35,31.40,28.80, 29.55,29.50,13843,4.12
30-Sep-2011,31.10,31.50,30.60, 30.65,30.65,7787,2.42
29-Sep-2011,31.25,31.60,30.90, 31.50,31.50,5019,1.57
28-Sep-2011,31.40,32.10,31.25, 32.00,31.90,25540,8.09
27-Sep-2011,31.25,31.60,30.60, 31.50,31.35,10258,3.19
26-Sep-2011,30.75,31.00,30.00, 30.10,30.15,6028,1.84
23-Sep-2011,30.80,31.40,29.85, 30.60,30.75,8271,2.53
22-Sep-2011,31.05,31.85,31.00, 31.40,31.25,12508,3.93
21-Sep-2011,31.95,32.90,31.00, 32.05,32.10,21985,7.05
20-Sep-2011,32.45,32.90,32.15, 32.50,32.50,11466,3.72
19-Sep-2011,32.50,33.00,31.85, 32.15,32.25,11300,3.66
16-Sep-2011,33.30,33.50,32.05, 32.35,32.45,26202,8.63
15-Sep-2011,34.75,34.95,33.10, 33.25,33.45,48194,16.35
14-Sep-2011,33.00,35.15,32.65, 34.00,33.95,310867,105.82
13-Sep-2011,30.40,32.00,30.40, 32.00,31.70,48965,15.34
12-Sep-2011,31.50,31.80,30.30, 31.00,31.20,31035,9.67
09-Sep-2011,32.00,33.10,31.00, 32.00,32.05,87691,28.19
08-Sep-2011,31.50,32.15,28.25, 32.15,31.95,37983,11.94
07-Sep-2011,27.00,30.70,27.00, 30.00,30.00,42532,12.55
06-Sep-2011,26.10,27.70,26.10, 27.70,27.55,9147,2.50
05-Sep-2011,26.20,27.10,25.20, 27.00,26.95,6862,1.81
02-Sep-2011,24.70,26.90,24.00, 26.50,26.45,26919,6.90
30-Aug-2011,25.05,25.80,24.90, 25.40,25.40,15127,3.81
29-Aug-2011,24.00,25.45,23.85, 25.20,24.90,26645,6.56
26-Aug-2011,24.20,25.25,24.20, 24.80,24.65,9233,2.28
25-Aug-2011,24.90,25.90,24.80, 24.85,24.90,10469,2.62
24-Aug-2011,25.05,26.00,24.75, 25.65,25.40,29304,7.45
23-Aug-2011,24.90,25.70,24.45, 25.70,25.45,16442,4.11
22-Aug-2011,25.25,25.90,23.75, 24.95,24.95,30651,7.54
19-Aug-2011,25.80,25.90,23.80, 23.95,24.10,39089,9.62
18-Aug-2011,26.65,28.00,25.80, 26.10,26.15,12355,3.27
17-Aug-2011,27.25,28.00,27.25, 27.50,27.45,7361,2.04
16-Aug-2011,29.00,29.00,27.55, 27.55,27.80,27365,7.75
12-Aug-2011,27.30,27.85,27.00, 27.75,27.50,10125,2.78
11-Aug-2011,27.80,29.00,26.50, 27.00,27.05,15345,4.17
10-Aug-2011,27.90,28.75,27.80, 28.00,28.00,11496,3.23
09-Aug-2011,26.20,27.45,26.10, 26.80,27.00,16295,4.37
08-Aug-2011,28.50,28.50,27.25, 27.30,27.40,32204,8.86
05-Aug-2011,30.40,30.40,27.75, 29.20,29.10,48724,14.00
04-Aug-2011,30.50,31.80,30.35, 31.60,31.60,11766,3.70
03-Aug-2011,31.00,31.60,30.15, 31.40,31.30,2663,0.83
02-Aug-2011,31.50,32.00,31.00, 31.35,31.65,18739,5.93
01-Aug-2011,31.35,32.25,31.00, 31.60,31.95,11471,3.63
29-Jul-2011,31.00,32.50,31.00, 31.60,31.90,11939,3.80
28-Jul-2011,31.30,31.90,31.20, 31.40,31.45,6989,2.20
27-Jul-2011,32.40,32.40,31.75, 32.00,31.75,4605,1.47
26-Jul-2011,32.50,33.00,31.90, 32.35,32.00,11086,3.56
25-Jul-2011,32.50,33.20,32.45, 32.70,32.90,9317,3.05
22-Jul-2011,32.20,33.10,31.90, 32.70,32.70,16002,5.21
21-Jul-2011,32.80,32.80,32.15, 32.25,32.20,3264,1.06
20-Jul-2011,32.65,33.00,32.30, 32.60,32.55,8498,2.78
19-Jul-2011,33.60,33.80,32.50, 32.60,32.65,20512,6.81
18-Jul-2011,32.50,33.35,32.00, 33.20,33.15,68424,22.54
15-Jul-2011,31.30,32.20,31.30, 31.75,31.55,5975,1.90
14-Jul-2011,31.35,32.50,30.95, 32.00,31.80,31379,10.01
13-Jul-2011,30.40,31.30,30.00, 31.25,31.05,8771,2.71
12-Jul-2011,30.75,30.85,30.00, 30.30,30.30,12692,3.88
11-Jul-2011,31.90,31.90,30.70, 30.75,30.85,8809,2.74
08-Jul-2011,33.00,34.40,31.30, 31.30,31.60,80172,25.90
07-Jul-2011,31.80,31.80,30.80, 31.65,31.45,34649,10.85
06-Jul-2011,30.15,31.20,30.15, 31.00,31.05,26272,8.14
05-Jul-2011,30.80,31.20,30.35, 30.35,30.40,12932,3.98
04-Jul-2011,29.85,31.00,29.85, 30.80,30.80,25361,7.75
01-Jul-2011,30.00,30.50,29.95, 30.25,30.15,6085,1.83
30-Jun-2011,30.00,30.45,29.80, 30.00,29.85,10891,3.26
29-Jun-2011,29.80,30.45,29.80, 29.85,29.85,7528,2.26
28-Jun-2011,30.50,30.90,29.60, 29.60,29.80,15930,4.76
27-Jun-2011,30.50,31.65,30.20, 30.30,30.35,14493,4.47
24-Jun-2011,29.75,30.40,29.55, 30.40,30.10,5378,1.61
23-Jun-2011,29.30,29.85,29.05, 29.50,29.50,8172,2.41
22-Jun-2011,29.85,29.85,29.50, 29.50,29.50,5317,1.58
21-Jun-2011,29.95,30.20,29.40, 29.70,29.75,11024,3.29
20-Jun-2011,31.50,31.50,29.55, 29.95,29.90,28126,8.49
17-Jun-2011,30.90,32.00,30.90, 31.35,31.60,11778,3.73
16-Jun-2011,31.05,31.75,31.00, 31.50,31.50,26060,8.21
15-Jun-2011,32.00,32.50,31.30, 31.75,31.45,14439,4.58
14-Jun-2011,30.40,32.00,30.40, 32.00,31.60,4237,1.33
13-Jun-2011,31.40,31.40,31.05, 31.10,31.25,2166,0.68
10-Jun-2011,30.85,31.95,30.85, 31.40,31.30,2428,0.76
09-Jun-2011,32.00,32.40,31.60, 31.85,31.75,10812,3.46
08-Jun-2011,32.00,32.50,31.50, 31.90,31.65,4022,1.28
07-Jun-2011,32.00,32.75,31.00, 32.15,32.20,6821,2.21
