Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,149.10,150.85,149.00, 149.00,149.15,18349,27.45
29-Dec-2011,149.00,153.00,148.00, 148.25,148.35,28823,42.81
28-Dec-2011,154.00,154.00,149.10, 150.00,149.85,837,1.25
27-Dec-2011,149.10,150.80,149.10, 149.10,149.10,1402,2.10
26-Dec-2011,149.05,150.00,149.05, 149.05,149.40,3302,4.93
23-Dec-2011,149.20,151.00,148.00, 150.00,150.05,20989,31.43
22-Dec-2011,149.40,150.70,149.05, 149.15,149.75,2213,3.31
21-Dec-2011,153.00,153.00,149.00, 149.85,149.70,19295,28.89
20-Dec-2011,150.05,153.00,150.00, 153.00,150.80,1532,2.30
19-Dec-2011,150.10,154.00,149.00, 149.00,149.05,9921,14.85
16-Dec-2011,153.35,157.00,149.00, 149.00,150.00,69066,103.83
15-Dec-2011,150.05,154.00,150.00, 154.00,150.75,8173,12.31
14-Dec-2011,150.05,151.80,148.00, 148.50,148.90,35924,53.58
13-Dec-2011,150.05,151.70,150.00, 150.00,150.25,5581,8.40
12-Dec-2011,152.00,153.00,150.00, 150.00,150.00,5946,8.93
09-Dec-2011,150.00,153.00,150.00, 151.15,151.45,12132,18.43
08-Dec-2011,153.05,156.00,149.00, 149.00,150.05,8607,12.96
07-Dec-2011,151.70,156.00,151.00, 155.00,155.00,9119,13.98
05-Dec-2011,150.20,152.00,150.20, 150.40,150.40,44618,67.33
02-Dec-2011,150.15,151.90,150.00, 151.00,151.35,17036,25.78
01-Dec-2011,149.00,153.50,149.00, 151.50,151.05,4845,7.34
30-Nov-2011,150.05,151.90,150.00, 151.00,150.80,133796,201.75
29-Nov-2011,152.85,155.00,150.05, 150.25,150.60,27738,42.07
28-Nov-2011,149.10,154.65,149.10, 150.05,150.65,35389,53.53
25-Nov-2011,149.15,153.85,149.15, 149.60,150.10,257711,388.91
24-Nov-2011,149.50,153.00,149.00, 151.00,150.75,138524,208.35
23-Nov-2011,155.00,155.00,148.00, 148.85,149.20,127088,190.69
22-Nov-2011,149.00,156.50,149.00, 151.10,153.20,62566,94.56
21-Nov-2011,150.40,155.50,148.00, 148.00,148.55,63363,96.05
18-Nov-2011,162.05,164.90,148.20, 155.85,151.60,38562,58.26
17-Nov-2011,169.00,169.00,161.00, 162.20,162.50,14214,23.39
16-Nov-2011,170.00,170.00,161.00, 165.15,164.80,10409,17.21
15-Nov-2011,176.00,176.00,160.25, 164.00,162.80,14542,24.44
14-Nov-2011,171.00,178.00,170.00, 175.00,175.15,9134,15.87
11-Nov-2011,179.50,179.50,170.00, 170.00,171.05,26100,45.19
09-Nov-2011,180.00,184.70,174.05, 177.05,178.95,60287,109.24
08-Nov-2011,160.00,188.00,160.00, 173.00,174.75,98690,172.21
04-Nov-2011,164.95,164.95,159.10, 159.25,159.70,10905,17.58
03-Nov-2011,159.05,163.90,158.20, 163.00,162.55,7163,11.57
02-Nov-2011,154.25,161.50,154.20, 160.10,160.85,9520,15.21
01-Nov-2011,161.95,161.95,157.50, 158.55,159.15,9831,15.67
31-Oct-2011,159.00,162.55,157.00, 157.00,158.20,6355,10.11
28-Oct-2011,161.85,166.85,158.45, 160.60,160.15,8940,14.37
26-Oct-2011,159.90,165.00,158.00, 158.50,159.25,6909,11.12
25-Oct-2011,158.75,162.00,156.10, 156.20,156.70,4068,6.42
24-Oct-2011,159.00,162.00,158.90, 161.85,160.10,83156,133.28
21-Oct-2011,160.15,164.00,148.00, 160.00,160.90,29422,47.38
