Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,74.00,75.20,73.05, 73.45,73.35,301591,223.72
29-Dec-2011,75.15,76.00,73.50, 74.10,74.00,442023,328.65
28-Dec-2011,79.00,79.00,75.50, 76.00,76.05,355691,271.21
27-Dec-2011,79.35,79.70,77.25, 77.65,77.65,191455,150.07
26-Dec-2011,79.00,80.75,78.25, 79.25,79.30,196121,156.23
23-Dec-2011,83.50,83.50,77.75, 78.40,78.20,269334,214.77
22-Dec-2011,78.15,82.00,76.20, 81.60,81.15,264773,210.40
21-Dec-2011,79.80,80.30,77.10, 78.95,78.80,283072,222.47
20-Dec-2011,81.60,81.60,77.10, 77.35,77.50,247180,194.05
19-Dec-2011,84.25,85.40,80.00, 80.25,80.65,494587,400.87
16-Dec-2011,87.45,87.80,83.75, 83.75,84.95,285291,245.26
15-Dec-2011,86.50,86.80,85.00, 86.10,86.05,144789,124.32
14-Dec-2011,86.80,87.80,85.40, 86.50,86.55,251085,217.62
13-Dec-2011,86.00,87.15,85.10, 87.15,86.40,332749,286.24
12-Dec-2011,89.10,90.20,86.10, 86.10,86.85,247293,217.64
09-Dec-2011,88.20,89.40,86.00, 88.70,88.65,339702,300.26
08-Dec-2011,92.60,92.60,88.30, 88.80,88.70,537794,481.93
07-Dec-2011,92.80,93.85,91.50, 91.50,91.75,519449,478.77
05-Dec-2011,94.90,94.90,91.80, 92.40,92.15,765422,709.43
02-Dec-2011,92.95,94.30,92.00, 94.30,93.75,559291,521.24
01-Dec-2011,94.80,98.00,91.45, 92.00,92.10,653161,613.74
30-Nov-2011,92.80,95.00,91.10, 92.40,92.75,1410409,1315.87
29-Nov-2011,94.25,95.00,91.50, 92.05,92.20,255106,238.28
28-Nov-2011,92.00,94.45,92.00, 94.00,94.00,269996,252.82
25-Nov-2011,92.25,93.50,90.90, 91.60,91.55,181542,167.44
24-Nov-2011,90.45,94.05,88.60, 92.20,92.35,561014,513.09
23-Nov-2011,91.80,91.80,89.05, 90.95,90.30,440034,395.58
22-Nov-2011,93.00,93.50,91.25, 91.40,91.65,275842,255.38
21-Nov-2011,92.25,94.40,92.00, 92.60,93.05,245042,229.21
18-Nov-2011,94.50,94.50,92.15, 94.00,93.20,261626,243.93
17-Nov-2011,96.05,98.90,93.50, 94.50,95.00,199634,193.07
16-Nov-2011,95.75,97.20,93.20, 96.95,96.50,234568,223.95
15-Nov-2011,98.95,99.95,95.00, 95.05,95.55,292033,283.94
14-Nov-2011,103.25,103.50,99.00, 99.15,99.35,169601,171.52
11-Nov-2011,104.40,104.40,98.85, 102.45,102.20,549598,553.85
09-Nov-2011,104.35,104.80,100.35, 101.20,101.10,464014,478.25
08-Nov-2011,108.30,108.30,102.65, 103.80,103.75,652174,676.48
04-Nov-2011,101.90,102.25,101.00, 101.90,101.90,335801,341.51
03-Nov-2011,100.25,101.50,99.50, 100.95,100.95,337611,339.48
02-Nov-2011,99.50,101.00,98.10, 100.00,99.75,357172,356.02
01-Nov-2011,100.70,103.20,99.05, 99.40,99.50,616558,622.18
31-Oct-2011,98.00,103.25,96.30, 102.45,102.40,1420819,1442.69
28-Oct-2011,95.90,98.60,95.90, 97.80,97.95,491500,479.46
26-Oct-2011,94.80,94.80,93.30, 94.10,94.25,144346,135.95
25-Oct-2011,96.60,97.20,89.75, 93.00,92.65,2152588,1984.68
24-Oct-2011,97.80,99.20,96.50, 96.95,96.80,328190,321.04
21-Oct-2011,99.25,99.35,96.70, 97.00,97.35,118915,116.94
20-Oct-2011,98.95,99.10,97.50, 98.85,98.65,109196,107.37
19-Oct-2011,98.80,99.75,98.35, 99.15,99.10,148569,147.25
18-Oct-2011,98.50,98.80,96.95, 97.75,97.45,149967,146.18
17-Oct-2011,100.80,100.80,99.00, 99.00,99.40,217312,216.97
14-Oct-2011,101.25,101.25,98.10, 99.40,99.45,232387,230.34
13-Oct-2011,98.50,99.80,97.90, 98.60,98.55,604793,597.79
12-Oct-2011,95.05,98.90,95.00, 98.00,98.10,1285623,1257.42
11-Oct-2011,93.90,95.05,93.30, 94.10,94.60,529487,499.40
10-Oct-2011,91.90,93.95,91.15, 93.15,92.95,682188,629.66
07-Oct-2011,87.05,93.00,87.05, 91.50,91.60,510084,468.00
05-Oct-2011,90.00,90.30,88.30, 88.75,88.75,338898,302.29
04-Oct-2011,90.10,90.55,86.05, 90.20,89.10,942720,837.58
03-Oct-2011,91.60,92.00,90.00, 90.05,90.30,546567,495.53
30-Sep-2011,93.60,94.60,92.35, 92.50,92.60,449656,420.90
29-Sep-2011,94.50,95.00,92.00, 93.60,93.10,1123846,1044.54
